Source,Target,Type,Id,Label,Weight,value
Reg. of BP,MDK,Undirected,1,NA,2,1
"ZF2001 (V3, D07)",SOX2,Undirected,2,NA,2,1
"ZF2001 (V3, D14)",EPHX3,Undirected,3,NA,2,1
TAP1,INNATE IMMUNE SYSTEM,Undirected,4,NA,2,
TNFAIP6,"ChAd-BNT (V2, D7)",Undirected,5,NA,2,
"ZF2001 (V3, D07)",SPATA31A7,Undirected,6,NA,2,1
PKN1,HUMORAL ADAPTIVE IMMUNE SYSTEM,Undirected,7,NA,2,
SLAMF6,Interspecies interaction,Undirected,8,NA,3,
PIK3CA,Immune system,Undirected,9,NA,3,
YTHDF2,Reg. of BP,Undirected,10,NA,2,
"ZF2001 (V3, D07)",CPXM2,Undirected,11,NA,2,1
ZFP36L2,Reg. of BP,Undirected,12,NA,3,
INNATE IMMUNE SYSTEM,CD74,Undirected,13,NA,2,1
ZNF703,"ChAd (V1, D3)",Undirected,14,NA,2,
"ZF2001 (V3, D07)",HIF3A,Undirected,15,NA,2,1
TRBV28,Reg. of BP,Undirected,16,NA,2,
"ZF2001 (V3, D07)",TNNI1,Undirected,17,NA,2,1
LVS F TULARENSIS (H18),CD68,Undirected,18,NA,2,1
FLUARIX FLUVIRIN (D3),ATXN7,Undirected,19,NA,2,1
TNFSF10,MONOV INFLUENZA A (D1),Undirected,20,NA,2,
RNU4ATAC,"ChAd (V2, D1)",Undirected,21,NA,2,
Immune system,CCDC92,Undirected,22,NA,2,1
"ChAd-BNT (V2, D3)",CSF2,Undirected,23,NA,2,-1
IL1R2,"ChAd (V1, D3)",Undirected,24,NA,2,
"ZF2001 (V3, D07)",CALB1,Undirected,25,NA,2,1
PTK2,ADAPTIVE IMMUNE SYSTEM,Undirected,26,NA,2,
INNATE IMMUNE SYSTEM,CD8A,Undirected,27,NA,2,1
T CELLS,EIF2B2,Undirected,28,NA,2,1
FMNL2,FLUARIX FLUVIRIN (D3),Undirected,29,NA,2,
KIF11,"ChAd-BNT (V2, D7)",Undirected,30,NA,2,
HGFAC,"ChAd-BNT (V2, D7)",Undirected,31,NA,2,
FOXO3,BNT-I (D4),Undirected,32,NA,2,
TRIM58,"ChAd-BNT (V2, D7)",Undirected,33,NA,2,
NOL11,FLUARIX FLUVIRIN (D3),Undirected,34,NA,2,
WETVAX (D5-7),ITGAE,Undirected,35,NA,2,-1
SELENOK,Interspecies interaction,Undirected,36,NA,3,
INNATE IMMUNE SYSTEM,CD84,Undirected,37,NA,2,1
"ZF2001 (V3, D07)",PFKFB3,Undirected,38,NA,2,-1
Reg. of BP,IL5RA,Undirected,39,NA,2,1
LVS F TULARENSIS (H18),CD58,Undirected,40,NA,2,1
LY6E,"BNT-MO (V3, D1)",Undirected,41,NA,2,
MENACTRA (D3),C1QA,Undirected,42,NA,2,1
TMEM87B,FLUARIX FLUVIRIN (D3),Undirected,43,NA,2,
Reg. of BP,CMKLR1,Undirected,44,NA,3,1
FLUMIST (D3),ATG16L1,Undirected,45,NA,2,1
MENACTRA (D3),C1QB,Undirected,46,NA,2,1
MENACTRA (D3),C1QC,Undirected,47,NA,3,-1
SLC30A1,"ChAd (V2, D3)",Undirected,48,NA,2,
"ZF2001 (V3, D07)",HOXC8,Undirected,49,NA,2,1
PCK2,FLUMIST (D3),Undirected,50,NA,2,
NCF1,Metabolism,Undirected,51,NA,3,
DUSP26,"ChAd (V1, D7)",Undirected,52,NA,2,
TLR4,MACROPHAGES,Undirected,53,NA,2,
"ZF2001 (V3, D07)",HOXC6,Undirected,54,NA,2,1
IL6ST,Cellular,Undirected,55,NA,3,
TRBV5-3,Cellular,Undirected,56,NA,2,
"ChAd (V1, D7)",APOL4,Undirected,57,NA,2,-1
PCID2,Metabolism,Undirected,58,NA,3,
OAS1,INFLUENZA (D1),Undirected,59,NA,2,
LVS F TULARENSIS (H18),CD44,Undirected,60,NA,2,1
RNASE2,MVA85A (D2),Undirected,61,NA,2,
PLPP6,Metabolism,Undirected,62,NA,2,
INNATE IMMUNE SYSTEM,CD93,Undirected,63,NA,2,1
Reg. of BP,LAG3,Undirected,64,NA,3,1
HLA-DQB1,ADAPTIVE IMMUNE SYSTEM,Undirected,65,NA,2,
PMAIP1,Cellular,Undirected,66,NA,3,
Reg. of BP,MBP,Undirected,67,NA,3,1
ZNF14,FLUARIX FLUVIRIN (D3),Undirected,68,NA,2,
Reg. of BP,RNF125,Undirected,69,NA,3,1
RAB3B,Cellular,Undirected,70,NA,3,
FKBP8,BNT-I (D1),Undirected,71,NA,2,
TYR,Metabolism,Undirected,72,NA,2,
INNATE IMMUNE SYSTEM,BCL2L11,Undirected,73,NA,2,1
PIK3R1,Cellular,Undirected,74,NA,3,
Interspecies interaction,CLU,Undirected,75,NA,3,1
"ZF2001 (V3, D07)",SOX21,Undirected,76,NA,2,1
NUP58,FLUARIX FLUVIRIN (D3),Undirected,77,NA,2,
TAF1D,FLUMIST (D3),Undirected,78,NA,2,
Reg. of BP,IGHA2,Undirected,79,NA,3,1
Reg. of BP,IGHA1,Undirected,80,NA,3,1
RNASET2,Cellular,Undirected,81,NA,3,
SNORA19,"ChAd-BNT (V2, D3)",Undirected,82,NA,2,
LVS F TULARENSIS (H18),CCR4,Undirected,83,NA,2,-1
LVS F TULARENSIS (H18),CCR1,Undirected,84,NA,2,1
LVS F TULARENSIS (H18),CCR2,Undirected,85,NA,2,1
LVS F TULARENSIS (H18),CCR7,Undirected,86,NA,2,-1
ITGA8,"ChAd-BNT (V2, D7)",Undirected,87,NA,2,
LVS F TULARENSIS (H18),CCR5,Undirected,88,NA,2,1
PIK3CG,CELLULAR ADAPTIVE IMMUNE SYSTEM,Undirected,89,NA,2,
HOXA3,ADAPTIVE IMMUNE SYSTEM,Undirected,90,NA,2,
LVS F TULARENSIS (H18),CCR6,Undirected,91,NA,2,-1
PPP6C,INNATE IMMUNE SYSTEM,Undirected,92,NA,2,
FLUMIST (D3),DENND6A,Undirected,93,NA,2,1
NLRP1,Interspecies interaction,Undirected,94,NA,3,
NRCAM,"ChAd (V1, D3)",Undirected,95,NA,2,
LVS F TULARENSIS (H18),CD1A,Undirected,96,NA,2,1
INNATE IMMUNE SYSTEM,DCSTAMP,Undirected,97,NA,2,1
LVS F TULARENSIS (H18),CD1B,Undirected,98,NA,2,1
FOXO3,BNT-I (D1),Undirected,99,NA,2,
MONOV INFLUENZA A (D1),CTSF,Undirected,100,NA,2,-1
IDE,FLUARIX FLUVIRIN (D3),Undirected,101,NA,2,
"ZF2001 (V3, D07)",HOXA3,Undirected,102,NA,2,1
LGALS2,Cellular,Undirected,103,NA,2,
LVS F TULARENSIS (H18),CD1C,Undirected,104,NA,2,1
LVS F TULARENSIS (H18),CD1D,Undirected,105,NA,2,1
MONOV INFLUENZA A (D1),CNDP2,Undirected,106,NA,2,1
SLAMF8,Cellular,Undirected,107,NA,3,
PAK1,HUMORAL ADAPTIVE IMMUNE SYSTEM,Undirected,108,NA,2,
MONOV INFLUENZA A (D1),CTSA,Undirected,109,NA,2,1
"ChAd (V1, D7)",AMBN,Undirected,110,NA,2,1
GPR174,Cellular,Undirected,111,NA,3,
JAK1,Cellular,Undirected,112,NA,3,
Reg. of BP,RAB5B,Undirected,113,NA,3,1
MONOV INFLUENZA A (D1),CTSB,Undirected,114,NA,2,1
"ChAd (V1, D3)",CGNL1,Undirected,115,NA,2,-1
LIPA,Cellular,Undirected,116,NA,3,
"ChAd (V2, D1)",APOL6,Undirected,117,NA,2,1
Metabolism,IL5RA,Undirected,118,NA,2,1
IL15,"ChAd (V1, D3)",Undirected,119,NA,2,
MONOV INFLUENZA A (D1),CTRL,Undirected,120,NA,2,1
WETVAX (D5-7),ECI2,Undirected,121,NA,2,-1
GSG1L,"BNT-MO (V3, D1)",Undirected,122,NA,2,
SLC39A7,Cellular,Undirected,123,NA,2,
MVA85A (D2),DNASE2,Undirected,124,NA,2,1
YF17D (D3),RIGI,Undirected,125,NA,2,1
CCNB2,ADAPTIVE IMMUNE SYSTEM,Undirected,126,NA,2,
XCL1,Interspecies interaction,Undirected,127,NA,3,
"ChAd (V2, D1)",APOL1,Undirected,128,NA,2,1
"ChAd (V2, D1)",APOL2,Undirected,129,NA,2,1
PIK3CG,NK CELL,Undirected,130,NA,2,
Immune system,IFNLR1,Undirected,131,NA,2,1
TP53,Interspecies interaction,Undirected,132,NA,2,
PURA,Cellular,Undirected,133,NA,3,
"ZF2001 (V3, D07)",HOXB9,Undirected,134,NA,2,1
Cellular,BATF2,Undirected,135,NA,3,1
FLUARIX FLUVIRIN (D3),ARRB1,Undirected,136,NA,2,1
EXT1,ADAPTIVE IMMUNE SYSTEM,Undirected,137,NA,2,
MSL3P1,BNT-I (D3),Undirected,138,NA,2,
"ZF2001 (V3, D07)",HOXB6,Undirected,139,NA,2,1
SYK,Immune system,Undirected,140,NA,3,
RNASE2,INNATE IMMUNE SYSTEM,Undirected,141,NA,2,
TRIM21,Cellular,Undirected,142,NA,3,
Reg. of BP,PPP2R1A,Undirected,143,NA,2,1
Reg. of BP,RAB4A,Undirected,144,NA,3,1
RAB32,Immune system,Undirected,145,NA,3,
MONOV INFLUENZA A (D1),CTSL,Undirected,146,NA,2,1
NDUFV3,FLUARIX FLUVIRIN (D3),Undirected,147,NA,2,
FLUMIST (D3),DENND4A,Undirected,148,NA,2,1
Cellular,BATF3,Undirected,149,NA,2,1
PTPN2,ADAPTIVE IMMUNE SYSTEM,Undirected,150,NA,2,
MONOV INFLUENZA A (D1),CTSS,Undirected,151,NA,2,1
"ZF2001 (V3, D07)",IYD,Undirected,152,NA,2,1
HMGXB4,FLUMIST (D3),Undirected,153,NA,2,
Immune system,ADGRB1,Undirected,154,NA,3,1
Reg. of BP,RAB3C,Undirected,155,NA,3,1
PLAUR,BNT-I (D4),Undirected,156,NA,2,
DCANP1,BNT-I (D1),Undirected,157,NA,2,
OASL,INNATE IMMUNE SYSTEM,Undirected,158,NA,2,
