"source","target","value","vaccine","covid_other","microbe_type","target_pathogen_disease","disease_vac","type","regimen","day_total","day_month","month","week","dose","infection","annotation","id"
"BBIBP (V3, D14)","FFAR2",-1,"BBIBP","COVID","VIRUS","SARS","V","IN","HO",14,14,1,2,3,0,"ConditionCOVID","BBIBP (V3, D14)"
"BBIBP (V3, D14)","WNT4",1,"BBIBP","COVID","VIRUS","SARS","V","IN","HO",14,14,1,2,3,0,"ConditionCOVID","BBIBP (V3, D14)"
"BBIBP (V3, D14)","NLRP9",1,"BBIBP","COVID","VIRUS","SARS","V","IN","HO",14,14,1,2,3,0,"ConditionCOVID","BBIBP (V3, D14)"
"BBIBP (V3, D14)","IDO2",1,"BBIBP","COVID","VIRUS","SARS","V","IN","HO",14,14,1,2,3,0,"ConditionCOVID","BBIBP (V3, D14)"
"BBIBP (V3, D14)","CCL3",-1,"BBIBP","COVID","VIRUS","SARS","V","IN","HO",14,14,1,2,3,0,"ConditionCOVID","BBIBP (V3, D14)"
"BBIBP (V3, D28)","CXCL8",-1,"BBIBP","COVID","VIRUS","SARS","V","IN","HO",28,28,1,4,3,0,"ConditionCOVID","BBIBP (V3, D28)"
"BNT (V1, D6)","IFI27",1,"BNT","COVID","VIRUS","SARS","V","RNA","HO",6,6,1,1,1,0,"ConditionCOVID","BNT (V1, D6)"
"BNT (V2, D1)","IFIT1",1,"BNT","COVID","VIRUS","SARS","V","RNA","HO",1,1,1,1,2,0,"ConditionCOVID","BNT (V2, D1)"
"BNT (V2, D1)","IFIT3",1,"BNT","COVID","VIRUS","SARS","V","RNA","HO",1,1,1,1,2,0,"ConditionCOVID","BNT (V2, D1)"
"BNT (V2, D1)","OAS2",1,"BNT","COVID","VIRUS","SARS","V","RNA","HO",1,1,1,1,2,0,"ConditionCOVID","BNT (V2, D1)"
"BNT (V2, D1)","ACOD1",1,"BNT","COVID","VIRUS","SARS","V","RNA","HO",1,1,1,1,2,0,"ConditionCOVID","BNT (V2, D1)"
"BNT (V2, D1)","FAS",1,"BNT","COVID","VIRUS","SARS","V","RNA","HO",1,1,1,1,2,0,"ConditionCOVID","BNT (V2, D1)"
"BNT (V2, D1)","CLEC6A",1,"BNT","COVID","VIRUS","SARS","V","RNA","HO",1,1,1,1,2,0,"ConditionCOVID","BNT (V2, D1)"
"BNT (V2, D1)","ZBP1",1,"BNT","COVID","VIRUS","SARS","V","RNA","HO",1,1,1,1,2,0,"ConditionCOVID","BNT (V2, D1)"
"BNT (V2, D1)","BATF2",1,"BNT","COVID","VIRUS","SARS","V","RNA","HO",1,1,1,1,2,0,"ConditionCOVID","BNT (V2, D1)"
"BNT (V2, D1)","MX1",1,"BNT","COVID","VIRUS","SARS","V","RNA","HO",1,1,1,1,2,0,"ConditionCOVID","BNT (V2, D1)"
"BNT (V2, D1)","COLEC12",-1,"BNT","COVID","VIRUS","SARS","V","RNA","HO",1,1,1,1,2,0,"ConditionCOVID","BNT (V2, D1)"
"BNT (V2, D1)","IL27",1,"BNT","COVID","VIRUS","SARS","V","RNA","HO",1,1,1,1,2,0,"ConditionCOVID","BNT (V2, D1)"
"BNT (V2, D1)","MARCO",1,"BNT","COVID","VIRUS","SARS","V","RNA","HO",1,1,1,1,2,0,"ConditionCOVID","BNT (V2, D1)"
"BNT (V2, D1)","IL31RA",1,"BNT","COVID","VIRUS","SARS","V","RNA","HO",1,1,1,1,2,0,"ConditionCOVID","BNT (V2, D1)"
"BNT (V2, D1)","IL36A",-1,"BNT","COVID","VIRUS","SARS","V","RNA","HO",1,1,1,1,2,0,"ConditionCOVID","BNT (V2, D1)"
"BNT (V2, D1)","AIM2",1,"BNT","COVID","VIRUS","SARS","V","RNA","HO",1,1,1,1,2,0,"ConditionCOVID","BNT (V2, D1)"
"BNT (V2, D1)","EDNRB",1,"BNT","COVID","VIRUS","SARS","V","RNA","HO",1,1,1,1,2,0,"ConditionCOVID","BNT (V2, D1)"
"BNT (V2, D1)","BST2",1,"BNT","COVID","VIRUS","SARS","V","RNA","HO",1,1,1,1,2,0,"ConditionCOVID","BNT (V2, D1)"
"BNT (V2, D1)","STAT1",1,"BNT","COVID","VIRUS","SARS","V","RNA","HO",1,1,1,1,2,0,"ConditionCOVID","BNT (V2, D1)"
"BNT (V2, D1)","STAT2",1,"BNT","COVID","VIRUS","SARS","V","RNA","HO",1,1,1,1,2,0,"ConditionCOVID","BNT (V2, D1)"
"BNT (V2, D1)","IRF1",1,"BNT","COVID","VIRUS","SARS","V","RNA","HO",1,1,1,1,2,0,"ConditionCOVID","BNT (V2, D1)"
"BNT (V2, D1)","IRF9",1,"BNT","COVID","VIRUS","SARS","V","RNA","HO",1,1,1,1,2,0,"ConditionCOVID","BNT (V2, D1)"
"BNT (V2, D1)","ISG20",1,"BNT","COVID","VIRUS","SARS","V","RNA","HO",1,1,1,1,2,0,"ConditionCOVID","BNT (V2, D1)"
"BNT (V2, D1)","CTSL",1,"BNT","COVID","VIRUS","SARS","V","RNA","HO",1,1,1,1,2,0,"ConditionCOVID","BNT (V2, D1)"
"BNT (V2, D1)","DDX60",1,"BNT","COVID","VIRUS","SARS","V","RNA","HO",1,1,1,1,2,0,"ConditionCOVID","BNT (V2, D1)"
"BNT (V2, D1)","CXCL10",1,"BNT","COVID","VIRUS","SARS","V","RNA","HO",1,1,1,1,2,0,"ConditionCOVID","BNT (V2, D1)"
"BNT (V2, D1)","CXCL11",1,"BNT","COVID","VIRUS","SARS","V","RNA","HO",1,1,1,1,2,0,"ConditionCOVID","BNT (V2, D1)"
"BNT (V2, D1)","CXCL17",1,"BNT","COVID","VIRUS","SARS","V","RNA","HO",1,1,1,1,2,0,"ConditionCOVID","BNT (V2, D1)"
