"source","target","value","type"
"BBIBP (V3, D14)","FFAR2",-1,"Directed"
"BBIBP (V3, D14)","WNT4",1,"Directed"
"BBIBP (V3, D14)","NLRP9",1,"Directed"
"BBIBP (V3, D14)","IDO2",1,"Directed"
"BBIBP (V3, D14)","CCL3",-1,"Directed"
"BBIBP (V3, D28)","CXCL8",-1,"Directed"
"BNT (V1, D6)","IFI27",1,"Directed"
"BNT (V2, D1)","IFIT1",1,"Directed"
"BNT (V2, D1)","IFIT3",1,"Directed"
"BNT (V2, D1)","OAS2",1,"Directed"
"BNT (V2, D1)","ACOD1",1,"Directed"
"BNT (V2, D1)","FAS",1,"Directed"
"BNT (V2, D1)","CLEC6A",1,"Directed"
"BNT (V2, D1)","ZBP1",1,"Directed"
"BNT (V2, D1)","BATF2",1,"Directed"
"BNT (V2, D1)","MX1",1,"Directed"
"BNT (V2, D1)","COLEC12",-1,"Directed"
"BNT (V2, D1)","IL27",1,"Directed"
"BNT (V2, D1)","MARCO",1,"Directed"
"BNT (V2, D1)","IL31RA",1,"Directed"
"BNT (V2, D1)","IL36A",-1,"Directed"
"BNT (V2, D1)","AIM2",1,"Directed"
"BNT (V2, D1)","EDNRB",1,"Directed"
"BNT (V2, D1)","BST2",1,"Directed"
"BNT (V2, D1)","STAT1",1,"Directed"
"BNT (V2, D1)","STAT2",1,"Directed"
"BNT (V2, D1)","IRF1",1,"Directed"
"BNT (V2, D1)","IRF9",1,"Directed"
"BNT (V2, D1)","ISG20",1,"Directed"
"BNT (V2, D1)","CTSL",1,"Directed"
"BNT (V2, D1)","DDX60",1,"Directed"
"BNT (V2, D1)","CXCL10",1,"Directed"
"BNT (V2, D1)","CXCL11",1,"Directed"
"BNT (V2, D1)","CXCL17",1,"Directed"
"BNT (V2, D1)","CXCL9",1,"Directed"
"BNT (V2, D1)","GBP2",1,"Directed"
"BNT (V2, D1)","APOL1",1,"Directed"
"BNT (V2, D1)","IFITM3",1,"Directed"
"BNT (V2, D1)","CYBB",1,"Directed"
"BNT (V2, D1)","TAP1",1,"Directed"
"BNT (V2, D1)","TAP2",1,"Directed"
"BNT (V2, D1)","IDO1",1,"Directed"
"BNT (V2, D1)","CFB",1,"Directed"
"BNT (V2, D1)","IDO2",1,"Directed"
"BNT (V2, D1)","NUB1",1,"Directed"
"BNT (V2, D1)","IFI16",1,"Directed"
"BNT (V2, D1)","IFI27",1,"Directed"
"BNT (V2, D1)","IFI35",1,"Directed"
"BNT (V2, D1)","SERPING1",1,"Directed"
"BNT (V2, D1)","IFI6",1,"Directed"
"BNT (V2, D1)","IFIH1",1,"Directed"
"BNT (V2, D1)","IFIT2",1,"Directed"
"BNT (V2, D1)","IFIT5",1,"Directed"
"BNT (V2, D1)","DHX58",1,"Directed"
