cond1	cond2	shared	not_shared_cond1	not_shared_cond2	total_genes_cond1	total_genes_cond2	genes_names	percentage_shared_cond1	percentage_shared_cond2	pvalue	qvalue	vaccine	covid_other	microbe_type	target_pathogen_disease	disease_vac	type	regimen	day_total	day_month	month	week	dose	infection
BBIBP (V3, D14)	BBIBP (V3, D28)	0	4	1	4	1	NA	0	0	0.2	0.2	BBIBP	COVID	VIRUS	SARS	V	IN	HO	14	14	1	2	3	0
BBIBP (V3, D14)	BNT (V1, D6)	0	4	2	4	2	NA	0	0	0.0666666666666666	0.0666666666666666	BBIBP	COVID	VIRUS	SARS	V	IN	HO	14	14	1	2	3	0
BBIBP (V3, D14)	BNT (V2, D1)	1	3	47	4	48	IDO2	25	2.08	1.9207683073229e-4	1.9207683073229e-4	BBIBP	COVID	VIRUS	SARS	V	IN	HO	14	14	1	2	3	0
BBIBP (V3, D14)	BNT (V3, D1)	2	2	60	4	62	IDO2,CCL3	50	3.23	0.00297619047619048	0.00297619047619048	BBIBP	COVID	VIRUS	SARS	V	IN	HO	14	14	1	2	3	0
BBIBP (V3, D14)	BNT-I (D1)	0	4	67	4	67	NA	0	0	1.02919306118038e-6	1.02919306118038e-6	BBIBP	COVID	VIRUS	SARS	V	IN	HO	14	14	1	2	3	0
BBIBP (V3, D14)	BNT-I (D10, mild)	0	4	277	4	277	NA	0	0	3.9327640500060405e-9	3.9327640500060405e-9	BBIBP	COVID	VIRUS	SARS	V	IN	HO	14	14	1	2	3	0
BBIBP (V3, D14)	BNT-I (D10, severe)	0	4	269	4	269	NA	0	0	4.4171956479315e-9	4.4171956479315e-9	BBIBP	COVID	VIRUS	SARS	V	IN	HO	14	14	1	2	3	0
BBIBP (V3, D14)	BNT-I (D26, mild)	0	4	160	4	160	NA	0	0	3.44222218022711e-8	3.44222218022711e-8	BBIBP	COVID	VIRUS	SARS	V	IN	HO	14	14	1	2	3	0
BBIBP (V3, D14)	BNT-I (D26, severe)	0	4	35	4	35	NA	0	0	1.2157906894749e-5	1.2157906894749e-5	BBIBP	COVID	VIRUS	SARS	V	IN	HO	14	14	1	2	3	0
BBIBP (V3, D14)	BNT-I (D3)	1	3	49	4	50	NLRP9	25	2	1.7075044821992e-4	1.7075044821992e-4	BBIBP	COVID	VIRUS	SARS	V	IN	HO	14	14	1	2	3	0
BBIBP (V3, D14)	BNT-I (D4)	0	4	6	4	6	NA	0	0	0.00476190476190476	0.00476190476190476	BBIBP	COVID	VIRUS	SARS	V	IN	HO	14	14	1	2	3	0
BBIBP (V3, D14)	BNT-I-BNT (D51, mild)	0	4	35	4	35	NA	0	0	1.2157906894749e-5	1.2157906894749e-5	BBIBP	COVID	VIRUS	SARS	V	IN	HO	14	14	1	2	3	0
BBIBP (V3, D14)	BNT-I-BNT (D51, severe)	0	4	7	4	7	NA	0	0	0.00303030303030303	0.00303030303030303	BBIBP	COVID	VIRUS	SARS	V	IN	HO	14	14	1	2	3	0
BBIBP (V3, D14)	BNT-MO (V3, D1)	2	2	89	4	91	IDO2,CCL3	50	2.2	0.00140252454417953	0.00140252454417953	BBIBP	COVID	VIRUS	SARS	V	IN	HO	14	14	1	2	3	0
BBIBP (V3, D14)	ChAd (V1, D3)	1	3	72	4	73	IDO2	25	1.37	5.68990042674254e-5	5.68990042674254e-5	BBIBP	COVID	VIRUS	SARS	V	IN	HO	14	14	1	2	3	0
BBIBP (V3, D14)	ChAd (V1, D6)	0	4	40	4	40	NA	0	0	7.36642823993929e-6	7.36642823993929e-6	BBIBP	COVID	VIRUS	SARS	V	IN	HO	14	14	1	2	3	0
BBIBP (V3, D14)	ChAd (V1, D7)	1	3	17	4	18	CCL3	25	5.56	0.00300751879699248	0.00300751879699248	BBIBP	COVID	VIRUS	SARS	V	IN	HO	14	14	1	2	3	0
BBIBP (V3, D14)	ChAd (V2, D1)	1	3	58	4	59	IDO2	25	1.69	1.0576414595452e-4	1.0576414595452e-4	BBIBP	COVID	VIRUS	SARS	V	IN	HO	14	14	1	2	3	0
BBIBP (V3, D14)	ChAd (V2, D3)	0	4	5	4	5	NA	0	0	0.00793650793650794	0.00793650793650794	BBIBP	COVID	VIRUS	SARS	V	IN	HO	14	14	1	2	3	0
BBIBP (V3, D14)	ChAd (V2, D7)	0	4	1	4	1	NA	0	0	0.2	0.2	BBIBP	COVID	VIRUS	SARS	V	IN	HO	14	14	1	2	3	0
BBIBP (V3, D14)	ChAd-BNT (V2, D3)	1	3	80	4	81	IDO2	25	1.23	4.19797657529072e-5	4.19797657529072e-5	BBIBP	COVID	VIRUS	SARS	V	IN	HO	14	14	1	2	3	0
BBIBP (V3, D14)	ChAd-BNT (V2, D7)	1	3	55	4	56	CCL3	25	1.79	1.2304284967239e-4	1.2304284967239e-4	BBIBP	COVID	VIRUS	SARS	V	IN	HO	14	14	1	2	3	0
BBIBP (V3, D14)	ChAd-BNT (V3, D1)	2	2	104	4	106	IDO2,CCL3	50	1.89	0.00103842159916926	0.00103842159916926	BBIBP	COVID	VIRUS	SARS	V	IN	HO	14	14	1	2	3	0
BBIBP (V3, D14)	I (D10, moderate)	0	4	200	4	200	NA	0	0	1.42737343404823e-8	1.42737343404823e-8	BBIBP	COVID	VIRUS	SARS	V	IN	HO	14	14	1	2	3	0
BBIBP (V3, D14)	I (D10, severe)	1	3	226	4	227	NLRP9	25	0.44	1.99854106502254e-6	1.99854106502254e-6	BBIBP	COVID	VIRUS	SARS	V	IN	HO	14	14	1	2	3	0
BBIBP (V3, D14)	I (D26, moderate)	0	4	137	4	137	NA	0	0	6.3382622829977e-8	6.3382622829977e-8	BBIBP	COVID	VIRUS	SARS	V	IN	HO	14	14	1	2	3	0
BBIBP (V3, D14)	I (D26, severe)	1	3	213	4	214	NLRP9	25	0.47	2.38154776789435e-6	2.38154776789435e-6	BBIBP	COVID	VIRUS	SARS	V	IN	HO	14	14	1	2	3	0
BBIBP (V3, D14)	I (D51, moderate)	0	4	5	4	5	NA	0	0	0.00793650793650794	0.00793650793650794	BBIBP	COVID	VIRUS	SARS	V	IN	HO	14	14	1	2	3	0
BBIBP (V3, D14)	I (D51, severe)	1	3	170	4	171	WNT4	25	0.58	4.63540242246131e-6	4.63540242246131e-6	BBIBP	COVID	VIRUS	SARS	V	IN	HO	14	14	1	2	3	0
BBIBP (V3, D14)	I-I (D1)	0	4	7	4	7	NA	0	0	0.00303030303030303	0.00303030303030303	BBIBP	COVID	VIRUS	SARS	V	IN	HO	14	14	1	2	3	0
