cond1	cond2	shared	not_shared_cond1	not_shared_cond2	total_genes_cond1	total_genes_cond2	genes_names	percentage_shared_cond1	percentage_shared_cond2	pvalue	qvalue	vaccine	covid_other	microbe_type	target_pathogen_disease	disease_vac	type	regimen	day_total	day_month	month	week	dose	infection
BBIBP (V3, D14)	MONOV INFLUENZA A (D1)	1	847	39	848	40	FFAR2	0.12	2.5	2.04550138571583e-67	6.10253305012126e-68	BBIBP	COVID	VIRUS	SARS	V	IN	HO	14	14	1	2	3	0
BBIBP (V3, D28)	MONOV INFLUENZA A (D1)	1	847	14	848	15	TLDC2	0.12	6.67	1.16275152271516e-29	2.01672418449112e-30	BBIBP	COVID	VIRUS	SARS	V	IN	HO	28	28	1	4	3	0
BNT (V1, D6)	MONOV INFLUENZA A (D1)	0	848	1	848	1	NA	0	0	0.00117785630153121	1.1474504001281e-4	BNT	COVID	VIRUS	SARS	V	RNA	HO	6	6	1	1	1	0
BNT (V2, D1)	MONOV INFLUENZA A (D1)	153	695	338	848	491	AIM2,ANKRD22,APOL1,APOL2,APOL4,APOL6,ATF3,SMCO4,C1QA,C1QB,C2,CARD16,CARD17P,CASP5,CCRL2,CD274,CDHR5,CMPK2,CTSL,CXCL10,DHRS9,DOCK4,DTX3L,EPB41L3,EPSTI1,ETV7,EXOC3L1,FAM20A,CALHM6,FAM72A,FBXO6,FCGR1BP,FRMD3,GBP1P1,GBP3,GBP4,GBP5,GPR84,HERC5,IFI44,IFI44L,IFIH1,IFIT3,IRF7,ISG15,KCNJ2,LACTB,LAMP3,LAP3,LHFPL2,LPCAT2,MARCO,MSR1,MT2A,MUC1,MYOF,NGFR,NMI,OAS1,OAS3,OASL,ODF3B,P2RX7,PARP14,PLSCR1,PRRG4,PSME2,PSME2P2,PSTPIP2,RAB39A,RSAD2,RTP4,RUFY4,SAMD4A,SAMD9L,SCARF1,SCO2,SDC3,SECTM1,SEPTIN4,SERPING1,SIGLEC1,SIGLEC11,SIGLEC16,SLAMF8,SLC1A3,SLC6A12,SMTNL1,SORT1,STX11,TCN2,TFEC,TMEM51,TNFAIP6,TNFSF13B,TRAFD1,TRPV4,TYMP,UBE2L6,VAMP5,WARS1,XAF1,FIBCD1,COLEC12,SPP1,C1QC,CACNA1A,FAM225A,ISG20,LGALS3BP,PLAAT4,TIFA,USP18,ZBP1,VPS9D1,IFIT5,MTND6P5,RNU7-40P,SAMD9,SP140,ASPHD2,RMI2,TMEM268,CACNA1E,CAPNS2,CEACAM1,DDX60L,DHX58,EFCAB2,GADD45G,GRAMD1B,HERC6,IFI16,KLF5,KPTN,LY6E,MOV10,NRN1,NUB1,P2RY14,PARP12,PDCD1LG2,PLSCR2,RHBDF2,RIPK2,RSPH9,SOCS1,SPATS2L,TIMM10,TRIM5,TRIM6,WDFY1,ZCCHC2	18.04	31.16	4.55685473670725e-176	3.14376292340603e-176	BNT	COVID	VIRUS	SARS	V	RNA	HO	1	1	1	1	2	0
BNT (V3, D1)	MONOV INFLUENZA A (D1)	162	686	293	848	455	AIM2,ANKRD22,APOBEC3B,APOL1,APOL2,APOL4,APOL6,ATF3,SMCO4,C1QA,C1QB,C2,C3AR1,CARD17P,CASP5,CCRL2,CD274,CDCP1,CDHR5,CMPK2,CTSL,CXCL10,DHRS9,DOCK4,DTX3L,EGR2,EGR3,EPSTI1,ETV7,EXOC3L1,FAM20A,CALHM6,FBXO6,FCGR1BP,FFAR2,FRMD3,GBP1P1,GBP3,GBP4,GBP5,GPR84,HERC5,ICAM1,IFI44,IFI44L,IFIH1,IFIT3,IL4I1,IRF7,ISG15,KCNJ15,KCNJ2,KREMEN1,LACTB,LAMP3,LAP3,LHFPL2,LPCAT2,MAFB,MARCO,MSR1,MT2A,MYOF,NGFR,OAS1,OAS3,OASL,ODF3B,P2RX7,PARP14,PLSCR1,PRRG4,PSME2,PSME2P2,PSTPIP2,NECTIN2,RAB20,RAB39A,RSAD2,RTP4,RUFY4,SAMD4A,SAMD9L,SCARF1,SCO2,SDC3,SECTM1,SEPTIN4,SERPING1,SIGLEC1,SIGLEC11,SIGLEC16,SLAMF8,SLC1A3,SLC6A12,SMTNL1,SORT1,STX11,TCN2,TFEC,TMEM51,TNFAIP6,TNFSF13B,TRAFD1,TRPV4,TYMP,UBE2L6,VAMP5,WARS1,XAF1,COLEC12,IGSF23,C1QC,FAM225A,IGHEP2,ISG20,LGALS3BP,PLAAT4,TIFA,USP18,ZBP1,VPS9D1,IFIT5,PPARGC1A,RNU7-40P,SP140,ASPHD2,RMI2,TMEM268,CACNA1E,CAPNS2,CEACAM1,DDX60L,DHX58,EFCAB2,ERLIN1,FANCA,GADD45B,GADD45G,GRAMD1B,IFI16,KLF5,KPTN,LY6E,MAFF,MOV10,NRN1,NUB1,P2RY14,PARP12,PDCD1LG2,PLSCR2,RHBDF2,RIPK2,RSPH9,SOCS1,SPATS2L,TIMM10,TRIM5,TRIM6,TTC26,WDFY1	19.1	35.6	3.38989267789192e-154	2.0435690105879896e-154	BNT	COVID	VIRUS	SARS	V	RNA	HO	1	1	1	1	3	0
BNT-I (D1)	MONOV INFLUENZA A (D1)	54	794	980	848	1034	SPRY2,TPBG,ADAM9,AK4,CDCP1,CLEC5A,CXCL16,DUSP1,EGR3,FAM20A,FGD4,GBP3,GLUL,HBEGF,HORMAD1,ICAM1,KYNU,LRRC4,MEGF9,MIR22HG,NFIX,PFKFB3,PLBD1,PLEKHG6,RNF217,SCARF1,TMEM51,TREM1,TRIB1,VCAN,XKR8,ZMYND15,CES3,NOTCH3,SMAD6,C1orf127,CD2,ITGA9,LPL,SNAI1,PHACTR1,TSPAN13,UPB1,VWF,ZNF697,STAB1,AVPI1,CAPNS2,CISH,FCER2,LOXL1,MAFF,RCVRN,SPHK1	6.37	5.22	0	0	BNT	COVID	VIRUS	SARS	I	I	V-I	1	1	1	1	1	1
BNT-I (D10, mild)	MONOV INFLUENZA A (D1)	295	553	3876	848	4171	ATG9B,LINC00612,HEATR9,CACNA1I,COL5A3,HSPG2,NOG,NRCAM,SPRY2,SYT17,ZNF890P,ACSL1,ADAM9,ADAP2,AIM2,AK4,ANKRD22,APOL2,APOL4,APOL6,ASGR2,ATF3,ATF5,BACH1,BCL2A1,BLVRA,SMCO4,MCEMP1,C1QB,C3AR1,CARD16,CD274,CDKN1A,CLEC4D,CLEC4E,CMPK2,CREB5,CTSB,CXCL10,CYP1B1-AS1,DMXL2,DRAM1,DTX3L,DUSP3,DYSF,EMILIN2,EPB41L3,EPSTI1,ETV7,EXT1,FAM151B,FBXO6,FGD4,FRMD3,GBP1P1,GCA,GLT1D1,GPR84,GPRC5C,GRINA,HERC5,HLX,HORMAD1,HSPA7,IFI44,IFI44L,IFIH1,IFIT3,IGF2BP3,ISG15,JAK2,KCNJ15,SHTN1,KLF4,KYNU,LACTB,LAMP3,LAP3,LHFPL2,LINC00482,LMNB1,LMO2,LPCAT2,LYN,MAFB,MARCKS,MCTP1,MIR22HG,MS4A4A,MT2A,MTHFD2,MUC1,NAMPT,NEXN,NHSL1,NLRP3,NMI,NOD2,NPC2,OAS1,OAS3,OASL,ODF3B,OPLAH,PARP14,PLBD1,PLSCR1,PRRG4,PSMA4,PSME2,PSTPIP2,RAB20,RAB31,RAB39A,RASGEF1B,RBM47,RNF217,RSAD2,RTP4,RUFY4,S100A8,S100A9,SAMD4A,SERPINA1,SERPING1,SH3PXD2B,SIGLEC1,SLC1A3,SMTNL1,SNX10,SORT1,SRGN,STEAP4,STX11,TCN2,TFEC,TLR2,TNFAIP6,TNFSF13B,TRAFD1,TRIB1,TYMP,UBE2D1,UBE2L6,VAMP5,WDFY3-AS2,XAF1,CEBPA,FAM167A,ADGRD1,PTGDR2,MYO10,RPH3A,TNNT3,ZNF704,AFF3,CD2,CTSF,ESAM,FCGBP,PLD4,PRRT4,SIDT1,SRGAP3,ZNF519,ACACB,BIK,CEP85L,DCST1,EHMT2,EPN2,FCMR,HMOX1,LLGL2,MAST4,PLCB1,PUS7,RASA3,RNF125,SEMA6C,TEF,TSPAN13,UPB1,TRIM69,BATF,C1QC,CACNA1A,DLL1,EIF4E3,FAM225A,FCRL6,KIAA0040,KLHDC7B,LGALS3BP,PIM1,PLCXD2,RHOBTB3,STAMBPL1,STOM,TIFA,USP18,ZBP1,ADAMTS10,ADCY3,ATP1B2,VPS9D1,PCED1B,GVINP1,IFIT5,LIMK2,LMTK2,METAP1D,PRDM11,PRSS21,RASL11A,SERPINF1,XRN1,APOBEC3D,ARHGAP5,ATP1B3,BAK1,SPTSSA,CMC2,RMI2,C19orf12,CACNA1E,CD59,CEACAM1,CNIH4,CREG1,CTRL,CTSA,DDX51,DDX60L,DNAJC1,DTNBP1,EFCAB2,EPB41L5,ERI1,ERLIN1,FANCA,FCER2,FCRL2,FLT3LG,GADD45B,GADD45G,GALM,GIMAP1,GSTO1,HEBP1,HERC6,IFI16,KLF5,KPTN,LIPM,LY6E,MITD1,MRPL44,MSRB2,NAA15,NAPA,NRADDP,NRN1,NT5C3A,PARP12,PLSCR2,POLB,RBCK1,RCVRN,REC8,RHOH,RILP,RIPK2,RNF144A,RNF43,RSPH9,SEPHS2,SESTD1,SH3PXD2A,SIAH2,SLC26A8,SLFN5,SPATS2L,SRBD1,STK3,TARBP1,TBC1D8,TIMM10,TLR5,TMSB10,TRIM6,TTC39B,WDFY1,ZCCHC2,CCR3	34.79	7.07	0	0	BNT	COVID	VIRUS	SARS	I	I	V-I	10	10	1	2	1	1
BNT-I (D10, severe)	MONOV INFLUENZA A (D1)	336	512	4030	848	4366	ATG9B,LINC00612,HEATR9,CACNA1I,COL5A1,COL5A3,HSPG2,NDRG4,NOG,NRCAM,OCM,SHANK1,SPRY2,SYT17,TNNC1,TPBG,ZNF890P,AANAT,ACSL1,ADAM9,ADAMTSL4,AIM2,AK4,ALDH1A1,ANKRD22,ANKRD34B,APOBEC3B,APOL1,APOL2,APOL6,AQP9,ASGR2,ATF3,BCL2A1,BEST1,SMCO4,MCEMP1,C1QA,C1QB,C2,C3AR1,CARD16,CASP5,CCRL2,CD274,CHST15,CLEC4D,CLEC4E,CLEC5A,CMPK2,CREB5,CRISPLD2,CTSL,CXCL10,CYP1B1-AS1,DHRS9,DOCK4,DRAM1,DTX3L,DUSP1,DYSF,EGR3,EPSTI1,ETV7,EXT1,FAM110B,FAM151B,FAM20A,FBXO6,FGD4,FRMD3,FZD5,GBP1P1,GBP5,GCA,GLT1D1,GM2A,GPR84,GPRC5C,GRINA,HERC5,HLX,HSPA6,IFI44,IFI44L,IFIH1,IFIT3,IGF2BP3,IRF7,ISG15,ITPRIPL2,JAK2,KCNJ15,KCNJ2,KLF4,LACTB,LAMP3,LAP3,LHFPL2,LILRB3,LINC00482,LMNB1,LMO2,LPCAT2,MAFB,MARCKS,MCTP1,MEGF9,MIR22HG,MPZL2,MS4A4A,MT2A,MTHFD2,MUC1,NAMPT,NEXN,NLRC4,NMI,NOD2,OAS1,OAS3,OASL,ODF3B,OPLAH,PARP14,PFKFB3,PKMYT1,PLBD1,PLSCR1,PLXDC2,PLXNC1,PRRG4,PSTPIP2,RAB20,RAB31,RBM47,RSAD2,RTP4,RUFY4,S100A8,S100A9,SAMD9L,MSRB1,SERPINA1,SERPING1,SH3PXD2B,SIGLEC1,SLC1A3,SLC22A16,SLC8A1,SMAD1,SMTNL1,SNX10,SOCS3,SORT1,SRGN,STEAP4,STX11,TCN2,TDRD6,TLR2,TMTC1,TNFAIP6,TNFSF13B,TRAFD1,TRIB1,TYMP,UBE2D1,UBE2L6,VAMP5,WDFY3,WDFY3-AS2,XAF1,CDK5R1,ADGRD1,PTGDR2,GPRC5B,MYO10,PITPNM2,RPH3A,SLC28A3,SMAD6,TNNT3,ZNF704,C1orf127,CD2,COL9A2,CTSF,ESAM,FCGBP,ITGA9,LGI4,LPL,PLD4,PRRT4,SIDT1,SPNS3,SRGAP3,ZNF519,ARHGEF4,BIK,CHST13,DCST1,FCMR,GPR162,HIVEP3,LLGL2,MAST4,PHACTR1,RASA3,RELL1,RNF125,SAMD1,SEMA6C,SPINT1,TEF,TEX2,TSPAN13,UPB1,HAPLN3,TRIM69,BATF,C1QC,GSN-AS1,CACNA1A,CD226,DLL1,EIF4E3,ENPP2,FAM225A,FCRL6,KIAA0040,KLHDC7B,LGALS3BP,LINC00189,PIM1,PLCXD2,SLC12A8,STOM,TIFA,USP18,ZBP1,ADAMTS10,ADAMTSL4-AS1,ALOX15B,BRCA2,VPS9D1,PCED1B,FAM89A,GFRA2,HIC1,HIVEP2,IFIT5,LIMK2,METAP1D,NR1D1,OPTN,ORC6,PRDM11,PROS1,PRR5L,RASL11A,SERPINF1,ARHGAP5,BAK1,CMC2,RMI2,C4BPA,C5,CACNA1E,CAPNS2,CD59,CEACAM1,CNIH4,CREG1,CTSA,DDX60L,DHX58,EFCAB2,EPB41L5,ERI1,ERLIN1,FCER2,FLT3LG,GADD45B,GADD45G,GALM,GIMAP1,GSTO1,HERC6,ID3,IFI16,IL18R1,KIF24,KLF5,KPTN,LIPM,LOXL1,LY6E,MED12L,MOV10,MRPL44,MSRB2,NAA15,NAPA,NRADDP,NRN1,NT5C3A,PARP11,PARP12,PDCD1LG2,PLSCR2,POLB,RBCK1,RCVRN,REC8,RIPK2,RNF43,RSPH9,SEPHS2,SESTD1,SH3PXD2A,SLC26A8,SPATS2L,SRBD1,STK3,TBC1D8,TIMM10,TLR5,TRIM6,TTC26,TTC39B,WDFY1,WDR86,ZCCHC2,EPAS1	39.62	7.7	0	0	BNT	COVID	VIRUS	SARS	I	I	V-I	10	10	1	2	1	1
BNT-I (D26, mild)	MONOV INFLUENZA A (D1)	136	712	2297	848	2433	HEATR9,NOG,NRCAM,OCM,SYT17,ZNF890P,ACSL1,ADAM9,APOL3,ASGR2,BCL2A1,MCEMP1,CLEC4D,CLEC5A,CREB5,CTSB,DRAM1,DUSP1,DUSP3,DYSF,EMILIN2,FAM151B,FAM20A,FGD4,GCA,GLT1D1,GPR84,GRINA,HORMAD1,JAK2,KLF4,LACTB,LINC00482,LMO2,LYN,MARCKS,MARCO,MCTP1,MIR22HG,MS4A4A,NAMPT,OPLAH,PLBD1,RAB31,RBM47,S100A8,S100A9,SAMD9L,SERPINA1,SH3PXD2B,SLC1A3,SLC8A1,SNX10,SORT1,SRGN,STK32B,TCN2,TLR2,TRIB1,CEBPA,MYO10,SLC28A3,AFF3,CD2,CTSF,FCGBP,ITGA9,PLD4,PRRT4,SIDT1,ZNF519,FCMR,LLGL2,PAQR4,SEMA6C,TEF,TESC,TSPAN13,AMIGO2,GSN-AS1,DLL1,EIF4E3,ENPP2,RASGRP3,STOM,ADAMTS10,PCED1B,GVINP1,LIMK2,METAP1D,PRDM11,RASL11A,RIMKLB,SERPINF1,APOBEC3D,ARHGAP5,BTN3A3,SPTSSA,CMC2,RMI2,C19orf12,CACNA1E,CD2AP,CD59,CNIH4,CREG1,CTSA,DDX51,DDX60L,EFCAB2,FCER2,FCRL2,FLT3LG,GADD45B,GADD45G,GIMAP1,GSTO1,KIF24,KLF5,LOXL1,MSRB2,NRADDP,NUP205,PPM1K,RANGAP1,RILP,RNF144A,RSPH9,SEPHS2,SH3PXD2A,SIAH2,SLC26A8,SLFN5,STK3,TLR5,TTC39B	16.04	5.59	0	0	BNT	COVID	VIRUS	SARS	I	I	V-I	26	26	1	4	1	1
BNT-I (D26, severe)	MONOV INFLUENZA A (D1)	34	814	524	848	558	HSPG2,NOG,NRCAM,SYT17,BCL2A1,FAM151B,KLF4,MIR22HG,PLBD1,S100A8,S100A9,SDC3,TLR2,TRIB1,XKR8,SLC28A3,FCGBP,LGI4,PLD4,FCMR,SAMD1,GFRA2,NR1D1,PROS1,CMC2,CREG1,GSTO1,HLA-DRB5,KIF24,LOXL1,MAFF,MSRB2,NRADDP,RIPK2	4.01	6.09	0	0	BNT	COVID	VIRUS	SARS	I	I	V-I	26	26	1	4	1	1
