genes,cos2,dimension
SMARCD3,0.9265228287368501,NA
FYN,0.9113101631265017,NA
CD2,0.9096071485073327,NA
CCR7,0.8950402642358789,NA
LHFPL2,0.8897985370941849,NA
SLC26A8,0.8847237652204251,NA
GCA,0.8828537999827685,NA
S100A9,0.8824943137620167,NA
CD3G,0.8788071546475686,NA
CLEC4E,0.8765731546715135,NA
RNF144B,0.8745448401601775,NA
LY96,0.8742719142892479,NA
NAIP,0.8742247476190962,NA
NLRC3,0.8737670292230337,NA
BST1,0.8727066947931431,NA
IL7R,0.8723673152644802,NA
RBP7,0.8722259725449717,NA
S100A12,0.8684749215182413,NA
RAB32,0.8650940790007533,NA
ADAM17,0.8623648799805613,NA
BRI3,0.8622738301630217,NA
CD40LG,0.8618491235783158,NA
PGD,0.8611013190992768,NA
PPARG,0.8597140112904319,NA
IL13RA1,0.8591787509323827,NA
TRAF1,0.8570501367751844,NA
UPP1,0.8568994211002238,NA
CD6,0.855427541442719,NA
MCTP1,0.8550049267621049,NA
MAPK14,0.853640427153353,NA
LIN7A,0.8533294812596447,NA
S100A8,0.8525450427922819,NA
MEF2A,0.8513921581337334,NA
QPCT,0.8510236650196572,NA
B2M,0.8508317439679244,NA
SLC1A3,0.8476489487716634,NA
STAT3,0.8464348059213822,NA
LY9,0.8449354431326284,NA
LRRN3,0.8433917437195835,NA
CLEC4D,0.8420858524702868,NA
RRAGD,0.8407909463649861,NA
SLC22A4,0.840118071456121,NA
ITGAM,0.8399675001093009,NA
SP3,0.8375421188940511,NA
TRIM65,0.8369394105904286,NA
ENTPD1,0.8367701402511102,NA
CD3E,0.8365404885802392,NA
RAB31,0.8354890976300586,NA
TCN1,0.835290751548514,NA
ANXA3,0.8352097299397017,NA
CD5,0.834127519907532,NA
S100A11,0.8334987699017418,NA
CD1E,0.8334870273923126,NA
PLBD1,0.8331425517249431,NA
RETN,0.8326192921427931,NA
ARG1,0.8318314545815094,NA
ALOX5,0.8299090095996794,NA
PFKFB4,0.8297336302212179,NA
TIGIT,0.8297268090583582,NA
BMX,0.8293425466164432,NA
TLR2,0.826835216699512,NA
PRRG4,0.8255575039540364,NA
GLT1D1,0.8247257227385867,NA
REPS2,0.8244866117499621,NA
GRINA,0.8223823691677061,NA
IRAK3,0.8217090425330672,NA
LPCAT2,0.8211612444141211,NA
SORT1,0.8200258128730734,NA
HMGB2,0.8199236061697159,NA
CSTA,0.8199214893008278,NA
CD53,0.8198015388722562,NA
CHUK,0.8193342753382111,NA
ARRB2,0.8150719693710219,NA
IL18RAP,0.8149247631294894,NA
LCK,0.8132156828992388,NA
CHIT1,0.8121067081298634,NA
HP,0.8103661507283627,NA
MATK,0.8097733169815216,NA
CD244,0.8094667623473187,NA
CRISP3,0.8069671837322436,NA
SLC37A3,0.8055171647492018,NA
ADD2,0.8053194028167325,NA
B3GNT5,0.804952112171683,NA
STXBP1,0.804350839431799,NA
MMP8,0.8043163947630144,NA
CD8A,0.8042994749408932,NA
MBOAT2,0.8032585559600762,NA
STXBP4,0.8030412646562729,NA
CLEC10A,0.8028872773409518,NA
ADARB1,0.8023845227674744,NA
JMJD6,0.8021341822064383,NA
CDA,0.8020264319190215,NA
CD24,0.8008733953473648,NA
SELL,0.8000530190062162,NA
SERPINB10,0.7996060411707221,NA
HDAC4,0.7993104210301276,NA
ABCA1,0.7981114374381658,NA
FCER1A,0.7974816647329421,NA
RNF135,0.7953221361493499,NA
OTUD7B,0.7951643048925445,NA
TLR5,0.7946187762568717,NA
BCL6,0.7938550849654837,NA
ACSL1,0.7938539756204572,NA
TC2N,0.7935832006912076,NA
FLT3LG,0.7917654362666772,NA
NOG,0.7910151252369098,NA
RNF130,0.7907205205758293,NA
BCL2A1,0.7904141789223147,NA
ST3GAL6,0.7885162692962194,NA
CD4,0.7878598616082984,NA
IL21R,0.787233591372722,NA
SOS2,0.783605867986273,NA
CD96,0.7816539760642209,NA
RBPJ,0.7789554894916066,NA
CAMP,0.778407985767312,NA
CEACAM8,0.7781173287292041,NA
ENG,0.7780314606395818,NA
ITGB7,0.7760658288763749,NA
IL1R1,0.7752361212295754,NA
LILRA6,0.7748303967989684,NA
TGFBR3,0.7741982815777151,NA
RNF24,0.7730812322486023,NA
LAT,0.7726407206238163,NA
DUSP1,0.7714901332225397,NA
ELOVL4,0.7713532914154311,NA
HLA-DQA1,0.7698494368272157,NA
MEN1,0.769307175286846,NA
LRRK2,0.7689619630650754,NA
LCN2,0.7689267356046329,NA
EOMES,0.7681265034833932,NA
SLC8A1,0.7678183090554533,NA
ITGA3,0.7670546834101282,NA
TTLL1,0.7665982903719648,NA
GPR89B,0.7665609609693704,NA
PRKACB,0.7658662761532844,NA
MGST1,0.7644081151825365,NA
DEFA4,0.7627771125971403,NA
ANKH,0.7626524625008302,NA
SCPEP1,0.762452992369718,NA
PYGL,0.7622976367749319,NA
UBASH3A,0.7617987395059053,NA
MAP2K6,0.7602972700466394,NA
LCP1,0.7602022600699078,NA
CD3D,0.7584191933526494,NA
TGFA,0.7580879945243836,NA
TRAT1,0.7566956244751224,NA
LAMP2,0.7564812484204166,NA
SAMSN1,0.7560416695683649,NA
CD55,0.7560308665871001,NA
THEMIS,0.7560076922677884,NA
IL18R1,0.7553410123620061,NA
SLC15A4,0.7537994793265005,NA
CD58,0.7534881776512382,NA
LBH,0.7507465237120556,NA
TRIM25,0.7493282510981292,NA
PTPN4,0.7487726524848993,NA
ACTR3,0.7486252774403537,NA
IL10RB,0.7473371941870987,NA
ABCA13,0.747139782632692,NA
CEACAM6,0.7466839334702996,NA
IL27RA,0.7457557497177361,NA
RFC2,0.7449651879056086,NA
SPN,0.7439220168860023,NA
MFSD1,0.7435107339056988,NA
CDK14,0.7418273408056494,NA
PLCG1,0.7414822492241468,NA
FCGR1A,0.7408578037255686,NA
RPL22,0.7404258149051384,NA
CEBPD,0.7379308000055483,NA
HAL,0.7379160517020504,NA
LYN,0.7373711536210891,NA
CCL5,0.7371089906509164,NA
NRBP1,0.7362540467107777,NA
HLA-DOA,0.7361563316358368,NA
F5,0.7360229296872386,NA
IFNGR2,0.7354964372648829,NA
KLF12,0.7346971267169919,NA
SPOCK2,0.7339167129647184,NA
KMT2A,0.7305140584784986,NA
ZMYND11,0.7301959998446655,NA
S1PR1,0.7301755844596254,NA
SIT1,0.7260458494787371,NA
LTF,0.7256656241382166,NA
PURA,0.7243235548659805,NA
ZAP70,0.7237107899629601,NA
ITPR3,0.7234429963071637,NA
CLEC7A,0.7212464072395807,NA
BPI,0.7207690506842608,NA
IL18BP,0.7206434173281119,NA
CD163,0.7191277894198342,NA
NELL2,0.7189961052969385,NA
PRKCE,0.7189453182837161,NA
TNFSF11,0.7179961059263598,NA
ATF2,0.7174459802449676,NA
RHOA,0.7163275683796064,NA
STXBP2,0.7153441969755461,NA
VASP,0.7137730220043553,NA
