id,cos2,dimension
"Antigen receptors, processing and presentation",0.8771773353148916,PC1
Immune response,0.7757536916928088,PC1
Monocyte,0.76763738172147,PC1
General,0.744018189735603,PC1
Innate immune response,0.6877749795132051,PC1
Antiviral and Interferon,0.6860506825804403,PC1
"Immune system, Process",0.6696415829968669,PC1
Humoral adaptive immune system,0.6303676880239624,PC1
Neutrophil,0.6118751241154041,PC1
Cellular response to Interferon I,0.6116589406657361,PC1
Response to Interferon II,0.6038417117581446,PC1
"Chemotaxis, Lymphocyte",0.6032127010972121,PC1
Eosinophil,0.559546942791172,PC1
Macrophage,0.5588095797590634,PC1
Cellular response to Interferon II,0.5578565622086503,PC1
"Chemotaxis, Monocyte",0.5522482223669893,PC1
"Chemotaxis, Eosinophil",0.5400159015273643,PC1
"Chemotaxis, Neutrophil",0.526479480124376,PC1
"Activation, Immune response, Macrophage",0.48317306307772795,PC1
"Extravasation, Th cell",0.4647142317816033,PC1
Response to Interferon I,0.45283966627648775,PC1
"APP, MHC I, exogenous peptide",0.44401766695707245,PC1
Antiviral innate immune response,0.4357631402288859,PC1
"Signaling, Interferon I, Pathway",0.4017603993571769,PC1
"Activation, Immune response, Microglial cell",0.3748321850461234,PC1
"Fc-gR signaling, phagocytosis",0.35721653723824964,PC1
Antimicrobial peptide-mediated immune response,0.34888365739976973,PC1
"Clearance, Neutrophil",0.33341247455254464,PC1
B cell,0.291844960311908,PC1
Ig-mediated response,0.291844960311908,PC1
"Cytotoxicity, NK cell",0.2734592634634104,PC1
Antifungal innate immune response,0.2651049669781408,PC1
Antimicrobial immune response,0.2456207426688394,PC1
T cell,0.24280136934037316,PC1
"Chemotaxis, Dendritic cell",0.238546654933041,PC1
"APP, MHC IB, Endogenous lipid antigen",0.22596849668477706,PC1
"APP, MHC IB, Exogenous lipid antigen",0.22417135035959496,PC1
"Chemotaxis, B cell",0.21645581110439915,PC1
"Activation, Monocyte",0.2143170702408824,PC1
"Chemotaxis, Inflammatory response, Leukocyte",0.199172517731864,PC1
Antibacterial humoral response,0.16890074408266456,PC1
Cellular adaptive immune system,0.16334952037589132,PC1
"Homeostasis, Monocyte",0.15896228998123815,PC1
"Signaling, Interferon II, Pathway",0.14822322609319477,PC1
"Biosynthesis, Antibacterial peptides against Gram-",0.10546420519750713,PC1
"Killing of fungus, Neutrophil",0.1054642051975071,PC1
"Migration, Thymocyte",0.08840841888935622,PC1
"Differentiation, Myeloid Dendritic cell",0.08795156963149733,PC1
"Signaling, Interferon III, Pathway",0.08571495864583727,PC1
"killing of Gram- bacterium, Neutrophil",0.08396964479491441,PC1
"Activation, Microglial cell",0.0828050173792687,PC1
"Activation, B cell",0.07862991666722612,PC1
"PRR, TLR4, Pathway",0.0723473266685615,PC1
"Activation, Neutrophil",0.06252792964667298,PC1
"Innate immune response, mucosa",0.05325160548984374,PC1
"Tolerance, Induction, immune response",0.049779420220727635,PC1
"Selection-, T cell, Thymic",0.029747544246375785,PC1
Establishment of T cell polarity,0.02921432282612325,PC1
