genes,cos2,dimension
SMARCD3,0.9365404389333093,NA
LHFPL2,0.9139308412737827,NA
SLC26A8,0.9084085171239629,NA
QPCT,0.8955240405506009,NA
FYN,0.8938673626428812,NA
MCTP1,0.8933218075832418,NA
TRAF1,0.8896841052523264,NA
S100A9,0.8874344756738902,NA
CD3G,0.8845479798684862,NA
RNF144B,0.8845397445614459,NA
MAPK14,0.8843796010207284,NA
ADAM9,0.8826830857252611,NA
ITGAM,0.8793063395649258,NA
ZNF608,0.8772613687390456,NA
RRAGD,0.8764766556940253,NA
LY96,0.8753637763650067,NA
SLC22A15,0.8745734846105754,NA
RAB32,0.8738988847863794,NA
IL7R,0.8736392506670754,NA
NAIP,0.870447115642531,NA
ADARB1,0.870195100075712,NA
REPS2,0.8701492550692427,NA
PRRG4,0.8694020565515728,NA
RBP7,0.8692989962357255,NA
PPARG,0.8688961099434475,NA
CD6,0.8684848245736276,NA
NLRC3,0.8680671186201647,NA
MFSD6,0.8678070071399702,NA
BCL6,0.8657881306855462,NA
HMGB2,0.8651234606069266,NA
ENTPD1,0.8643772939840624,NA
TGFBR3,0.8642523446031612,NA
CD5,0.8638287351373879,NA
PRKACB,0.8635703695446705,NA
GCA,0.862585803665084,NA
STXBP1,0.861510376134908,NA
CD3E,0.8609871756109425,NA
IL18RAP,0.8602610647823903,NA
TSPAN15,0.8593719857063024,NA
CD96,0.8591839292237964,NA
ANXA3,0.8591171492754589,NA
MEF2A,0.8585497807769635,NA
JAK3,0.8574923108691161,NA
CR1,0.8572345552942547,NA
STAT3,0.8571721586936529,NA
S100A11,0.8570730284167267,NA
PGD,0.8569924887404358,NA
GLT1D1,0.8568932821678592,NA
LIN7A,0.856551361026133,NA
CLEC4E,0.8564128144488082,NA
ROPN1L,0.8552640040850713,NA
IL18BP,0.8548365577665394,NA
B2M,0.8534384296728926,NA
ABCA1,0.8523175722342623,NA
CD2,0.8520167380158875,NA
ADD2,0.8520096584053223,NA
RNF135,0.8519990444975996,NA
IRAK3,0.8508303031898934,NA
RNF130,0.8494782281895766,NA
UPP1,0.8492220030263892,NA
BMX,0.8488090714268387,NA
PLBD1,0.8484136308415998,NA
FCER1A,0.8480866025216712,NA
BRI3,0.8475554001388412,NA
TC2N,0.8473658489718089,NA
SLC1A3,0.8459857046077994,NA
CD58,0.8456424703450603,NA
SLC22A4,0.8455925202864524,NA
TTLL1,0.8452599823739267,NA
S100A12,0.8442173100631508,NA
PTPN4,0.8438541638057627,NA
S100A8,0.8415681195119546,NA
CCR7,0.8414887903034944,NA
PFKFB4,0.8410809807473056,NA
RC3H1,0.8404609855593483,NA
LCK,0.8399426542244567,NA
DRAM1,0.8394136781124245,NA
ARRB2,0.8365907162562488,NA
IL10RB,0.8365400836147121,NA
HLA-B,0.8358542720611009,NA
LAMP2,0.8358168853851042,NA
PLD4,0.8357306117473317,NA
ADAM17,0.8351795204846792,NA
ACSL1,0.8343060526212941,NA
SPOCK2,0.8338653597638775,NA
SELL,0.8330851740202173,NA
CLEC4D,0.8327501333226561,NA
FGD4,0.832002399068845,NA
MAP2K6,0.8315276631230737,NA
HAL,0.8307255353374917,NA
ALOX5,0.8299012292165027,NA
TRIM65,0.8296428541489482,NA
SMAD3,0.8288865836162472,NA
CLEC10A,0.8274113556491182,NA
CREB5,0.8270256017365306,NA
LILRA6,0.8265399811315488,NA
TCN1,0.8256249502889047,NA
BCL2A1,0.825227818523919,NA
ANKH,0.8248819984713099,NA
TRIM25,0.8238795505251798,NA
CD8A,0.8237592247450043,NA
ETS1,0.8229365813524756,NA
FAR2,0.822824632656841,NA
CD1E,0.8222709260594836,NA
GPR89B,0.8216986800057111,NA
ARG1,0.8212864053062109,NA
STXBP3,0.8211127204480814,NA
HP,0.8193782025165294,NA
IL4R,0.8192279342413893,NA
MEGF9,0.8191644316184459,NA
TLR5,0.8157105839881994,NA
FLT3LG,0.8144200675141654,NA
MBOAT2,0.8142840831229351,NA
IL13RA1,0.8141312937287802,NA
CD53,0.8136528916930338,NA
KLF12,0.8132552393410353,NA
MYBL1,0.8118070347226676,NA
SLC37A3,0.8117145975177641,NA
RPL22,0.811313411950521,NA
TESPA1,0.811006886989399,NA
HDAC4,0.8106270891965577,NA
HLA-DQA1,0.8106218839768053,NA
STXBP4,0.8101684957160932,NA
CRTAM,0.8097982878048846,NA
CD4,0.8097615955279186,NA
RHOA,0.8093018202045198,NA
RAB31,0.8092434950129814,NA
THEMIS,0.808302586533786,NA
MGST1,0.8063539609907882,NA
CDA,0.8051341795664333,NA
JMJD6,0.8035163403437502,NA
KMT2A,0.8029121632605212,NA
LPCAT2,0.8026971804939494,NA
IL1R1,0.801742184325491,NA
PADI4,0.8009372746819067,NA
SOS2,0.7999650218751866,NA
SORT1,0.7991920111896955,NA
TMEM71,0.7970763210669337,NA
B3GNT5,0.7969673782614587,NA
ZAP70,0.7948619579319465,NA
ST3GAL6,0.7938720615184532,NA
MFSD1,0.7938168413765367,NA
SP3,0.7929517210681255,NA
FCER1G,0.79266815033772,NA
CHIT1,0.7925370059128244,NA
TLR2,0.7915660099633757,NA
PLCG1,0.7892351314193983,NA
MMP8,0.7886182684039938,NA
SCPEP1,0.7877538536630861,NA
GRINA,0.7857875275465349,NA
UBASH3A,0.7855712018091954,NA
CHUK,0.7851941428058289,NA
CLEC7A,0.784683675988033,NA
TM6SF1,0.784305418567286,NA
CSTA,0.7837008816642705,NA
ITGB7,0.7829214147891275,NA
RNASE4,0.7824453868659691,NA
ITPR3,0.7815399893572651,NA
DUSP1,0.7796877435921026,NA
RBPJ,0.7792896329674197,NA
IL27RA,0.7791681470375675,NA
IL21R,0.7790649031391091,NA
PYGL,0.7790037022875135,NA
ACE,0.7788031540546366,NA
BST1,0.7785607322790633,NA
VASP,0.7778643212112922,NA
CD55,0.7759577905773811,NA
TGFA,0.7759561110239472,NA
CD24,0.7748240295304377,NA
CORO2A,0.7743350186736065,NA
CRISP3,0.7732839351253058,NA
ATF2,0.7721586099798023,NA
RETN,0.7717858024655703,NA
LRRK2,0.7711218991621512,NA
ENG,0.770817933190662,NA
CRISPLD2,0.7703466257194709,NA
GALNT6,0.7700204673099916,NA
ZBTB46,0.7696972704760358,NA
LYN,0.7690901052479514,NA
IL18R1,0.7690544303943783,NA
NELL2,0.7690045626410948,NA
CARD11,0.7688089642262481,NA
AIM2,0.7681199260584352,NA
CD3D,0.7680868787299748,NA
LCP1,0.7675497366813053,NA
IFNGR2,0.7675049708660673,NA
CST7,0.7666889290136423,NA
SVIL,0.7664157475701716,NA
FKBP1A,0.7642700047523211,NA
PTPRC,0.763404878243473,NA
CCL5,0.7633390566341678,NA
ACTR3,0.7595816168685781,NA
NRBP1,0.7587288642546052,NA
RNF24,0.7580352820150059,NA
MATK,0.7576401084779321,NA
SIRPG,0.756783435048586,NA
SLC8A1,0.7563329211600888,NA
OTUD7B,0.7560660562997216,NA
CEBPD,0.7557309198172149,NA
PRKCH,0.7555913606459208,NA
CDK14,0.7542389455252375,NA
TOX,0.7540786347081728,NA
SPIRE1,0.7538307358939214,NA
PRKCE,0.7526310078461014,NA
SKAP1,0.7524551258714917,NA
SIT1,0.7518510893618002,NA
JAG1,0.7510620771907836,NA
TIGIT,0.7509398363029536,NA
TRAT1,0.7505592515188163,NA
APBB1,0.7505329497736519,NA
CCND3,0.749580771576736,NA
CXCR3,0.7466749447127969,NA
APBB1IP,0.7466239747049569,NA
SLC26A11,0.7453937961873227,NA
VIM,0.7452971284909725,NA
SUSD4,0.7449068443626049,NA
CEACAM8,0.7446170539176357,NA
TLR10,0.7444486950491831,NA
SARM1,0.7438229206158585,NA
SAMSN1,0.743625707660472,NA
TCF7,0.7432819983100825,NA
MAP3K8,0.7432165171607081,NA
CD40LG,0.7431569583807466,NA
MS4A2,0.7424629701285269,NA
PIK3CG,0.7409129801728406,NA
WDFY3,0.7398391341646909,NA
LCN2,0.7398310001517223,NA
PRKCQ,0.7397223264156364,NA
CD163,0.7386521916481132,NA
TBXAS1,0.7328073913339642,NA
LY9,0.732312157854729,NA
FCGR1A,0.7315859628081779,NA
CAMP,0.7294318957605814,NA
RNASE6,0.7293390767675344,NA
ATP8B2,0.7282042432738379,NA
TMEM33,0.7276090619353012,NA
CD244,0.7263860134489525,NA
BASP1,0.725811426164089,NA
MEN1,0.7254544671205294,NA
SERPINB10,0.7244944352982597,NA
LAT,0.7241469976038937,NA
NAV1,0.7237803045053768,NA
ITGA3,0.7237496422762828,NA
CD160,0.7235922279666759,NA
ANO10,0.7228343328653193,NA
STXBP2,0.7224491774464646,NA
SLC15A4,0.7222378752253994,NA
SLAMF1,0.7222301884074872,NA
NPL,0.7215701486294808,NA
RFC2,0.7207081855653317,NA
DEFA4,0.7194611124813903,NA
TRIB1,0.719023427743288,NA
ARHGDIB,0.7180659281141386,NA
ASPH,0.7170295299373944,NA
CEACAM6,0.7155839445214226,NA
DYSF,0.7145602941743299,NA
IL32,0.7143958047188592,NA
VNN2,0.7136217578892132,NA
ZMYND11,0.713167199587092,NA
RBM47,0.712849719116269,NA
RORA,0.7122506959029249,NA
CEBPB,0.7122074909918154,NA
FLT3,0.712060302848008,NA
DENND3,0.7108357964165637,NA
ABLIM1,0.7100769484682641,NA
HRH4,0.7098948963282318,NA
CTSW,0.7092300174652036,NA
PRL,0.7091957418330698,NA
HHEX,0.7087204505533359,NA
ABCA13,0.7050693936998176,NA
VNN1,0.7046346196679589,NA
IFNGR1,0.703829818177809,NA
HLA-A,0.7037561722671843,NA
TNFSF11,0.7033554432843799,NA
IL1R2,0.7030873698947185,NA
SNAP23,0.7025618629713932,NA
CD81,0.7022915808829316,NA
LRRC8A,0.7016358528873389,NA
BCL10,0.701457363440559,NA
IL2RB,0.700625742040555,NA
DTX3,0.6998220550000523,NA
APOBEC3A,0.6994512235625733,NA
DBH,0.6986797661718329,NA
ITK,0.6978931671566595,NA
LEF1,0.6976111998691901,NA
GPM6B,0.6965149715342235,NA
NCF2,0.6960361718661481,NA
F5,0.6955740000121424,NA
RASGRP1,0.6955192991912315,NA
PYHIN1,0.6954575009460033,NA
CAMK4,0.6954234876095211,NA
HLA-DOA,0.6936007980103807,NA
PURA,0.6916686768744037,NA
NR3C2,0.6904358453758755,NA
FN1,0.6890322940603962,NA
SLC36A1,0.6890137883095715,NA
LTF,0.6848385520995471,NA
SH2D1A,0.6831679595299273,NA
PLCG2,0.6831622446415188,NA
S100P,0.6828677382827101,NA
DOK3,0.6825185832474288,NA
SLC6A6,0.681848817423032,NA
NFKBIA,0.6814138707004869,NA
CHST15,0.6804335541407979,NA
GZMM,0.6792203139224543,NA
BPI,0.6791624859341883,NA
TMEM154,0.6780457555991195,NA
HLA-E,0.6777682741498915,NA
SKIL,0.6777427168904415,NA
MARCKS,0.6776889550168492,NA
CD34,0.6765624932701488,NA
STAT5B,0.6763289282147004,NA
SAMD3,0.6751379175234394,NA
APLP2,0.6720610258260389,NA
NOG,0.6707773171861492,NA
ZC3H8,0.6706278341445787,NA
CD177,0.6697469498546734,NA
SLPI,0.6691187198672923,NA
RNASE3,0.6661150500244873,NA
PTPN2,0.6643275892086388,NA
S1PR1,0.6633385603788194,NA
SPN,0.662233014640249,NA
STEAP4,0.6614976013511719,NA
THEM4,0.661111482169029,NA
ELOVL4,0.6598686207503187,NA
LRRN3,0.6569103894542307,NA
EOMES,0.6563602469074123,NA
CCNB2,0.6555114062221009,NA
LAT2,0.6554921235213166,NA
MAL,0.654800963425657,NA
SYK,0.6545063271164644,NA
EREG,0.6541401937745258,NA
DPP8,0.6533724477940605,NA
DACH1,0.6530659299937983,NA
PTPRCAP,0.6525145934920035,NA
HLA-C,0.6521359410349933,NA
LRRC4,0.6519747965446938,NA
CDC42,0.6519718323792322,NA
PARP9,0.649453290371601,NA
LAPTM5,0.6479771151279953,NA
AQP9,0.6471130060492962,NA
ITGB8,0.6460383062269461,NA
CIITA,0.6453671018985544,NA
LBH,0.6452989828639036,NA
TRIM22,0.6436848523331209,NA
ATP8B4,0.6435868168655337,NA
BCR,0.6429023988018281,NA
BCL3,0.6428720911082109,NA
BIN2,0.6412947873169278,NA
FPR1,0.6412569076587679,NA
SH2B1,0.6406050465446702,NA
CD8B,0.6405666983986,NA
GZMH,0.6397668522744238,NA
A2M,0.639414506348954,NA
GPR84,0.6384964256448943,NA
ITGA4,0.6384146527793847,NA
CACNB3,0.6380303530971472,NA
TCF3,0.6374719903528683,NA
LTB,0.6372862328680916,NA
FCAR,0.6364393383538849,NA
LAMC2,0.6354448053417449,NA
FBXO38,0.6331923005294684,NA
IL18,0.6321511853432248,NA
MXD1,0.6310290557228481,NA
ANKHD1,0.6291243858633303,NA
CDKN2B,0.6287971878892217,NA
ANXA1,0.6286961590634085,NA
CD1C,0.6284526141298258,NA
TRIM64B,0.6282517989206501,NA
MMP9,0.6281820610942962,NA
KCNJ2,0.6280264241365308,NA
GPR87,0.6270751034049096,NA
ZFPM1,0.6253773634824196,NA
TFE3,0.6245985538244508,NA
F12,0.6243520161329512,NA
CLEC4A,0.6232493591694803,NA
IFITM2,0.6224592788550347,NA
PLSCR1,0.6209771847439485,NA
C1orf162,0.6196510371531483,NA
PKNOX1,0.6173270908219528,NA
SLC24A1,0.6153935503498812,NA
IPO7,0.6152629931865666,NA
RGL4,0.6148730196479668,NA
DOCK4,0.614764176537187,NA
STX11,0.6140305047896155,NA
BCL2,0.612221458999445,NA
KLF5,0.6117450850534686,NA
PSEN1,0.6113337853801912,NA
SH2D2A,0.6112476079861943,NA
IQGAP3,0.6103838617696902,NA
IFITM1,0.6092478003654919,NA
S100A7,0.6074675903181854,NA
KRT23,0.6067494934625788,NA
RNASE2,0.6059921819662879,NA
GRB2,0.6044829210084093,NA
FZD5,0.6044718683692074,NA
ST6GALNAC2,0.6036429716387184,NA
HLA-DPA1,0.6029156104739121,NA
TIMP2,0.601716956754603,NA
C1R,0.6016633166534829,NA
IL5RA,0.601611382483549,NA
TECR,0.5999434091043627,NA
SORCS3,0.5996826648610893,NA
CCR9,0.5995286028191408,NA
TTYH2,0.5985373010994272,NA
AP3B1,0.5984734224877597,NA
PSMB8,0.598435923195581,NA
ADAMTS13,0.5967755650869399,NA
KIF5B,0.594372005061587,NA
GBP2,0.5936000209401064,NA
LBP,0.5904032687012537,NA
CASP1,0.5901032966932596,NA
MPP1,0.5889314432326275,NA
GBP6,0.5882023983049828,NA
DPYD,0.5881329502262271,NA
NLGN4Y,0.5844461247794466,NA
ZNF683,0.5835662789293605,NA
DPP4,0.583209173641019,NA
GPR89A,0.5827998015006826,NA
PTH2R,0.5825729272837615,NA
PIK3R5,0.5825161511444714,NA
ADM,0.5823936222400484,NA
CD28,0.581880384952351,NA
HLA-DPB1,0.5808293066629805,NA
DENND5B,0.5787233737914504,NA
LY75,0.5782254846398467,NA
FAS,0.5781207471463049,NA
IRAK1BP1,0.5777239678298072,NA
RAB27A,0.5760049090953496,NA
NKG7,0.574010743439644,NA
IGFBP7,0.5723467949202378,NA
TMCC3,0.5723060933772528,NA
HLX,0.5715210214650136,NA
ITGA6,0.5685121562076909,NA
SFTPD,0.5678457693873176,NA
NLRP6,0.5624665937886405,NA
ST6GAL1,0.562338856044854,NA
SLC4A7,0.5616817903482624,NA
PPP2CA,0.5610697853698081,NA
INHBA,0.5608726728769813,NA
SP100,0.5599823317051931,NA
TRAF3IP3,0.559091891249215,NA
RORC,0.5590687281940939,NA
RAB6A,0.5583554624794702,NA
LRRC25,0.5568756927016312,NA
SERPINA1,0.5551726088828018,NA
CD46,0.554795660679968,NA
AZU1,0.5545307284476766,NA
EGF,0.5544787894631977,NA
RAG1,0.5540666409319184,NA
KLF4,0.553534214701279,NA
SIRPB1,0.5529588146461766,NA
ZC3HAV1,0.5505042491154898,NA
XCL2,0.5500625179766374,NA
TARM1,0.5492257696700321,NA
DGAT2,0.5481703449304348,NA
VANGL1,0.5462401371899076,NA
TLR6,0.5444525646672498,NA
ZNF3,0.5432140424956268,NA
STAT4,0.5430970048273365,NA
INPP5D,0.5402911655649082,NA
GPR19,0.539171711851461,NA
ITM2A,0.5377157631318533,NA
PPP3CA,0.5373047112148419,NA
PLXDC2,0.5369223303045353,NA
GPR171,0.5359687537013809,NA
PRDX2,0.5336001105905454,NA
SLC19A2,0.532777552400623,NA
GIMAP7,0.5313327905738305,NA
CDH26,0.5308303584556445,NA
VAMP2,0.5305549583159624,NA
GAB1,0.5301341393664234,NA
LTA,0.5276311789898459,NA
CCDC150,0.5270537716752431,NA
PLXND1,0.5267859306095638,NA
SLA,0.5255928164455832,NA
ITPKB,0.5254126576427374,NA
GAPT,0.5251101305407324,NA
BIRC2,0.5246761369853264,NA
CASP6,0.5243759205118846,NA
GPR157,0.5243512054147491,NA
TBC1D8,0.5238927911913723,NA
RBBP8,0.5233090441629183,NA
KLRK1,0.5227546946496952,NA
ARL4C,0.5222090650706941,NA
OLR1,0.5220018256544368,NA
C3AR1,0.5214154176259522,NA
LRP1B,0.5201306840254726,NA
BEX1,0.5200970465737537,NA
IL34,0.5196713005925252,NA
LILRA5,0.5192764188823348,NA
AGTRAP,0.5192366798269092,NA
GNLY,0.5191547431965501,NA
FAM43A,0.5185083616859192,NA
NCAPD3,0.5147349020159966,NA
CLIC3,0.5137648829223694,NA
JUN,0.5129102597747148,NA
ADCY9,0.512773348418027,NA
IMPDH2,0.5115341557914208,NA
PID1,0.5072660632271452,NA
OLFM4,0.5048487618926164,NA
CD247,0.5048371625591016,NA
THBS1,0.5046298509458569,NA
SOCS2,0.5038351266584551,NA
GATA3,0.5025150346965458,NA
IFI27,0.5021671132441424,NA
IL27,0.5017101139759189,NA
PARP1,0.5015960344709629,NA
PAG1,0.5011972674591413,NA
RASGRP4,0.5007729763801645,NA
P2RY2,0.5003843107984405,NA
ADAP2,0.8180769075062688,PC2
AGPAT3,0.6707697984469282,PC2
ANXA5,0.8018717317704254,PC2
APOBEC3F,0.6149198552229524,PC2
ARHGEF10L,0.5574406908810049,PC2
ASXL1,0.5702371897697152,PC2
AXL,0.7303975179673852,PC2
BLVRB,0.6542350692994748,PC2
BRCA2,0.5135379989802299,PC2
BST2,0.6965838967811735,PC2
C1QA,0.511699111169897,PC2
C1QB,0.5902685358757304,PC2
C1QC,0.6140012103487181,PC2
C2,0.5227835195090693,PC2
CALR,0.6048762124101731,PC2
CCL8,0.557483358365507,PC2
CD300C,0.6908783316013106,PC2
CD33,0.5946078706010421,PC2
CD68,0.8233655518884737,PC2
CD74,0.6490635519812064,PC2
CD86,0.6605603179281152,PC2
CHAF1A,0.7110463590033809,PC2
CLPTM1,0.5490842964365732,PC2
CSK,0.7174009420397661,PC2
CST3,0.5783106321796408,PC2
CTSB,0.5422134288821719,PC2
CXCL10,0.5601233187379584,PC2
CXCL11,0.6232648208564968,PC2
CYBB,0.6521894222540502,PC2
CYFIP1,0.7805427095313527,PC2
DEFB1,0.7037124153891672,PC2
DHX58,0.7692832361651604,PC2
EIF2AK2,0.5151427483520455,PC2
EPB41L3,0.8536124666055702,PC2
EPHB2,0.5676251213804285,PC2
FCGR2C,0.5129883642829947,PC2
FCN1,0.6544896987651003,PC2
FOXO1,0.543114470330877,PC2
FXYD6,0.5865629655266228,PC2
GBP1,0.5065185559896277,PC2
GPBAR1,0.8137979699350848,PC2
GRAMD1C,0.7500875279305642,PC2
GRN,0.696152636173568,PC2
GSDMD,0.5152094166757086,PC2
HESX1,0.5734566927891399,PC2
HK1,0.6285808916462009,PC2
HMGB1,0.608689047522245,PC2
HYAL2,0.6490489724820064,PC2
IFI30,0.5039722259205874,PC2
IFI35,0.6776350559671029,PC2
IFI6,0.5139788717016297,PC2
IFIT1,0.5186131151874709,PC2
IFIT2,0.6635947220229209,PC2
IFIT3,0.5445009837642204,PC2
IFITM3,0.5618455251792377,PC2
IGF1R,0.5268953280712878,PC2
IL15RA,0.6683134371615773,PC2
IL4I1,0.7847054862418965,PC2
IRF7,0.779645946376581,PC2
IRF9,0.6119731537787323,PC2
ISG15,0.6504667560557084,PC2
ITGAL,0.6096397548672198,PC2
JAK1,0.507916303648536,PC2
JUP,0.7503322196471878,PC2
KDELR1,0.7634280733677208,PC2
KIT,0.7770888643132362,PC2
LACC1,0.7817285239435742,PC2
LAIR1,0.6531481399803254,PC2
LAMP3,0.7166872932796013,PC2
LGALS1,0.5634045705159058,PC2
LGALS9,0.6938465339794829,PC2
LGR4,0.649322017590892,PC2
LILRB1,0.8092643031112164,PC2
LILRB2,0.7507646528720684,PC2
LILRB4,0.808832131102783,PC2
LIMK1,0.5532486305557339,PC2
LTBR,0.6032259392640682,PC2
MARCO,0.7166077956349857,PC2
MERTK,0.5525233412186284,PC2
MS4A14,0.6058933648960634,PC2
MSR1,0.5687343625495773,PC2
MX1,0.5921693720636606,PC2
MX2,0.7035443187991052,PC2
MYO1G,0.6154944187150851,PC2
MYOF,0.713057819469063,PC2
NAGLU,0.51566112980531,PC2
NCF1,0.6456817114022504,PC2
OAS1,0.5115193331063219,PC2
OAS2,0.5213609640203614,PC2
OAS3,0.6168288779351409,PC2
OASL,0.5742970988568329,PC2
P2RY6,0.5574612121483431,PC2
PDIA3,0.5435775999528059,PC2
PILRA,0.5631924472911043,PC2
PLD3,0.5944415858815393,PC2
PLXNB2,0.7375144095220141,PC2
PML,0.6978268777058457,PC2
POU2F2,0.8347201923309056,PC2
PRAM1,0.6225906487884537,PC2
PSEN2,0.6204888975768407,PC2
PSMB10,0.557583579988174,PC2
RAB10,0.541723425843144,PC2
RAC2,0.5727626984512819,PC2
RASSF4,0.8066297001701835,PC2
RGL1,0.5756511667395543,PC2
RIN2,0.7405710322938835,PC2
RNF213,0.6443557664714594,PC2
RPL30,0.6436224464882705,PC2
SAC3D1,0.5307111913831197,PC2
SCARB2,0.5659860446666644,PC2
SERINC5,0.5012040759251221,PC2
SERPING1,0.6412200041113723,PC2
SIGLEC1,0.5141773319559645,PC2
SLC27A3,0.7901928807759274,PC2
SLC38A11,0.6355938964670889,PC2
SP140,0.6330211934317628,PC2
SRC,0.707616687882753,PC2
STAB1,0.7031830224410592,PC2
STAT2,0.5462441179056567,PC2
TFEC,0.5633617696780585,PC2
TGFB1,0.5287536124281262,PC2
TICAM1,0.5221218751176576,PC2
TLR7,0.6653728896288812,PC2
TMEM51,0.6283812629304643,PC2
TNFSF10,0.6499545124985946,PC2
TNS3,0.5413858091824877,PC2
TPD52,0.5161043407707373,PC2
TRIM26,0.7297778472960277,PC2
TSPAN2,0.6242161581411705,PC2
TTYH3,0.7459950405550209,PC2
TUBG1,0.7031053790589359,PC2
TYMP,0.7658061381282644,PC2
UBA7,0.5818983056592049,PC2
UNC93B1,0.8493140212379017,PC2
USP18,0.6341117936973655,PC2
ZBP1,0.5242653687219079,PC2
ZBTB7A,0.5393808419560845,PC2
