genes,cos2,dimension
SMARCD3,0.9687581489769593,NA
SLC22A15,0.9662850282266108,NA
QPCT,0.9419184570687996,NA
HMGB2,0.9389969200390003,NA
IRAK3,0.938790168589869,NA
MAPK14,0.935574484540505,NA
ZNF608,0.9343320737789702,NA
RNF144B,0.9285298885553819,NA
BMX,0.9268545009008717,NA
CD4,0.9264752487016733,NA
CD5,0.924495899234447,NA
CLEC10A,0.9232858895569072,NA
IL18BP,0.9219628739990948,NA
CD3E,0.9215366519876451,NA
JAK3,0.9205764442582153,NA
REPS2,0.9191569529966107,NA
MEGF9,0.9183210519108611,NA
RBP7,0.9169542563726736,NA
GCA,0.9153333712728153,NA
CRTAM,0.9152626673378073,NA
ENTPD1,0.9144069812073536,NA
BCL6,0.9140477978352254,NA
FLT3LG,0.9128759510189424,NA
SIT1,0.9128635319266128,NA
SMAD3,0.911579005382988,NA
CD6,0.9108382363992775,NA
LFNG,0.9092089657423683,NA
LIN7A,0.908532887119898,NA
LRRC8A,0.9084491092957415,NA
TTLL1,0.9060842062470266,NA
KMT2A,0.9047664232417607,NA
IL18RAP,0.9039144419351746,NA
RRAGD,0.9026044470606909,NA
RC3H1,0.9023863660711047,NA
ZAP70,0.9021936467344671,NA
MATK,0.902058060486006,NA
ARRB2,0.9014308548663513,NA
CD96,0.9009759494845145,NA
CCL5,0.900825853958581,NA
UPP1,0.9006362000459252,NA
ROPN1L,0.9000151560326651,NA
MFSD6,0.8998275248950134,NA
RNASE4,0.899234307082559,NA
CR1,0.8985101758430656,NA
TLR10,0.8984065721253276,NA
NLRC3,0.8981482384134565,NA
LAMP2,0.895257865151561,NA
ACSL1,0.8951972427378705,NA
ENG,0.8949979484067706,NA
MAP3K8,0.8948574152014337,NA
IL2RB,0.8938734166021713,NA
PLD4,0.8935794303802915,NA
ATF2,0.892881569076222,NA
HAL,0.8926053128727144,NA
CCNB2,0.8920602148144263,NA
CD3G,0.8919493064318524,NA
RAB32,0.8902704598899609,NA
SLC37A3,0.8890297415187406,NA
IL1R1,0.8887080615570133,NA
CEBPB,0.8862441130068596,NA
S100A8,0.8858262846635437,NA
ADD2,0.8853298682392801,NA
GALNT6,0.8850610167506167,NA
CXCR3,0.8845804271331336,NA
FAR2,0.8844747197869245,NA
PRKACB,0.8840563965488678,NA
TRIM65,0.8839068755147828,NA
PLBD1,0.8836546097445739,NA
TSPAN15,0.8836399268813547,NA
RNF130,0.8830524877256528,NA
MBOAT2,0.8825684840358221,NA
TOX,0.8825594895629488,NA
ACE,0.8795127725198257,NA
ADCY9,0.8785721720409059,NA
CD58,0.8783120634230313,NA
STXBP3,0.8778462267682011,NA
GZMH,0.8777327390546263,NA
RHOA,0.8774866695154175,NA
TM6SF1,0.876417862162003,NA
GLT1D1,0.875938955279821,NA
ZNF683,0.8751791189214994,NA
B2M,0.8750213492709566,NA
IL4R,0.874549957031137,NA
PADI4,0.8745383306472437,NA
DUSP1,0.8744415713293485,NA
CLEC4E,0.8743803017252103,NA
TMEM71,0.8726096146344869,NA
CDA,0.8706771276176035,NA
CLEC4D,0.8704987488396543,NA
ADAM17,0.870331772682884,NA
CARD11,0.8690359004276343,NA
CTSW,0.868984939354183,NA
ARG1,0.8682122795090289,NA
IL1R2,0.8675667955706907,NA
LHFPL2,0.8675262374275863,NA
LY96,0.8673329370652205,NA
LCK,0.8668216014611307,NA
FYN,0.865870375596863,NA
ITPR3,0.865865926395388,NA
SLC22A4,0.8657982978183298,NA
S100A9,0.865265968497664,NA
TRAF1,0.8649556775070464,NA
CD2,0.8621191580649397,NA
BCL2A1,0.8619582350682103,NA
IL21R,0.8618827801901711,NA
TECR,0.861552222458817,NA
SPIRE1,0.8612432206341583,NA
FGD4,0.8599963613499811,NA
S100P,0.8596128676348984,NA
CD81,0.8587316089291674,NA
OTUD7B,0.857245783175042,NA
BASP1,0.8570503481522618,NA
ZFPM1,0.8565537078518729,NA
STXBP1,0.8560318999988245,NA
STAT5B,0.8550277905595169,NA
SH2D1A,0.8538500993363433,NA
IFNGR2,0.8537292914631488,NA
CDH26,0.8527731009724552,NA
CDK14,0.8526814327931982,NA
PYHIN1,0.8523895980713305,NA
TNFSF11,0.8515201591227699,NA
KRT23,0.8513127469741093,NA
PPARG,0.8508403997596237,NA
MXD1,0.8503778311828827,NA
PTPRCAP,0.8500241404627926,NA
TTYH2,0.8496954231888516,NA
CLEC7A,0.8494354191126895,NA
MFSD1,0.8492359296972989,NA
IL7R,0.8478193843927726,NA
ST3GAL6,0.8455801662560225,NA
HLA-DPA1,0.8437430742101667,NA
IL27RA,0.841702054133386,NA
GPR89B,0.8413183841534922,NA
TGFA,0.8407118344450063,NA
LCP1,0.8405596956820469,NA
CD53,0.8402319576436807,NA
PYGL,0.8392513483283799,NA
TLR2,0.8381606746272133,NA
CACNB3,0.8379734910696319,NA
RBPJ,0.8377096236095342,NA
SLC26A8,0.8376925093784934,NA
HLA-DPB1,0.8372138915588425,NA
A2M,0.8365627535941907,NA
VIM,0.8365305613545717,NA
SCPEP1,0.8361349765784825,NA
PLCG2,0.8348294210389974,NA
NAV1,0.8340346747382015,NA
LPCAT2,0.8335502884654321,NA
FKBP1A,0.8334717979244816,NA
HLA-B,0.8323974240799519,NA
PIK3CG,0.8321197513639402,NA
PTPRC,0.831564301238744,NA
STAT3,0.8310969478292158,NA
CD55,0.8286660307371639,NA
IL13RA1,0.8282452814743887,NA
DRAM1,0.827562721624171,NA
ABL1,0.8252498861756199,NA
JMJD6,0.8252225614004556,NA
DENND3,0.8250158942962914,NA
PRDX2,0.8244477586713799,NA
PFKFB4,0.8240416328593371,NA
ITGAM,0.8239123473537716,NA
DGAT2,0.8233926683345554,NA
CCR7,0.8225248662635457,NA
CREB5,0.8215864649684157,NA
SP3,0.8213637683304489,NA
RBM47,0.8207231124780273,NA
S100A12,0.8181458625791408,NA
FBXO38,0.8174294203557355,NA
CA4,0.8167723720673883,NA
MCTP1,0.8166778533408644,NA
TGFBR3,0.816340718777646,NA
ITGB7,0.8159458808776482,NA
NAIP,0.8156642043788692,NA
CST7,0.8151702150039631,NA
SYK,0.8137630077164256,NA
NKG7,0.8128690882999962,NA
CD160,0.8127671478860495,NA
SPOCK2,0.8125471516637826,NA
RNF24,0.8117598056136125,NA
PTPN4,0.8117425982937686,NA
B3GNT5,0.8099544461844849,NA
S100A11,0.8091170093664308,NA
HDAC4,0.8087460543463849,NA
BRI3,0.807844760144848,NA
CSRP2,0.80764994780059,NA
LRRK2,0.807614333548607,NA
ADAM9,0.8074145935266651,NA
STEAP4,0.8065097155336194,NA
SAMSN1,0.806476231029424,NA
FCER1A,0.8044445803130545,NA
SH2D2A,0.8033396218359473,NA
SARM1,0.8032825031764697,NA
EREG,0.8028991933353025,NA
SELP,0.8013592291356598,NA
IFNGR1,0.8007932422226948,NA
RFC2,0.8000237206047819,NA
AQP9,0.80001366456754,NA
TESPA1,0.7999805488582217,NA
MYBL1,0.7998904834351528,NA
TBXAS1,0.7994273074097028,NA
SOS2,0.7985731699371832,NA
ZMYND11,0.7979270178318587,NA
PGD,0.7979101859059659,NA
CHIT1,0.7979064491276225,NA
CHST15,0.7963241192063847,NA
ANXA3,0.7960465385828693,NA
SLC36A1,0.7951385668544665,NA
CHUK,0.7941242529237927,NA
NPL,0.793874710744909,NA
TRIM25,0.7924733602830523,NA
ADARB1,0.7910056818824418,NA
CEBPD,0.7886742170858895,NA
ALOX5,0.7882106097913856,NA
TCF7,0.7881134909103722,NA
UBASH3A,0.7868111911372482,NA
DACH1,0.7867863834679036,NA
DTX3,0.786744954903528,NA
PLCG1,0.7859241244251077,NA
ZBTB46,0.7841110798646773,NA
TCN1,0.7835527924382862,NA
ATP8B2,0.78327374096097,NA
ARHGDIB,0.7824743600575159,NA
MGST1,0.782326414838955,NA
CCND3,0.7820999003310111,NA
CD24,0.7820181844685155,NA
FPR1,0.781670446656825,NA
SLC8A1,0.7815457326388561,NA
RNF135,0.7806091701220171,NA
VNN2,0.7785293108376647,NA
ACTR3,0.778472795848787,NA
IL32,0.7784158995447186,NA
CSTA,0.7770726231024829,NA
TMCC3,0.7763970442193983,NA
GATA3,0.7763048660115941,NA
BCR,0.7758929903951614,NA
TNFRSF17,0.7749271209498386,NA
DPYD,0.7718793657723922,NA
CDC42,0.7715828425863477,NA
