genes,cos2,dimension
IFITM3,0.8862652395437286,NA
SECTM1,0.8832719665122193,NA
SLC31A2,0.8308150958736458,NA
SLC2A6,0.8267388564933448,NA
GPBAR1,0.807906846651639,NA
RNF135,0.8044971192480402,NA
CST3,0.7925815609120193,NA
TYMP,0.79154714211112,NA
CD68,0.7889059749211799,NA
LIPA,0.7809083998320829,NA
ADAP2,0.7739994312694136,NA
IL4I1,0.767999330293254,NA
IFI30,0.7672499365722676,NA
UNC93B1,0.7599924279437151,NA
PRAM1,0.7572361503537498,NA
LILRA5,0.7473115406797686,NA
NCF2,0.7413342199164644,NA
PILRA,0.7392055838818721,NA
FCGR1A,0.738158859950355,NA
SORT1,0.730568396840932,NA
STX11,0.7298187605514523,NA
EMILIN2,0.7294141324104636,NA
TTYH3,0.7282744554172901,NA
DSE,0.7273821559715784,NA
FCN1,0.7252636714480337,NA
SERPINA1,0.7225369932077659,NA
PLBD1,0.7224356491666741,NA
TBXAS1,0.7220638288953359,NA
LGALS9,0.7215772958407636,NA
GRN,0.7214992952683992,NA
SERPING1,0.7206217678399904,NA
PRDX1,0.720445587433882,NA
LMO2,0.7200527007099932,NA
CD74,0.7182625684792937,NA
HCK,0.7144931562210727,NA
AIF1,0.7130459138586929,NA
BLK,0.7119066056790171,NA
BANK1,0.7114916469009975,NA
DYSF,0.7059987711400277,NA
NCF1,0.7059317138623975,NA
CD36,0.7057846604097486,NA
SCPEP1,0.7024207584404636,NA
CTSB,0.697670368769106,NA
HK1,0.6946069617291901,NA
SLC15A3,0.6925327379600846,NA
IFI6,0.6854117608109984,NA
WAS,0.6839814053193632,NA
CD4,0.6832134301045468,NA
BST1,0.6812545315136624,NA
CD53,0.6809673671811382,NA
TNFSF13B,0.6787636017861006,NA
C1QC,0.6744100207704586,NA
CD300C,0.6736760166461586,NA
CLEC6A,0.6653406646440799,NA
IGSF6,0.6644905548451403,NA
C1QB,0.6634547371669035,NA
CTSS,0.658349047910878,NA
HLA-DPA1,0.6562251770654822,NA
SOCS2,0.6506099095685275,NA
JUP,0.6478669053644782,NA
NRROS,0.6475616987399087,NA
EPB41L3,0.6470765839138249,NA
CLNK,0.6448940503617252,NA
DRAM1,0.643469723161159,NA
LCP1,0.6393235960935761,NA
SIGLEC1,0.631505010675587,NA
PLXNB2,0.6312037793522955,NA
PLXDC2,0.6279012145945299,NA
HMOX1,0.6276140217281985,NA
IFI35,0.6273001469857591,NA
LILRB2,0.6261440674455716,NA
IFI27,0.6248365557926265,NA
USP18,0.6222836443299568,NA
PLD3,0.6221452596862646,NA
MAFB,0.6176296111096526,NA
CSF1R,0.6164053799324761,NA
CLPTM1,0.6142624937749167,NA
MARCKS,0.6132890213089437,NA
CCR1,0.6117515133893816,NA
OASL,0.6092050236534827,NA
OSBPL10,0.6081376470049982,NA
DEFB1,0.6052023089215722,NA
CTSC,0.6050870495717507,NA
PYCARD,0.6032512292550795,NA
MS4A1,0.6030090815614683,NA
CSK,0.6012606749391227,NA
FBP1,0.6006725340253578,NA
SCIMP,0.5990091780652808,NA
TNFSF13,0.5980855276282814,NA
ALDH1A1,0.597669048558315,NA
HLA-DMB,0.5961716512294887,NA
SCARB2,0.5911226790377939,NA
GCH1,0.5894458383788337,NA
HESX1,0.589094910488972,NA
BCL2A1,0.5862312449016575,NA
OSCAR,0.582817741873173,NA
TMEM156,0.5822959330750915,NA
LGALS1,0.5817794242789395,NA
TRAF1,0.5816475464604572,NA
RPL22,0.580128585610466,NA
MX1,0.5780848124903876,NA
COLEC12,0.5753732225775641,NA
CAPG,0.5744500547267152,NA
CELSR1,0.5741640698035683,NA
LCP2,0.5739831559315844,NA
KMO,0.57394639021678,NA
PNMA1,0.5735756493126041,NA
ENPP1,0.5732153453606327,NA
IRF2,0.5729612291532306,NA
CD1C,0.5729503669534758,NA
RAB10,0.5727519939425394,NA
CD22,0.5726603384626573,NA
BTK,0.5725592062615036,NA
LY86,0.5723026442869656,NA
HNMT,0.5719218314702293,NA
LILRA6,0.5718005067433621,NA
ADGRE5,0.5715586437897469,NA
PAK1,0.5714925387984948,NA
PAX5,0.5713266839208772,NA
PGD,0.5711621832003624,NA
ALDH2,0.5710850317783689,NA
