"genes","cos2","dimension"
"HMGB2",0.923827278406126,"PC1"
"TESPA1",0.923185153406768,"PC1"
"IL18RAP",0.914258204382346,"PC1"
"BCL6",0.879926923141046,"PC1"
"SPN",0.879561942344807,"PC1"
"RC3H1",0.875244137738028,"PC1"
"ACE",0.86732500901488,"PC1"
"CD6",0.864242071508096,"PC1"
"JAK3",0.860967003784996,"PC1"
"BST1",0.849678438945042,"PC1"
"TCF7",0.848722466417772,"PC1"
"MS4A2",0.847796267194609,"PC1"
"ANXA3",0.846898301759434,"PC1"
"FCER1A",0.832140198774279,"PC1"
"ADAM17",0.831127934110444,"PC1"
"IL7R",0.827350393367784,"PC1"
"TTLL1",0.825119714897258,"PC1"
"CD58",0.825081752273995,"PC1"
"ADARB1",0.815520706778474,"PC1"
"GATA3",0.815478962516449,"PC1"
"ZAP70",0.808339660420384,"PC1"
"TRIM65",0.80591766456611,"PC1"
"HDAC4",0.80308004366502,"PC1"
"ITGB7",0.802337081703538,"PC1"
"SP3",0.790876779408721,"PC1"
"SARM1",0.790536246023506,"PC1"
"CD3G",0.788453773600332,"PC1"
"PLCG1",0.787642550105985,"PC1"
"MFSD6",0.784863479108323,"PC1"
"ACTR3",0.779063072948078,"PC1"
"MEN1",0.775458741978736,"PC1"
"CD55",0.774291219947274,"PC1"
"STXBP3",0.772651191281801,"PC1"
"FBXO38",0.771136265468148,"PC1"
"IFNGR2",0.768723715829677,"PC1"
"ZFPM1",0.768267306588412,"PC1"
"ITGB8",0.765862315473357,"PC1"
"RNF135",0.765557158770752,"PC1"
"ITGA3",0.76476567768552,"PC1"
"STAT3",0.761695052755355,"PC1"
"OTUD7B",0.757723221371415,"PC1"
"ADD2",0.757441802141457,"PC1"
"CD40LG",0.751705273398482,"PC1"
"SOS2",0.7438377531486,"PC1"
"CCR7",0.743813565114553,"PC1"
"SELL",0.74051054726777,"PC1"
"TRIM64B",0.739803520014465,"PC1"
"HP",0.737494942820808,"PC1"
"BCL10",0.735912970117438,"PC1"
"ANKHD1",0.735319917683683,"PC1"
"CRTAM",0.735154238497974,"PC1"
"IL2RB",0.731213452840238,"PC1"
"SLC15A4",0.730140444712632,"PC1"
"CD96",0.730013769998519,"PC1"
"FKBP1A",0.727749931084453,"PC1"
"VNN1",0.727323523423946,"PC1"
"TMEM33",0.722350920155499,"PC1"
"CD24",0.719442853124448,"PC1"
"MAP2K6",0.716507595993783,"PC1"
"ATF2",0.712867798265972,"PC1"
"GZMM",0.707515682133695,"PC1"
"CRISP3",0.704902189832471,"PC1"
"S1PR1",0.703032732730909,"PC1"
"STXBP1",0.693648634484618,"PC1"
"B2M",0.690671919473881,"PC1"
"GPR89B",0.687428541191743,"PC1"
"BMX",0.681371030689471,"PC1"
"VIM",0.676990984921667,"PC1"
"LILRA6",0.671060871359828,"PC1"
"CCNB2",0.669632120723299,"PC1"
"FCER1G",0.66714796295109,"PC1"
"IL5RA",0.665633059327681,"PC1"
"SKIL",0.665379384940956,"PC1"
"CD177",0.664853943956996,"PC1"
"CDC42",0.664524425000171,"PC1"
"ALOX5",0.660661766311689,"PC1"
"LCN2",0.658975707531549,"PC1"
"KMT2A",0.655989413470921,"PC1"
"APBB1IP",0.653754427907894,"PC1"
"CD81",0.652925134787598,"PC1"
"IL1R1",0.648429093513574,"PC1"
"IL1R2",0.646644514789275,"PC1"
"NLRC3",0.64641914567652,"PC1"
"S100A12",0.645130569301717,"PC1"
"DEFA4",0.640794360084579,"PC1"
"CEACAM8",0.638394605496994,"PC1"
"STXBP4",0.638139223362187,"PC1"
"IFNGR1",0.630654304264928,"PC1"
"NCF2",0.627116228771939,"PC1"
"ITGAM",0.62199262402233,"PC1"
"ZC3H8",0.617690841652755,"PC1"
"CACNB3",0.617669077786327,"PC1"
"CD247",0.61470067365728,"PC1"
"DPP4",0.610693140741822,"PC1"
"ZC3HAV1",0.607589156477739,"PC1"
"IL10RB",0.607059098224343,"PC1"
"GPR89A",0.600612558520559,"PC1"
"GPR15",0.593661408835363,"PC1"
"ERCC1",0.59178637056902,"PC1"
"RASGRP1",0.588645007037343,"PC1"
"IFITM2",0.587132715087768,"PC1"
"TARM1",0.58607494237912,"PC1"
"RPL22",0.580306872413403,"PC1"
