"","condition","genes","base_mean","log2fold_change","lfc_se","stat","pvalue","padj","direction","direction_wide","...11","vaccine","day","dose","infection","type","regimen","disease_vac","severity","gse_id","variant","prior_infection","previous_vaccination","pca_comp"
"1","BNT-I (D1)","CD3G",1717.37702858618,-1.7210956315613,0.413200498231713,-4.16527966187531,3.10971131627152e-05,0.00281406120137331,"DOWN","DOWN",22,"BNT",1,1,1,"I","V-I","I","MI","GSE201530","Omicron","No","Yes","Comp1"
"2","BNT-I (D10, mild)","FCER1A",976.290332345122,-5.43776095434701,0.864378118130579,-6.29095165679049,3.1552559462263e-10,9.94016333796239e-08,"DOWN","DOWN",23,"BNT",10,1,1,"RNA","V-I","I","MI","GSE189039","Beta","No","Yes","Comp1"
"3","BNT-I (D10, mild)","ETS1",31137.6747429764,-2.99357135614018,0.514974391936429,-5.81304896517984,6.13451078863802e-09,9.17978418596442e-07,"DOWN","DOWN",23,"BNT",10,1,1,"RNA","V-I","I","MI","GSE189039","Beta","No","Yes","Comp1"
"4","BNT-I (D10, mild)","MAP2K6",1172.13638867581,2.39208884626038,0.461098214416382,5.18780765457547,2.12784210496603e-07,1.2027960990142e-05,"UP","UP",23,"BNT",10,1,1,"RNA","V-I","I","MI","GSE189039","Beta","No","Yes","Comp1"
"5","BNT-I (D10, mild)","PLCG1",4849.18609055376,-2.67587173722506,0.517658012689811,-5.1691882896218,2.35112928172843e-07,1.29110790556567e-05,"DOWN","DOWN",23,"BNT",10,1,1,"RNA","V-I","I","MI","GSE189039","Beta","No","Yes","Comp1"
"6","BNT-I (D10, mild)","TESPA1",2760.98792013516,-3.24787053945162,0.630332511843178,-5.15263052187235,2.56857723110566e-07,1.38510334351244e-05,"DOWN","DOWN",23,"BNT",10,1,1,"RNA","V-I","I","MI","GSE189039","Beta","No","Yes","Comp1"
"7","BNT-I (D10, mild)","STXBP4",142.686944071633,-2.2756715767886,0.449526304335034,-5.0623768950627,4.1406143042407e-07,1.95152260003282e-05,"DOWN","DOWN",23,"BNT",10,1,1,"RNA","V-I","I","MI","GSE189039","Beta","No","Yes","Comp1"
"8","BNT-I (D10, mild)","CD6",3526.76633631177,-3.38831077397836,0.684155992096707,-4.95254125246251,7.32505211183187e-07,3.07759762732288e-05,"DOWN","DOWN",23,"BNT",10,1,1,"RNA","V-I","I","MI","GSE189039","Beta","No","Yes","Comp1"
"9","BNT-I (D10, mild)","TCF7",6438.93543745272,-3.83121697043587,0.773927417744554,-4.95035694897737,7.4077489924075e-07,3.08633291546779e-05,"DOWN","DOWN",23,"BNT",10,1,1,"RNA","V-I","I","MI","GSE189039","Beta","No","Yes","Comp1"
"10","BNT-I (D10, mild)","CD3G",1046.22017047592,-3.31578940188731,0.692761623371468,-4.7863352847843,1.69854214978367e-06,5.56582507001194e-05,"DOWN","DOWN",23,"BNT",10,1,1,"RNA","V-I","I","MI","GSE189039","Beta","No","Yes","Comp1"
"11","BNT-I (D10, mild)","RPL22",17696.2089471969,-1.57339580762066,0.331302196736541,-4.7491257924615,2.04297843347248e-06,6.43649405820474e-05,"DOWN","DOWN",23,"BNT",10,1,1,"RNA","V-I","I","MI","GSE189039","Beta","No","Yes","Comp1"
"12","BNT-I (D10, mild)","TRAT1",1325.94970098391,-2.93740401347071,0.623967211964824,-4.70762558856426,2.50618877243346e-06,7.42634187897485e-05,"DOWN","DOWN",23,"BNT",10,1,1,"RNA","V-I","I","MI","GSE189039","Beta","No","Yes","Comp1"
"13","BNT-I (D10, mild)","IL18RAP",24363.4299611084,2.88681112785842,0.643132516811452,4.48867232241773,7.16684375890189e-06,0.00016066793180849,"UP","UP",23,"BNT",10,1,1,"RNA","V-I","I","MI","GSE189039","Beta","No","Yes","Comp1"
"14","BNT-I (D10, mild)","BCL6",45729.6550203177,2.59559626871128,0.58342028540475,4.44893044284633,8.62989560179116e-06,0.00018404636023914,"UP","UP",23,"BNT",10,1,1,"RNA","V-I","I","MI","GSE189039","Beta","No","Yes","Comp1"
"15","BNT-I (D10, mild)","HMGB2",14329.4599585277,2.30571417535083,0.56546673028021,4.07754170472287,4.55143679135459e-05,0.00062159073717072,"UP","UP",23,"BNT",10,1,1,"RNA","V-I","I","MI","GSE189039","Beta","No","Yes","Comp1"
"16","BNT-I (D10, mild)","VNN1",3644.91551676876,2.81841292062877,0.697860461398586,4.03864823489265,5.3760115134053e-05,0.00070774955092535,"UP","UP",23,"BNT",10,1,1,"RNA","V-I","I","MI","GSE189039","Beta","No","Yes","Comp1"
"17","BNT-I (D10, mild)","ADARB1",1485.69860462372,-1.36693428582407,0.349501299249472,-3.91109929708261,9.18769867226235e-05,0.00106201301574527,"DOWN","DOWN",23,"BNT",10,1,1,"RNA","V-I","I","MI","GSE189039","Beta","No","Yes","Comp1"
"18","BNT-I (D10, mild)","ALOX5",16169.0313323395,1.7546133503953,0.522759808031242,3.35644271697805,0.00078952074283842,0.00538232700987573,"UP","UP",23,"BNT",10,1,1,"RNA","V-I","I","MI","GSE189039","Beta","No","Yes","Comp1"
"19","BNT-I (D10, mild)","RC3H1",9954.5389182594,1.00026462545893,0.336895031981866,2.96906908829919,0.0029870342952207,0.0144538331552892,"UP","UP",23,"BNT",10,1,1,"RNA","V-I","I","MI","GSE189039","Beta","No","Yes","Comp1"
"20","BNT-I (D10, mild)","PPARG",38.1351732077544,2.9434014787897,1.03516668915707,2.84340822557428,0.00446338615570161,0.0195915485695267,"UP","UP",23,"BNT",10,1,1,"RNA","V-I","I","MI","GSE189039","Beta","No","Yes","Comp1"
"21","BNT-I (D10, severe)","FCER1A",976.290332345122,-5.03438080263932,0.541543092946936,-9.29636231762007,1.45332949945318e-20,2.74468218784256e-17,"DOWN","DOWN",24,"BNT",10,1,1,"RNA","V-I","I","S","GSE189039","Beta","No","Yes","Comp1"
"22","BNT-I (D10, severe)","IL18RAP",24363.4299611084,3.29910466527199,0.410511880581696,8.03656318203789,9.23933176484473e-16,4.26653327542345e-13,"UP","UP",24,"BNT",10,1,1,"RNA","V-I","I","S","GSE189039","Beta","No","Yes","Comp1"
"23","BNT-I (D10, severe)","MAP2K6",1172.13638867581,2.33360895290792,0.294517798150524,7.92349042252193,2.30934555494916e-15,8.67906397092365e-13,"UP","UP",24,"BNT",10,1,1,"RNA","V-I","I","S","GSE189039","Beta","No","Yes","Comp1"
"24","BNT-I (D10, severe)","HMGB2",14329.4599585277,2.64091667368415,0.360934908831129,7.3168779441053,2.53806504665237e-13,3.95504819099074e-11,"UP","UP",24,"BNT",10,1,1,"RNA","V-I","I","S","GSE189039","Beta","No","Yes","Comp1"
"25","BNT-I (D10, severe)","VNN1",3644.91551676876,2.98492516433482,0.445496160764166,6.70022646034644,2.08096792066485e-11,1.40443352589377e-09,"UP","UP",24,"BNT",10,1,1,"RNA","V-I","I","S","GSE189039","Beta","No","Yes","Comp1"
"26","BNT-I (D10, severe)","TRAT1",1325.94970098391,-2.51074983140805,0.39633936253715,-6.33484853822136,2.37574538749693e-10,1.03256035923251e-08,"DOWN","DOWN",24,"BNT",10,1,1,"RNA","V-I","I","S","GSE189039","Beta","No","Yes","Comp1"
"27","BNT-I (D10, severe)","RPL22",17696.2089471969,-1.33697172562073,0.211376123219015,-6.32508395584227,2.53094936485984e-10,1.09504980759071e-08,"DOWN","DOWN",24,"BNT",10,1,1,"RNA","V-I","I","S","GSE189039","Beta","No","Yes","Comp1"
"28","BNT-I (D10, severe)","PPARG",38.1351732077544,4.1644661606272,0.663234848454982,6.27902193367613,3.40709529825823e-10,1.41656823387669e-08,"UP","UP",24,"BNT",10,1,1,"RNA","V-I","I","S","GSE189039","Beta","No","Yes","Comp1"
"29","BNT-I (D10, severe)","PLCG1",4849.18609055376,-2.05513993811033,0.329766407669848,-6.23210821451489,4.60199385034716e-10,1.80381219078945e-08,"DOWN","DOWN",24,"BNT",10,1,1,"RNA","V-I","I","S","GSE189039","Beta","No","Yes","Comp1"
