"genes","cos2","dimension"
"S100A9",0.948484524617307,"PC1"
"SMARCD3",0.930885951746103,"PC1"
"S100A8",0.915212726050212,"PC1"
"LY96",0.915088603264258,"PC1"
"QPCT",0.914461492569492,"PC1"
"TRIM25",0.912235656043217,"PC1"
"S100A11",0.909891687821425,"PC1"
"RNF130",0.907187698951219,"PC1"
"MCTP1",0.902513341310834,"PC1"
"MAPK14",0.900792354102115,"PC1"
"CD58",0.899953953194931,"PC1"
"BRI3",0.899615245691722,"PC1"
"SLC22A4",0.895676089566017,"PC1"
"RRAGD",0.895244646930011,"PC1"
"LYN",0.894533227984476,"PC1"
"BCL6",0.892291713981299,"PC1"
"FYN",0.888539632432516,"PC1"
"IFNGR2",0.888358857316658,"PC1"
"PRKACB",0.887918716756997,"PC1"
"LAMP2",0.887895510285172,"PC1"
"ANXA3",0.887171722838988,"PC1"
"CLEC4D",0.884494468287838,"PC1"
"CD96",0.877885611433575,"PC1"
"RAB32",0.875136147401315,"PC1"
"UPP1",0.874777864623651,"PC1"
"DRAM1",0.874635309657235,"PC1"
"IL7R",0.87373009437357,"PC1"
"SLC22A15",0.87248229780208,"PC1"
"LPCAT2",0.8722992220686,"PC1"
"JAK3",0.872000266113533,"PC1"
"LIN7A",0.871328115968342,"PC1"
"ACSL1",0.870237375566388,"PC1"
"ARRB2",0.865478198110874,"PC1"
"VASP",0.863985667912367,"PC1"
"PLBD1",0.86357525087546,"PC1"
"RAB31",0.860134284776933,"PC1"
"FGD4",0.859965155144938,"PC1"
"CD3G",0.856726766569596,"PC1"
"BST1",0.856172945773491,"PC1"
"ATP8B2",0.85498479423216,"PC1"
"CD53",0.854336350481487,"PC1"
"TGFA",0.854031854016991,"PC1"
"GLT1D1",0.85371102434255,"PC1"
"STX11",0.8511887996949,"PC1"
"IRAK3",0.849416954437899,"PC1"
"APBB1",0.848806917750137,"PC1"
"NELL2",0.846459823239654,"PC1"
"ITGAM",0.846380031164917,"PC1"
"PRRG4",0.844175514563931,"PC1"
"TMEM55A",0.843332405649337,"PC1"
"STAT4",0.842708702483241,"PC1"
"RBM47",0.840563271481007,"PC1"
"CSTA",0.839269941252314,"PC1"
"IL18RAP",0.838953438180775,"PC1"
"ROPN1L",0.837565555792427,"PC1"
"CD2",0.83738912754632,"PC1"
"ETS1",0.835907204288196,"PC1"
"BCL2A1",0.835647330273874,"PC1"
"CD6",0.835581718795826,"PC1"
"TRAF1",0.83487601487447,"PC1"
"CDA",0.83366430366862,"PC1"
"PLCG1",0.833105526053854,"PC1"
"ANKH",0.833008825642657,"PC1"
"PGD",0.831769645512103,"PC1"
"PRKCH",0.83132852765081,"PC1"
"LCP1",0.831075929931949,"PC1"
"ALOX5",0.830566596753435,"PC1"
"HMGB2",0.83002819491405,"PC1"
"NLRC3",0.827707709119795,"PC1"
"UBASH3A",0.827513916313392,"PC1"
"TCF7",0.82712149979429,"PC1"
"CCR7",0.825916641788475,"PC1"
"DTX3",0.824508278773816,"PC1"
"GCA",0.823995629731465,"PC1"
"SLC26A8",0.823553010816723,"PC1"
"ITK",0.822854012092831,"PC1"
"MEF2A",0.819219494488128,"PC1"
"FCER1G",0.81839232102635,"PC1"
"RNF144B",0.817912867976822,"PC1"
"TLR2",0.816582411047774,"PC1"
"ADARB1",0.813515352933543,"PC1"
"MBOAT2",0.811961159845941,"PC1"
"CLEC4E",0.811873145648068,"PC1"
"S100A12",0.810396158044707,"PC1"
"RASGRP1",0.809614614647971,"PC1"
"RNF24",0.80873201828576,"PC1"
"SORT1",0.808589146405535,"PC1"
"WDFY3",0.808142959041571,"PC1"
"TRIB1",0.807448967763547,"PC1"
"LAT2",0.807271905190321,"PC1"
"DYSF",0.80718455778306,"PC1"
"HLA-B",0.806411608977739,"PC1"
"LY9",0.805020541001694,"PC1"
"CHIT1",0.803237222023827,"PC1"
"CD40LG",0.802413543314713,"PC1"
"TXK",0.799444802398673,"PC1"
"PFKFB4",0.799320551901387,"PC1"
"RBP7",0.799255781247395,"PC1"
"LRRK2",0.79843366854095,"PC1"
"CD3E",0.796091758373215,"PC1"
"CD3D",0.793920124203079,"PC1"
"FAR2",0.793056305173092,"PC1"
"GRINA",0.792974872301594,"PC1"
"ADAM9",0.791378116667912,"PC1"
"PRKCQ",0.791284748647935,"PC1"
"SCPEP1",0.789831359668017,"PC1"
"BASP1",0.789196976371417,"PC1"
"VNN1",0.787951771959439,"PC1"
"LHFPL2",0.787589724753558,"PC1"
"CAMK4",0.787120401471357,"PC1"
"TRAT1",0.78696560161003,"PC1"
"SELL",0.786771443561413,"PC1"
"LRRC25",0.786566339467544,"PC1"
"CR1",0.786101331169756,"PC1"
"HP",0.785894956815084,"PC1"
"DENND3",0.785617892409337,"PC1"
"FCGR1A",0.785598217033918,"PC1"
"FLT3LG",0.78500284190101,"PC1"
"TC2N",0.784915442744875,"PC1"
"NCAPD3",0.784507420648166,"PC1"
"CEBPB",0.782723694422614,"PC1"
"PTPN4",0.782132546166433,"PC1"
"RETN",0.779269269313368,"PC1"
"NPL",0.778533186611565,"PC1"
"SPOCK2",0.777394489800641,"PC1"
"SLC8A1",0.776801034432984,"PC1"
"ST3GAL6",0.776573528270846,"PC1"
"SIT1",0.774865086474839,"PC1"
"AQP9",0.774812730324859,"PC1"
"NCF2",0.774682929180414,"PC1"
"LILRA6",0.774641221991567,"PC1"
"LCK",0.772104040564938,"PC1"
"ARG1",0.771803482045134,"PC1"
"LAPTM5",0.771525404114033,"PC1"
"CLEC7A",0.771215633335644,"PC1"
"CD5",0.770969846050251,"PC1"
"NRBP1",0.770183820105983,"PC1"
"SYK",0.768288529839003,"PC1"
"NAIP",0.767251743228731,"PC1"
"ABLIM1",0.76625350704674,"PC1"
"MFSD1",0.765664457133315,"PC1"
"SVIL",0.764713593454404,"PC1"
"BCL3",0.764375982343642,"PC1"
"TMEM154",0.763903728176567,"PC1"
"TM6SF1",0.762959254737317,"PC1"
"KCNJ2",0.760663937168464,"PC1"
"CDK14",0.759934963692818,"PC1"
"ANO10",0.758607931784048,"PC1"
"MMP8",0.758216093210897,"PC1"
"KLF12",0.758171186549929,"PC1"
"LCN2",0.757001869974463,"PC1"
"IL13RA1",0.755283262682499,"PC1"
"AES",0.752270446102715,"PC1"
"PLD4",0.752058763106502,"PC1"
"STXBP2",0.751880332071568,"PC1"
"ZAP70",0.751538927181393,"PC1"
"ZMYND11",0.751233344640443,"PC1"
"FCER1A",0.750733948942972,"PC1"
"CHUK",0.750453021559471,"PC1"
