"mtry","min_n",".metric",".estimator","mean","n","std_err",".config"
2,16,"accuracy","multiclass",0.802884615384615,10,0.0224168111734586,"Preprocessor1_Model01"
2,16,"brier_class","multiclass",0.147970916433036,10,0.00770327178689155,"Preprocessor1_Model01"
2,16,"roc_auc","hand_till",0.97877403308487,10,0.00313638182530137,"Preprocessor1_Model01"
3,16,"accuracy","multiclass",0.800384615384615,10,0.0226391283773024,"Preprocessor1_Model02"
3,16,"brier_class","multiclass",0.143847002405151,10,0.0078067501635195,"Preprocessor1_Model02"
3,16,"roc_auc","hand_till",0.978896566362637,10,0.00296597683335448,"Preprocessor1_Model02"
4,16,"accuracy","multiclass",0.808076923076923,10,0.023088039424512,"Preprocessor1_Model03"
4,16,"brier_class","multiclass",0.140295930890923,10,0.00776337874973064,"Preprocessor1_Model03"
4,16,"roc_auc","hand_till",0.980144043534052,10,0.00294388057292766,"Preprocessor1_Model03"
5,16,"accuracy","multiclass",0.810641025641026,10,0.0243012135691532,"Preprocessor1_Model04"
5,16,"brier_class","multiclass",0.138582520129565,10,0.00832818344545958,"Preprocessor1_Model04"
5,16,"roc_auc","hand_till",0.979653949749841,10,0.00324617978414445,"Preprocessor1_Model04"
6,16,"accuracy","multiclass",0.820897435897436,10,0.0202836648124034,"Preprocessor1_Model05"
6,16,"brier_class","multiclass",0.137731823272753,10,0.00819114279255048,"Preprocessor1_Model05"
6,16,"roc_auc","hand_till",0.980489542413653,10,0.00352309412090136,"Preprocessor1_Model05"
2,17,"accuracy","multiclass",0.79775641025641,10,0.0238152025490512,"Preprocessor1_Model06"
2,17,"brier_class","multiclass",0.14836482449563,10,0.00731082355834136,"Preprocessor1_Model06"
2,17,"roc_auc","hand_till",0.978892193025204,10,0.00329976531082508,"Preprocessor1_Model06"
3,17,"accuracy","multiclass",0.808012820512821,10,0.0231147304257728,"Preprocessor1_Model07"
3,17,"brier_class","multiclass",0.144263941344367,10,0.00761581545284292,"Preprocessor1_Model07"
3,17,"roc_auc","hand_till",0.978340312079636,10,0.00297850510280352,"Preprocessor1_Model07"
4,17,"accuracy","multiclass",0.805448717948718,10,0.0231028759571807,"Preprocessor1_Model08"
4,17,"brier_class","multiclass",0.140635793822694,10,0.00794504637407486,"Preprocessor1_Model08"
4,17,"roc_auc","hand_till",0.979530169676677,10,0.00290183284993066,"Preprocessor1_Model08"
5,17,"accuracy","multiclass",0.815769230769231,10,0.0191079171833787,"Preprocessor1_Model09"
5,17,"brier_class","multiclass",0.139014102168766,10,0.00794777492395701,"Preprocessor1_Model09"
5,17,"roc_auc","hand_till",0.979102468220488,10,0.0033492668934622,"Preprocessor1_Model09"
6,17,"accuracy","multiclass",0.815705128205128,10,0.0229601449371218,"Preprocessor1_Model10"
6,17,"brier_class","multiclass",0.13718037386022,10,0.00825778125299099,"Preprocessor1_Model10"
6,17,"roc_auc","hand_till",0.980573643943741,10,0.00355670427912936,"Preprocessor1_Model10"
2,18,"accuracy","multiclass",0.797820512820513,10,0.0228527014576533,"Preprocessor1_Model11"
2,18,"brier_class","multiclass",0.149262046551305,10,0.00758598023887201,"Preprocessor1_Model11"
2,18,"roc_auc","hand_till",0.978410768650608,10,0.00314761181767288,"Preprocessor1_Model11"
3,18,"accuracy","multiclass",0.805448717948718,10,0.0231028759571807,"Preprocessor1_Model12"
3,18,"brier_class","multiclass",0.144641722833966,10,0.00771040202163464,"Preprocessor1_Model12"
3,18,"roc_auc","hand_till",0.97907113949292,10,0.00299888082923364,"Preprocessor1_Model12"
4,18,"accuracy","multiclass",0.80551282051282,10,0.0233913761032272,"Preprocessor1_Model13"
4,18,"brier_class","multiclass",0.141686380270628,10,0.0081206438235522,"Preprocessor1_Model13"
4,18,"roc_auc","hand_till",0.978720897887338,10,0.00364259141650776,"Preprocessor1_Model13"
5,18,"accuracy","multiclass",0.810576923076923,10,0.0237191518136383,"Preprocessor1_Model14"
5,18,"brier_class","multiclass",0.139693355324353,10,0.00835376468505308,"Preprocessor1_Model14"
5,18,"roc_auc","hand_till",0.980435467673343,10,0.00340324968987108,"Preprocessor1_Model14"
6,18,"accuracy","multiclass",0.810576923076923,10,0.022125704681564,"Preprocessor1_Model15"
6,18,"brier_class","multiclass",0.1380288815873,10,0.00827425850122501,"Preprocessor1_Model15"
6,18,"roc_auc","hand_till",0.978964020603359,10,0.00354668819477859,"Preprocessor1_Model15"
