"","Cond1","Cond2","Shared","NotShared_cond1","NotShared_cond2","Total_Genes_Cond1","Total_Genes_Cond2","Genes_Names","Percentage_Shared_Cond1","Percentage_Shared_Cond2","pvalue","-log(p)"
"1","MONOV INFLUENZA A_DOWN","MONOV INFLUENZA A_UP",0,35,377,35,377,"",0,0,1.37500969123975e-51,50.8616942408613
"2","MONOV INFLUENZA A_DOWN","IMUVAC_UP",0,35,44,35,44,"",0,0,3.07039507083268e-23,22.5128057398181
"3","MONOV INFLUENZA A_DOWN","FLUAD_UP",0,35,40,35,40,"",0,0,3.3983334666567e-22,21.4687340075673
"4","MONOV INFLUENZA A_DOWN","TIV INFLUENZA_DOWN",0,35,343,35,347,"",0,0,3.21686829991358e-50,49.4925667189524
"5","MONOV INFLUENZA A_DOWN","TIV INFLUENZA_UP",1,34,225,35,226,"HSPG2",2.86,0.44,7.67839225713028e-42,41.1147297053528
"6","MONOV INFLUENZA A_DOWN","MENVEO ACWYVAX_DOWN",0,35,244,35,244,"",0,0,2.42658688937882e-45,44.6150041531836
"7","MONOV INFLUENZA A_DOWN","MENVEO ACWYVAX_UP",1,34,145,35,146,"CYP4F12",2.86,0.68,6.0436326237672e-36,35.2187019431285
"8","MONOV INFLUENZA A_DOWN","MVA85A_UP",0,35,210,35,232,"",0,0,3.17286770883186e-43,42.4985480352182
"9","MONOV INFLUENZA A_DOWN","INFLUENZA_DOWN",0,35,58,35,61,"",0,0,2.09969530668466e-26,25.6778437225167
"10","MONOV INFLUENZA A_DOWN","INFLUENZA_UP",0,35,87,35,92,"",0,0,2.20553625871848e-31,30.6564857980842
"11","MONOV INFLUENZA A_DOWN","PANDEMRIX_UP",0,35,50,35,56,"",0,0,1.11559002634118e-24,23.9524953770919
"12","MONOV INFLUENZA A_DOWN","FLUARIX_UP",1,34,57,35,61,"ATP13A4",2.86,1.64,1.95271663521671e-24,23.7093607739627
"13","MONOV INFLUENZA A_DOWN","PFALCIPARUM RTSS_UP",0,35,10,35,10,"",0,0,3.1346122040811e-10,9.50381617988752
"14","MONOV INFLUENZA A_DOWN","ATTENUVAX_DOWN",0,35,19,35,19,"",0,0,5.4451424769165e-15,14.2639907520645
"15","MONOV INFLUENZA A_DOWN","ATTENUVAX_UP",0,35,51,35,51,"",0,0,6.6157082957442e-25,24.1794236522375
"16","MONOV INFLUENZA A_DOWN","WETVAX_UP",0,35,458,35,598,"",0,0,2.00176055136102e-54,53.6985878736309
"17","MONOV INFLUENZA A_DOWN","YF VAX_DOWN",0,35,245,35,287,"",0,0,2.12326352820644e-45,44.6729961001613
"18","MONOV INFLUENZA A_DOWN","YF VAX_UP",1,34,355,35,421,"CHD5",2.86,0.24,3.64291576567187e-48,47.4385508707363
"19","MONOV INFLUENZA A_DOWN","RVSV EBOV_DOWN",0,35,6,35,6,"",0,0,2.22400735879555e-07,6.65286378009402
"20","MONOV INFLUENZA A_DOWN","CHAD63-KH_UP",0,35,1993,35,1994,"",0,0,2.48314380494038e-76,75.6049981286598
"21","MONOV INFLUENZA A_DOWN","CHAD63-KH_DOWN",9,26,1878,35,1892,"ATG9B, KCNJ5-AS1, CYP4F12, DPEP3, MFGE8, NOG, NRCAM, OCM, TNNC1",25.71,0.48,1.59953158295422e-51,50.7960071802955
"22","MONOV INFLUENZA A_DOWN","INACTIVATED INFLUENZA_UP",0,35,1183,35,1527,"",0,0,1.70123720345428e-68,67.7692351284984
"23","MONOV INFLUENZA A_DOWN","INACTIVATED INFLUENZA_DOWN",1,34,1060,35,1842,"CACNA1I",2.86,0.05,7.92425688783467e-64,63.1010414539865
"24","MONOV INFLUENZA A_DOWN","FLUARIX_DOWN",0,35,24,35,24,"",0,0,4.62290234590097e-17,16.3350852804932
"25","MONOV INFLUENZA A_DOWN","RVSV ZEBOV_UP",0,35,10,35,10,"",0,0,3.1346122040811e-10,9.50381617988752
"26","MONOV INFLUENZA A_DOWN","LVS F TULARENSIS_DOWN",0,35,47,35,104,"",0,0,5.6217768827407e-24,23.2501263946797
"27","MONOV INFLUENZA A_DOWN","LVS F TULARENSIS_UP",0,35,70,35,208,"",0,0,1.14459704589068e-28,27.9413473793039
"28","MONOV INFLUENZA A_DOWN","CN54GP140_UP",0,35,153,35,205,"",0,0,7.69065972856836e-39,38.1140364034772
"29","MONOV INFLUENZA A_DOWN","CN54GP140_DOWN",0,35,181,35,192,"",0,0,3.74969660007748e-41,40.4260038710037
"30","MONOV INFLUENZA A_DOWN","HIV-1 GAG-POL NEF_DOWN",3,32,1013,35,1028,"MFGE8, NOG, TRBJ2-4",8.57,0.29,6.19662449540785e-58,57.207844820538
