"","condition1","condition2","count","process","pvalue","p_adjust","genes"
"Metabolism...1","BBIBP (V3, D07)","BBIBP (V3, D14)",337,"Metabolism",3.65366808315627e-12,2.19220084989376e-11,"BCL3/BCL6/CCL3/CD83/FUT4/GATA3/IFNG/IRF2BP2/ITM2A/JMJD6/JUN/MAP3K8/NFKBIA/PDE4B/PPP2CA/PTGER4/PTX3/RHOH/RNF19B/SHLD3/TICAM1/TNFAIP3/ADM/CXCL8/FAU/RPL39/AHR/AKAP8/AKIRIN1/AKIRIN2/ANXA1/ARRDC3/ARRDC4/ATP5F1C/ATP5PO/ATP6AP2/ATRAID/AZIN1/B3GNT2/B4GALT1/BACH1/BCAS2/BCL7B/BCLAF1/BHLHE40/BMT2/BUD31/BZW1/C1D/C2orf69/CCNT1/CDK9/CDKN1A/CHMP1B/CITED4/COPS2/COPS3/COQ10B/COX4I1/COX7B/CPEB2/CRCP/CREBRF/CRY2/CSF1/CSNK1G3/CSRNP1/CUL3/CWC15/CYCS/DCP1A/DDI1/DDIT3/DNAJB9/DPH3/DUSP10/DUSP28/DUSP5/EAF1/EBP/EEF1B2/EIF1/EIF2A/EIF4A1/EIF4A2/EIF5A/ELL/ENPP3/ENSA/EREG/ESR1/ETF1/EXT1/F3/FBXO22/FUNDC2/G0S2/GABARAPL1/GOLGA7/GPATCH3/GRPEL1/GTF2B/H1-10/HDC/HERPUD1/HES1/HMGCS1/HNRNPC/HNRNPL/HSP90AB1/HSPA1B/ID2/IDI1/IDO2/IER5/IFIH1/IFT52/IFT57/IGBP1/IL1B/ILF2/ING3/INTS12/IP6K2/JMY/JUND/KBTBD2/KBTBD8/KLF10/KLF11/KLF4/KLF6/KPNA2/KRT10/LAMTOR5/LAPTM5/LDLR/LRRC59/LSM5/MAFB/MAFF/MAPK6/MARCHF5/MBIP/MCL1/MED10/MED21/MED30/MEF2D/MIDN/MOAP1/MORF4L1/MPC2/MRM3/MRPL10/MRPL44/MRPL54/MRPS15/MUL1/MYLIP/MYNN/NDUFA4/NEU1/NFIL3/NFKBIB/NFKBIE/NFKBIZ/NGDN/NHLRC1/NIPSNAP2/NLRP3/NMD3/NOCT/NR1D2/NUDT15/NXT1/PAIP1/PCBP2/PCNP/PELI1/PFDN1/PFDN5/PFKFB3/PHF5A/PHLDA1/PI4K2A/PIGA/PIK3C3/PIM2/PIM3/PLA1A/PLEK/PLK3/PMAIP1/PMEL/PMF1/PNPLA8/PNRC1/PNRC2/POLH/POLR2G/POLR2K/POLR2M/PPIF/PPP1R15A/PPP1R15B/PPP1R2/PPTC7/PRNP/PRPF18/PRPH2/PRXL2C/PTP4A1/PTRH2/RAB1A/RAD23B/RAMAC/RAP2C/RBM22/RBM7/RBMX/RCOR2/RGCC/RHBDD2/RIPK2/RNF138/RNF139/RPL21/RPL22L1/RPL34/RPL35A/RPL5/RPP40/RPS12/RPS13/RPS15A/RPS27/RPS29/RPS3/RPS3A/RPSA/RWDD1/SBDS/SCCPDH/SDE2/SEC11A/SELENOK/SELENOT/SERTAD2/SFR1/SGK1/SLC25A33/SLC5A2/SMAD7/SNRPG/SOCS6/SOX2/SPATA2/SPRTN/SPTY2D1/SRGN/SRSF3/SRSF5/SRSF6/STK17B/SUB1/SUCO/TAF13/TAF7/TAF9/TEAD3/TFB2M/TGIF1/TIPARP/TLE3/TMEM14B/TMUB2/TOE1/TP53INP2/TRAF6/TRIB1/TSC22D2/TSC22D3/TWF1/TXN/UBE2D3/UBE2J1/UBQLN1/UBXN1/UFC1/UHRF1/UQCRFS1/UXT/VAMP3/VAPA/VIM/WARS2/WBP11/WDR45B/WTAP/YJU2/YRDC/YTHDF2/YTHDF3/YWHAQ/ZBTB10/ZBTB2/ZBTB21/ZBTB43/ZBTB5/ZC3H12A/ZC3H15/ZCCHC7/ZFAND2A/ZFP36/ZNF165/ZNF225/ZNF233/ZNF277/ZNF317/ZNF394/ZNF410/ZNF628/ZNF639/ZNF665/ZPR1/ZXDB/FBXL12/FBXO33/IAH1/JOSD1/OTUD1/PSMA1/RNF7/SAT2/UBC/UBE2Q2"
"INNATE IMMUNE SYSTEM...2","BBIBP (V3, D07)","BBIBP (V3, D14)",40,"INNATE IMMUNE SYSTEM",0.0117475075843344,0.0263339587645386,"BCL3/BCL6/CCL3/CD83/GATA3/GPR183/HLA-DMA/IFNG/JMJD6/JUN/MAP3K8/NFKBIA/PDE4B/PTX3/RNF19B/TICAM1/TNFAIP3/CXCL8/FAU/RPL39/B4GALT1/CSF1/EMP1/EREG/G0S2/ICAM1/IFIH1/IL1B/KLF4/LAPTM5/MAFB/MARCKS/NINJ1/NLRP3/PLEK/PTGER2/RIPK2/SGK1/TRIB1/VIM"
"ANTIMICROBIAL...3","BBIBP (V3, D07)","BBIBP (V3, D14)",5,"ANTIMICROBIAL",0.0131669793822693,0.0263339587645386,"BCL3/ADM/CXCL8/FAU/RPL39"
"Cellular...4","BBIBP (V3, D07)","BBIBP (V3, D14)",400,"Cellular",0.0647783304039056,0.0932712728241565,"BCL3/BCL6/CCL3/CD69/CD83/FUT4/GATA3/GPR183/HLA-DMA/ICOS/IFNG/IRF2BP2/ITM2A/JMJD6/JUN/MAP3K8/NFKBIA/PDE4B/PPP2CA/PTGER4/PTX3/RHOH/RNF19B/SHLD3/SLC24A1/TICAM1/TNFAIP3/ADM/CXCL8/FAU/RPL39/AHR/AKAP8/AKIRIN1/AKIRIN2/ANXA1/ARL4A/ARRDC3/ARRDC4/ATP5F1C/ATP5PO/ATP6AP2/ATRAID/AZIN1/B3GNT2/B4GALT1/BACH1/BCAS2/BCL7B/BCLAF1/BHLHE40/BLOC1S2/BMT2/BNIP1/BORCS7/BTG3/BUD31/BZW1/C12orf57/C1D/C2orf69/C3orf38/CCNT1/CDC42EP4/CDK9/CDKN1A/CDKN2AIP/CFL2/CHMP1B/CITED4/CLUAP1/CNIH1/COPS2/COPS3/COQ10B/COX4I1/COX7B/CPEB2/CRCP/CREBRF/CRY2/CSF1/CSNK1G3/CSRNP1/CUL3/CWC15/CYCS/DCP1A/DCTN3/DDI1/DDIT3/DENND5A/DNAAF2/DNAJB9/DPH3/DUSP10/DUSP28/DUSP5/DYNLT3/EAF1/EBP/EEF1B2/EIF1/EIF2A/EIF4A1/EIF4A2/EIF5A/ELL/EMP1/ENPP3/ENSA/EREG/ESR1/ETF1/EXT1/F3/FAM53C/FBXO22/FRMD4A/FUNDC2/G0S2/GABARAPL1/GKAP1/GNA15/GOLGA7/GPATCH3/GPR75/GPR84/GRPEL1/GTF2B/H1-10/H3-3B/HAPSTR1/HAUS3/HAUS4/HDC/HECA/HERPUD1/HES1/HMGCS1/HMGN2/HNRNPC/HNRNPL/HSP90AB1/HSPA1B/ICAM1/ID2/IDI1/IDO2/IER5/IFIH1/IFT52/IFT57/IGBP1/IL1B/ILF2/ING3/INTS12/IP6K2/ITPRIP/JMY/JUND/KBTBD2/KBTBD8/KCNS1/KCNS2/KLF10/KLF11/KLF4/KLF6/KPNA2/KRT10/LAMTOR5/LAPTM5/LDLR/LRRC59/LSM5/MAFB/MAFF/MAIP1/MAPK6/MAPRE1/MARCHF5/MARCKS/MBIP/MCL1/MED10/MED21/MED30/MEF2D/MFSD14A/MIDN/MOAP1/MON2/MORF4L1/MPC2/MRM3/MRPL10/MRPL44/MRPL54/MRPS15/MS4A6E/MUL1/MYLIP/MYNN/MZT1/NDUFA4/NEU1/NFIL3/NFKBIB/NFKBIE/NFKBIZ/NGDN/NHLRC1/NINJ1/NIPSNAP2/NLRP3/NMD3/NOCT/NR1D2/NRAS/NUDT15/NXT1/OMG/OSER1/PAIP1/PCBP2/PCNP/PDZK1/PELI1/PFDN1/PFDN5/PFKFB3/PHACTR1/PHF5A/PHLDA1/PI4K2A/PIGA/PIK3C3/PIM2/PIM3/PLA1A/PLEK/PLIN2/PLK3/PMAIP1/PMEL/PMF1/PNPLA8/PNRC1/PNRC2/POLH/POLR2G/POLR2K/POLR2M/PPIF/PPP1R15A/PPP1R15B/PPP1R2/PPTC7/PRNP/PRPF18/PRPH2/PRXL2C/PTGER2/PTP4A1/PTRH2/RAB1A/RAD23B/RAMAC/RAP2C/RBM22/RBM7/RBMX/RCOR2/RGCC/RGS1/RHBDD2/RIPK2/RNF138/RNF139/RPL21/RPL22L1/RPL34/RPL35A/RPL5/RPP40/RPS12/RPS13/RPS15A/RPS27/RPS29/RPS3/RPS3A/RPSA/RRAD/RWDD1/RXFP4/SBDS/SCCPDH/SDE2/SEC11A/SELENOK/SELENOT/SERTAD2/SFR1/SGK1/SLC13A4/SLC25A33/SLC5A2/SMAD7/SNRPG/SOCS6/SOX2/SPATA2/SPRTN/SPTY2D1/SRGN/SRSF3/SRSF5/SRSF6/STK17B/STX16/SUB1/SUCO/SYS1/TAF13/TAF7/TAF9/TEAD3/TFB2M/TGIF1/TIMM17A/TIPARP/TLE3/TMED7/TMEM14B/TMEM167B/TMEM170A/TMEM242/TMUB2/TOE1/TOMM20/TP53INP2/TPT1/TRAF6/TRIB1/TSC22D2/TSC22D3/TSPYL1/TSPYL4/TWF1/TXN/UBE2D3/UBE2J1/UBQLN1/UBXN1/UFC1/UHRF1/UQCC1/UQCRFS1/UXT/VAMP3/VAPA/VDAC2/VIM/VMA21/WARS2/WBP11/WDR45B/WHAMM/WTAP/YJU2/YPEL5/YRDC/YTHDF2/YTHDF3/YWHAQ/ZBTB10/ZBTB2/ZBTB21/ZBTB43/ZBTB5/ZC3H12A/ZC3H15/ZCCHC7/ZFAND2A/ZFP36/ZNF165/ZNF225/ZNF233/ZNF277/ZNF317/ZNF394/ZNF410/ZNF628/ZNF639/ZNF665/ZPR1/ZXDB"
"IMMUNE SYSTEM...5","BBIBP (V3, D07)","BBIBP (V3, D14)",6,"IMMUNE SYSTEM",0.077726060686797,0.0932712728241565,"HLA-DMA/JUN/NFKBIA/ICAM1/LAPTM5/PLEK"
"ADAPTIVE IMMUNE SYSTEM...6","BBIBP (V3, D07)","BBIBP (V3, D14)",27,"ADAPTIVE IMMUNE SYSTEM",0.117019719494707,0.117019719494707,"BCL3/BCL6/CCL3/CD69/CD83/FUT4/GATA3/GPR183/HLA-DMA/ICOS/IFNG/IRF2BP2/ITM2A/JMJD6/JUN/MAP3K8/NFKBIA/PDE4B/PPP2CA/PTGER4/PTX3/RHOH/RNF19B/SHLD3/SLC24A1/TICAM1/TNFAIP3"
"Metabolism...7","BBIBP (V3, D07)","BBIBP (V3, D28)",335,"Metabolism",4.61426455389773e-09,2.76855873233864e-08,"ATF3/BCL3/BCL6/BRD2/CCL3/CD83/DUSP6/FOSB/FUT4/GATA3/IFNG/IRF2BP2/JMJD6/JUN/JUNB/MAP3K8/NFKBIA/PDE4B/PPP2CA/PTGER4/PTX3/RHOH/RNF19B/SHLD3/TICAM1/TNFAIP3/ADM/CXCL8/RPL39/ABRAXAS1/AHR/AKAP8/AKIRIN1/ANXA1/ARRDC3/ATF4/ATP5F1C/ATP6AP2/AZIN1/B3GNT2/B4GALT1/BACH1/BCAS2/BCL7B/BCLAF1/BHLHE40/BMT2/BUD31/BYSL/BZW1/C1D/C2orf69/CCNT1/CDK9/CDKN1A/CFAP20/CHMP1B/CHMP4B/CITED4/CLK1/COPS2/COQ10B/COX7B/CPEB2/CRCP/CREBRF/CRY2/CSF1/CSRNP1/CUL3/CWC25/CYCS/DCP1A/DDI1/DDIT3/DDX47/DEGS2/DNAJB1/DPH3/DUSP1/DUSP10/DUSP5/EAF1/EARS2/EBP/EEF1B2/EIF1/EIF2A/EIF4A2/EIF4G2/EIF5/EIF5A/ELL/ENPP3/ENSA/EREG/ESR1/ETF1/EXOSC3/EXT1/F3/FBXO22/G0S2/GABARAPL1/GEMIN2/GGNBP2/GPATCH3/GRPEL1/H1-10/HDC/HES1/HES4/HIC1/HIF1A/HMGCS1/HNRNPC/HNRNPL/HSP90AB1/HSPA14/HSPA1B/HTT/ID1/ID2/IDI1/IDO2/IER5/IFIH1/IGBP1/IL1B/IL6/ILF2/ING3/INTS12/IP6K2/JMY/JUND/KDM2A/KLF10/KLF11/KLF4/KLF6/KLF9/KMT5A/KPNA2/KRT10/LAMTOR5/LAPTM5/LDHA/LDLR/LRRC59/MAFF/MAP1LC3B2/MAPK6/MAPK8IP1/MASTL/MCL1/MED10/MED21/MED30/MEF2D/MIDEAS/MIDN/MLF1/MORF4L1/MPC2/MRPL10/MRPL44/MRPL46/MRPS15/MYADM/MYLIP/MYNN/NEU1/NFIL3/NFKBIB/NFKBIE/NFKBIZ/NHLRC1/NIPSNAP2/NKX3-1/NLRP3/NMD3/NOCT/NR1D2/NR4A2/NUDT15/NXT1/OSR2/PAIP1/PARP6/PCBP2/PELI1/PFDN1/PFDN5/PHC1/PHF5A/PHLDA1/PI4K2A/PIGA/PIK3C3/PIM3/PLA1A/PLCL1/PLEK/PLK3/PMAIP1/PMEL/PNPLA8/PNRC1/PNRC2/POLR2K/POLR2M/PPIF/PPP1R15A/PPP1R15B/PPP1R2/PPTC7/PRNP/PRPF18/PRPH2/PRXL2C/PTP4A1/PTRH2/RAB1A/RAD23B/RAP2C/RBBP6/RBM22/RBM39/RBM4/RBM7/RBMX/RGCC/RHBDD2/RIPK2/RNF138/RNF139/RNPS1/RPL21/RPL22L1/RPL34/RPL5/RPP40/RPS12/RPS13/RPS15A/RPS27/RPS3A/RPSA/RWDD1/SBDS/SDE2/SEC11A/SELENOK/SERTAD2/SFR1/SGK1/SIRT2/SLC22A13/SLC25A5/SMAD7/SNRPG/SOCS5/SPATA2/SPTY2D1/SRGN/SRSF3/SRSF5/SRSF7/STK17B/SUB1/SUV39H2/TAF13/TAF7/TEAD3/TGIF1/TIPARP/TLE3/TNXB/TOB1/TOE1/TP53INP2/TRAF6/TRIB1/TRIM23/TSC22D3/TSPYL2/TUBA1A/TWF1/UBE2D3/UBE2J1/UBE2S/UBQLN1/UBXN1/UFC1/UQCRFS1/UXT/VAMP3/VIM/WARS2/WBP11/WDR3/WDR45B/WTAP/YJU2/YRDC/YTHDF2/YTHDF3/YWHAQ/ZBTB10/ZBTB2/ZBTB21/ZBTB43/ZBTB5/ZC3H12A/ZC3H15/ZDHHC3/ZFAND2A/ZFP36/ZNF165/ZNF317/ZNF331/ZNF394/ZNF639/ZPR1/ZXDB/ZXDC/FBXO33/JOSD1/OTUD1/PSMA1/SAT2/SDR42E2/UBC/UBE2Q2"
"INNATE IMMUNE SYSTEM...8","BBIBP (V3, D07)","BBIBP (V3, D28)",45,"INNATE IMMUNE SYSTEM",0.00137041093223896,0.00411123279671689,"ATF3/BCL3/BCL6/CCL3/CD83/DUSP6/GATA3/HLA-DMA/IFNG/JMJD6/JUN/MAP3K8/NFKBIA/PDE4B/PTX3/RNF19B/TICAM1/TNFAIP3/CXCL5/CXCL8/RPL39/B4GALT1/CSF1/DUSP1/EMP1/EREG/G0S2/ICAM1/IFIH1/IL1B/IL6/KLF4/LAMB3/LAPTM5/MARCKS/NINJ1/NLRP3/PLEK/PTGER2/RIPK2/SGK1/SIRT2/TRIB1/TRIM23/VIM"
"Cellular...9","BBIBP (V3, D07)","BBIBP (V3, D28)",412,"Cellular",0.0135344017896539,0.0217223666080544,"ATF3/BCL3/BCL6/BRD2/CCL3/CD69/CD83/DUSP6/FOSB/FUT4/GATA3/HLA-DMA/IFNG/IRF2BP2/JMJD6/JUN/JUNB/LRRC8A/MAP3K8/NFKBIA/PDE4B/PPP2CA/PTGER4/PTX3/RHOH/RNF19B/SHLD3/SLC24A1/TICAM1/TNFAIP3/ADM/CXCL5/CXCL8/RPL39/ABRAXAS1/AHR/AKAP8/AKIRIN1/ANXA1/ARL4A/ARL8A/ARRDC3/ATF4/ATP5F1C/ATP6AP2/AZIN1/B3GNT2/B4GALT1/BACH1/BCAS2/BCL7B/BCLAF1/BHLHE40/BLOC1S2/BMT2/BNIP1/BORCS7/BTG3/BUD31/BYSL/BZW1/C12orf57/C1D/C2orf69/C3orf38/CCDC87/CCNT1/CDK9/CDKN1A/CDKN2AIP/CFAP20/CFL2/CHMP1B/CHMP4B/CITED4/CLK1/CLUAP1/CNIH1/COPS2/COQ10B/COX7B/CPEB2/CRCP/CREBRF/CRY2/CSF1/CSRNP1/CUL3/CWC25/CYCS/DAZAP2/DCP1A/DCTN3/DDI1/DDIT3/DDX47/DEGS2/DENND5A/DNAAF2/DNAJB1/DNAJC27/DPH3/DUSP1/DUSP10/DUSP5/DYNLT3/EAF1/EARS2/EBP/EEF1B2/EIF1/EIF2A/EIF4A2/EIF4G2/EIF5/EIF5A/ELL/EMC7/EMP1/ENPP3/ENSA/EREG/ESR1/ETF1/EXOSC3/EXT1/F3/FAM53C/FBXO22/FRMD4A/G0S2/GABARAPL1/GADD45B/GEM/GEMIN2/GGNBP2/GKAP1/GPATCH3/GPR75/GPR84/GRPEL1/H1-10/H3-3B/HAPSTR1/HAUS3/HCAR3/HDC/HECA/HES1/HES4/HIC1/HIF1A/HMGCS1/HMGN2/HNRNPC/HNRNPL/HSP90AB1/HSPA14/HSPA1B/HTT/ICAM1/ID1/ID2/IDI1/IDO2/IER5/IFIH1/IGBP1/IL1B/IL6/ILF2/ING3/INTS12/IP6K2/ITPRIP/JMY/JUND/KCNS1/KCNS2/KDM2A/KLF10/KLF11/KLF4/KLF6/KLF9/KMT5A/KPNA2/KRT10/LAMB3/LAMTOR5/LAPTM5/LDHA/LDLR/LRRC59/MAFF/MAP1LC3B2/MAPK6/MAPK8IP1/MAPRE1/MARCKS/MARCKSL1/MASTL/MCL1/MED10/MED21/MED30/MEF2D/MFSD14A/MIA/MIDEAS/MIDN/MLF1/MON2/MORF4L1/MPC2/MRPL10/MRPL44/MRPL46/MRPS15/MYADM/MYLIP/MYNN/MZT1/NEU1/NFIL3/NFKBIB/NFKBIE/NFKBIZ/NHLRC1/NINJ1/NIPSNAP2/NKX3-1/NLRP3/NMD3/NOCT/NOTCH2NLA/NR1D2/NR4A2/NRAS/NUDT15/NXT1/OMG/OSER1/OSR2/PAIP1/PARP6/PCBP2/PDZD8/PDZK1/PELI1/PFDN1/PFDN5/PHACTR1/PHC1/PHF5A/PHLDA1/PI4K2A/PIGA/PIK3C3/PIM3/PLA1A/PLCL1/PLEK/PLIN2/PLK3/PMAIP1/PMEL/PNPLA8/PNRC1/PNRC2/POLR2K/POLR2M/PPIF/PPP1R15A/PPP1R15B/PPP1R2/PPTC7/PRNP/PRPF18/PRPH2/PRXL2C/PTGER2/PTP4A1/PTRH2/RAB1A/RAD23B/RAP2C/RBBP6/RBM22/RBM39/RBM4/RBM7/RBMX/RBSN/RCC1/RGCC/RGS1/RHBDD2/RIPK2/RNF138/RNF139/RNPS1/RPL21/RPL22L1/RPL34/RPL5/RPP40/RPS12/RPS13/RPS15A/RPS27/RPS3A/RPSA/RRAD/RWDD1/RXFP4/SBDS/SDCBP2/SDE2/SEC11A/SELENOK/SEMA4G/SEMA6B/SERTAD2/SFR1/SGK1/SIRT2/SLC22A13/SLC25A5/SMAD7/SNRPG/SOCS5/SPATA2/SPTY2D1/SRGN/SRSF3/SRSF5/SRSF7/STK17B/STX16/SUB1/SUV39H2/SYS1/TAF13/TAF7/TEAD3/TGIF1/TIPARP/TLE3/TMED7/TMEM167B/TMEM242/TNXB/TOB1/TOE1/TOMM20/TP53BP2/TP53INP2/TPT1/TRAF6/TRIB1/TRIM23/TSC22D3/TSPYL1/TSPYL2/TSPYL4/TUBA1A/TWF1/UBE2D3/UBE2J1/UBE2S/UBQLN1/UBXN1/UFC1/ULBP2/UQCC1/UQCRFS1/UXT/VAMP3/VIM/VMA21/WARS2/WBP11/WDR11/WDR3/WDR45B/WHAMM/WTAP/YJU2/YPEL5/YRDC/YTHDF2/YTHDF3/YWHAQ/ZBTB10/ZBTB2/ZBTB21/ZBTB43/ZBTB5/ZC3H12A/ZC3H15/ZDHHC3/ZFAND2A/ZFP36/ZNF165/ZNF317/ZNF331/ZNF394/ZNF639/ZPR1/ZXDB/ZXDC"
"ANTIMICROBIAL...10","BBIBP (V3, D07)","BBIBP (V3, D28)",5,"ANTIMICROBIAL",0.0144815777387029,0.0217223666080544,"BCL3/ADM/CXCL5/CXCL8/RPL39"
