"genes","cluster","gene_set"
"FCGR1A","cluster 1","Immune genes"
"CXCL9","cluster 1","Immune genes"
"IDO1","cluster 1","Immune genes"
"CFB","cluster 1","Immune genes"
"RNF213","cluster 1","Immune genes"
"IDO2","cluster 1","Immune genes"
"CLEC6A","cluster 1","Immune genes"
"IL27","cluster 1","Immune genes"
"IL31RA","cluster 1","Immune genes"
"GBP6","cluster 1","Immune genes"
"LIF","cluster 1","Immune genes"
"FAS","cluster 1","Immune genes"
"IRF1","cluster 1","Immune genes"
"PIK3AP1","cluster 1","Immune genes"
"TNFAIP3","cluster 1","Immune genes"
"LILRB1","cluster 1","Immune genes"
"AIF1","cluster 1","Immune genes"
"HCK","cluster 1","Immune genes"
"CASP1","cluster 1","Immune genes"
"PSMB9","cluster 1","Immune genes"
"MX2","cluster 1","Immune genes"
"IFI30","cluster 1","Immune genes"
"IFITM1","cluster 1","Immune genes"
"CCR1","cluster 1","Immune genes"
"TAP1","cluster 1","Immune genes"
"IFI27","cluster 1","Immune genes"
"GBP2","cluster 1","Immune genes"
"GCH1","cluster 1","Immune genes"
"IFIT1","cluster 1","Immune genes"
"IFIT2","cluster 1","Immune genes"
"STAT1","cluster 1","Immune genes"
"TNFSF10","cluster 1","Immune genes"
"IFI6","cluster 1","Immune genes"
"IFITM3","cluster 1","Immune genes"
"GBP1","cluster 1","Immune genes"
"IFI35","cluster 1","Immune genes"
"MX1","cluster 1","Immune genes"
"OAS2","cluster 1","Immune genes"
"TRIM22","cluster 1","Immune genes"
"TAP2","cluster 1","Immune genes"
"PML","cluster 1","Immune genes"
"RIGI","cluster 1","Immune genes"
"IL1RN","cluster 1","Immune genes"
"IRF9","cluster 1","Immune genes"
"TRIM21","cluster 1","Immune genes"
"BST2","cluster 1","Immune genes"
"STAT2","cluster 1","Immune genes"
"DDX60","cluster 1","Immune genes"
"EIF2AK2","cluster 1","Immune genes"
"PARP9","cluster 1","Immune genes"
"CCL2","cluster 1","Immune genes"
"CCL8","cluster 1","Immune genes"
"BATF2","cluster 1","Immune genes"
"APOBEC3A","cluster 1","Immune genes"
"SCIMP","cluster 1","Immune genes"
"IRAK1BP1","cluster 2","Immune genes"
"IL1R1","cluster 2","Immune genes"
"FLT1","cluster 2","Immune genes"
"AZU1","cluster 2","Immune genes"
"NRROS","cluster 2","Immune genes"
"PTGDS","cluster 2","Immune genes"
"TRIM26","cluster 2","Immune genes"
"LY86","cluster 2","Immune genes"
"GAPT","cluster 2","Immune genes"
"JAML","cluster 2","Immune genes"
