"cell_name","marker","Type"
"B cell","CD19","Adaptive"
"Activated B cell","CD5","Adaptive"
"B cell","FMC7","Adaptive"
"Plasma cell","CD38","Adaptive"
"Plasma cell","CD38","Adaptive"
"Plasma cell","CD19","Adaptive"
"Plasma cell","CD27","Adaptive"
"B cell","Leu-12","Adaptive"
"Memory B cell","CD27","Adaptive"
"Memory B cell","CD27","Adaptive"
"Plasma cell","CD117","Adaptive"
"Memory B cell","CD27","Adaptive"
"Abnormal plasma cell","CD138","Adaptive"
"Plasma cell","CD19","Adaptive"
"Abnormal plasma cell","CD38","Adaptive"
"Plasma cell","CD138","Adaptive"
"Plasma cell","CD38","Adaptive"
"Abnormal plasma cell","CD56","Adaptive"
"B cell","CD19","Adaptive"
"Atypical memory B cell","CD20","Adaptive"
"Atypical memory B cell","CD19","Adaptive"
"Atypical memory B cell","CD27","Adaptive"
"Atypical memory B cell","CD10","Adaptive"
"Atypical memory B cell","CD21","Adaptive"
"B cell","CD27","Adaptive"
"B cell","IgM","Adaptive"
"B cell","CD19","Adaptive"
"Naive B cell","IgD","Adaptive"
"Non-switched memory B cell","CD27","Adaptive"
"Naive B cell","CD27","Adaptive"
"Plasma cell","CD27","Adaptive"
"Double-negative memory B cell","IgD","Adaptive"
"Plasma cell","IgD","Adaptive"
"Switched memory B cell","CD19","Adaptive"
"Double-negative memory B cell","CD19","Adaptive"
"Transitional B cell","CD19","Adaptive"
"Plasma cell","CD19","Adaptive"
"Transitional B cell","CD27","Adaptive"
"Naive B cell","CD38","Adaptive"
"Switched memory B cell","CD27","Adaptive"
"Switched memory B cell","IgD","Adaptive"
"Non-switched memory B cell","IgD","Adaptive"
"Double-negative memory B cell","CD27","Adaptive"
"Naive B cell","CD19","Adaptive"
"Plasma cell","CD38","Adaptive"
"Transitional B cell","CD38","Adaptive"
"Transitional B cell","IgD","Adaptive"
"Non-switched memory B cell","CD19","Adaptive"
"B cell","CD19","Adaptive"
"B cell","CD257","Adaptive"
"B cell","AID","Adaptive"
"B cell","CD86","Adaptive"
"B cell","CD71","Adaptive"
"B cell","CD28","Adaptive"
"B cell","CD38","Adaptive"
"B cell","CD10","Adaptive"
"Regulatory B cell","CD1d","Adaptive"
"Regulatory B cell","CD19","Adaptive"
"Memory B cell","CD19","Adaptive"
"Naive B cell","CD38","Adaptive"
"Memory B cell","CD27","Adaptive"
"Immature transitional B cell","CD19","Adaptive"
"Immature transitional B cell","CD38","Adaptive"
"Naive B cell","CD19","Adaptive"
"Naive B cell","CD24","Adaptive"
"Immature transitional B cell","CD24","Adaptive"
"B cell","ZAP70","Adaptive"
"B cell","IgD","Adaptive"
"B cell","CD19","Adaptive"
"B cell","CD38","Adaptive"
"B cell","CD27","Adaptive"
"B cell","CD45","Adaptive"
"B cell","CD20","Adaptive"
"B cell","IgM","Adaptive"
"B cell","CD24","Adaptive"
"B cell","CD19","Adaptive"
"B cell","IgD","Adaptive"
"B cell","CD21","Adaptive"
"B cell","CD27","Adaptive"
"B cell","CD20","Adaptive"
"B cell","CD5","Adaptive"
"B cell","CD38","Adaptive"
"B cell","CD45","Adaptive"
"Plasma cell","CD319","Adaptive"
"Plasma cell","CD54","Adaptive"
"Plasma cell","CD229","Adaptive"
"B cell","CD19","Adaptive"
"Class-switched memory B cell","CD19","Adaptive"
"Naive B cell","CD19","Adaptive"
"Plasmablast","CD38","Adaptive"
"Class-switched memory B cell","CD27","Adaptive"
"Double-negative B cell","IgD","Adaptive"
"Double-negative B cell","CD19","Adaptive"
"Naive B cell","CD27","Adaptive"
"Non-switched memory B cell","CD19","Adaptive"
"Naive B cell","IgD","Adaptive"
"Transitional B cell","CD38","Adaptive"
"Transitional B cell","CD19","Adaptive"
"Double-negative B cell","CD27","Adaptive"
"Transitional B cell","CD24","Adaptive"
"Class-switched memory B cell","IgD","Adaptive"
"Non-switched memory B cell","IgD","Adaptive"
"Plasmablast","CD24","Adaptive"
"Non-switched memory B cell","CD27","Adaptive"
"Plasmablast","CD19","Adaptive"
"B cell","CD19","Adaptive"
"B cell","CD74","Adaptive"
"Memory B cell","CD27","Adaptive"
"Activated B cell","TAGLN2","Adaptive"
"Plasmablast","CD38","Adaptive"
"Naive B cell","CD27","Adaptive"
"Transitional B cell","CD38","Adaptive"
"Naive B cell","IgD","Adaptive"
"Plasmablast","IgM","Adaptive"
"Switched memory B cell","CD27","Adaptive"
"Non-switched B cell","CD27","Adaptive"
"Switched memory B cell","IgD","Adaptive"
"Non-switched B cell","IgD","Adaptive"
"Transitional B cell","CD24","Adaptive"
"B cell","MS4A1","Adaptive"
"B cell","CD19","Adaptive"
"B cell","CD79A","Adaptive"
"B cell","CD79B","Adaptive"
"B cell","BLNK","Adaptive"
"B cell","CD79A","Adaptive"
"B cell","CD37","Adaptive"
"Plasma cell","CD138","Adaptive"
"Memory B cell","CD19","Adaptive"
"Memory B cell","CD27","Adaptive"
"B cell","CD79","Adaptive"
"B cell","CD19","Adaptive"
"B cell","B220","Adaptive"
"B cell","CD43","Adaptive"
"B cell","B220","Adaptive"
"B cell","BP1","Adaptive"
"B cell","CD19","Adaptive"
"B cell","IgM","Adaptive"
"Memory B cell","CD27","Adaptive"
"B cell","Cd74","Adaptive"
"B cell","CD19","Adaptive"
"B cell","CD14","Adaptive"
"B cell","CD20","Adaptive"
"B cell","CD19","Adaptive"
"Memory B cell","CD27","Adaptive"
"Memory B cell","CD21","Adaptive"
"Resting memory B cell","FcRL5","Adaptive"
"Resting memory B cell","CD11c","Adaptive"
"Naive B cell","FcRL5","Adaptive"
"Immature B cell","CD10","Adaptive"
"Naive B cell","CD11c","Adaptive"
"B cell","MS4A1","Adaptive"
"B cell","CD79A","Adaptive"
"Transitional B cell","CD24","Adaptive"
"Transitional B cell","CD38","Adaptive"
"Transitional B cell","CD20","Adaptive"
"Transitional B cell","IgD","Adaptive"
"B cell","CD19","Adaptive"
"B cell","MS4A1","Adaptive"
"B cell","CD19","Adaptive"
"B cell","CD21","Adaptive"
"B cell","CD11c","Adaptive"
"B cell","CD95","Adaptive"
"B cell","T-bet","Adaptive"
"B cell","CD27","Adaptive"
"B cell","JUNB","Adaptive"
"B cell","B2M","Adaptive"
"B cell","HLA-DRA","Adaptive"
"B cell","CD74","Adaptive"
"B cell","CD20","Adaptive"
"B cell","CD19","Adaptive"
"Transitional B cell","CD19","Adaptive"
"Transitional B cell","CD38","Adaptive"
"Unswitched memory B cell(UnSw MB)","IgD","Adaptive"
"Switched memory B cell(Sw MB)","CD19","Adaptive"
"Plasmablast","CD27","Adaptive"
"Transitional B cell","CD24","Adaptive"
"Naive B cell","IgD","Adaptive"
"Unswitched memory B cell(UnSw MB)","CD19","Adaptive"
"Unswitched memory B cell(UnSw MB)","CD27","Adaptive"
"Switched memory B cell(Sw MB)","CD27","Adaptive"
"Plasmablast","CD38","Adaptive"
"Plasmablast","CD19","Adaptive"
"Naive B cell","CD19","Adaptive"
"B cell","CD5","Adaptive"
"Plasma cell","SDC1","Adaptive"
"B cell","IL10","Adaptive"
"B cell","CD19","Adaptive"
"B cell","CD138","Adaptive"
"B cell","APRIL","Adaptive"
"B cell","IL6","Adaptive"
"B cell","CD19","Adaptive"
"Tissue-like memory B cell","FCRL4","Adaptive"
"Tissue-like memory B cell","CD21","Adaptive"
"Tissue-like memory B cell","CD27","Adaptive"
"B cell","CD19","Adaptive"
"Plasma cell","CD138","Adaptive"
"B cell","CD19","Adaptive"
"B cell","MZB1","Adaptive"
"B cell","LILRA4","Adaptive"
"B cell","IGJ","Adaptive"
"Switched memory B cell(Sw MB)","CD27","Adaptive"
"Naive B cell","IgD","Adaptive"
"Marginal zone(MZ)-like B cell","IgD","Adaptive"
"Marginal zone(MZ)-like B cell","CD27","Adaptive"
"Plasmablast","CD38","Adaptive"
"Plasma cell","CD138","Adaptive"
"Transitional B cell","CD24","Adaptive"
"Transitional B cell","CD38","Adaptive"
"IgA memory B cell","IgA","Adaptive"
"Aged memory B cell","FCRL5","Adaptive"
"Aged memory B cell","Tbet","Adaptive"
"Aged memory B cell","CD19","Adaptive"
"Naive B cell","CD20","Adaptive"
"Memory B cell","CD20","Adaptive"
"IgA memory B cell","CD20","Adaptive"
"IgM memory B cell","IgM","Adaptive"
"Atypical memory B cell","CD11c","Adaptive"
"Atypical memory B cell","Tbet","Adaptive"
"Aged memory B cell","CD11c","Adaptive"
"IgA memory B cell","CD27","Adaptive"
"IgM memory B cell","CD20","Adaptive"
"IgG memory B cell","CD27","Adaptive"
"IgG memory B cell","IgG","Adaptive"
"Naive B cell","IgD","Adaptive"
"Memory B cell","CD27","Adaptive"
"IgM memory B cell","CD27","Adaptive"
"IgG memory B cell","CD20","Adaptive"
"Atypical memory B cell","FCRL5","Adaptive"
"Naive B cell","IgM","Adaptive"
"Atypical memory B cell","CD19","Adaptive"
"IgM memory B cell","IgD","Adaptive"
"CD20+ B cell","CD20","Adaptive"
"Memory B cell","NEDD4L","Adaptive"
"Memory B cell","KIF16B","Adaptive"
"B cell","CD79B","Adaptive"
"B cell","CD19","Adaptive"
"Naive B cell","CD20","Adaptive"
"B cell","CD19","Adaptive"
"B cell","JCHAIN","Adaptive"
"B cell","IGHG2","Adaptive"
"B cell","IGHG1","Adaptive"
"B cell","CD79","Adaptive"
"B cell","CD19","Adaptive"
"B cell","CD22","Adaptive"
"Memory B cell","AQP5","Adaptive"
"Plasma cell","CD138","Adaptive"
"Plasma cell","CD38","Adaptive"
"Memory B cell","CLECL1","Adaptive"
"Activated memory B cell","ZEB2","Adaptive"
"Naive B cell","SEMA4A","Adaptive"
"Naive B cell","TCL1B","Adaptive"
"Naive B cell","YBX3","Adaptive"
"Naive B cell","TCL1A","Adaptive"
"Activated memory B cell","DHRS9","Adaptive"
"Activated memory B cell","POU4F1","Adaptive"
"Activated memory B cell","FCER1G","Adaptive"
"Naive B cell","IL21R","Adaptive"
"Naive B cell","IL4R","Adaptive"
"Memory B cell","TCF7","Adaptive"
"Activated memory B cell","CD86","Adaptive"
"Memory B cell","AIM2","Adaptive"
"Memory B cell","TFEC","Adaptive"
"Memory B cell","KLK1","Adaptive"
"Memory B cell","CD27","Adaptive"
"Naive B cell","PCDH9","Adaptive"
"Activated memory B cell","AICDA","Adaptive"
"Naive B cell","SATB1","Adaptive"
