"cell_name","marker","Type"
"B cell","CD19,FMC7,Leu-12,CD19,CD27,IgM,CD19,CD19,CD257,AID,CD86,CD71,CD28,CD38,CD10,ZAP70,IgD,CD19,CD38,CD27,CD45,CD20,IgM,CD24,CD19,IgD,CD21,CD27,CD20,CD5,CD38,CD45,CD19,CD19,CD74,MS4A1,CD19,CD79A,CD79B,BLNK,CD79A,CD37,CD79,CD19,B220,CD43,B220,BP1,CD19,IgM,Cd74,CD19,CD14,CD20,CD19,MS4A1,CD79A,CD19,MS4A1,CD19,CD21,CD11c,CD95,T-bet,CD27,JUNB,B2M,HLA-DRA,CD74,CD20,CD19,CD5,IL10,CD19,CD138,APRIL,IL6,CD19,CD19,CD19,MZB1,LILRA4,IGJ,CD79B,CD19,CD19,JCHAIN,IGHG2,IGHG1,CD79,CD19,CD22,ADAM28,IGJ,CXCR4,FCER2,BANK1,TCF4,PMAIP1,CR1P1,VPREB3,TCL1A,CD19,CD19,CD19,HLA-DOA1,MS4A1,CD79A,CD19,B220,CD19,CD79A,CD19,CD19,ZCCHC7,CD79B,CD79A,MS4A1,MS4A1,CD19,CD19,MS4A1,CC19,CD79A,CD79B,CD99,IGHG4,CD38,CD19,CD1C,IGHG1,NR4A1,IGHD,MS4A1,CD27,IGHA1,IGHA2,IGHM,CCR7,CD24,IGHG2,BCL6,CD56,CD3,CD14,CD19,CD19,CD45,CD45RA,MS4A1,PAX5,FCRL1,CD22,CD79A,BLNK,BANK1,CD79B,CD20,CD19,CD19,CD79A,CD79B,CD19,CD79A,CD20,CD27,CD19,MS4A1,CD19,CD74,CD45,MS4A1,HLA-A,MS4A1,CD19,CD19,CD19,CD10,CD52,CD19,MME,CD19,CD79B,MS4A1,CD79A,CD74,CD79A,MS4A1,CD19,CD45,MS4A1,CD120,CD19,CD20,CD19,MS4A1,CD19,MS4A1,CD19,CD19,CD19,CD79A,MS4A1,CD79B,CD20,CD45,CD19,CD22,CD19,CD19,CD19,CD19,CD19,IGHG2,CD79B,CALR,TNFRSF17,MS4A1,JCHAIN,XBP1,CD79A,BACH2,MZB1,CD40,CD86,CD10,CD70,HLA-DR,CD80,MS4A1,CD79A,CD38,CD20,CD19,MS4A1,MS4A1,CD79A,CD20,MS4A1,CD127,CD95,CD25,CD38,CD27,CD21,CD1c,IgD,IgM,CD19,CCR7,CD79A,MS4A1,CD79B,CR2,CD81,CD79A,CD22,CD40,CD72,CD19,FCGR2A,CD19,CD79A,CD20,IGHG1,CD79A,MS4A1,IGHM,PAX5,SPIB,ITGB1,FCRLA,IGHA1,IGHD,FCER2,TCL1A,BCL11A,PLPP5,CD79B,FCRL1,TNFRSF13C,YBX3,AHNAK,HLA-DPB1,NFKBIA,SWAP70,CD19,JCHAIN,AIM2,IL4R,CD79A,IGKC,IGHG3,JCHAIN,CD79B,CD19,CD3,IGKC,IGHM,CD79A,MS4A1,CD19,CD79B,CD19,CD19,MS4A1,CD19,CD19,CD79A,CD79A,MS4A1,CD79B,CD79A,CD79A,MKI67,CDC20,CDK1,CD19,CD79A,MS4A1,CD19,MS4A1,MS4A1,CD19,CD19","Adaptive"
"Activated B cell","CD5,TAGLN2,CD69,CD27,HLADR,CD19","Adaptive"
"Plasma cell","CD38,CD38,CD19,CD27,CD117,CD19,CD138,CD38,CD27,IgD,CD19,CD38,CD319,CD54,CD229,CD138,SDC1,CD138,CD138,CD138,CD38,JCHAIN,DPEP1,IGKC,IGHA2,CD138,CD38,IGHG1,MZB1,CD38,MZB1,CD38,CD27,MZB1,CD38,CD27,CD27,CD38,CD138,CD19,SDC1,IGTA4,SDC1,IGKC,MZB1,XBP1,MZB1,IGHG1,CD38,IGHA1,CD27,MZB1,CD38,CD38,CD27,IGJ,XBP1,CD27,IRF4,CD79A,CD79B,CD79A,JCHAIN,IGKC,IGHG3,IGKC,CD79A,CD38,MZB1,CD27,CD138,SDC1","Adaptive"
"Memory B cell","CD27,CD27,CD27,CD19,CD27,CD27,CD19,CD27,CD27,CD27,CD21,CD20,CD27,NEDD4L,KIF16B,AQP5,CLECL1,TCF7,AIM2,TFEC,KLK1,CD27,KLF10,EBI3,CD70,ZBTB32,CXCR3,IgD,IgM,CD27,CD8+,RT-ICB,Ki-67+,CD27,CD27,MS4A1,CD27,CD27,IGHA1,CD38,IGHG1,CC27,CC19,KIR2DL1,CD79A,CD27,CD21,CD22,CD19,MS4A1,CD27,CD20,Drp6,MS4A1,ARID1A,CD95,CD11c,CD27,CD86,TCRβ,TCRα,CD27,MS4A1,CD27,IGHG1,IGHA1,GCTS,GCT,CN-LOH,CNAs,CD20,CD27,CD19,CD8+,IgD,CD27,CD38,CD19,CD24,TSC2,SMAD4,AIM2,JCHAIN,CD19,IgD,CD27,CD27,IgD,CD27","Adaptive"
"Abnormal plasma cell","CD138,CD38,CD56","Adaptive"
"Atypical memory B cell","CD20,CD19,CD27,CD10,CD21,CD11c,Tbet,FCRL5,CD19,CD20,CD19","Adaptive"
"Naive B cell","IgD,CD27,CD38,CD19,CD38,CD19,CD24,CD19,CD27,IgD,CD27,IgD,FcRL5,CD11c,IgD,CD19,IgD,CD20,IgD,IgM,CD20,SEMA4A,TCL1B,YBX3,TCL1A,IL21R,IL4R,PCDH9,SATB1,HOXB2,GCNT1,CXCR4,PAX5,BCL7A,CD79A,CD79A,PLPP5,IGHD,APLP2,IGHM,CXCR4,TCL1A,IL4R,FCER2,MS4A1,IGHD,TCL1A,CC19,CD79A,TCL1A,TCL1A,TCL1A,IL4R,IL4R,MS4A1,TCL1A,CD24,IgD,IgM,CD19,CD19,CD20,IgD,IgD,IgM,IgD,IGHM,IGHD,IL4R,IGHD,FCER2,CD19,IgD,IgD,CD19,IGHD","Adaptive"
"Non-switched memory B cell","CD27,IgD,CD19,CD19,IgD,CD27,IgD,CD27,CD19","Adaptive"
"Double-negative memory B cell","IgD,CD19,CD27","Adaptive"
"Switched memory B cell","CD19,CD27,IgD,CD27,IgD","Adaptive"
"Transitional B cell","CD19,CD27,CD38,IgD,CD38,CD19,CD24,CD38,CD24,CD24,CD38,CD20,IgD,CD19,CD38,CD24,CD24,CD38,CD38,CD5,CD24,CD19,CD38,CD20,IgM,CD19,CD24,CD38,CD24,CD19,CD38","Adaptive"
"Regulatory B cell","CD1d,CD19","Adaptive"
"Immature transitional B cell","CD19,CD38,CD24","Adaptive"
"Class-switched memory B cell","CD19,CD27,IgD,CD27,CD19","Adaptive"
"Plasmablast","CD38,CD24,CD19,CD38,IgM,CD27,CD38,CD19,CD38,MZB1,CD38,XBP1,IGHG,IGHA,CD27,TNFRSF17,MZB1,CD38,TNFRSF17,CD19,CD27,CD38,CD269,CD38,CD27,CD38,IgM,CD19,CD38,CD27,CD19,CD27,CD38","Adaptive"
"Double-negative B cell","IgD,CD19,CD27,CD20","Adaptive"
"Non-switched B cell","CD27,IgD","Adaptive"
"Resting memory B cell","FcRL5,CD11c,CD19,CD21,CD27","Adaptive"
"Immature B cell","CD10,CD23,IgD,CD38,IgM,CD38,CD5,CD24,HLA-DPB1,HLA-DRB1,HLA-DRA,CD79A,CD74,CD83,IgD,CD24,CD19,IgM,CD38,IgD,CD19","Adaptive"
"Unswitched memory B cell(UnSw MB)","IgD,CD19,CD27,IgM,CD19,CD20,CD27,CD27,IgD,CD19","Adaptive"
"Switched memory B cell(Sw MB)","CD19,CD27,CD27,CD27,CD27,CD19","Adaptive"
"Tissue-like memory B cell","FCRL4,CD21,CD27","Adaptive"
"Marginal zone(MZ)-like B cell","IgD,CD27,IgM,CD27,IgD,IgM,CD19,CD27,IgD,CD20","Adaptive"
"IgA memory B cell","IgA,CD20,CD27","Adaptive"
"Aged memory B cell","FCRL5,Tbet,CD19,CD11c","Adaptive"
"IgM memory B cell","IgM,CD20,CD27,IgD,CD27,IgD,IgM","Adaptive"
"IgG memory B cell","CD27,IgG,CD20","Adaptive"
"CD20+ B cell","CD20","Adaptive"
"Activated memory B cell","ZEB2,DHRS9,POU4F1,FCER1G,CD86,AICDA,ITGAX,STAC3,KREMEN2,HES4,TBX21,FCRL4","Adaptive"
"Mature naive B cell","CD23,CD38,IgM,IgD","Adaptive"
