"process","gene_set_short","immune_system","immune_sub_system","immune_tissue","go_term","set_size","genes"
"ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General","Manual",860,"ABL1,STAT5B,IL2,FAS,RPS6,AKT1,TAP2,HLA-DOB,FBXO38,P0DOX7,MYO1G,BTN3A2,HLA-E,CD19,OTUD7B,HLA-C,CLEC6A,CD1B,LILRB2,RAG1,JAK3,EOMES,THEMIS,HLA-DMB,CD1C,NLRP10,P0DOX6,LAG3,HLA-DRB3,P0DOX8,SYK,CTSS,RAPGEF3,CSK,CD247,ITK,CX3CR1,LILRA6,BCL10,BTLA,LILRB4,VTCN1,KLRC1,TEC,KLRC2,RAP1GAP2,ZNF683,TAP1,C17orf99,CD3G,CD8B,LAIR1,RAP1GAP,CD7,ARG2,ZAP70,CD160,CTSH,ERAP2,BTK,MCOLN2,LILRA3,GPR183,RNF19B,CD1E,P0DOX5,BTNL8,CD6,HLA-DRB4,IFNA8,CTLA4,LILRB1,BMX,CD46,IL2,TXK,P0DOX2,HMGB1,LAX1,CD79B,CD8B2,CLEC10A,CD86,TFEB,C1QBP,HLA-DPA1,TARM1,P0DOX4,HMHB1,CD81,HLA-DMA,CRTAM,SKAP1,PIK3CG,KLRK1,P0DOX3,FGL1,TFE3,IFNE,CD79A,TNFRSF17,CD247,CD3G,RPL22,BRAF,GLI3,ADA,ABL1,ZAP70,RHOA,CLEC4G,PTPRC,TICAM1,BANK1,CXCR5,TBC1D10C,CD79A,CHRNA4,CD40,GAPT,PHB1,CHRNA7,MS4A1,LAX1,RASGRP1,HSPD1,BTK,ZAP70,CD86,CD22,CHRNB2,TXLNA,BST2,AKAP17A,EPHB2,HDAC4,GPR183,BTK,CH25H,PLCG2,PTPRC,PAX5,TOP2B,IFNA8,PIK3R1,RAG1,MSH2,RAG2,IL2RG,ADGRG3,FZD9,MS4A1,EP300,PTPRJ,YY1,STAT5B,PTPN2,LYL1,SYK,CEBPG,JAK3,CD79B,CD79A,CR2,BCL6,KIT,SP3,ZBTB7A,NFAM1,ITGA4,CD40LG,IL10,IL11,BCL2,HDAC4,TPD52,TCF3,RBPJ,FOSL2,IFNE,HHEX,FLT3,VCAM1,ADAM17,IL9,CDH17,SPNS2,BAX,BCL2,GAPT,CAMLG,MEF2C,IL7R,RC3H1,SOS2,SOS1,NCKAP1L,CASP3,BAX,RAG2,TCF3,BCL2,RAG2,PRKDC,CD40,MSH2,CD70,CD19,BAX,TICAM1,BCL2,MEF2C,CD70,TLR4,IL9,CD40,BCL6,RASGRP1,PTPRC,MS4A1,CD79A,HSPD1,CD40LG,IFNA8,IL10,ABL1,IL7,CR2,PRKCD,CTPS1,IL7R,CD38,IFNE,FOSL2,WNT3A,ABL1,CD19,TLR4,GAPT,BAX,CD79A,BTK,ABL1,BCAR1,BCL2,CTLA4,CD79B,SYK,GRB2,CD19,MEF2C,MNDA,PLCG2,PTPRC,NCKAP1L,SOS1,ITK,MAPK1,BMX,NFKBIA,PTPN6,MS4A1,TEC,CD38,NFAM1,NFKB1,BANK1,CD19,TNFAIP3,ABL1,ZAP70,SYK,RHOA,LRRC17,ASXL1,LIPA,HOXB4,PTPRC,BRAF,CDH26,CD81,CD83,BRAF,TOX,PRKCQ,CD28,FUT7,IL2RG,TOX,HLA-E,WDFY4,PSMB11,IRF1,TNFSF8,EOMES,TOX,BCL2,KLRC1,RAB27A,LIG4,PTPRC,RAG2,ABL1,CCR7,CRTAM,MYH9,IL15,FCER1G,LIMK1,VAV2,SRC,VAV1,SYK,ABL1,PRKCE,MYO1G,HCK,PTK2,PRKCD,FGR,PLPP4,FCGR2B,FCGR2B,IRF8,SPI1,PLCG2,ITK,CXADR,JAML,CD3G,CD247,SYK,STAT5B,TCF7,PTPRC,CDH17,SPI1,IRF8,MEF2C,UNC13D,BCL6,ADAM17,NFKB2,BCL3,CRKL,CRK,CCL2,BCL3,ZP3,CD81,SPI1,PRKDC,IRF2BP2,KIT,SYVN1,WNT4,CLEC4G,YY1,IL4R,IL9R,CD19,PRKCD,MPL,FCGR2B,IL9,BCL10,FCER1G,IL2RB,CD27,CSF2RB,TCF3,PRKDC,LIG4,CD6,DOCK8,MSN,CD81,PRF1,EPHB1,LIG4,MSH2,MLH1,ERCC1,CD40LG,UNG,RNF168,SANBR,MSH6,BCL6,STAT6,HSPD1,LAX1,AXL,TYRO3,MERTK,CCL3,CCL18,CCL4,CCL7,XCL1,CCL2,ADAM8,GPR15LG,CX3CL1,CCL4L1,CCL1,CCL3L1,SAA1,CCL8,CCL24,CCL5,CCL20,CCL23,IL2RG,STAT5B,PRKDC,RELB,TOX,SPI1,SPNS2,SOS1,BCL2,TNFRSF17,SKIL,PACS1,SOS2,GATA3,SPNS2,FUT4,CCR7,FUT7,CRTAM,ARTN,FUT7,IL2,IMPDH2,HPRT1,FLT3,TLR4,PURA,CDH17,BCL3,LFNG,NOTCH2,IL2RG,RAG2,GPR183,C17orf99,FCGR2B,ST3GAL1,TNFSF4,ITGAL,DOCK8,THEMIS,ZAP70,GLI3,CD28,CCR7,SPN,PTPRC,PTX3,SFTPA1,LBP,C4B,MBL2,HLA-G,BCL6,LGALS1,CCR7,THEMIS,BRAF,SRF,ZAP70,ITPKB,PTPRC,CD3G,RAG1,RAG2,LRRC8A,GATA3,SPI1,CD28,ADAR,SHLD3,SHLD1,SHLD2,UNG,MLH1,MSH2,MSH6,PMS2,MSH2,MSH6,MLH1,UNG,PMS2,MSH3,MLH1,MSH2,HOXB4,NKX2-5,BCL3,LIPA,EPB42,ADAM17,CDKN2B,PBX1,NKX3-2,RC3H1,NFKB2,NKX2-3,CDH17,ABL1,CACNB4,BCL2,KMT2A,CD86,PRKCQ,WAS,CHRNA7,CD28,CORO1A,HSPD1,RBX1,NCK1,SMAD3,PPP3CA,LAG3,NLRC3,PPP3CB,FKBP1A,MFAP3,PIK3CG,DPP4,TNFAIP8L2,CD7,CD276,VAV1,PTPRC,CD44,ITK,RASGRP1,CD80,DCAF12,CD3G,CD8B,ADA,ZAP70,DDOST,IFNE,MDK,F2RL1,LCP1,PSEN1,IFNA8,CD1C,APBB1IP,ITGAL,CXCL12,CCL3,DEFA4,GPR183,SLC12A2,PIK3CG,DEFA1,CD86,PTPN6,CAV1,SRC,PTPN11,DPP4,SPN,LGALS1,MAP3K8,KLRK1,CD160,CD24,AKT1,CD28,CD80,PIK3CA,EFNB1,EFNB2,VAV1,CSK,MTOR,CD40LG,KDELR1,DTX1,GATA3,ITPKB,KIT,CTNNB1,IL2,FOSL2,PTPRC,ZAP70,VAV1,PPP3CB,SOX4,PTPN2,LIPA,LMBR1L,LFNG,LEPR,BCL2,GPR89A,LEP,EGR1,PKNOX1,IL7R,PIK3R1,NRARP,SP3,RAG2,GPR89B,RAG2,NKAP,STAT5B,IL2RG,IL7R,CTNNB1,RAG1,GLI3,ZFP36L2,NCAPH2,ZFP36L1,BCL2,ADAM17,PRKDC,GATA3,WNT4,RPS6,LIG4,CDK6,BRAF,B2M,JMJD6,PSMB11,TESPA1,FCER1G,XG,CD99,PPP2CA,CHST3,BCL2,SPNS2,JAK3,STAT5B,ZC3H8,NCKAP1L,PPP2R1A,RC3H1,IL7R,CORO1A,RAG1,PPP3CB,IL20RB,GPR15LG,CASP3,CCNB2,PRDX2,BAX,IL7,BCL2,RAG2,PRKDC,MYO1G,GZMM,CTSH,TAP2,PPP3CB,PRF1,EMP2,CTSC,HPRT1,IL7R,B2M,CD46,CLEC4G,JAG1,MYO1G,CR2,BTN3A2,CD70,GNL1,CR1,GPR15,MYO1G,CORO1A,FUT7,ZAP70,S1PR1,MSN,CCL20,ITGB7,PIK3CG,CD28,PSMB10,EFNB1,IL12B,CORO1A,PTPRC,FKBP1B,LIPA,PTPN6,KITLG,PPP3CB,LMBR1L,RASGRP1,IL20RB,MSN,CTPS1,TNFRSF4,IL2,IDO1,RC3H1,CD151,SCGB1A1,SPN,CCND3,PRDX2,LILRB1,SLC11A1,RPS6,GATA3,SKAP1,THEMIS2,THEMIS,CD3G,KHDRBS1,PTPRC,CACNB3,ZAP70,BTK,PDE4B,PDE4D,RC3H1,CD247,ITK,UBE2N,ABL1,NFKBID,BRAF,CRKL,PLCG2,DENND1B,MAPK1,TXK,VTCN1,PSEN1,FYB2,CTLA4,BTNL8,CD8B,BTN3A2,BCL10,CSK,CD28,BTNL10P,TEC,ZNF683,CD276,PLCG1,EIF2B2,FOSL2,PTPN6,BCAR1,BTNL9,BTNL3,BTN2A1,HLA-DRB3,PTPRJ,PIK3CA,LIG4,PRKDC,CD1D,GPR183,RC3H1,HMGB1,CEBPB,RELB,HMGB1,IL4R,SPN,STAT6,MTOR,TLR4,IL18BP,RELB,IL12B,BCL3,CCR2,RORC,RORA,IL6R,STAT3,IL6ST,JAK1,STAT3,NOTCH1,PHB1,TNFSF4,BCL6,IL4R,GATA3,MYB,MEN1,BCL3,KMT2A,PTGER4,ATP7A,IL12B,ZFPM1,ZAP70,ITPKB,GATA3,CCL20,CORO1A,ABL1,ASXL1,MAP2K1,HAND2,BCL2,MAP2K2,FOXI3,SOD1,PSEN1,CACNB4,TGFBR1,CRKL,MAPK3,EPHB3,SRF,LMO4,GATA3,PBX1,CCNB2,MAPK1,CTNNB1,RAG1,PRDX2,BRAF,TYR,LILRB4,PSG9,TNFAIP3,ACOD1,ABL1,BCL6,FCER1A,IL10,IL33,FCER1A,HMGB1,RAG2,RAG1,LIG4,HMGB2,PRKDC"
"INNATE IMMUNE SYSTEM","Innate immune system","Innate","General","General","Manual",965,"STING1,MAVS,NLRP10,XRCC5,MNDA,CGAS,TLR4,CASP6,XRCC6,SFPQ,PYHIN1,MATR3,HEXIM1,GBP2,PRKDC,HMGB1,NLRP6,ELANE,IL31RA,CD6,CXCR2,TFEB,LGALS4,CX3CR1,CLEC6A,PLCG2,BCL10,DEFB119,DEFB106A,HLA-DRB4,RAB27A,HLA-DRB3,HLA-DMA,HLA-DOB,CTSH,RELB,AP3B1,CTSS,HLA-DMB,HLA-DPA1,RAB4A,HLA-E,PSMB8,RAB5B,HLA-C,WDFY4,RAB3B,RAB10,RAB6A,TAP2,TAP1,ERAP2,B2M,IDE,TAP2,HLA-E,RAET1L,RAET1G,HLA-C,HLA-G,HLA-F,HLA-C,HLA-F,RAET1G,HLA-G,RAET1L,HLA-E,TAP2,PSME1,FCGR1A,FCGR1A,FCER1G,IFI30,MFSD6,HLA-F,HLA-E,IFI30,HLA-DOB,DNM2,HLA-DMB,HLA-DPA1,CTSE,FCGR2B,CTSS,HLA-DMA,HLA-DRB3,FCER1G,HLA-DRB4,B2M,B2M,TAP2,SLC11A1,CTSS,HLA-G,HLA-E,B2M,HLA-F,HLA-C,ACE,ERAP2,HLA-DRB3,HLA-DMB,HLA-DRB4,HLA-DMA,HLA-DOB,HLA-DPA1,CD1D,CD1B,CD1E,CD1C,CD1B,AP3B1,CD1E,CD1D,CD1C,GP2,RNF135,PHB1,TRIM65,UBE2N,MAVS,NMB,RIGI,NMBR,IFIT1,EIF2AK2,STING1,MBL2,NCK1,IFIT2,NLRP6,MX1,PDE12,PSEN1,LRP1,GRN,VEGFA,MPL,MBL2,LBP,CD14,IFIT1,DAPK1,WAS,CCL5,CCL4,STXBP1,NOS2,AQP4,CCL8,STXBP4,CD47,STX4,STAT1,CLDN1,GBP6,CCL1,GBP2,CCL3,GBP1,CCL4L1,CCL3L1,ACTG1,RAB43,CCL18,CCL2,FCAR,IL12RB1,RPS6KB1,MRC1,CX3CL1,XCL1,TDGF1,TLR4,IRF8,CDC42,RPL13A,CCL20,LGALS9,STXBP3,MYO1C,ACTR2,CCL24,ACTR3,CASP1,FASLG,SIRPA,CCL7,CCL23,KIF5B,VIM,CD58,CALM1,GBP7,IL12B,WNT5A,HLA-DPA1,PDE12,ACOD1,ADAMTS13,AIF1,IL10,MAVS,RIGI,CGAS,STING1,CCR2,CXCR2,CCR1,CXCR4,CXCR1,CCR7,HMGB1,GPR183,PIK3CG,CCL5,GPR183,F2R,ALOX5,CDC42,EPS8,DOCK8,NLRP12,SCG2,CCL5,CCL4,CCL18,CCL3,LGALS3,CCL23,CCL1,CCL8,CCL4L1,CCL2,CCL7,CX3CL1,CCL3L1,XCL1,CCL24,VAMP2,VAMP7,CCL3,FCER1A,BTK,MPL,EPX,CCL3,IL17RC,UNC13D,CEBPB,BTK,SNAP23,SLC18A2,RAB44,RAB44,CLU,FCGR2B,NOTCH1,PNMA1,IL20RB,HMGB2,FOSL2,IL5RA,IL1RN,HMGB1,NOTCH2,RBPJ,RASGRP1,CD68,PPARG,IFNL4,PML,REL,RIGI,APOBEC3F,DEFB108B,CLEC6A,MST1R,OAS2,BPI,CAMP,NLRP10,ADARB1,BST2,TRIM27,MAVS,IRGM,TRIM21,PTX3,DEFB125,SSC5D,LGALS3,DAPK1,GBP1,GSDMD,STMP1,TRIM26,TARM1,TRIM51G,TAC1,RFPL4A,METTL3,MIF,TRIML2,CFD,NLRP2B,MBL2,IFI35,CLU,RNF135,SFPQ,IFI6,TAX1BP1,SFTPD,TRAF2,LILRA5,TTC4,HLA-C,LILRA4,IFNL2,CYBA,CSF1,FCGR1A,PARP1,CD46,SERINC5,DEFB131A,SARM1,LY86,CGAS,TRIM23,JAK3,STING1,CHGA,CX3CR1,KLRC2,PRKDC,CD160,KLRK1,FGR,BPIFB3,RFPL4AL1,MAP4K2,TRIM77,C1S,TRIM64C,DEFB128,PELI3,APOBEC3A,TMEM33,DEFB108A,IFIT2,GP2,VNN1,ADAR,DEFB1,APOBEC3H,IFITM3,GZMM,DEFB131B,XRCC5,FRK,NCF1,NLRC5,RNASE3,CD6,TRIM40,TNFAIP8L2,TRIM64B,C4B,TRIM22,TRIM48,F2RL1,CLEC10A,DEFB105A,HMGB2,BTK,ARG2,TLR4,KLRC1,PARP9,CD177,CR1,XRCC6,DEFB124,KRT16,NCF2,TICAM1,MASP2,S100A12,CFH,SYK,TRIM49D1,GATA3,C1QBP,HK1,BPIFC,IFNL3,CFP,HCK,TRIM65,NEDD4,DEFA5,CASP4,TREML1,SLC15A4,LBP,WFDC3,GARIN5A,LILRA2,WFDC10B,WFDC13,IFIT1,TRIM49C,CD55,GBP6,TRIM59,CD1D,NMB,NFKB2,MMP3,RELB,GBP2,TRIM64,PIK3CG,IFI27,ANKHD1,IRF1,SDHAF4,CD14,F12,ACOD1,UBA7,DEFB123,DEFB132,USP27X,B2M,LACC1,NLRX1,PLPP6,SPIRE1,NLRP9,HLA-E,ZC3HAV1,MX2,TBKBP1,PI3,ZNF683,IL27,TICAM2,C4A,OTUD4,DHX9,C1R,TRIM49B,TRIM43B,CORO1A,NFKB1,MATR3,DEFA4,HMGB1,GBP7,SIRT2,DEFB119,ITGAM,LCN2,SRC,C7,SRPK2,DEFA6,USP14,IL34,TRIM49,SLC15A3,FCER1G,MX1,IFITM2,BCL10,TIRAP,FOSL2,ENDOD1,SUSD4,DEFB106A,ZAP70,NQO1,IPO7,DDX60,MCOLN2,C6,EIF2AK2,IFITM1,HEXIM1,C4BPB,TREML4,CRISP3,ARID5A,WFDC9,DEFB107A,CFB,MASP1,TRIML1,TRIL,CR2,RELA,TRIM58,IFNL1,AXL,WFDC11,NLRP6,DAB2IP,TRIM68,IL23R,LILRA2,NOS2,FAU,H2BC12L,DEFA3,DEFB1,H2BC10,DEFA1,RNASE3,RNASE2,DEFA6,DEFA5,DEFA4,CAMP,RPL39,HCK,TGFBR2,ITGB8,ITGB6,IL13,HAMP,CRTC3,JMJD6,FCGR3A,TMEM229B,SLC11A1,ADGRF5,TLR4,EDN2,TICAM1,IFI35,IL33,PRKCE,SYK,LBP,PLCG2,SFTPD,CCL2,LGALS3,AZU1,EDNRB,EDN2,RPL13A,CXCL17,CCL5,SAA1,CCL3,MMP2,LIPA,CSF1,ROR2,MCOLN2,BCR,CCR2,B4GALT1,S100A12,CHGA,KITLG,NF1,KIT,CHGA,CBL,RAB44,PIK3CG,CLNK,RASGRP1,GPR15LG,PTGDS,SYK,KIT,CHGA,FCER1A,MILR1,ADORA2B,CPLX2,SLC15A4,SERPINB9,NDST2,KITLG,STAT5B,XCL1,SNCA,ITGAM,AIF1,TRPV1,IL13,C5AR1,IFNGR1,IFNGR2,CX3CL1,CLU,MAPT,AZU1,NAGLU,CX3CR1,IL33,GRN,AZU1,HYAL2,MT1G,CSF1,SPACA3,P0DOX3,CCL3L1,CX3CL1,IL6R,CCL3,CCL18,CCL1,CCL7,LGALS3,CTSG,XCL1,CCL5,CCL2,CCL23,FLT1,CCL4,CCL4L1,CCL24,CCR2,CCL20,RPS19,CCL8,S100A12,CCR2,JAML,SIRPA,PECAM1,MPL,CSF1,LGALS3,TLR4,REG3G,HSPD1,TIRAP,BTK,TICAM1,FANCC,NCKAP1L,SOD1,BAX,HAMP,ITPKB,HMGB1,HLA-DRB3,CCR7,ARHGEF5,SPI1,BATF2,TGFBR2,NOTCH2,LTBR,PSEN1,RELB,RBPJ,IL12B,PRDX1,GATA3,KLRK1,BAG6,FCGR3A,IL2,RASGRP1,IFNA8,IFNE,IL12B,PIK3CG,FCGR3A,UNC13D,KLRF2,RAB27A,VAMP7,CORO1A,KAT7,SP3,PBX1,PTPRC,MERTK,AXL,STAT5B,TYRO3,IL15,FCGR3A,PTPN6,GZMB,RAET1G,LAG3,TUBB4B,PLEKHM2,CEBPG,RNF19B,KIF5B,KLRK1,STAT5B,KIR3DL1,PRDX1,CLEC2A,KLRC2,IL15,EMP2,STAT5B,LGALS9,HLA-E,CXCL8,F2RL1,IL15,KMT2E,CCL5,CXCR2,IL18RAP,FCAR,CXCL6,CTSG,PRKCD,CAMP,FCER1G,LILRA2,SYK,DNASE1,SCNN1B,CXCL9,JAML,CCL24,CCL18,SRP54,C5AR1,PIK3CG,SAA1,CCL8,CCL1,CCL3L1,CX3CL1,ITGA1,TGFB2,CXCR2,LBP,FCER1G,CCL3,EDN3,NCKAP1L,PPIB,XCL1,CXCR1,CXCL8,DPEP1,SYK,CD300H,PDE4B,CXCL6,VAV1,LGALS3,CXCL3,BSG,S100A12,CXCL5,PF4V1,EDN2,CCL4L1,CCL4,CCL7,CXADR,CCL23,CCL20,PPIA,CCL2,CXCL1,CCL5,CXCL2,HMGB1,CCR2,MERTK,AXL,STXBP3,VAMP7,BCR,ANXA3,PECAM1,PIK3CG,JAML,CD177,PRTN3,PDE4B,MTHFD1,BTK,CSF1,MPL,ADAM17,ACE,IL6R,KMT2E,JAGN1,FCAR,EMP2,GP2,JAGN1,CD177,MCOLN2,SCNN1B,AZU1,ELANE,F2,ELANE,NLRP6,CTSG,ATF2,ITK,FOSL2,TOX,IL15,SIRT2,NLRP6,NFKBIA,TLR4,XIAP,TLR4,LACC1,IRGM,XIAP,NFKBIA,RELA,MAP2K6,TNFAIP3,CASP1,LACC1,CGAS,STING1,CALR,PDIA3,HLA-DRB3,HLA-DMB,HLA-DMA,B2M,HLA-DRB4,HLA-DPA1,HLA-DOB,TAP2,LAG3,ZBTB46,IRF8,HCK,PIK3CG,PRDX2,LIPA,SP100,SHMT2,CH25H,SMPD1,MX1,GCH1,SLC30A8,CD40,IFITM2,C9JQL5,IFITM1,BST2,IFITM3,TRIM21,SLC11A1,IL23R,CIITA,SP100,SNCA,STAT1,ADAMTS13,IFNLR1,RNF135,PHB1,RIGI,LSM14A,SLC18A2,SYK,PLCG2,KLRC1,EP300,CLEC6A,KLRC2,KLRC3,SRC,KLRK1,TIRAP,PIK3AP1,TNIP2,TNIP2,SCIMP,TICAM1,TLR4,CD14,NAGLU,PIK3AP1,TRIL,NFKBIA,SCIMP,TIRAP,RELA,PIK3AP1,SCIMP,TNIP2,PIK3AP1,AP3B1,TLR4,FOSL1,RPS6KA3,MAPKAPK2,PLCG2,BCL10,TICAM1,CTSS,SCIMP,PRKCE,TICAM2,RAB11FIP2,TICAM2,TICAM1,TLR4,CD40,IFNE,STAT2,HDAC4,STAT1,IFITM1,JAK1,OAS2,TYK2,IFNAR1,IFNAR2,IFI27,TRIM65,TBKBP1,IFITM3,SP100,C9JQL5,IFITM2,IFNA8,MAVS,STAT1,IRF1,JAK1,IFNGR1,TYK2,HCK,IFNGR2,SP100,IFNGR1,IFNLR1,IL10RB,IFNL1,TYK2,IFNL4,IFNGR2,IFNL3,JAK1,IFNL2"
"COMPLEMENT","Complement immune system","Complement","General","General","Manual",52,"C4B,CFHR2,C7,CFH,C4A,C6,CFD,CFHR3,MASP1,CFHR1,C1S,CLU,C1R,MASP2,CFP,CFB,CFD,CR1,CFP,CFB,CR2,CFH,C7,SUSD4,C1QBP,C6,CD46,MBL2,C4BPB,C1R,CD55,C1S,NCR3LG1,CR1,C4A,C7,C4B,CR2,CLU,MASP2,MASP1,MBL2,MASP2,C5AR1,C5AR1,FPR1,GPLD1,GPR32P1,CR1,FPR2,FPR3,CR2"
"INFLAMMATION","Inflammation","Innate","Inflammation","General","Manual",22,"NLRP6,ELANE,IL31RA,CD6,CXCR2,IL10,NOTCH1,PNMA1,IL20RB,HMGB2,FOSL2,IL5RA,IL1RN,HMGB1,NOTCH2,RBPJ,RASGRP1,CD68,SIRT2,NLRP6,PRDX2,LIPA"
"ANTIVIRAL & IFN","Antiviral and Interferon","Innate","Antiviral and Interferon","General","Manual",114,"RNF135,PHB1,TRIM65,UBE2N,MAVS,NMB,RIGI,NMBR,IFIT1,EIF2AK2,STING1,MBL2,NCK1,IFIT2,NLRP6,MX1,PDE12,IFIT1,DAPK1,WAS,CCL5,CCL4,STXBP1,NOS2,AQP4,CCL8,STXBP4,CD47,STX4,STAT1,CLDN1,GBP6,CCL1,GBP2,CCL3,GBP1,CCL4L1,CCL3L1,ACTG1,RAB43,CCL18,CCL2,FCAR,IL12RB1,RPS6KB1,MRC1,CX3CL1,XCL1,TDGF1,TLR4,IRF8,CDC42,RPL13A,CCL20,LGALS9,STXBP3,MYO1C,ACTR2,CCL24,ACTR3,CASP1,FASLG,SIRPA,CCL7,CCL23,KIF5B,VIM,CD58,CALM1,GBP7,IL12B,WNT5A,HLA-DPA1,PDE12,ACOD1,ADAMTS13,AIF1,IFNE,STAT2,HDAC4,STAT1,IFITM1,JAK1,OAS2,TYK2,IFNAR1,IFNAR2,IFI27,TRIM65,TBKBP1,IFITM3,SP100,C9JQL5,IFITM2,IFNA8,MAVS,STAT1,IRF1,JAK1,IFNGR1,TYK2,HCK,IFNGR2,SP100,IFNGR1,IFNLR1,IL10RB,IFNL1,TYK2,IFNL4,IFNGR2,IFNL3,JAK1,IFNL2"
"ARPP","Antigen receptors, processing and presentation","Innate","APC","APC","Manual",183,"MBL2,LBP,CD14,MAVS,RIGI,CGAS,STING1,CCR2,CXCR2,CCR1,CXCR4,CXCR1,CCR7,HMGB1,GPR183,PIK3CG,CCL5,GPR183,F2R,ALOX5,CDC42,EPS8,DOCK8,NLRP12,TGFBR2,ITGB8,ITGB6,IL13,HAMP,CRTC3,JMJD6,FCGR3A,TMEM229B,SLC11A1,ADGRF5,TLR4,EDN2,TICAM1,IFI35,IL33,PRKCE,SYK,LBP,PLCG2,SFTPD,CCL2,LGALS3,AZU1,EDNRB,EDN2,RPL13A,CXCL17,CCL5,SAA1,CCL3,MMP2,LIPA,CSF1,ROR2,MCOLN2,BCR,CCR2,B4GALT1,AZU1,HYAL2,MT1G,CSF1,SPACA3,P0DOX3,CCL3L1,CX3CL1,IL6R,CCL3,CCL18,CCL1,CCL7,LGALS3,CTSG,XCL1,CCL5,CCL2,CCL23,FLT1,CCL4,CCL4L1,CCL24,CCR2,CCL20,RPS19,CCL8,S100A12,CCR2,JAML,SIRPA,PECAM1,MPL,CSF1,TLR4,REG3G,HSPD1,TIRAP,BTK,TICAM1,HMGB1,HLA-DRB3,CCR7,ARHGEF5,SPI1,BATF2,TGFBR2,NOTCH2,LTBR,PSEN1,RELB,RBPJ,NFKBIA,TLR4,XIAP,TLR4,LACC1,IRGM,XIAP,NFKBIA,RELA,MAP2K6,TNFAIP3,CASP1,LACC1,CGAS,STING1,LAG3,ZBTB46,IRF8,HCK,RNF135,PHB1,RIGI,LSM14A,SYK,PLCG2,KLRC1,EP300,CLEC6A,KLRC2,KLRC3,SRC,KLRK1,TIRAP,PIK3AP1,TNIP2,TNIP2,SCIMP,TICAM1,TLR4,CD14,NAGLU,PIK3AP1,TRIL,NFKBIA,SCIMP,TIRAP,RELA,PIK3AP1,SCIMP,TNIP2,PIK3AP1,AP3B1,TLR4,FOSL1,RPS6KA3,MAPKAPK2,PLCG2,BCL10,TICAM1,CTSS,SCIMP,PRKCE,TICAM2,RAB11FIP2,TICAM2,TICAM1,TLR4,CD40"
"MACROPHAGE","Macrophage","Innate","Cell","APC","Manual",36,"IL13,HAMP,CRTC3,JMJD6,FCGR3A,TMEM229B,SLC11A1,ADGRF5,TLR4,EDN2,TICAM1,IFI35,IL33,PRKCE,SYK,LBP,PLCG2,SFTPD,CCL2,LGALS3,AZU1,EDNRB,EDN2,RPL13A,CXCL17,CCL5,SAA1,CCL3,MMP2,LIPA,CSF1,ROR2,MCOLN2,BCR,CCR2,B4GALT1"
"MAST CELL","Mast cell","Innate","Cell","Mast cell","Manual",31,"BTK,SNAP23,SLC18A2,RAB44,RAB44,S100A12,CHGA,KITLG,NF1,KIT,CHGA,CBL,RAB44,PIK3CG,CLNK,RASGRP1,GPR15LG,PTGDS,SYK,KIT,CHGA,FCER1A,MILR1,ADORA2B,CPLX2,SLC15A4,SERPINB9,NDST2,KITLG,STAT5B,SLC18A2"
"NEUTROPHIL","Neutrophil","Innate","Cell","Neutrophil","Manual",101,"CXCL8,F2RL1,IL15,KMT2E,CCL5,CXCR2,IL18RAP,FCAR,CXCL6,CTSG,PRKCD,CAMP,FCER1G,LILRA2,SYK,DNASE1,SCNN1B,CXCL9,JAML,CCL24,CCL18,SRP54,C5AR1,PIK3CG,SAA1,CCL8,CCL1,CCL3L1,CX3CL1,ITGA1,TGFB2,CXCR2,LBP,FCER1G,CCL3,EDN3,NCKAP1L,PPIB,XCL1,CXCR1,CXCL8,DPEP1,SYK,CD300H,PDE4B,CXCL6,VAV1,LGALS3,CXCL3,BSG,S100A12,CXCL5,PF4V1,EDN2,CCL4L1,CCL4,CCL7,CXADR,CCL23,CCL20,PPIA,CCL2,CXCL1,CCL5,CXCL2,HMGB1,CCR2,MERTK,AXL,STXBP3,VAMP7,BCR,ANXA3,PECAM1,PIK3CG,JAML,CD177,PRTN3,PDE4B,MTHFD1,BTK,CSF1,MPL,ADAM17,ACE,IL6R,KMT2E,JAGN1,FCAR,EMP2,GP2,JAGN1,CD177,MCOLN2,SCNN1B,AZU1,ELANE,F2,ELANE,NLRP6,CTSG"
"EOSINOPHIL","Eosinophil","Innate","Cell","Eosinophil","Manual",23,"SCG2,CCL5,CCL4,CCL18,CCL3,LGALS3,CCL23,CCL1,CCL8,CCL4L1,CCL2,CCL7,CX3CL1,CCL3L1,XCL1,CCL24,VAMP2,VAMP7,CCL3,FCER1A,BTK,MPL,EPX"
