"process","genes","go_term","immune_system","immune_sub_system","gene_set_short","immune_tissue","set_size"
"ACTIVATED T CELL PROLIFERATION","ABL1,STAT5B,IL2,FYN,IL2RA,BTN3A1,GPAM","GO:0050798","Adaptive","Cellular","Proliferation, T cell, Activated","T cell",3
"ACTIVATED T CELL PROLIFERATION","ABL1,STAT5B,IL2,FYN,IL2RA,BTN3A1,GPAM",NA,NA,NA,NA,NA,NA
"ACTIVATION OF IMMUNE RESPONSE","HMSD,TREX1","GO:0002253","General","Immune","Activation, Immune response","Undefined",1
"ACTIVATION OF IMMUNE RESPONSE","HMSD,TREX1",NA,NA,NA,NA,NA,NA
"ACTIVATION OF INNATE IMMUNE RESPONSE","STING1,MAVS,NLRP10,XRCC5,MNDA,CGAS,TLR4,CASP6,XRCC6,SFPQ,PYHIN1,MATR3,HEXIM1,GBP2,PRKDC,HMGB1,HSP90AA1,IFI16,NONO,AIM2,TOMM70,PQBP1,RBM14,SIN3A,PYCARD,TBK1,PSPC1,ZNFX1,NLRC4,ZBP1,TRIM5,ZCCHC3","GO:0002218","Innate","General","Activation, Innate immune response","Undefined",16
"ACTIVATION OF INNATE IMMUNE RESPONSE","STING1,MAVS,NLRP10,XRCC5,MNDA,CGAS,TLR4,CASP6,XRCC6,SFPQ,PYHIN1,MATR3,HEXIM1,GBP2,PRKDC,HMGB1,HSP90AA1,IFI16,NONO,AIM2,TOMM70,PQBP1,RBM14,SIN3A,PYCARD,TBK1,PSPC1,ZNFX1,NLRC4,ZBP1,TRIM5,ZCCHC3",NA,NA,NA,NA,NA,NA
"ACTIVATION-INDUCED CELL DEATH OF T CELLS","FAS,RPS6,AKT1,IL2RA,DNAJA3,GPAM","GO:0006924","Adaptive","Cellular","Cell death, Activation-induced, T cell","T cell",3
"ACTIVATION-INDUCED CELL DEATH OF T CELLS","FAS,RPS6,AKT1,IL2RA,DNAJA3,GPAM",NA,NA,NA,NA,NA,NA
"ACUTE INFLAMMATORY RESPONSE TO ANTIGENIC STIMULUS","NLRP6,ELANE,IL31RA,CD6,CXCR2,A2M,OPRM1","GO:0002438","Innate","Inflammation","Acute inflammatory response to antigenic stimulus","Undefined",5
"ACUTE INFLAMMATORY RESPONSE TO ANTIGENIC STIMULUS","NLRP6,ELANE,IL31RA,CD6,CXCR2,A2M,OPRM1",NA,NA,NA,NA,NA,NA
