"process","genes","go_term","immune_system","immune_sub_system","gene_set_short","immune_tissue","set_size","gene_set_short_2","process_2","immune_system_2","immune_sub_system_2","immune_tissue_2","go_term_2","genes_2","set_size_2"
"ADAPTIVE IMMUNE SYSTEM","RHOA","Manual","Adaptive","General","Adaptive immune system","General",676,NA,NA,NA,NA,NA,NA,NA,NA
"ADAPTIVE IMMUNE SYSTEM","GPR183","Manual","Adaptive","General","Adaptive immune system","General",676,NA,NA,NA,NA,NA,NA,NA,NA
"ADAPTIVE IMMUNE SYSTEM","BTK","Manual","Adaptive","General","Adaptive immune system","General",676,NA,NA,NA,NA,NA,NA,NA,NA
"ADAPTIVE IMMUNE SYSTEM","CH25H","Manual","Adaptive","General","Adaptive immune system","General",676,NA,NA,NA,NA,NA,NA,NA,NA
"ADAPTIVE IMMUNE SYSTEM","BAX","Manual","Adaptive","General","Adaptive immune system","General",676,NA,NA,NA,NA,NA,NA,NA,NA
"ADAPTIVE IMMUNE SYSTEM","CD19","Manual","Adaptive","General","Adaptive immune system","General",676,NA,NA,NA,NA,NA,NA,NA,NA
"ADAPTIVE IMMUNE SYSTEM","BRAF","Manual","Adaptive","General","Adaptive immune system","General",676,NA,NA,NA,NA,NA,NA,NA,NA
"ADAPTIVE IMMUNE SYSTEM","CDH26","Manual","Adaptive","General","Adaptive immune system","General",676,NA,NA,NA,NA,NA,NA,NA,NA
"ADAPTIVE IMMUNE SYSTEM","CD81","Manual","Adaptive","General","Adaptive immune system","General",676,NA,NA,NA,NA,NA,NA,NA,NA
"ADAPTIVE IMMUNE SYSTEM","TOX","Manual","Adaptive","General","Adaptive immune system","General",676,NA,NA,NA,NA,NA,NA,NA,NA
"ADAPTIVE IMMUNE SYSTEM","EOMES","Manual","Adaptive","General","Adaptive immune system","General",676,NA,NA,NA,NA,NA,NA,NA,NA
"ADAPTIVE IMMUNE SYSTEM","KLRC1","Manual","Adaptive","General","Adaptive immune system","General",676,NA,NA,NA,NA,NA,NA,NA,NA
"ADAPTIVE IMMUNE SYSTEM","RAB27A","Manual","Adaptive","General","Adaptive immune system","General",676,NA,NA,NA,NA,NA,NA,NA,NA
"ADAPTIVE IMMUNE SYSTEM","ABL1","Manual","Adaptive","General","Adaptive immune system","General",676,NA,NA,NA,NA,NA,NA,NA,NA
"ADAPTIVE IMMUNE SYSTEM","IL15","Manual","Adaptive","General","Adaptive immune system","General",676,NA,NA,NA,NA,NA,NA,NA,NA
"ADAPTIVE IMMUNE SYSTEM","FCER1G","Manual","Adaptive","General","Adaptive immune system","General",676,NA,NA,NA,NA,NA,NA,NA,NA
"ADAPTIVE IMMUNE SYSTEM","CCL2","Manual","Adaptive","General","Adaptive immune system","General",676,NA,NA,NA,NA,NA,NA,NA,NA
"ADAPTIVE IMMUNE SYSTEM","YY1","Manual","Adaptive","General","Adaptive immune system","General",676,NA,NA,NA,NA,NA,NA,NA,NA
"ADAPTIVE IMMUNE SYSTEM","HSPD1","Manual","Adaptive","General","Adaptive immune system","General",676,NA,NA,NA,NA,NA,NA,NA,NA
"ADAPTIVE IMMUNE SYSTEM","IL2RG","Manual","Adaptive","General","Adaptive immune system","General",676,NA,NA,NA,NA,NA,NA,NA,NA
"ADAPTIVE IMMUNE SYSTEM","ST3GAL1","Manual","Adaptive","General","Adaptive immune system","General",676,NA,NA,NA,NA,NA,NA,NA,NA
"ADAPTIVE IMMUNE SYSTEM","TNFSF4","Manual","Adaptive","General","Adaptive immune system","General",676,NA,NA,NA,NA,NA,NA,NA,NA
"ADAPTIVE IMMUNE SYSTEM","ITGAL","Manual","Adaptive","General","Adaptive immune system","General",676,NA,NA,NA,NA,NA,NA,NA,NA
"ADAPTIVE IMMUNE SYSTEM","DOCK8","Manual","Adaptive","General","Adaptive immune system","General",676,NA,NA,NA,NA,NA,NA,NA,NA
"ADAPTIVE IMMUNE SYSTEM","THEMIS","Manual","Adaptive","General","Adaptive immune system","General",676,NA,NA,NA,NA,NA,NA,NA,NA
"ADAPTIVE IMMUNE SYSTEM","HLA-G","Manual","Adaptive","General","Adaptive immune system","General",676,NA,NA,NA,NA,NA,NA,NA,NA
"ADAPTIVE IMMUNE SYSTEM","CCR7","Manual","Adaptive","General","Adaptive immune system","General",676,NA,NA,NA,NA,NA,NA,NA,NA
"ADAPTIVE IMMUNE SYSTEM","LRRC8A","Manual","Adaptive","General","Adaptive immune system","General",676,NA,NA,NA,NA,NA,NA,NA,NA
"ADAPTIVE IMMUNE SYSTEM","CD28","Manual","Adaptive","General","Adaptive immune system","General",676,NA,NA,NA,NA,NA,NA,NA,NA
"ADAPTIVE IMMUNE SYSTEM","ADAR","Manual","Adaptive","General","Adaptive immune system","General",676,NA,NA,NA,NA,NA,NA,NA,NA
"ADAPTIVE IMMUNE SYSTEM","MYO1G","Manual","Adaptive","General","Adaptive immune system","General",676,NA,NA,NA,NA,NA,NA,NA,NA
"ADAPTIVE IMMUNE SYSTEM","CD1D","Manual","Adaptive","General","Adaptive immune system","General",676,NA,NA,NA,NA,NA,NA,NA,NA
"ADAPTIVE IMMUNE SYSTEM","CCR2","Manual","Adaptive","General","Adaptive immune system","General",676,NA,NA,NA,NA,NA,NA,NA,NA
"ADAPTIVE IMMUNE SYSTEM","ZFPM1","Manual","Adaptive","General","Adaptive immune system","General",676,NA,NA,NA,NA,NA,NA,NA,NA
"ADAPTIVE IMMUNE SYSTEM","LILRB4","Manual","Adaptive","General","Adaptive immune system","General",676,NA,NA,NA,NA,NA,NA,NA,NA
"ADAPTIVE IMMUNE SYSTEM","PSG9","Manual","Adaptive","General","Adaptive immune system","General",676,NA,NA,NA,NA,NA,NA,NA,NA
"ADAPTIVE IMMUNE SYSTEM","FCER1A","Manual","Adaptive","General","Adaptive immune system","General",676,NA,NA,NA,NA,NA,NA,NA,NA
"ADAPTIVE IMMUNE SYSTEM","CLEC4G","Manual","Adaptive","General","Adaptive immune system","General",676,NA,NA,NA,NA,NA,NA,NA,NA
"ADAPTIVE IMMUNE SYSTEM","PTPRC","Manual","Adaptive","General","Adaptive immune system","General",676,NA,NA,NA,NA,NA,NA,NA,NA
"ADAPTIVE IMMUNE SYSTEM","RAG2","Manual","Adaptive","General","Adaptive immune system","General",676,NA,NA,NA,NA,NA,NA,NA,NA
"ADAPTIVE IMMUNE SYSTEM","TNFAIP3","Manual","Adaptive","General","Adaptive immune system","General",676,NA,NA,NA,NA,NA,NA,NA,NA
"ADAPTIVE IMMUNE SYSTEM","CD83","Manual","Adaptive","General","Adaptive immune system","General",676,NA,NA,NA,NA,NA,NA,NA,NA
"ADAPTIVE IMMUNE SYSTEM","PRKCQ","Manual","Adaptive","General","Adaptive immune system","General",676,NA,NA,NA,NA,NA,NA,NA,NA
"ADAPTIVE IMMUNE SYSTEM","FUT7","Manual","Adaptive","General","Adaptive immune system","General",676,NA,NA,NA,NA,NA,NA,NA,NA
"ADAPTIVE IMMUNE SYSTEM","HLA-E","Manual","Adaptive","General","Adaptive immune system","General",676,NA,NA,NA,NA,NA,NA,NA,NA
"ADAPTIVE IMMUNE SYSTEM","WDFY4","Manual","Adaptive","General","Adaptive immune system","General",676,NA,NA,NA,NA,NA,NA,NA,NA
