"process","genes","set_size","go_term","immune_system","immune_sub_system","gene_set_short","immune_tissue"
"INNATE IMMUNE SYSTEM","TFEB",542,"Manual","Innate","General","Innate immune system","General"
"INNATE IMMUNE SYSTEM","LGALS4",542,"Manual","Innate","General","Innate immune system","General"
"INNATE IMMUNE SYSTEM","TAP2",542,"Manual","Innate","General","Innate immune system","General"
"INNATE IMMUNE SYSTEM","GP2",542,"Manual","Innate","General","Innate immune system","General"
"INNATE IMMUNE SYSTEM","VEGFA",542,"Manual","Innate","General","Innate immune system","General"
"INNATE IMMUNE SYSTEM","MPL",542,"Manual","Innate","General","Innate immune system","General"
"INNATE IMMUNE SYSTEM","IFIT1",542,"Manual","Innate","General","Innate immune system","General"
"INNATE IMMUNE SYSTEM","IL10",542,"Manual","Innate","General","Innate immune system","General"
"INNATE IMMUNE SYSTEM","EPX",542,"Manual","Innate","General","Innate immune system","General"
"INNATE IMMUNE SYSTEM","RAB44",542,"Manual","Innate","General","Innate immune system","General"
"INNATE IMMUNE SYSTEM","CLU",542,"Manual","Innate","General","Innate immune system","General"
"INNATE IMMUNE SYSTEM","FCGR2B",542,"Manual","Innate","General","Innate immune system","General"
"INNATE IMMUNE SYSTEM","LILRA2",542,"Manual","Innate","General","Innate immune system","General"
"INNATE IMMUNE SYSTEM","HCK",542,"Manual","Innate","General","Innate immune system","General"
"INNATE IMMUNE SYSTEM","SLC15A4",542,"Manual","Innate","General","Innate immune system","General"
"INNATE IMMUNE SYSTEM","XCL1",542,"Manual","Innate","General","Innate immune system","General"
"INNATE IMMUNE SYSTEM","LGALS3",542,"Manual","Innate","General","Innate immune system","General"
"INNATE IMMUNE SYSTEM","TICAM1",542,"Manual","Innate","General","Innate immune system","General"
"INNATE IMMUNE SYSTEM","HMGB1",542,"Manual","Innate","General","Innate immune system","General"
"INNATE IMMUNE SYSTEM","HLA-DRB3",542,"Manual","Innate","General","Innate immune system","General"
"INNATE IMMUNE SYSTEM","PIK3CG",542,"Manual","Innate","General","Innate immune system","General"
"INNATE IMMUNE SYSTEM","KLRC2",542,"Manual","Innate","General","Innate immune system","General"
"INNATE IMMUNE SYSTEM","ELANE",542,"Manual","Innate","General","Innate immune system","General"
"INNATE IMMUNE SYSTEM","TOX",542,"Manual","Innate","General","Innate immune system","General"
"INNATE IMMUNE SYSTEM","IL15",542,"Manual","Innate","General","Innate immune system","General"
"INNATE IMMUNE SYSTEM","SIRT2",542,"Manual","Innate","General","Innate immune system","General"
"INNATE IMMUNE SYSTEM","NLRP6",542,"Manual","Innate","General","Innate immune system","General"
"INNATE IMMUNE SYSTEM","LAG3",542,"Manual","Innate","General","Innate immune system","General"
"INNATE IMMUNE SYSTEM","IFNLR1",542,"Manual","Innate","General","Innate immune system","General"
"INNATE IMMUNE SYSTEM","SLC18A2",542,"Manual","Innate","General","Innate immune system","General"
"INNATE IMMUNE SYSTEM","TIRAP",542,"Manual","Innate","General","Innate immune system","General"
"INNATE IMMUNE SYSTEM","SCIMP",542,"Manual","Innate","General","Innate immune system","General"
"INNATE IMMUNE SYSTEM","PSME1",542,"Manual","Innate","General","Innate immune system","General"
"INNATE IMMUNE SYSTEM","FCGR1A",542,"Manual","Innate","General","Innate immune system","General"
"INNATE IMMUNE SYSTEM","HLA-F",542,"Manual","Innate","General","Innate immune system","General"
"INNATE IMMUNE SYSTEM","HLA-E",542,"Manual","Innate","General","Innate immune system","General"
"INNATE IMMUNE SYSTEM","B2M",542,"Manual","Innate","General","Innate immune system","General"
"INNATE IMMUNE SYSTEM","SLC11A1",542,"Manual","Innate","General","Innate immune system","General"
"INNATE IMMUNE SYSTEM","CTSS",542,"Manual","Innate","General","Innate immune system","General"
"INNATE IMMUNE SYSTEM","GPR183",542,"Manual","Innate","General","Innate immune system","General"
"INNATE IMMUNE SYSTEM","F2R",542,"Manual","Innate","General","Innate immune system","General"
"INNATE IMMUNE SYSTEM","BTK",542,"Manual","Innate","General","Innate immune system","General"
"INNATE IMMUNE SYSTEM","CCL3",542,"Manual","Innate","General","Innate immune system","General"
"INNATE IMMUNE SYSTEM","IL17RC",542,"Manual","Innate","General","Innate immune system","General"
"INNATE IMMUNE SYSTEM","UNC13D",542,"Manual","Innate","General","Innate immune system","General"
"INNATE IMMUNE SYSTEM","CEBPB",542,"Manual","Innate","General","Innate immune system","General"
"INNATE IMMUNE SYSTEM","LIPA",542,"Manual","Innate","General","Innate immune system","General"
"INNATE IMMUNE SYSTEM","CSF1",542,"Manual","Innate","General","Innate immune system","General"
"INNATE IMMUNE SYSTEM","S100A12",542,"Manual","Innate","General","Innate immune system","General"
"INNATE IMMUNE SYSTEM","CHGA",542,"Manual","Innate","General","Innate immune system","General"
"INNATE IMMUNE SYSTEM","KITLG",542,"Manual","Innate","General","Innate immune system","General"
"INNATE IMMUNE SYSTEM","NF1",542,"Manual","Innate","General","Innate immune system","General"
"INNATE IMMUNE SYSTEM","KIT",542,"Manual","Innate","General","Innate immune system","General"
"INNATE IMMUNE SYSTEM","SERPINB9",542,"Manual","Innate","General","Innate immune system","General"
"INNATE IMMUNE SYSTEM","NDST2",542,"Manual","Innate","General","Innate immune system","General"
"INNATE IMMUNE SYSTEM","STAT5B",542,"Manual","Innate","General","Innate immune system","General"
"INNATE IMMUNE SYSTEM","CCR7",542,"Manual","Innate","General","Innate immune system","General"
"INNATE IMMUNE SYSTEM","ARHGEF5",542,"Manual","Innate","General","Innate immune system","General"
"INNATE IMMUNE SYSTEM","LGALS9",542,"Manual","Innate","General","Innate immune system","General"
"INNATE IMMUNE SYSTEM","SCNN1B",542,"Manual","Innate","General","Innate immune system","General"
"INNATE IMMUNE SYSTEM","AZU1",542,"Manual","Innate","General","Innate immune system","General"
"INNATE IMMUNE SYSTEM","F2",542,"Manual","Innate","General","Innate immune system","General"
"INNATE IMMUNE SYSTEM","CTSG",542,"Manual","Innate","General","Innate immune system","General"
"INNATE IMMUNE SYSTEM","MAP2K6",542,"Manual","Innate","General","Innate immune system","General"
"INNATE IMMUNE SYSTEM","TNFAIP3",542,"Manual","Innate","General","Innate immune system","General"
"INNATE IMMUNE SYSTEM","CALR",542,"Manual","Innate","General","Innate immune system","General"
"INNATE IMMUNE SYSTEM","PDIA3",542,"Manual","Innate","General","Innate immune system","General"
"INNATE IMMUNE SYSTEM","ZBTB46",542,"Manual","Innate","General","Innate immune system","General"
"INNATE IMMUNE SYSTEM","IRF8",542,"Manual","Innate","General","Innate immune system","General"
"INNATE IMMUNE SYSTEM","PRDX2",542,"Manual","Innate","General","Innate immune system","General"
"INNATE IMMUNE SYSTEM","PIK3AP1",542,"Manual","Innate","General","Innate immune system","General"
"INNATE IMMUNE SYSTEM","TNIP2",542,"Manual","Innate","General","Innate immune system","General"
"INNATE IMMUNE SYSTEM","PSEN1",542,"Manual","Innate","General","Innate immune system","General"
"INNATE IMMUNE SYSTEM","LRP1",542,"Manual","Innate","General","Innate immune system","General"
"INNATE IMMUNE SYSTEM","GRN",542,"Manual","Innate","General","Innate immune system","General"
"INNATE IMMUNE SYSTEM","MBL2",542,"Manual","Innate","General","Innate immune system","General"
"INNATE IMMUNE SYSTEM","LBP",542,"Manual","Innate","General","Innate immune system","General"
"INNATE IMMUNE SYSTEM","CD14",542,"Manual","Innate","General","Innate immune system","General"
"INNATE IMMUNE SYSTEM","TGFBR2",542,"Manual","Innate","General","Innate immune system","General"
"INNATE IMMUNE SYSTEM","ITGB8",542,"Manual","Innate","General","Innate immune system","General"
"INNATE IMMUNE SYSTEM","ITGB6",542,"Manual","Innate","General","Innate immune system","General"
"INNATE IMMUNE SYSTEM","CX3CR1",542,"Manual","Innate","General","Innate immune system","General"
"INNATE IMMUNE SYSTEM","IL33",542,"Manual","Innate","General","Innate immune system","General"
"INNATE IMMUNE SYSTEM","IFNA8",542,"Manual","Innate","General","Innate immune system","General"
"INNATE IMMUNE SYSTEM","IFNE",542,"Manual","Innate","General","Innate immune system","General"
"INNATE IMMUNE SYSTEM","IL12B",542,"Manual","Innate","General","Innate immune system","General"
"INNATE IMMUNE SYSTEM","EMP2",542,"Manual","Innate","General","Innate immune system","General"
"INNATE IMMUNE SYSTEM","ATF2",542,"Manual","Innate","General","Innate immune system","General"
"INNATE IMMUNE SYSTEM","ITK",542,"Manual","Innate","General","Innate immune system","General"
"INNATE IMMUNE SYSTEM","FOSL2",542,"Manual","Innate","General","Innate immune system","General"
"INNATE IMMUNE SYSTEM","NFKBIA",542,"Manual","Innate","General","Innate immune system","General"
