"process","genes","set_size","immune_system","immune_sub_system","immune_tissue","go_term","gene_set_short"
"ADAPTIVE IMMUNE SYSTEM","TAP2",1113,"Adaptive","General","General","Manual","ADAPTIVE IMMUNE SYSTEM"
"ADAPTIVE IMMUNE SYSTEM","HLA-DOB",1113,"Adaptive","General","General","Manual","ADAPTIVE IMMUNE SYSTEM"
"ADAPTIVE IMMUNE SYSTEM","FBXO38",1113,"Adaptive","General","General","Manual","ADAPTIVE IMMUNE SYSTEM"
"ADAPTIVE IMMUNE SYSTEM","P0DOX7",1113,"Adaptive","General","General","Manual","ADAPTIVE IMMUNE SYSTEM"
"ADAPTIVE IMMUNE SYSTEM","MYO1G",1113,"Adaptive","General","General","Manual","ADAPTIVE IMMUNE SYSTEM"
"ADAPTIVE IMMUNE SYSTEM","BTN3A2",1113,"Adaptive","General","General","Manual","ADAPTIVE IMMUNE SYSTEM"
"ADAPTIVE IMMUNE SYSTEM","HLA-E",1113,"Adaptive","General","General","Manual","ADAPTIVE IMMUNE SYSTEM"
"ADAPTIVE IMMUNE SYSTEM","CD19",1113,"Adaptive","General","General","Manual","ADAPTIVE IMMUNE SYSTEM"
"ADAPTIVE IMMUNE SYSTEM","OTUD7B",1113,"Adaptive","General","General","Manual","ADAPTIVE IMMUNE SYSTEM"
"ADAPTIVE IMMUNE SYSTEM","HLA-C",1113,"Adaptive","General","General","Manual","ADAPTIVE IMMUNE SYSTEM"
"ADAPTIVE IMMUNE SYSTEM","CLEC6A",1113,"Adaptive","General","General","Manual","ADAPTIVE IMMUNE SYSTEM"
"ADAPTIVE IMMUNE SYSTEM","CD1B",1113,"Adaptive","General","General","Manual","ADAPTIVE IMMUNE SYSTEM"
"ADAPTIVE IMMUNE SYSTEM","LILRB2",1113,"Adaptive","General","General","Manual","ADAPTIVE IMMUNE SYSTEM"
"ADAPTIVE IMMUNE SYSTEM","RAG1",1113,"Adaptive","General","General","Manual","ADAPTIVE IMMUNE SYSTEM"
"ADAPTIVE IMMUNE SYSTEM","JAK3",1113,"Adaptive","General","General","Manual","ADAPTIVE IMMUNE SYSTEM"
"ADAPTIVE IMMUNE SYSTEM","EOMES",1113,"Adaptive","General","General","Manual","ADAPTIVE IMMUNE SYSTEM"
"ADAPTIVE IMMUNE SYSTEM","THEMIS",1113,"Adaptive","General","General","Manual","ADAPTIVE IMMUNE SYSTEM"
"ADAPTIVE IMMUNE SYSTEM","HLA-DMB",1113,"Adaptive","General","General","Manual","ADAPTIVE IMMUNE SYSTEM"
"ADAPTIVE IMMUNE SYSTEM","CD1C",1113,"Adaptive","General","General","Manual","ADAPTIVE IMMUNE SYSTEM"
"ADAPTIVE IMMUNE SYSTEM","NLRP10",1113,"Adaptive","General","General","Manual","ADAPTIVE IMMUNE SYSTEM"
"ADAPTIVE IMMUNE SYSTEM","P0DOX6",1113,"Adaptive","General","General","Manual","ADAPTIVE IMMUNE SYSTEM"
"ADAPTIVE IMMUNE SYSTEM","LAG3",1113,"Adaptive","General","General","Manual","ADAPTIVE IMMUNE SYSTEM"
"ADAPTIVE IMMUNE SYSTEM","HLA-DRB3",1113,"Adaptive","General","General","Manual","ADAPTIVE IMMUNE SYSTEM"
"ADAPTIVE IMMUNE SYSTEM","P0DOX8",1113,"Adaptive","General","General","Manual","ADAPTIVE IMMUNE SYSTEM"
"ADAPTIVE IMMUNE SYSTEM","SYK",1113,"Adaptive","General","General","Manual","ADAPTIVE IMMUNE SYSTEM"
"ADAPTIVE IMMUNE SYSTEM","CTSS",1113,"Adaptive","General","General","Manual","ADAPTIVE IMMUNE SYSTEM"
"ADAPTIVE IMMUNE SYSTEM","RAPGEF3",1113,"Adaptive","General","General","Manual","ADAPTIVE IMMUNE SYSTEM"
"ADAPTIVE IMMUNE SYSTEM","CSK",1113,"Adaptive","General","General","Manual","ADAPTIVE IMMUNE SYSTEM"
"ADAPTIVE IMMUNE SYSTEM","CD247",1113,"Adaptive","General","General","Manual","ADAPTIVE IMMUNE SYSTEM"
"ADAPTIVE IMMUNE SYSTEM","ITK",1113,"Adaptive","General","General","Manual","ADAPTIVE IMMUNE SYSTEM"
"ADAPTIVE IMMUNE SYSTEM","CX3CR1",1113,"Adaptive","General","General","Manual","ADAPTIVE IMMUNE SYSTEM"
"ADAPTIVE IMMUNE SYSTEM","LILRA6",1113,"Adaptive","General","General","Manual","ADAPTIVE IMMUNE SYSTEM"
"ADAPTIVE IMMUNE SYSTEM","BCL10",1113,"Adaptive","General","General","Manual","ADAPTIVE IMMUNE SYSTEM"
"ADAPTIVE IMMUNE SYSTEM","BTLA",1113,"Adaptive","General","General","Manual","ADAPTIVE IMMUNE SYSTEM"
"ADAPTIVE IMMUNE SYSTEM","LILRB4",1113,"Adaptive","General","General","Manual","ADAPTIVE IMMUNE SYSTEM"
"ADAPTIVE IMMUNE SYSTEM","VTCN1",1113,"Adaptive","General","General","Manual","ADAPTIVE IMMUNE SYSTEM"
"ADAPTIVE IMMUNE SYSTEM","KLRC1",1113,"Adaptive","General","General","Manual","ADAPTIVE IMMUNE SYSTEM"
"ADAPTIVE IMMUNE SYSTEM","TEC",1113,"Adaptive","General","General","Manual","ADAPTIVE IMMUNE SYSTEM"
"ADAPTIVE IMMUNE SYSTEM","KLRC2",1113,"Adaptive","General","General","Manual","ADAPTIVE IMMUNE SYSTEM"
"ADAPTIVE IMMUNE SYSTEM","RAP1GAP2",1113,"Adaptive","General","General","Manual","ADAPTIVE IMMUNE SYSTEM"
"ADAPTIVE IMMUNE SYSTEM","ZNF683",1113,"Adaptive","General","General","Manual","ADAPTIVE IMMUNE SYSTEM"
"ADAPTIVE IMMUNE SYSTEM","TAP1",1113,"Adaptive","General","General","Manual","ADAPTIVE IMMUNE SYSTEM"
"ADAPTIVE IMMUNE SYSTEM","C17orf99",1113,"Adaptive","General","General","Manual","ADAPTIVE IMMUNE SYSTEM"
"ADAPTIVE IMMUNE SYSTEM","CD3G",1113,"Adaptive","General","General","Manual","ADAPTIVE IMMUNE SYSTEM"
"ADAPTIVE IMMUNE SYSTEM","CD8B",1113,"Adaptive","General","General","Manual","ADAPTIVE IMMUNE SYSTEM"
"ADAPTIVE IMMUNE SYSTEM","LAIR1",1113,"Adaptive","General","General","Manual","ADAPTIVE IMMUNE SYSTEM"
"ADAPTIVE IMMUNE SYSTEM","RAP1GAP",1113,"Adaptive","General","General","Manual","ADAPTIVE IMMUNE SYSTEM"
"ADAPTIVE IMMUNE SYSTEM","CD7",1113,"Adaptive","General","General","Manual","ADAPTIVE IMMUNE SYSTEM"
"ADAPTIVE IMMUNE SYSTEM","ARG2",1113,"Adaptive","General","General","Manual","ADAPTIVE IMMUNE SYSTEM"
"ADAPTIVE IMMUNE SYSTEM","ZAP70",1113,"Adaptive","General","General","Manual","ADAPTIVE IMMUNE SYSTEM"
"ADAPTIVE IMMUNE SYSTEM","CD160",1113,"Adaptive","General","General","Manual","ADAPTIVE IMMUNE SYSTEM"
"ADAPTIVE IMMUNE SYSTEM","CTSH",1113,"Adaptive","General","General","Manual","ADAPTIVE IMMUNE SYSTEM"
"ADAPTIVE IMMUNE SYSTEM","ERAP2",1113,"Adaptive","General","General","Manual","ADAPTIVE IMMUNE SYSTEM"
"ADAPTIVE IMMUNE SYSTEM","BTK",1113,"Adaptive","General","General","Manual","ADAPTIVE IMMUNE SYSTEM"
"ADAPTIVE IMMUNE SYSTEM","MCOLN2",1113,"Adaptive","General","General","Manual","ADAPTIVE IMMUNE SYSTEM"
"ADAPTIVE IMMUNE SYSTEM","LILRA3",1113,"Adaptive","General","General","Manual","ADAPTIVE IMMUNE SYSTEM"
"ADAPTIVE IMMUNE SYSTEM","GPR183",1113,"Adaptive","General","General","Manual","ADAPTIVE IMMUNE SYSTEM"
"ADAPTIVE IMMUNE SYSTEM","RNF19B",1113,"Adaptive","General","General","Manual","ADAPTIVE IMMUNE SYSTEM"
"ADAPTIVE IMMUNE SYSTEM","CD1E",1113,"Adaptive","General","General","Manual","ADAPTIVE IMMUNE SYSTEM"
"ADAPTIVE IMMUNE SYSTEM","P0DOX5",1113,"Adaptive","General","General","Manual","ADAPTIVE IMMUNE SYSTEM"
"ADAPTIVE IMMUNE SYSTEM","BTNL8",1113,"Adaptive","General","General","Manual","ADAPTIVE IMMUNE SYSTEM"
"ADAPTIVE IMMUNE SYSTEM","CD6",1113,"Adaptive","General","General","Manual","ADAPTIVE IMMUNE SYSTEM"
"ADAPTIVE IMMUNE SYSTEM","HLA-DRB4",1113,"Adaptive","General","General","Manual","ADAPTIVE IMMUNE SYSTEM"
"ADAPTIVE IMMUNE SYSTEM","IFNA8",1113,"Adaptive","General","General","Manual","ADAPTIVE IMMUNE SYSTEM"
"ADAPTIVE IMMUNE SYSTEM","CTLA4",1113,"Adaptive","General","General","Manual","ADAPTIVE IMMUNE SYSTEM"
"ADAPTIVE IMMUNE SYSTEM","LILRB1",1113,"Adaptive","General","General","Manual","ADAPTIVE IMMUNE SYSTEM"
"ADAPTIVE IMMUNE SYSTEM","BMX",1113,"Adaptive","General","General","Manual","ADAPTIVE IMMUNE SYSTEM"
"ADAPTIVE IMMUNE SYSTEM","CD46",1113,"Adaptive","General","General","Manual","ADAPTIVE IMMUNE SYSTEM"
"ADAPTIVE IMMUNE SYSTEM","IL2",1113,"Adaptive","General","General","Manual","ADAPTIVE IMMUNE SYSTEM"
"ADAPTIVE IMMUNE SYSTEM","TXK",1113,"Adaptive","General","General","Manual","ADAPTIVE IMMUNE SYSTEM"
"ADAPTIVE IMMUNE SYSTEM","P0DOX2",1113,"Adaptive","General","General","Manual","ADAPTIVE IMMUNE SYSTEM"
"ADAPTIVE IMMUNE SYSTEM","HMGB1",1113,"Adaptive","General","General","Manual","ADAPTIVE IMMUNE SYSTEM"
"ADAPTIVE IMMUNE SYSTEM","LAX1",1113,"Adaptive","General","General","Manual","ADAPTIVE IMMUNE SYSTEM"
"ADAPTIVE IMMUNE SYSTEM","CD79B",1113,"Adaptive","General","General","Manual","ADAPTIVE IMMUNE SYSTEM"
"ADAPTIVE IMMUNE SYSTEM","CD8B2",1113,"Adaptive","General","General","Manual","ADAPTIVE IMMUNE SYSTEM"
"ADAPTIVE IMMUNE SYSTEM","CLEC10A",1113,"Adaptive","General","General","Manual","ADAPTIVE IMMUNE SYSTEM"
"ADAPTIVE IMMUNE SYSTEM","CD86",1113,"Adaptive","General","General","Manual","ADAPTIVE IMMUNE SYSTEM"
"ADAPTIVE IMMUNE SYSTEM","TFEB",1113,"Adaptive","General","General","Manual","ADAPTIVE IMMUNE SYSTEM"
"ADAPTIVE IMMUNE SYSTEM","C1QBP",1113,"Adaptive","General","General","Manual","ADAPTIVE IMMUNE SYSTEM"
"ADAPTIVE IMMUNE SYSTEM","HLA-DPA1",1113,"Adaptive","General","General","Manual","ADAPTIVE IMMUNE SYSTEM"
"ADAPTIVE IMMUNE SYSTEM","TARM1",1113,"Adaptive","General","General","Manual","ADAPTIVE IMMUNE SYSTEM"
"ADAPTIVE IMMUNE SYSTEM","P0DOX4",1113,"Adaptive","General","General","Manual","ADAPTIVE IMMUNE SYSTEM"
"ADAPTIVE IMMUNE SYSTEM","HMHB1",1113,"Adaptive","General","General","Manual","ADAPTIVE IMMUNE SYSTEM"
"ADAPTIVE IMMUNE SYSTEM","CD81",1113,"Adaptive","General","General","Manual","ADAPTIVE IMMUNE SYSTEM"
"ADAPTIVE IMMUNE SYSTEM","HLA-DMA",1113,"Adaptive","General","General","Manual","ADAPTIVE IMMUNE SYSTEM"
"ADAPTIVE IMMUNE SYSTEM","CRTAM",1113,"Adaptive","General","General","Manual","ADAPTIVE IMMUNE SYSTEM"
"ADAPTIVE IMMUNE SYSTEM","SKAP1",1113,"Adaptive","General","General","Manual","ADAPTIVE IMMUNE SYSTEM"
"ADAPTIVE IMMUNE SYSTEM","PIK3CG",1113,"Adaptive","General","General","Manual","ADAPTIVE IMMUNE SYSTEM"
"ADAPTIVE IMMUNE SYSTEM","KLRK1",1113,"Adaptive","General","General","Manual","ADAPTIVE IMMUNE SYSTEM"
"ADAPTIVE IMMUNE SYSTEM","P0DOX3",1113,"Adaptive","General","General","Manual","ADAPTIVE IMMUNE SYSTEM"
"ADAPTIVE IMMUNE SYSTEM","FGL1",1113,"Adaptive","General","General","Manual","ADAPTIVE IMMUNE SYSTEM"
"ADAPTIVE IMMUNE SYSTEM","TFE3",1113,"Adaptive","General","General","Manual","ADAPTIVE IMMUNE SYSTEM"
"ADAPTIVE IMMUNE SYSTEM","IFNE",1113,"Adaptive","General","General","Manual","ADAPTIVE IMMUNE SYSTEM"
"ADAPTIVE IMMUNE SYSTEM","CD79A",1113,"Adaptive","General","General","Manual","ADAPTIVE IMMUNE SYSTEM"
"ADAPTIVE IMMUNE SYSTEM","TNFRSF17",1113,"Adaptive","General","General","Manual","ADAPTIVE IMMUNE SYSTEM"
"ADAPTIVE IMMUNE SYSTEM","ALCAM",1113,"Adaptive","General","General","Manual","ADAPTIVE IMMUNE SYSTEM"
"ADAPTIVE IMMUNE SYSTEM","ANXA1",1113,"Adaptive","General","General","Manual","ADAPTIVE IMMUNE SYSTEM"
"ADAPTIVE IMMUNE SYSTEM","ARG1",1113,"Adaptive","General","General","Manual","ADAPTIVE IMMUNE SYSTEM"
"ADAPTIVE IMMUNE SYSTEM","PRDM1",1113,"Adaptive","General","General","Manual","ADAPTIVE IMMUNE SYSTEM"
"ADAPTIVE IMMUNE SYSTEM","CAMK4",1113,"Adaptive","General","General","Manual","ADAPTIVE IMMUNE SYSTEM"
"ADAPTIVE IMMUNE SYSTEM","CD1A",1113,"Adaptive","General","General","Manual","ADAPTIVE IMMUNE SYSTEM"
"ADAPTIVE IMMUNE SYSTEM","CD3D",1113,"Adaptive","General","General","Manual","ADAPTIVE IMMUNE SYSTEM"
"ADAPTIVE IMMUNE SYSTEM","CD3E",1113,"Adaptive","General","General","Manual","ADAPTIVE IMMUNE SYSTEM"
"ADAPTIVE IMMUNE SYSTEM","CD4",1113,"Adaptive","General","General","Manual","ADAPTIVE IMMUNE SYSTEM"
"ADAPTIVE IMMUNE SYSTEM","CD8A",1113,"Adaptive","General","General","Manual","ADAPTIVE IMMUNE SYSTEM"
"ADAPTIVE IMMUNE SYSTEM","CTSL",1113,"Adaptive","General","General","Manual","ADAPTIVE IMMUNE SYSTEM"
"ADAPTIVE IMMUNE SYSTEM","ADGRE1",1113,"Adaptive","General","General","Manual","ADAPTIVE IMMUNE SYSTEM"
"ADAPTIVE IMMUNE SYSTEM","PTK2B",1113,"Adaptive","General","General","Manual","ADAPTIVE IMMUNE SYSTEM"
"ADAPTIVE IMMUNE SYSTEM","FCGR1BP",1113,"Adaptive","General","General","Manual","ADAPTIVE IMMUNE SYSTEM"
"ADAPTIVE IMMUNE SYSTEM","FGA",1113,"Adaptive","General","General","Manual","ADAPTIVE IMMUNE SYSTEM"
"ADAPTIVE IMMUNE SYSTEM","FGB",1113,"Adaptive","General","General","Manual","ADAPTIVE IMMUNE SYSTEM"
"ADAPTIVE IMMUNE SYSTEM","FYN",1113,"Adaptive","General","General","Manual","ADAPTIVE IMMUNE SYSTEM"
"ADAPTIVE IMMUNE SYSTEM","HLA-B",1113,"Adaptive","General","General","Manual","ADAPTIVE IMMUNE SYSTEM"
"ADAPTIVE IMMUNE SYSTEM","HLA-DOA",1113,"Adaptive","General","General","Manual","ADAPTIVE IMMUNE SYSTEM"
"ADAPTIVE IMMUNE SYSTEM","HLA-DPB1",1113,"Adaptive","General","General","Manual","ADAPTIVE IMMUNE SYSTEM"
"ADAPTIVE IMMUNE SYSTEM","HLA-DQA1",1113,"Adaptive","General","General","Manual","ADAPTIVE IMMUNE SYSTEM"
"ADAPTIVE IMMUNE SYSTEM","HLA-DQA2",1113,"Adaptive","General","General","Manual","ADAPTIVE IMMUNE SYSTEM"
"ADAPTIVE IMMUNE SYSTEM","HLA-DQB1",1113,"Adaptive","General","General","Manual","ADAPTIVE IMMUNE SYSTEM"
