"","genes","process","gene_set_short","go_term","immune_system","immune_sub_system","immune_tissue","set_size"
"1","IL13","MACROPHAGES","Macrophages","Manual","Innate","APC","Macrophages",NA
"2","HAMP","MACROPHAGES","Macrophages","Manual","Innate","APC","Macrophages",NA
"3","CRTC3","MACROPHAGES","Macrophages","Manual","Innate","APC","Macrophages",NA
"4","JMJD6","MACROPHAGES","Macrophages","Manual","Innate","APC","Macrophages",NA
"5","FCGR3A","MACROPHAGES","Macrophages","Manual","Innate","APC","Macrophages",NA
"6","TMEM229B","MACROPHAGES","Macrophages","Manual","Innate","APC","Macrophages",NA
"7","SLC11A1","MACROPHAGES","Macrophages","Manual","Innate","APC","Macrophages",NA
"8","ADGRF5","MACROPHAGES","Macrophages","Manual","Innate","APC","Macrophages",NA
"9","TLR4","MACROPHAGES","Macrophages","Manual","Innate","APC","Macrophages",NA
"10","EDN2","MACROPHAGES","Macrophages","Manual","Innate","APC","Macrophages",NA
"11","TICAM1","MACROPHAGES","Macrophages","Manual","Innate","APC","Macrophages",NA
"12","IFI35","MACROPHAGES","Macrophages","Manual","Innate","APC","Macrophages",NA
"13","IL33","MACROPHAGES","Macrophages","Manual","Innate","APC","Macrophages",NA
"14","PRKCE","MACROPHAGES","Macrophages","Manual","Innate","APC","Macrophages",NA
"15","SYK","MACROPHAGES","Macrophages","Manual","Innate","APC","Macrophages",NA
"16","LBP","MACROPHAGES","Macrophages","Manual","Innate","APC","Macrophages",NA
"17","PLCG2","MACROPHAGES","Macrophages","Manual","Innate","APC","Macrophages",NA
"18","SFTPD","MACROPHAGES","Macrophages","Manual","Innate","APC","Macrophages",NA
"19","CCL2","MACROPHAGES","Macrophages","Manual","Innate","APC","Macrophages",NA
"20","LGALS3","MACROPHAGES","Macrophages","Manual","Innate","APC","Macrophages",NA
"21","AZU1","MACROPHAGES","Macrophages","Manual","Innate","APC","Macrophages",NA
"22","EDNRB","MACROPHAGES","Macrophages","Manual","Innate","APC","Macrophages",NA
