"","...1","process","gene_set_short","immune_system","immune_sub_system","immune_tissue","go_term","set_size","genes","set_size_intervals"
"1",1,"ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General",NA,676,"RHOA",NA
"2",2,"ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General",NA,676,"GPR183",NA
"3",3,"ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General",NA,676,"BTK",NA
"4",4,"ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General",NA,676,"CH25H",NA
"5",5,"ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General",NA,676,"BAX",NA
"6",6,"ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General",NA,676,"CD19",NA
"7",7,"ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General",NA,676,"BRAF",NA
"8",8,"ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General",NA,676,"CDH26",NA
"9",9,"ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General",NA,676,"CD81",NA
"10",10,"ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General",NA,676,"TOX",NA
"11",11,"ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General",NA,676,"EOMES",NA
"12",12,"ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General",NA,676,"KLRC1",NA
"13",13,"ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General",NA,676,"RAB27A",NA
"14",14,"ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General",NA,676,"ABL1",NA
"15",15,"ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General",NA,676,"IL15",NA
"16",16,"ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General",NA,676,"FCER1G",NA
"17",17,"ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General",NA,676,"CCL2",NA
"18",18,"ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General",NA,676,"YY1",NA
"19",19,"ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General",NA,676,"HSPD1",NA
"20",20,"ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General",NA,676,"IL2RG",NA
"21",21,"ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General",NA,676,"ST3GAL1",NA
"22",22,"ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General",NA,676,"TNFSF4",NA
"23",23,"ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General",NA,676,"ITGAL",NA
"24",24,"ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General",NA,676,"DOCK8",NA
"25",25,"ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General",NA,676,"THEMIS",NA
"26",26,"ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General",NA,676,"HLA-G",NA
"27",27,"ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General",NA,676,"CCR7",NA
"28",28,"ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General",NA,676,"LRRC8A",NA
"29",29,"ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General",NA,676,"CD28",NA
"30",30,"ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General",NA,676,"ADAR",NA
"31",31,"ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General",NA,676,"MYO1G",NA
"32",32,"ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General",NA,676,"CD1D",NA
"33",33,"ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General",NA,676,"CCR2",NA
"34",34,"ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General",NA,676,"ZFPM1",NA
"35",35,"ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General",NA,676,"LILRB4",NA
"36",36,"ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General",NA,676,"PSG9",NA
"37",37,"ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General",NA,676,"FCER1A",NA
"38",38,"ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General",NA,676,"CLEC4G",NA
"39",39,"ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General",NA,676,"PTPRC",NA
"40",40,"ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General",NA,676,"RAG2",NA
"41",41,"ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General",NA,676,"TNFAIP3",NA
"42",42,"ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General",NA,676,"CD83",NA
"43",43,"ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General",NA,676,"PRKCQ",NA
"44",44,"ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General",NA,676,"FUT7",NA
"45",45,"ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General",NA,676,"HLA-E",NA
"46",46,"ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General",NA,676,"WDFY4",NA
"47",47,"ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General",NA,676,"BCL2",NA
"48",48,"ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General",NA,676,"CRKL",NA
"49",49,"ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General",NA,676,"CRK",NA
"50",50,"ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General",NA,676,"WNT4",NA
"51",51,"ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General",NA,676,"BCL6",NA
"52",52,"ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General",NA,676,"STAT6",NA
"53",53,"ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General",NA,676,"GATA3",NA
"54",54,"ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General",NA,676,"SPNS2",NA
"55",55,"ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General",NA,676,"LGALS1",NA
"56",56,"ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General",NA,676,"RAG1",NA
"57",57,"ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General",NA,676,"SPI1",NA
"58",58,"ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General",NA,676,"MLH1",NA
"59",59,"ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General",NA,676,"MSH2",NA
"60",60,"ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General",NA,676,"APBB1IP",NA
"61",61,"ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General",NA,676,"XG",NA
"62",62,"ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General",NA,676,"CD99",NA
"63",65,"ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General",NA,676,"LIG4",NA
"64",66,"ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General",NA,676,"PRKDC",NA
"65",67,"ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General",NA,676,"RC3H1",NA
"66",68,"ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General",NA,676,"HMGB1",NA
"67",69,"ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General",NA,676,"CEBPB",NA
"68",70,"ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General",NA,676,"RORC",NA
"69",71,"ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General",NA,676,"RORA",NA
"70",72,"ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General",NA,676,"CCL20",NA
"71",73,"ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General",NA,676,"CORO1A",NA
"72",74,"ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General",NA,676,"ACOD1",NA
