process,genes,immune_set,set_size,immune_system,immune_subsystem,cells
ADAPTIVE IMMUNE SYSTEM,CD52,BTM,588,NA,NA,NA
ADAPTIVE IMMUNE SYSTEM,CD4,BTM,588,NA,NA,NA
ADAPTIVE IMMUNE SYSTEM,CD247,BTM,588,NA,NA,NA
ADAPTIVE IMMUNE SYSTEM,CD2,BTM,588,NA,NA,NA
ADAPTIVE IMMUNE SYSTEM,CCR7,BTM,588,NA,NA,NA
ADAPTIVE IMMUNE SYSTEM,BIN2,BTM,588,NA,NA,NA
ADAPTIVE IMMUNE SYSTEM,HLA-DRA,BTM,588,NA,NA,NA
ADAPTIVE IMMUNE SYSTEM,IL12RB1,BTM,588,NA,NA,NA
ADAPTIVE IMMUNE SYSTEM,TRAT1,BTM,588,NA,NA,NA
ADAPTIVE IMMUNE SYSTEM,ZAP70,BTM,588,NA,NA,NA
ADAPTIVE IMMUNE SYSTEM,TRAF3IP3,BTM,588,NA,NA,NA
ADAPTIVE IMMUNE SYSTEM,HLA-DRB1,BTM,588,NA,NA,NA
ADAPTIVE IMMUNE SYSTEM,PRKAR1B,BTM,588,NA,NA,NA
ADAPTIVE IMMUNE SYSTEM,GIMAP6,BTM,588,NA,NA,NA
ADAPTIVE IMMUNE SYSTEM,TRA@,BTM,588,NA,NA,NA
ADAPTIVE IMMUNE SYSTEM,ITK,BTM,588,NA,NA,NA
ADAPTIVE IMMUNE SYSTEM,IL2RG,BTM,588,NA,NA,NA
ADAPTIVE IMMUNE SYSTEM,TRA@ /// TRAC,BTM,588,NA,NA,NA
ADAPTIVE IMMUNE SYSTEM,CD3E,BTM,588,NA,NA,NA
ADAPTIVE IMMUNE SYSTEM,TRA@ /// TRAC /// TRAJ17 /// TRAV20,BTM,588,NA,NA,NA
ADAPTIVE IMMUNE SYSTEM,PTPRC,BTM,588,NA,NA,NA
ADAPTIVE IMMUNE SYSTEM,PRKACB,BTM,588,NA,NA,NA
ADAPTIVE IMMUNE SYSTEM,CD3D,BTM,588,NA,NA,NA
ADAPTIVE IMMUNE SYSTEM,LCK,BTM,588,NA,NA,NA
ADAPTIVE IMMUNE SYSTEM,CD3G,BTM,588,NA,NA,NA
ADAPTIVE IMMUNE SYSTEM,IL7R,BTM,588,NA,NA,NA
ADAPTIVE IMMUNE SYSTEM,KLRB1,BTM,588,NA,NA,NA
ADAPTIVE IMMUNE SYSTEM,CCL5,BTM,588,NA,NA,NA
ADAPTIVE IMMUNE SYSTEM,RASGRP1,BTM,588,NA,NA,NA
ADAPTIVE IMMUNE SYSTEM,SH2D1A,BTM,588,NA,NA,NA
ADAPTIVE IMMUNE SYSTEM,TRAV20,BTM,588,NA,NA,NA
ADAPTIVE IMMUNE SYSTEM,BCL11B,BTM,588,NA,NA,NA
ADAPTIVE IMMUNE SYSTEM,CD6,BTM,588,NA,NA,NA
ADAPTIVE IMMUNE SYSTEM,CD7,BTM,588,NA,NA,NA
ADAPTIVE IMMUNE SYSTEM,TRBC1,BTM,588,NA,NA,NA
ADAPTIVE IMMUNE SYSTEM,LEF1,BTM,588,NA,NA,NA
ADAPTIVE IMMUNE SYSTEM,NKG7,BTM,588,NA,NA,NA
ADAPTIVE IMMUNE SYSTEM,UBASH3A,BTM,588,NA,NA,NA
ADAPTIVE IMMUNE SYSTEM,PTPRCAP,BTM,588,NA,NA,NA
ADAPTIVE IMMUNE SYSTEM,TRAC,BTM,588,NA,NA,NA
ADAPTIVE IMMUNE SYSTEM,TRD@,BTM,588,NA,NA,NA
ADAPTIVE IMMUNE SYSTEM,SLA2,BTM,588,NA,NA,NA
ADAPTIVE IMMUNE SYSTEM,RORA,BTM,588,NA,NA,NA
ADAPTIVE IMMUNE SYSTEM,MAL,BTM,588,NA,NA,NA
ADAPTIVE IMMUNE SYSTEM,EOMES,BTM,588,NA,NA,NA
ADAPTIVE IMMUNE SYSTEM,XCL2,BTM,588,NA,NA,NA
ADAPTIVE IMMUNE SYSTEM,XCL1,BTM,588,NA,NA,NA
ADAPTIVE IMMUNE SYSTEM,ETS1,BTM,588,NA,NA,NA
ADAPTIVE IMMUNE SYSTEM,SAMD3,BTM,588,NA,NA,NA
ADAPTIVE IMMUNE SYSTEM,SIT1,BTM,588,NA,NA,NA
ADAPTIVE IMMUNE SYSTEM,NLRC3,BTM,588,NA,NA,NA
ADAPTIVE IMMUNE SYSTEM,SIRPG,BTM,588,NA,NA,NA
ADAPTIVE IMMUNE SYSTEM,PRKCH,BTM,588,NA,NA,NA
ADAPTIVE IMMUNE SYSTEM,ICOS,BTM,588,NA,NA,NA
ADAPTIVE IMMUNE SYSTEM,CD28,BTM,588,NA,NA,NA
ADAPTIVE IMMUNE SYSTEM,TRAJ17,BTM,588,NA,NA,NA
ADAPTIVE IMMUNE SYSTEM,NELL2,BTM,588,NA,NA,NA
ADAPTIVE IMMUNE SYSTEM,GNLY,BTM,588,NA,NA,NA
ADAPTIVE IMMUNE SYSTEM,CD27,BTM,588,NA,NA,NA
ADAPTIVE IMMUNE SYSTEM,LAT,BTM,588,NA,NA,NA
ADAPTIVE IMMUNE SYSTEM,FLT3LG,BTM,588,NA,NA,NA
ADAPTIVE IMMUNE SYSTEM,PRF1,BTM,588,NA,NA,NA
ADAPTIVE IMMUNE SYSTEM,PRKCQ,BTM,588,NA,NA,NA
ADAPTIVE IMMUNE SYSTEM,GIMAP7,BTM,588,NA,NA,NA
ADAPTIVE IMMUNE SYSTEM,GATA3,BTM,588,NA,NA,NA
ADAPTIVE IMMUNE SYSTEM,GZMA,BTM,588,NA,NA,NA
ADAPTIVE IMMUNE SYSTEM,GZMB,BTM,588,NA,NA,NA
