process,immune_system,immune_subsystem,cells,set_size,genes,immune_set
T cell activation and signaling (M5.1),Adaptive,Cellular,T cell,25,"CD52,CD4,CD247,CD2,CCR7,BIN2,HLA-DRA,IL12RB1,TRAT1,ZAP70,TRAF3IP3,HLA-DRB1,PRKAR1B,GIMAP6,TRA@,ITK,IL2RG,TRA@ /// TRAC,CD3E,TRA@ /// TRAC /// TRAJ17 /// TRAV20,PTPRC,PRKACB,CD3D,LCK,CD3G",BTM by Modules
enriched in T cells (I) (M7.0),Adaptive,Cellular,T cell,62,"IL7R,KLRB1,CCL5,RASGRP1,TRA@,SH2D1A,TRAV20,BCL11B,CD6,CD7,TRBC1,CD2,LEF1,NKG7,UBASH3A,PTPRCAP,TRAC,TRD@,TRAT1,SLA2,RORA,MAL,EOMES,XCL2,XCL1,ETS1,ZAP70,SAMD3,SIT1,NLRC3,SIRPG,PRKCH,ICOS,CD28,TRAJ17,NELL2,GNLY,CD27,LAT,FLT3LG,PRF1,PRKCQ,GIMAP6,GIMAP7,GATA3,ITK,LCK,GZMA,GZMB,CD96,GZMM,GZMH,TIGIT,GZMK,ITM2A,CD247,GPR171,IL32,TARP,CD3D,CD3E,CD3G",BTM by Modules
T cell activation (I) (M7.1),Adaptive,Cellular,T cell,50,"IL7R,RASGRP1,THEMIS,CCL5,TCF7,BCL11B,CD5,TIGIT,CD7,CD2,CCR7,CD247,MS4A1,PTPN22,TXK,TRBC1,IL12RB1,IKZF1,SLA2,CAMK4,RORA,EOMES,PRKCQ,ZAP70,SIT1,NLRC3,DPP4,SIRPG,PRKCH,ICOS,CD28,CD27,RHOH,CD8A,ITPR3,LEF1,CD8B,GATA3,CRTAM,ITK,TRAC,KLRK1,IL21R,LCK,CORO1A,SLAMF7,CD3D,CD3E,SLAMF1,CD3G",BTM by Modules
T cell activation (II) (M7.3),Adaptive,Cellular,T cell,31,"CCL5,SP140,TIGIT,CD247,CCR5,NLRC3,PTPRCAP,STAT4,IL12RB1,TRAT1,SLA2,CXCR3,ZAP70,NKG7,SIRPG,ICOS,IFNG,IL18R1,SLAMF7,PTPN7,ITK,CRTAM,GZMA,CD3E,GPR171,TRA@,TARP,CD3D,LCK,SLAMF1,CD3G",BTM by Modules
T cell activation (III) (M7.4),Adaptive,Cellular,T cell,14,"KLF12,RASGRP1,THEMIS,NELL2,CD96,CAMK4,RORA,LCK,ATP8B2,ETS1,ZMYND11,PRKCQ,LEF1,GLYR1 /// SEPT6",BTM by Modules
CD28 costimulation (M12),Adaptive,Cellular,T cell,10,"CD28,CHST15,LIME1,SH2D1A,TRAT1,CD24,GRAP2,THEM4,LAT /// SPNS1,LCK",BTM by Modules
T cell differentiation (M14),Adaptive,Cellular,T cell,12,"UBASH3A,TCF7,CD28,TXK,ITK,NOG,LRRN3,BCL11B,RASGRP1,SPOCK2,SH2D1A,MAL",BTM by Modules
T cell differentiation via ITK and PKC (M18),Adaptive,Cellular,T cell,11,"SIRPG,PRKCH,ITK,SH2D1A,ITM2A,ETS1,FASLG,SPOCK2,PRKCQ,ABLIM1,BCL2",BTM by Modules
T cell differentiation (Th2) (M19),Adaptive,Cellular,Th2,17,"UBASH3A,CD28,LCK,TRAT1,PKIA,HNRPLL,GZMK,LAT,ITM2A,GRAP2,IL32,GPR171,SIT1,DPP4,GATA3,MAL,CD3G",BTM by Modules
CORO1A-DEF6 network (I) (M32.2),Adaptive,Cellular,T cell,20,"TGFB1,AES,FAM108A1,UBE2M,DEF6,H1FX,CCDC22,ACAP1,TECR,HGS,SIPA1,CORO1A,CLPTM1,TSC2,SH2B1,APEH,CBX4,STXBP2,BRD2,ATP5D",BTM by Modules
