"","Cond1","Cond2","Shared","NotShared_cond1","NotShared_cond2","Total_Genes_Cond1","Total_Genes_Cond2","Genes_Names","Percentage_Shared_Cond1","Percentage_Shared_Cond2","pvalue","-log(p)"
"1","ADAPTIVE IMMUNE SYSTEM","INNATE IMMUNE SYSTEM",168,508,381,676,549,"GPR183, BTK, CH25H, BAX, TOX, KLRC1, RAB27A, IL15, FCER1G, CCL2, HSPD1, DOCK8, HLA-G, CCR7, ADAR, CD1D, CCR2, FCER1A, PTPRC, TNFAIP3, HLA-E, WDFY4, GATA3, SPI1, PRKDC, HMGB1, CEBPB, CCL20, CORO1A, ACOD1, STAT5B, IL2, ZAP70, SYK, IRF1, IRF8, SLC11A1, RELB, NOTCH1, PHB1, IL12B, ITPKB, CD40, TLR4, FCGR2B, PLCG2, AXL, TYRO3, MERTK, NOTCH2, IL6R, JAK1, IL10, IL33, LIPA, KIT, PTX3, LBP, C4B, MBL2, HMGB2, UNC13D, ADAM17, NFKB2, CD6, ITK, CXADR, JAML, CCL3, DEFA4, PIK3CG, DEFA1, IFNE, F2RL1, PSEN1, IFNA8, CD1C, CD46, CR2, CR1, GZMM, CTSH, TAP2, EMP2, B2M, NCKAP1L, SRC, VAV1, PRKCE, HCK, PRKCD, FGR, PBX1, CCL18, CCL4, CCL7, XCL1, GPR15LG, CX3CL1, CCL4L1, CCL1, CCL3L1, SAA1, CCL8, CCL24, CCL5, CCL23, JAK3, IL20RB, PRDX2, PTPN6, KLRK1, CD160, JMJD6, TICAM1, RASGRP1, BST2, HDAC4, SOD1, FOSL2, KITLG, SP3, MNDA, NFKBIA, NFKB1, WAS, NCK1, LAG3, TNFAIP8L2, EP300, CEBPG, RBPJ, PDE4B, UBE2N, BCL10, ZNF683, HLA-DRB3, MPL, HLA-DOB, TRDV2, TRGV2, HLA-C, CLEC6A, CD1B, HLA-DMB, NLRP10, CTSS, CX3CR1, TRGV8, TRGV4, TRDV3, KLRC2, TAP1, ARG2, TRGV5, ERAP2, MCOLN2, RNF19B, CD1E, HLA-DRB4, CLEC10A, TFEB, C1QBP, HLA-DPA1, TARM1, HLA-DMA, P0DOX3, TRDV1",24.85,30.6,8.65122124876396e-154,153.062922581071
"2","ADAPTIVE IMMUNE SYSTEM","CELLULAR ADAPTIVE IMMUNE SYSTEM",382,294,2,676,384,"RHOA, GPR183, BTK, BAX, BRAF, CDH26, CD81, TOX, EOMES, KLRC1, RAB27A, ABL1, IL15, FCER1G, CCL2, HSPD1, IL2RG, TNFSF4, ITGAL, DOCK8, THEMIS, CCR7, CD28, MYO1G, CD1D, CCR2, ZFPM1, FCER1A, CLEC4G, PTPRC, RAG2, CD83, PRKCQ, FUT7, HLA-E, WDFY4, BCL2, CRKL, CRK, WNT4, BCL6, STAT6, GATA3, SPNS2, LGALS1, RAG1, APBB1IP, XG, CD99, LIG4, PRKDC, RC3H1, HMGB1, CEBPB, RORC, RORA, CCL20, CORO1A, STAT5B, IL2, FAS, RPS6, AKT1, TRBC2, CD247, CD3G, ZAP70, SYK, PSMB11, IRF1, TNFSF8, CRTAM, MYH9, BCL3, LILRB1, SLC11A1, RELB, IL4R, SPN, MTOR, STAT3, NOTCH1, PHB1, PTGER4, ATP7A, IL12B, ITPKB, CD70, TLR4, PLCG2, TCF7, LFNG, IL7, IL6R, IL6ST, JAK1, IL10, IL33, ASXL1, LIPA, KIT, SRF, IL18BP, RPL22, GLI3, ADA, ADAM17, MSN, PRF1, HPRT1, TRDC, ITK, CXADR, JAML, TRGC1, CXCL12, CCL3, DEFA4, SLC12A2, PIK3CG, DEFA1, MYB, MEN1, KMT2A, CD40LG, IFNE, MDK, F2RL1, LCP1, PSEN1, IFNA8, CD1C, CD46, JAG1, CR2, BTN3A2, GNL1, CR1, GPR15, S1PR1, ITGB7, GZMM, CTSH, TAP2, PPP3CB, EMP2, CTSC, IL7R, B2M, NCKAP1L, CASP3, SRC, VAV1, PBX1, CACNB4, GPR15LG, PPP2CA, CHST3, JAK3, ZC3H8, PPP2R1A, IL20RB, CCNB2, PRDX2, CD86, PTPN6, CAV1, PTPN11, DPP4, MAP3K8, KLRK1, CD160, CD24, CD80, PIK3CA, EFNB1, EFNB2, CSK, NKAP, CTNNB1, ZFP36L2, NCAPH2, ZFP36L1, CDK6, JMJD6, TESPA1, CHRNA7, RASGRP1, MAP2K1, HAND2, MAP2K2, FOXI3, SOD1, TGFBR1, MAPK3, EPHB3, LMO4, MAPK1, CTPS1, FOSL2, PSMB10, FKBP1B, KITLG, LMBR1L, TNFRSF4, IDO1, CD151, SCGB1A1, CCND3, KDELR1, DTX1, SOX4, PTPN2, LEPR, GPR89A, LEP, EGR1, PKNOX1, PIK3R1, NRARP, SP3, GPR89B, BCAR1, CTLA4, TEC, WAS, RBX1, NCK1, SMAD3, PPP3CA, LAG3, NLRC3, FKBP1A, MFAP3, TNFAIP8L2, CD7, CD276, CD44, DCAF12, CD8B, DDOST, PTPRJ, SKAP1, THEMIS2, KHDRBS1, CACNB3, PDE4B, PDE4D, UBE2N, NFKBID, DENND1B, TXK, VTCN1, FYB2, BTNL8, BCL10, BTNL10P, ZNF683, PLCG1, EIF2B2, BTNL9, BTNL3, BTN2A1, TRBV16, TRAV8-3, TRBJ2-7, TRBV25-1, TRGV1, TRAV26-2, TRGV10, TRAV9-1, TRBV6-8, TRDV2, TRAV35, TRGV2, TRBJ2-6, TRBV11-1, TRAV39, TRAV13-1, TRBV6-6, TRBV27, TRBD1, TRAV25, TRAV40, TRBJ1-6, TRAV38-2DV8, TRBV10-2, TRBV9, TRBV4-1, TRBV6-5, TRAV2, TRBV10-1, TRAV22, TRBV5-3, TRAV38-1, TRBJ1-2, TRBV6-2, TRAV4, TRBJ1-1, TRAV19, TRBJ2-1, TRBV3-1, TRAV1-2, TRBJ2-2, TRBV5-5, TRAV12-1, TRBV5-6, TRBV10-3, TRAV8-6, TRBJ1-3, TRGV8, TRGV4, TRAV9-2, TRBV5-4, TRDV3, TRBJ2-3, TRBV4-2, TRBV30, TRAV23DV6, TRAJ42, TRAV5, TRBV13, TRBV7-6, TRDD1, TRBV5-7, TRAV26-1, TRBV24-1, TRBV20-1, TRBJ1-5, TRAV8-2, TRGV5, TRAV36DV7, TRBJ2-4, TRDJ1, TRBV7-7, TRBJ2-5, TRBV11-3, TRBV28, TRBV6-7, TRAV24, TRAV6, TRBV19, TRAV13-2, TRBV18, TRAV21, TRAJ31, TRBV7-1, TRBV23-1, TRAV27, TRAV7, TRAV1-1, TRGJ1, TRAV10, TRAJ3, TRAV14DV4, TRGV11, TRBV12-5, TRAV8-1, TRBV12-4, TRBV6-1, TRBV2, TRBV11-2, TRBV7-2, TRBV7-4, TRBV29-1, TRBV6-4, TRAV18, TRBJ1-4, TRAV3, TRAV34, TRAV16, TRBV7-3, TRAV41, TRAV17, TRAV30, TRAV12-2, TRAV12-3, TRAV20, TRBV14, TRAT1, TRBV5-1, TRDV1",56.51,99.48,0.508084861635796,0.2940637446803
"3","ADAPTIVE IMMUNE SYSTEM","HUMORAL ADAPTIVE IMMUNE SYSTEM",143,533,0,676,143,"GPR183, CD19, CD81, ABL1, FCER1G, YY1, HSPD1, IL2RG, ST3GAL1, DOCK8, HLA-G, LRRC8A, MYO1G, FCER1A, CLEC4G, RAG2, BCL2, WNT4, BCL6, STAT6, GATA3, LGALS1, RAG1, SPI1, MLH1, MSH2, LIG4, PRKDC, RC3H1, SYK, CDH17, IRF8, BCL3, ZP3, TCF3, SHLD3, SHLD1, SHLD2, IL4R, FCGR2B, PLCG2, LFNG, NOTCH2, C17orf99, LIPA, HOXB4, IRF2BP2, KIT, SYVN1, PTX3, SFTPA1, LBP, C4B, MBL2, UNG, MSH6, PMS2, ADAM17, NFKB2, CD6, MSN, PRF1, EPHB1, MSH3, KMT2A, ERCC1, CD40LG, RNF168, SANBR, LIMK1, VAV2, SRC, VAV1, PRKCE, HCK, PTK2, PRKCD, FGR, PLPP4, NKX2-5, EPB42, CDKN2B, PBX1, NKX3-2, NKX2-3, CACNB4, IL9, IGLC1, IGLC3, IGLC7, IGLC6, BCL10, IGHV1-2, IGHV1-3, IGHV3-74, IGLC2, IGHV4-61, IGHV4-30-2, IGHV3-21, IGHV3-38-3, IGHV8-51-1, IGHV3-16, IGHV3-66, IGHV3-30-3, IGHV3-73, IGHV3-72, IGHV1-24, IL9R, IGHV1-8, MPL, IGHV1-58, IGHV3-35, IGHV3-30-5, IGHV1-45, IGHV3-64, IGHV4-28, IGHV3-64D, IGHV7-81, IGHV2-70D, IL2RB, IGHV3-38, IGHV3-15, IGHV3-49, IGHV4-30-4, CD27, IGHV4-38-2, IGHV3-43D, IGHV1-18, IGHV5-10-1, IGHV7-4-1, IGLL5, IGHV3-43, IGHV2-26, IGHV4-31, IGHV3-20, IGHV1-69D, IGHV5-51, IGLL1, IGHV1-69-2, IGHV6-1, IGHV1-38-4, CSF2RB, IGHV4-4",21.15,100,1,0
"4","ADAPTIVE IMMUNE SYSTEM","IMMUNOGLOBULIN MEDIATED IMMUNE RESPONSE",62,614,0,676,62,"CD19, FCER1G, IL4R, FCGR2B, PRKCD, IL9, IGLC1, IGLC3, IGLC7, IGLC6, BCL10, IGHV1-2, IGHV1-3, IGHV3-74, IGLC2, IGHV4-61, IGHV4-30-2, IGHV3-21, IGHV3-38-3, IGHV8-51-1, IGHV3-16, IGHV3-66, IGHV3-30-3, IGHV3-73, IGHV3-72, IGHV1-24, IL9R, IGHV1-8, MPL, IGHV1-58, IGHV3-35, IGHV3-30-5, IGHV1-45, IGHV3-64, IGHV4-28, IGHV3-64D, IGHV7-81, IGHV2-70D, IL2RB, IGHV3-38, IGHV3-15, IGHV3-49, IGHV4-30-4, CD27, IGHV4-38-2, IGHV3-43D, IGHV1-18, IGHV5-10-1, IGHV7-4-1, IGLL5, IGHV3-43, IGHV2-26, IGHV4-31, IGHV3-20, IGHV1-69D, IGHV5-51, IGLL1, IGHV1-69-2, IGHV6-1, IGHV1-38-4, CSF2RB, IGHV4-4",9.17,100,1,0
"5","ADAPTIVE IMMUNE SYSTEM","T CELLS",233,443,0,676,364,"RHOA, GPR183, BTK, BAX, BRAF, CDH26, CD81, TOX, EOMES, KLRC1, RAB27A, ABL1, IL15, FCER1G, CCL2, HSPD1, IL2RG, TNFSF4, ITGAL, DOCK8, THEMIS, CCR7, CD28, MYO1G, CD1D, FCER1A, CLEC4G, PTPRC, RAG2, CD83, PRKCQ, FUT7, HLA-E, WDFY4, BCL2, CRKL, CRK, WNT4, BCL6, GATA3, SPNS2, LGALS1, RAG1, APBB1IP, XG, CD99, TRB, TRA, LIG4, PRKDC, RC3H1, CCL20, CORO1A, STAT5B, IL2, FAS, RPS6, AKT1, TRBC2, CD247, CD3G, ZAP70, SYK, PSMB11, IRF1, TNFSF8, CRTAM, MYH9, LILRB1, SLC11A1, SPN, MTOR, IL12B, ITPKB, CD70, PLCG2, TCF7, LFNG, IL7, IL10, IL33, LIPA, KIT, SRF, RPL22, GLI3, ADA, ADAM17, CD6, MSN, PRF1, EPHB1, HPRT1, TRDC, ITK, CXADR, JAML, TRGC1, CXCL12, CCL3, DEFA4, SLC12A2, PIK3CG, DEFA1, CD40LG, IFNE, MDK, F2RL1, LCP1, PSEN1, IFNA8, CD1C, CD46, JAG1, CR2, BTN3A2, GNL1, CR1, GPR15, S1PR1, ITGB7, GZMM, CTSH, TAP2, PPP3CB, EMP2, CTSC, IL7R, B2M, NCKAP1L, CASP3, SRC, VAV1, GPR15LG, PPP2CA, CHST3, JAK3, ZC3H8, PPP2R1A, IL20RB, CCNB2, PRDX2, CD86, PTPN6, CAV1, PTPN11, DPP4, MAP3K8, KLRK1, CD160, CD24, CD80, PIK3CA, EFNB1, EFNB2, CSK, NKAP, CTNNB1, ZFP36L2, NCAPH2, ZFP36L1, CDK6, JMJD6, TESPA1, CHRNA7, RASGRP1, MAPK1, CTPS1, FOSL2, PSMB10, FKBP1B, KITLG, LMBR1L, TNFRSF4, IDO1, CD151, SCGB1A1, CCND3, KDELR1, DTX1, SOX4, PTPN2, LEPR, GPR89A, LEP, EGR1, PKNOX1, PIK3R1, NRARP, SP3, GPR89B, BCAR1, CTLA4, TEC, WAS, RBX1, NCK1, SMAD3, PPP3CA, LAG3, NLRC3, FKBP1A, MFAP3, TNFAIP8L2, CD7, CD276, CD44, DCAF12, CD8B, DDOST, PTPRJ, SKAP1, THEMIS2, KHDRBS1, CACNB3, PDE4B, PDE4D, UBE2N, NFKBID, DENND1B, TXK, VTCN1, FYB2, BTNL8, BCL10, BTNL10P, ZNF683, PLCG1, EIF2B2, BTNL9, BTNL3, BTN2A1, HLA-DRB3",34.47,64.01,1,0
"6","ADAPTIVE IMMUNE SYSTEM","B CELLS",206,470,0,676,310,"GPR183, BTK, CH25H, BAX, CD19, CD81, ABL1, FCER1G, YY1, HSPD1, IL2RG, ST3GAL1, HLA-G, LRRC8A, MYO1G, CLEC4G, PTPRC, RAG2, TNFAIP3, BCL2, WNT4, BCL6, STAT6, GATA3, SPNS2, RAG1, SPI1, MLH1, MSH2, LIG4, PRKDC, RC3H1, STAT5B, ZAP70, SYK, CDH17, IRF8, BCL3, ZP3, TCF3, SHLD3, SHLD1, SHLD2, IL4R, PHB1, CD40, CD70, TLR4, GAPT, FCGR2B, PLCG2, LAX1, LFNG, NOTCH2, C17orf99, IL7, IL10, IRF2BP2, KIT, SYVN1, PTX3, SFTPA1, LBP, C4B, MBL2, UNG, MSH6, PMS2, MEF2C, ADAM17, FLT3, MSH3, ITK, SOS1, SOS2, ERCC1, CD40LG, RNF168, SANBR, IFNE, IFNA8, CR2, IL7R, CAMLG, NCKAP1L, CASP3, LIMK1, VAV2, SRC, VAV1, PRKCE, HCK, PTK2, PRKCD, FGR, PLPP4, JAK3, CD86, PTPN6, TICAM1, BANK1, CXCR5, TBC1D10C, CD79A, CHRNA4, CHRNA7, MS4A1, IGBP1, RASGRP1, CD22, CHRNB2, TXLNA, BST2, AKAP17A, EPHB2, HDAC4, MAPK1, IL9, CTPS1, CD38, FOSL2, WNT3A, PTPN2, PIK3R1, SP3, BCAR1, CTLA4, CD79B, GRB2, MNDA, IGLC1, IGLC3, IGLC7, BMX, NFKBIA, IGLC6, TEC, NFAM1, NFKB1, PAX5, TOP2B, ADGRG3, FZD9, EP300, PTPRJ, LYL1, CEBPG, ZBTB7A, ITGA4, IL11, TPD52, RBPJ, HHEX, VCAM1, BCL10, IGHV1-2, IGHV1-3, IGHV3-74, IGLC2, IGHV4-61, IGHV4-30-2, IGHV3-21, IGHV3-38-3, IGHV8-51-1, IGHV3-16, IGHV3-66, IGHV3-30-3, IGHV3-73, IGHV3-72, IGHV1-24, IL9R, IGHV1-8, MPL, IGHV1-58, IGHV3-35, IGHV3-30-5, IGHV1-45, IGHV3-64, IGHV4-28, IGHV3-64D, IGHV7-81, IGHV2-70D, IL2RB, IGHV3-38, IGHV3-15, IGHV3-49, IGHV4-30-4, CD27, IGHV4-38-2, IGHV3-43D, IGHV1-18, IGHV5-10-1, IGHV7-4-1, IGLL5, IGHV3-43, IGHV2-26, IGHV4-31, IGHV3-20, IGHV1-69D, IGHV5-51, IGLL1, IGHV1-69-2, IGHV6-1, IGHV1-38-4, CSF2RB, IGHV4-4",30.47,66.45,1,0
"7","ADAPTIVE IMMUNE SYSTEM","ARPP",45,631,46,676,173,"BTK, KLRC1, RAB27A, FCER1G, HSPD1, HLA-G, CD1D, TNFAIP3, HLA-E, WDFY4, SYK, SLC11A1, RELB, PHB1, CD40, TLR4, FCGR2B, PLCG2, LBP, MBL2, CD1C, CTSH, TAP2, B2M, SRC, PRKCE, KLRK1, TICAM1, NFKBIA, EP300, BCL10, HLA-DRB3, HLA-DOB, HLA-C, CLEC6A, CD1B, HLA-DMB, CTSS, KLRC2, TAP1, ERAP2, CD1E, HLA-DRB4, HLA-DPA1, HLA-DMA",6.66,26.01,1.57227844368545e-47,46.8034705398184
"8","ADAPTIVE IMMUNE SYSTEM","ANTIVIRAL AND INTERFERON",31,645,70,676,114,"CCL2, CCL20, ACOD1, IRF1, IRF8, PHB1, IL12B, TLR4, JAK1, MBL2, CCL3, IFNE, IFNA8, HCK, CCL18, CCL4, CCL7, XCL1, CX3CL1, CCL4L1, CCL1, CCL3L1, CCL8, CCL24, CCL5, CCL23, HDAC4, WAS, NCK1, UBE2N, HLA-DPA1",4.59,27.19,2.62619586227301e-74,73.5806728872594
"9","ADAPTIVE IMMUNE SYSTEM","INFLAMMATION",12,664,9,676,22,"HMGB1, NOTCH1, NOTCH2, IL10, LIPA, HMGB2, CD6, IL20RB, PRDX2, RASGRP1, FOSL2, RBPJ",1.78,54.55,3.38618775208138e-15,14.4702889654733
"10","ADAPTIVE IMMUNE SYSTEM","DENDRITIC CELLS",15,661,14,676,32,"GPR183, DOCK8, CCR7, CCR2, SPI1, HMGB1, IRF8, RELB, NOTCH2, PIK3CG, PSEN1, CCL5, LAG3, RBPJ, HLA-DRB3",2.22,46.88,1.39253363048725e-21,20.8561943075663
