"genes","cluster","gene_set"
"ICAM1","cluster 1","Immune genes"
"CD83","cluster 1","Immune genes"
"CCL20","cluster 1","Immune genes"
"B2M","cluster 1","Immune genes"
"TICAM1","cluster 1","Immune genes"
"CASP1","cluster 1","Immune genes"
"FGL2","cluster 1","Immune genes"
"JAK2","cluster 1","Immune genes"
"IL15","cluster 1","Immune genes"
"ZNFX1","cluster 1","Immune genes"
"TRIM38","cluster 1","Immune genes"
"ADAR","cluster 1","Immune genes"
"MICB","cluster 1","Immune genes"
"PIK3AP1","cluster 1","Immune genes"
"KYNU","cluster 1","Immune genes"
"CIITA","cluster 1","Immune genes"
"POLB","cluster 1","Immune genes"
"FFAR3","cluster 1","Immune genes"
"GBP7","cluster 1","Immune genes"
"CCRL2","cluster 1","Immune genes"
"RIPK2","cluster 1","Immune genes"
"HP","cluster 1","Immune genes"
"IRF1","cluster 1","Immune genes"
"GBP6","cluster 1","Immune genes"
"P2RX7","cluster 1","Immune genes"
"TIFA","cluster 1","Immune genes"
"TRIM6","cluster 1","Immune genes"
"CD274","cluster 1","Immune genes"
"RNF213","cluster 1","Immune genes"
"DTX3L","cluster 1","Immune genes"
"FCGR1BP","cluster 1","Immune genes"
"ISG20","cluster 1","Immune genes"
"LIF","cluster 1","Immune genes"
"CXCL11","cluster 1","Immune genes"
"IL31RA","cluster 1","Immune genes"
"C1QC","cluster 1","Immune genes"
"IL27","cluster 1","Immune genes"
"CLEC6A","cluster 1","Immune genes"
"PDCD1LG2","cluster 1","Immune genes"
"CFB","cluster 1","Immune genes"
"APOL1","cluster 1","Immune genes"
"C2","cluster 1","Immune genes"
"SLAMF8","cluster 1","Immune genes"
"IDO2","cluster 1","Immune genes"
"CCL2","cluster 1","Immune genes"
"CCL8","cluster 1","Immune genes"
"SECTM1","cluster 1","Immune genes"
"SAMD9","cluster 1","Immune genes"
"NMI","cluster 1","Immune genes"
"PML","cluster 1","Immune genes"
"C1QA","cluster 1","Immune genes"
"C1QB","cluster 1","Immune genes"
"APOBEC3A","cluster 1","Immune genes"
"SCIMP","cluster 1","Immune genes"
"LAMP3","cluster 1","Immune genes"
"TAP2","cluster 1","Immune genes"
"CXCL9","cluster 1","Immune genes"
"IDO1","cluster 1","Immune genes"
"APOBEC3B","cluster 1","Immune genes"
"PSMB9","cluster 1","Immune genes"
"VSIG4","cluster 2","Immune genes"
"NFKBIZ","cluster 2","Immune genes"
"TRIM25","cluster 2","Immune genes"
"TNFAIP3","cluster 2","Immune genes"
"RGS1","cluster 2","Immune genes"
"FOSL1","cluster 2","Immune genes"
"RAB20","cluster 2","Immune genes"
"OSM","cluster 2","Immune genes"
"PELI1","cluster 2","Immune genes"
"PRR7","cluster 2","Immune genes"
"NINJ1","cluster 2","Immune genes"
"FTH1","cluster 2","Immune genes"
"FUT4","cluster 2","Immune genes"
"NFIL3","cluster 2","Immune genes"
"NR4A3","cluster 2","Immune genes"
"IL1B","cluster 2","Immune genes"
"PDE4B","cluster 2","Immune genes"
"CCL3","cluster 2","Immune genes"
"CCL3L1","cluster 2","Immune genes"
"CXCL2","cluster 2","Immune genes"
"CXCL3","cluster 2","Immune genes"
"CXCL8","cluster 2","Immune genes"
"IL1R2","cluster 2","Immune genes"
"COLEC12","cluster 2","Immune genes"
"IL1R1","cluster 2","Immune genes"
"CXCR1","cluster 2","Immune genes"
"PI3","cluster 2","Immune genes"
"IL36A","cluster 2","Immune genes"
"XCR1","cluster 2","Immune genes"
"CD34","cluster 2","Immune genes"
"CXCL6","cluster 2","Immune genes"
"BTNL8","cluster 2","Immune genes"
"CXCL1","cluster 2","Immune genes"
"CXCR2","cluster 2","Immune genes"
"C4BPA","cluster 2","Immune genes"
"ADGRG3","cluster 2","Immune genes"
"CXCL5","cluster 2","Immune genes"
"IL12B","cluster 2","Immune genes"
"PF4V1","cluster 2","Immune genes"
"CSF2","cluster 2","Immune genes"
"TRIM15","cluster 2","Immune genes"
"PPBP","cluster 2","Immune genes"
"CLU","cluster 2","Immune genes"
"TRIM40","cluster 2","Immune genes"
"TREML1","cluster 2","Immune genes"
"BMP6","cluster 2","Immune genes"
"SELP","cluster 2","Immune genes"
"CD38","cluster 3","Immune genes"
"CCNB2","cluster 3","Immune genes"
"JCHAIN","cluster 3","Immune genes"
"TNFRSF17","cluster 3","Immune genes"
"CAV1","cluster 3","Immune genes"
"IGLL5","cluster 3","Immune genes"
"TNFRSF13B","cluster 3","Immune genes"
"BTN1A1","cluster 3","Immune genes"
"ASS1","cluster 3","Immune genes"
"SCNN1B","cluster 3","Immune genes"
"FCRL4","cluster 3","Immune genes"
"EXO1","cluster 3","Immune genes"
"SPACA3","cluster 3","Immune genes"
"IFITM2","cluster 3","Immune genes"
"FPR2","cluster 3","Immune genes"
"IL6","cluster 3","Immune genes"
"IL1A","cluster 3","Immune genes"
"CCL4","cluster 3","Immune genes"
"CCL7","cluster 3","Immune genes"
"TNF","cluster 3","Immune genes"
"HLA-DRA","cluster 3","Immune genes"
"CD40","cluster 3","Immune genes"
"IRF2","cluster 3","Immune genes"
"MNDA","cluster 3","Immune genes"
"NLRC4","cluster 3","Immune genes"
"AIF1","cluster 3","Immune genes"
"HCK","cluster 3","Immune genes"
"EZH2","cluster 3","Immune genes"
"LILRA1","cluster 3","Immune genes"
"MPEG1","cluster 3","Immune genes"
"IFNGR2","cluster 3","Immune genes"
"LIPA","cluster 3","Immune genes"
"LILRA3","cluster 3","Immune genes"
"LILRB3","cluster 3","Immune genes"
"IGSF6","cluster 3","Immune genes"
"IL15RA","cluster 3","Immune genes"
"GSDMD","cluster 3","Immune genes"
"LTBR","cluster 3","Immune genes"
"BST1","cluster 3","Immune genes"
"LYN","cluster 3","Immune genes"
"CTSS","cluster 3","Immune genes"
"PSMB10","cluster 3","Immune genes"
"NCF1","cluster 3","Immune genes"
"NLRP3","cluster 3","Immune genes"
"ADM","cluster 3","Immune genes"
"FPR1","cluster 3","Immune genes"
"BCL6","cluster 3","Immune genes"
"DYSF","cluster 3","Immune genes"
"S100A8","cluster 3","Immune genes"
"S100A9","cluster 3","Immune genes"
"LILRA6","cluster 3","Immune genes"
"DDX21","cluster 3","Immune genes"
"LILRB2","cluster 3","Immune genes"
"HLX","cluster 3","Immune genes"
"CD7","cluster 3","Immune genes"
"PSMB8","cluster 3","Immune genes"
"BCL3","cluster 3","Immune genes"
"TREM1","cluster 3","Immune genes"
"FCAR","cluster 3","Immune genes"
