"","Cond1","Cond2","Shared","Percentage_Shared_Cond1","Genes_Names","pvalue","-log(p)"
"1","MONOV INFLUENZA A_DOWN","TIV INFLUENZA_DOWN",0,0,"",3.21686829991358e-50,49.4925667189524
"2","MONOV INFLUENZA A_DOWN","MENVEO ACWYVAX_DOWN",0,0,"",2.42658688937882e-45,44.6150041531836
"3","MONOV INFLUENZA A_DOWN","INFLUENZA_DOWN",0,0,"",2.09969530668466e-26,25.6778437225167
"4","MONOV INFLUENZA A_DOWN","ATTENUVAX_DOWN",0,0,"",5.4451424769165e-15,14.2639907520645
"5","MONOV INFLUENZA A_DOWN","YF VAX_DOWN",0,0,"",2.12326352820644e-45,44.6729961001613
"6","MONOV INFLUENZA A_DOWN","RVSV EBOV_DOWN",0,0,"",2.22400735879555e-07,6.65286378009402
"7","MONOV INFLUENZA A_DOWN","CHAD63-KH_DOWN",9,25.71,"ATG9B, KCNJ5-AS1, CYP4F12, DPEP3, MFGE8, NOG, NRCAM, OCM, TNNC1",1.59953158295422e-51,50.7960071802955
"8","MONOV INFLUENZA A_DOWN","INACTIVATED INFLUENZA_DOWN",1,2.86,"CACNA1I",7.92425688783467e-64,63.1010414539865
"9","MONOV INFLUENZA A_DOWN","FLUARIX_DOWN",0,0,"",4.62290234590097e-17,16.3350852804932
"10","MONOV INFLUENZA A_DOWN","LVS F TULARENSIS_DOWN",0,0,"",5.6217768827407e-24,23.2501263946797
"11","MONOV INFLUENZA A_DOWN","CN54GP140_DOWN",0,0,"",3.74969660007748e-41,40.4260038710037
"12","MONOV INFLUENZA A_DOWN","HIV-1 GAG-POL NEF_DOWN",3,8.57,"MFGE8, NOG, TRBJ2-4",6.19662449540785e-58,57.207844820538
"13","MONOV INFLUENZA A_DOWN","HPV-VLP_DOWN",2,5.71,"NRCAM, TPBG",2.66332348097749e-47,46.5745760819758
"14","MONOV INFLUENZA A_DOWN","PANDEMRIX_DOWN",0,0,"",3.61793225375097e-20,19.4415395696204
"15","MONOV INFLUENZA A_DOWN","FLUZONE_DOWN",0,0,"",3.57535414113181e-18,17.446680934584
"16","MONOV INFLUENZA A_DOWN","FLUMIST_DOWN",0,0,"",1.92620931079209e-17,16.7152965222048
