"","Cond1","Cond2","Shared","Percentage_Shared_Cond1","Genes_Names","pvalue","-log(p)"
"1","MONOV INFLUENZA A_UP","IMUVAC_UP",21,5.57,"ANKRD22, BATF2, CD274, ETV7, FCGR1A, FCGR1BP, GBP1, GBP4, GBP5, ICAM1, IDO1, IRF1, KREMEN1, LPCAT2, NOD2, PRRG4, PSTPIP2, RAB20, SERPING1, TNFAIP2, WARS1",1.40885797668175e-25,24.8511327847843
"2","MONOV INFLUENZA A_UP","FLUAD_UP",36,9.55,"ANKRD22, ATF3, BATF2, SMCO4, CD274, CXCL10, EPSTI1, ETV7, CALHM6, FBXO6, FCGR1A, FCGR1BP, GBP1, GBP4, GBP5, ICAM1, IDO1, IFI35, IFI44L, IL15, KREMEN1, LAMP3, LAP3, LHFPL2, MYOF, OAS3, PSTPIP2, RSAD2, SCARF1, SERPING1, SORT1, STAT1, TFEC, TYMP, VAMP5, WARS1",0.000105747555522139,3.97572966305946
"3","MONOV INFLUENZA A_UP","TIV INFLUENZA_UP",0,0,"",1.78734892910722e-172,171.747790655556
"4","MONOV INFLUENZA A_UP","MENVEO ACWYVAX_UP",3,0.8,"AIF1, APOL1, TYMP",1.92815629800649e-126,125.714857764722
"5","MONOV INFLUENZA A_UP","MVA85A_UP",66,17.51,"ADM, AIM2, AK4, ANKRD22, APOBEC3A, AQP9, BCL2A1, C3AR1, CARD16, CARD17P, CASP1, CD14, CTSL, CXCL10, CYP1B1, DRAM1, ETV7, EXT1, CALHM6, FBXO6, FCGR1A, FCGR1BP, FPR2, GBP1, GBP4, GBP5, HLX, ICAM1, IDO1, IFI35, IFI44, IFI44L, IFI6, IFIH1, IFIT1, IFIT2, IFIT3, IFITM3, IL1RN, IL4I1, ISG15, ITPRIPL2, KLF4, KYNU, LYN, MARCO, MX1, PARP9, PSMB9, PSME2, NECTIN2, RBM47, RSAD2, S100A8, S100A9, SERPING1, SOD2, SRC, STAT1, TAP1, TLR1, TNFSF10, TYMP, UBE2L6, WARS1, XAF1",3.67390019800212e-77,76.4348726455386
"6","MONOV INFLUENZA A_UP","INFLUENZA_UP",2,0.53,"CLEC6A, TLR4",1.28761265918483e-91,90.8902147621922
"7","MONOV INFLUENZA A_UP","PANDEMRIX_UP",9,2.39,"CD38, IRF1, IRF7, NOD2, STAT1, TAP1, TLR1, TLR2, TLR4",2.16760824118469e-48,47.6640192064813
"8","MONOV INFLUENZA A_UP","FLUARIX_UP",0,0,"",1.16695104273023e-73,72.9329473635931
"9","MONOV INFLUENZA A_UP","PFALCIPARUM RTSS_UP",4,1.06,"IFI44L, IFI6, SERPING1, SIGLEC1",4.98253171979658e-11,10.3025499278129
"10","MONOV INFLUENZA A_UP","ATTENUVAX_UP",1,0.27,"ADAM9",9.25387255747042e-65,64.0336764858139
"11","MONOV INFLUENZA A_UP","WETVAX_UP",128,33.95,"ACP3, ADAP2, ADM, AIF1, AIM2, ALDH1A1, ANKRD22, APOBEC3B, APOL1, APOL3, AQP9, ATF3, ATF5, ATP6V1B2, BACH1, BCL2A1, BCL6, BLVRA, BST1, C1QA, C1QB, C2, C3AR1, CASP1, CASP5, CASP7, CCR1, CD36, CES1, CTSB, CTSL, CTSS, CXCL10, DHRS9, DPYD, DSC2, DTX3L, DYSF, EMILIN2, EPB41L3, ETV7, FCGR1A, FCN1, FGL2, FPR1, FPR2, GBP1, GBP2, GCA, GCH1, GNB4, GNG10, HCK, HERC5, HLX, HP, ICAM1, IDO1, IFI30, IFI35, IFI44, IFI44L, IFI6, IFIT1, IFIT2, IFIT3, IFITM3, IFNGR2, IGSF6, IL15, IL15RA, IL1RN, IRF1, IRF7, ISG15, JAK2, KCNJ15, KLF4, LAP3, LHFPL2, LILRA3, LILRB1, LILRB3, LMO2, LTBR, LYN, MARCKS, MARCO, MNDA, MTHFD2, MX1, NAMPT, NCF1, NLRP3, NPC2, OAS1, OAS2, PFKFB3, PLSCR1, PSMA4, PSMB9, PSME2, RSAD2, S100A9, SCARB2, SEPTIN4, SERPINA1, SERPING1, SLAMF8, SLC31A2, SLC8A1, SNX10, SOCS3, SOD2, SORT1, SRGN, STAT1, STAT2, TAP1, TFEC, TLR1, TLR2, TNFSF10, TRAFD1, UBE2L6, VRK2, WARS1, XAF1",7.18295435698313e-95,94.1436968932177
"12","MONOV INFLUENZA A_UP","YF VAX_UP",52,13.79,"APOBEC3A, APOBEC3B, BLVRA, CHST15, CMPK2, DSE, FPR2, GBP5, HERC5, IFI30, IFI44, IFI44L, IFI6, IFIT1, IFIT2, IFIT3, IFITM3, IL1RN, ISG15, LAP3, LILRB2, LMO2, MAFB, MARCKS, MPEG1, MT2A, MX1, NMI, OAS1, OAS2, OAS3, OASL, PARP9, PLSCR1, PSMA4, PSMB9, PSME2, RTP4, SAMD9L, SCO2, SDC3, SERPINA1, SERPING1, SRC, TAP1, TMEM106A, TNFAIP2, TNFSF10, TNFSF13B, VRK2, WDR49, XAF1",2.17322215072504e-139,138.662895877038
