"","process","gene_ratio","bg_ratio","pvalue","p_adjust","qvalue","gene_id","count","condition","ora_enrichment","log_q"
"1","ARPP","25/90","90/638",0.000167784390639025,0.0026845502502244,0.00229599692453402,"SCIMP/CASP1/CD14/CLEC6A/CTSS/FCER1G/FCGR1A/IFI30/SRC/TAP1/TLR4/MAP2K6/CD40/TAP2/CD1E/FCGR2B/HLA-DOB/RIGI/ERAP2/HLA-DMA/HLA-DMB/CGAS/PIK3AP1/PSMB8/PSME1",25,"MONOV INFLUENZA A (D1)","ImmuneGO",2.63902869800699
"2","ANTIVIRAL AND INTERFERON","23/90","101/638",0.00693318981925622,0.0554655185540497,0.0474376145528057,"AIF1/CASP1/FCAR/GBP1/GBP2/HCK/IFIT1/IFIT2/IFITM3/IFNGR2/IRF1/MX1/OAS2/STAT1/STAT2/TLR4/IFITM1/CCL2/IL12RB1/RIGI/EIF2AK2/GBP6/IRF8",23,"MONOV INFLUENZA A (D1)","ImmuneGO",1.32387715802071
"3","B CELLS","14/30","155/638",0.00516201001788289,0.0722681402503605,0.0706380318236606,"BANK1/CD19/CD22/CD79A/CD79B/CXCR5/MS4A1/CD38/HDAC4/CD40/CD86/TLR4/RASGRP1/ZAP70",14,"PANDEMRIX (D1)","ImmuneGO",1.15096140994056
"4","ANTIVIRAL AND INTERFERON","12/23","101/638",3.99107330408829e-05,0.000478928796490595,0.000462124277315487,"RIGI/EIF2AK2/GBP1/IFI27/IFIT1/IFIT2/IFITM1/IFITM3/LGALS9/MX1/OAS2/STAT1",12,"HIV-1 GAG-POL NEF (D3)","ImmuneGO",3.33524121558171
"5","CELLULAR ADAPTIVE IMMUNE SYSTEM","51/100","262/638",0.0188749321363212,0.193662699601382,0.178373539106536,"CD28/CD3G/CTLA4/GPR183/HMGB1/IL6ST/ITK/ITPKB/JAK1/PDE4D/PIK3CA/PIK3R1/PRKCQ/PTPN2/RORA/THEMIS/JAML/APBB1IP/BTK/CORO1A/CR1/CSK/KDELR1/LILRB1/MAPK1/PSEN1/PTPN6/PTPRJ/RAB27A/SLC11A1/SYK/VAV1/ASXL1/BCL3/GATA3/GNL1/PDE4B/PPP2CA/ADA/CCR2/CD160/CD86/CTSC/FCER1G/FKBP1A/LFNG/LIPA/PPP3CA/PPP3CB/PRF1/TNFAIP8L2",51,"FLUARIX FLUVIRIN (D3)","ImmuneGO",0.74866957076906
"6","T CELLS","45/100","228/638",0.0242078374501727,0.193662699601382,0.178373539106536,"CD28/CD3G/CTLA4/GPR183/ITK/ITPKB/PDE4D/PIK3CA/PIK3R1/PRKCQ/PTPN2/THEMIS/JAML/APBB1IP/BTK/CORO1A/CR1/CSK/KDELR1/LILRB1/MAPK1/PSEN1/PTPN6/PTPRJ/RAB27A/SLC11A1/SYK/VAV1/CD6/GATA3/GNL1/PDE4B/PPP2CA/ADA/CD160/CD86/CTSC/FCER1G/FKBP1A/LFNG/LIPA/PPP3CA/PPP3CB/PRF1/TNFAIP8L2",45,"FLUARIX FLUVIRIN (D3)","ImmuneGO",0.74866957076906
"7","ARPP","15/45","90/638",0.000539852031159386,0.00602697082740125,0.00555115734102747,"HLA-DMA/RELB/CD1B/CD1C/CD1D/HLA-C/HLA-DMB/HLA-DPA1/HLA-DRB4/HLA-G/WDFY4/HLA-E/HLA-F/FCER1G/TLR4",15,"MENACTRA (D3)","ImmuneGO",2.25561646292726
"8","COMPLEMENT IMMUNE SYSTEM","8/45","31/638",0.000753371353425156,0.00602697082740125,0.00555115734102747,"C1R/C1S/C7/CFH/CFB/C5AR1/CFD/CR1",8,"MENACTRA (D3)","ImmuneGO",2.25561646292726
"9","ANTIVIRAL AND INTERFERON","16/29","101/638",6.01565158041216e-07,8.42191221257702e-06,6.96549130363513e-06,"CASP1/CCL2/CCL3/CCL3L1/CCL4/CCL7/CCL8/EIF2AK2/IFI27/IFIT1/IFIT2/IFITM2/IFITM3/LGALS9/MX1/STAT1",16,"MVA85A (D2)","ImmuneGO",5.15704824565314
"10","EOSINOPHIL","6/29","22/638",0.000232713687919003,0.00162899581543302,0.00134728977216265,"CCL2/CCL3/CCL3L1/CCL4/CCL7/CCL8",6,"MVA85A (D2)","ImmuneGO",2.87053898711526
