"","VACCINE","PLATFORM","TARGET_PATHOGEN-DISEASE","Count"
"1","INFLUENZA","IN","INFLUENZA",46
"2","FLUMIST","LA","INFLUENZA",23
"3","FLUARIX FLUVIRIN","IN","INFLUENZA",19
"4","ZOSTAVAX","LA","VZV",19
"5","FLUARIX","IN","INFLUENZA",18
"6","MONOV INFLUENZA A","IN","INFLUENZA",16
"7","MENACTRA","CONJ","MENINGOCOCCUS",13
"8","PANDEMRIX","IN","INFLUENZA",13
"9","INACTIVATED INFLUENZA","IN","INFLUENZA",12
"10","STAMARIL","LA","YF",12
"11","LVS F TULARENSIS","LA","F TULARENSIS",11
"12","BCG","LA","TUBERCULOSIS",10
"13","CN54GP140","SU","HIV",10
"14","TC-83","LA","VEEV",10
"15","HIV-1 GAG-POL NEF","VV","HIV",9
"16","MVA85A","VV","TUBERCULOSIS",9
"17","WETVAX","LA","SMALLPOX",9
"18","FLUZONE","LA and IV","INFLUENZA",8
"19","HPV-VLP","VLP","HPV",8
"20","TWINRIX","VLP","HBV, HAV",8
"21","HEPATITIS B SURFACE ANTIGEN","SU","HBV",7
"22","SANOFI INFLUENZA","IN","INFLUENZA",7
"23","MMR II","LA","MMR",6
"24","YF VAX","LA","YF",6
"25","FLUAD","IN","INFLUENZA",4
"26","HIV LIPO 5","PEP","HIV",4
"27","YF17D","LA","YF",4
"28","DRYVAX","LA","SMALLPOX",3
"29","PFALCIPARUM RTSS","SUB","MALARIA",3
"30","PREVNAR","CONJ","PNEUMOCOCCUS",3
"31","ATTENUVAX","LA","MEASLES",2
"32","CHAD63-KH","VV","LEISHMANIA",2
"33","FLUENZ","LA","INFLUENZA",2
"34","MENVEO ACWYVAX","CONJ","MENINGOCOCCUS",2
"35","PPD","SUB","TUBERCULOSIS",2
"36","TIV INFLUENZA","VLP","INFLUENZA",2
"37","FLUVIRIN PANDEMRIX","IN","INFLUENZA",1
"38","IMUVAC","IN","INFLUENZA",1
"39","RVSV EBOV","VV","EBOV",1
"40","RVSV ZEBOV","VV","EBOV",1
"41","TICE BGC RBCG","LA","TUBERCULOSIS",1
