"","Cond1","Cond2","Shared","NotShared_cond1","NotShared_cond2","Total_Genes_Cond1","Total_Genes_Cond2","Genes_Names","Percentage_Shared_Cond1","Percentage_Shared_Cond2","pvalue","qvalue"
"1","MONOV INFLUENZA A (D1)","PANDEMRIX (D0)",1,132,1,133,2,"LYZ",0.75,50,0.0149253731343284,0.0149253731343284
"2","MONOV INFLUENZA A (D1)","PANDEMRIX (D1)",9,124,24,133,33,"CD38,IDO1,IRF1,STAT1,TAP1,TLR4,CD40,CD22,IRF9",6.77,27.27,3.03410517569019e-21,3.03410517569019e-21
"3","MONOV INFLUENZA A (D1)","INACTIVATED INFLUENZA (D0)",0,133,1,133,1,"",0,0,0.00746268656716418,0.00746268656716418
"4","MONOV INFLUENZA A (D1)","HEPATITIS B SURFACE ANTIGEN (D0)",1,132,6,133,7,"BPI",0.75,14.29,7.79540363753566e-10,7.79540363753566e-10
"5","MONOV INFLUENZA A (D1)","HEPATITIS B SURFACE ANTIGEN (D28)",1,132,8,133,9,"ANXA3",0.75,11.11,2.84330831764219e-12,2.84330831764219e-12
"6","MONOV INFLUENZA A (D1)","HEPATITIS B SURFACE ANTIGEN (D3)",3,130,6,133,9,"IL1RN,CXCL8,ANXA3",2.26,33.33,9.35448436504278e-09,9.35448436504278e-09
"7","MONOV INFLUENZA A (D1)","HEPATITIS B SURFACE ANTIGEN (D35)",3,130,4,133,7,"FCGR1A,ANXA3,BPI",2.26,42.86,2.49219054292015e-06,2.49219054292015e-06
"8","MONOV INFLUENZA A (D1)","TWINRIX (D0)",32,101,79,133,111,"AIF1,CD14,FCAR,FCER1G,HP,IFI6,IFITM3,IL15,LILRA6,LILRB1,LILRB4,MX1,PARP9,PKHD1L1,STAT1,TNFSF10,MAP2K6,AZU1,MYB,CD40,CLU,FCGR2B,HLA-DOB,PML,BPI,BTLA,CD22,IRF9,CGAS,PIK3AP1,TRIM21,IRF8",24.06,28.83,2.28559819892224e-32,2.28559819892224e-32
"9","MONOV INFLUENZA A (D1)","TWINRIX (D1)",5,128,9,133,14,"CD14,IFI35,IFI6,STAT1,BPI",3.76,35.71,4.00866426191523e-11,4.00866426191523e-11
"10","MONOV INFLUENZA A (D1)","TWINRIX (W2)",0,133,4,133,4,"",0,0,7.12054440834329e-08,7.12054440834329e-08
"11","MONOV INFLUENZA A (D1)","TWINRIX (W3)",3,130,0,133,3,"CD14,IFITM3,IFITM1",2.26,100,1,1
"12","MONOV INFLUENZA A (D1)","CN54GP140 (D7)",0,133,3,133,3,"",0,0,2.43878645985758e-06,2.43878645985758e-06
"13","MONOV INFLUENZA A (D1)","CN54GP140 (H6)",1,132,4,133,5,"CCR2",0.75,20,3.56027220417164e-07,3.56027220417164e-07
"14","MONOV INFLUENZA A (D1)","HIV-1 GAG-POL NEF (D1)",92,41,221,133,313,"TRBJ2-4,ADM,BATF2,BCL6,BST1,SCIMP,CASP1,CCR1,CCR2,CD14,CD38,CLEC6A,DDX60,FCAR,FCER1G,FCGR2A,FPR1,FPR2,GBP1,GBP2,GCH1,HCK,HP,IDO1,IFI30,IFI35,IFI6,IFIT1,IFIT2,IFITM3,IFNGR2,IGSF6,IL15,IL1RN,IL27,IL31RA,IRF1,LILRA3,LILRA5,LILRA6,LILRB1,LILRB2,LILRB4,LTBR,MNDA,MX1,NFAM1,OAS2,PARP9,PSMB9,SRC,STAT1,STAT2,TAP1,TLR4,TNFSF10,FCER1A,CRTC3,NRROS,CD40,CD7,CFB,IFITM1,NLRC5,RNF213,TAP2,APOBEC3F,CCL2,HLA-DOB,IL12RB1,PML,BST2,BTLA,CD22,RIGI,EIF2AK2,GBP6,GSDMD,HLA-DMA,HLA-DMB,IRF9,LIMK1,CGAS,PIK3AP1,PSMB10,PSMB8,PSME1,SERPINB9,TMEM229B,TRIM21,TRIM22,CSF1",69.17,29.39,4.12292653950292e-20,4.12292653950292e-20
"15","MONOV INFLUENZA A (D1)","HIV-1 GAG-POL NEF (D3)",27,106,17,133,44,"CCR1,DDX60,FPR2,GBP1,GCH1,IFI6,IFIT1,IFIT2,IFITM3,IGSF6,IL1RN,MX1,OAS2,PARP9,STAT1,TAP1,TNFSF10,IL1R2,AZU1,CX3CR1,IFITM1,PML,RIGI,EIF2AK2,IRF9,TRIM21,TRIM22",20.3,61.36,6.35496509375933e-11,6.35496509375933e-11
"16","MONOV INFLUENZA A (D1)","HPV-VLP (M12)",1,132,5,133,6,"IL1RN",0.75,16.67,1.54794443659636e-08,1.54794443659636e-08
"17","MONOV INFLUENZA A (D1)","HPV-VLP (M7)",1,132,2,133,3,"IL1RN",0.75,33.33,0.000331674958540631,0.000331674958540631
"18","MONOV INFLUENZA A (D1)","FLUAD (D1)",13,120,24,133,37,"BATF2,BCL3,DDX60,FCGR1A,GBP1,IDO1,IFI35,IFIT1,IL15,STAT1,PML,ANXA3,RIGI",9.77,35.14,2.80262204655187e-19,2.80262204655187e-19
"19","MONOV INFLUENZA A (D1)","SANOFI INFLUENZA (D0)",1,132,3,133,4,"BST2",0.75,25,9.7551458394303e-06,9.7551458394303e-06
"20","MONOV INFLUENZA A (D1)","SANOFI INFLUENZA (D1)",28,105,3,133,31,"BATF2,SCIMP,CASP1,CCR1,DDX60,FCER1G,GBP1,GBP2,GCH1,IFI30,IFI35,IFI6,IFIT1,IL15,IL1RN,MX1,OAS2,PARP9,PSMB9,STAT1,STAT2,TAP1,IFITM1,RIGI,EIF2AK2,PSME1,TRIM22,ZC3HAV1",21.05,90.32,0.0109623451370598,0.0109623451370598
"21","MONOV INFLUENZA A (D1)","FLUARIX FLUVIRIN (D1-D3)",2,131,2,133,4,"STAT1,IRF9",1.5,50,0.00066334991708126,0.00066334991708126
"22","MONOV INFLUENZA A (D1)","SANOFI INFLUENZA (D14)",0,133,5,133,5,"",0,0,2.57990739432729e-09,2.57990739432729e-09
"23","MONOV INFLUENZA A (D1)","FLUARIX FLUVIRIN (D3)",22,111,113,133,135,"AIF1,BCL3,CASP1,CCR2,FCER1G,FPR2,HCK,IFI30,IFITM3,IFNGR2,LILRA3,LILRA6,LILRB1,LILRB2,MNDA,NCF1,CX3CR1,APOBEC3F,RIGI,LIPA,PDE4B,PIK3AP1",16.54,16.3,4.61653631087473e-48,4.61653631087473e-48
"24","MONOV INFLUENZA A (D1)","SANOFI INFLUENZA (D3)",0,133,3,133,3,"",0,0,2.43878645985758e-06,2.43878645985758e-06
"25","MONOV INFLUENZA A (D1)","FLUARIX FLUVIRIN (D7)",22,111,169,133,191,"BCL6,CCR2,CD38,DDX60,FCAR,IFIT1,LILRA5,LILRB4,MNDA,RGS1,TNFSF10,CX3CR1,CXCL8,IRF2BP2,CD40,PTK2,CD1E,CD22,CIITA,ERAP2,PDE4B,ZC3HAV1",16.54,11.52,8.79366972823381e-61,8.79366972823381e-61
