...1	Cond1	Cond2	Shared	NotShared_cond1	NotShared_cond2	Total_Genes_Cond1	Total_Genes_Cond2	Genes_Names	Percentage_Shared_Cond1	Percentage_Shared_Cond2	pvalue	qvalue
1	MONOV INFLUENZA A (D1)	IMUVAC (D1)	15	305	8	2275	145	BATF2,CD274,FCGR1A,FCGR1BP,GBP1,GBP4,GBP5,ICAM1,IDO1,IRF1,NOD2,RAB20,SERPING1,PTGDR2,CCR3	0.66	10.34	1.6082880064325e-10	4.951414470428309e-11
2	MONOV INFLUENZA A (D1)	FLUAD (D1)	19	301	0	2275	153	BATF2,CD274,CXCL10,FCGR1A,FCGR1BP,GBP1,GBP4,GBP5,ICAM1,IDO1,IFI35,IFI44L,IL15,LAMP3,OAS3,RSAD2,SERPING1,STAT1,CEACAM1	0.84	12.42	1	0.173737993497139
3	MONOV INFLUENZA A (D1)	TIV INFLUENZA (M12-13)	9	311	84	2275	663	CD14,CXCL16,LILRB3,MARCO,TLR1,RNF213,FCGR2B,BST2,PSMB8	0.4	1.36	4.0137543090946995e-77	1.43419268033483e-76
4	MONOV INFLUENZA A (D1)	MENVEO ACWYVAX (D7)	13	307	61	2275	444	AIF1,APOL1,FPR2,GBP1,IFIH1,LILRB2,RBM47,TLR2,BATF,APOBEC3C,APOBEC3D,LIPA,RIPK2	0.57	2.93	3.1256581585785502e-58	5.7387349167124404e-58
5	MONOV INFLUENZA A (D1)	MVA85A (H6)	20	300	20	2275	334	ADM,AIM2,CD14,CTSL,EXT1,GBP1,GBP4,GBP5,HLX,IL1RN,IL4I1,KYNU,LYN,NECTIN2,RBM47,SRC,STAT1,TAP1,CCL2,EZH2	0.88	5.99	1.3912767922730801e-21	7.09898889148735e-22
9	MONOV INFLUENZA A (D1)	PANDEMRIX (D7)	25	295	33	2275	477	APOBEC3A,APOBEC3B,CD38,CXCL10,GBP1,GBP2,GBP4,GBP5,IDO1,IFI30,IFI35,IFI44,IFIT1,IFIT2,IFIT3,IFNGR2,MX1,OAS1,OAS2,OAS3,OASL,SERPING1,IFITM1,PSMB8,TRIM22	1.1	5.24	5.94927550478171e-31	4.1992424576762196e-31
10	MONOV INFLUENZA A (D1)	FLUARIX (D28)	2	318	6	2275	69	CD40,CD22	0.09	2.9	1.75906193192448e-11	5.671705943138199e-12
11	MONOV INFLUENZA A (D1)	PFALCIPARUM RTSS (D1)	3	317	2	2275	27	IFI44L,IFI6,SERPING1	0.13	11.11	1.9349470791973e-4	4.18272828695232e-5
12	MONOV INFLUENZA A (D1)	ATTENUVAX (D14)	2	318	12	2275	97	ADAM9,CIITA	0.09	2.06	2.97215494931091e-20	1.4276052865489698e-20
13	MONOV INFLUENZA A (D1)	WETVAX (ANY)	29	291	6	2275	221	APOBEC3B,FPR2,HERC5,IFI30,IFI44,IFI44L,IFI6,IFIT1,IFIT2,IFIT3,IFITM3,IL1RN,ISG15,MX1,OAS1,OAS2,PLSCR1,PSMB9,SERPING1,TAP1,TNFSF10,IFITM1,USP18,IFIT5,CD74,IRF9,PSME1,TRIM21,TRIM22	1.27	13.12	1.01972820193662e-6	2.52150903796274e-7
14	MONOV INFLUENZA A (D1)	YF VAX (ANY)	29	291	15	2275	327	APOBEC3B,FPR2,HERC5,IFI30,IFI44,IFI44L,IFI6,IFIT1,IFIT2,IFIT3,IFITM3,IL1RN,ISG15,MX1,OAS1,OAS2,PLSCR1,PSMB9,SERPING1,TAP1,TNFSF10,IFITM1,USP18,IFIT5,CD74,IRF9,PSME1,TRIM21,TRIM22	1.27	8.87	5.501968636644171e-15	2.08278547305494e-15
