Cond1,Cond2,jaccard_distance,Shared,NotShared_cond1,NotShared_cond2,Total_Genes_Cond1,Total_Genes_Cond2,Genes_Names,Percentage_Shared_Cond1,Percentage_Shared_Cond2,pvalue,-log(p),padj
RVSV ZEBOV (D7),LVS F TULARENSIS (H18),0,0,4,31,4,31,,0,0,1.90985485103132e-5,4.718999637878719,0.014066496163682874
RVSV ZEBOV (D7),LVS F TULARENSIS (H192),0,0,4,31,4,31,,0,0,1.90985485103132e-5,4.718999637878719,0.014066496163682874
RVSV ZEBOV (D7),LVS F TULARENSIS (H336),0,0,4,31,4,31,,0,0,1.90985485103132e-5,4.718999637878719,0.014066496163682874
RVSV ZEBOV (D7),LVS F TULARENSIS (H48),0,0,4,31,4,31,,0,0,1.90985485103132e-5,4.718999637878719,0.014066496163682874
RVSV ZEBOV (D7),CN54GP140 (D1),0,0,4,7,4,7,,0,0,0.003030303030303031,2.5185139398778875,1
RVSV ZEBOV (D7),CN54GP140 (D3),0,0,4,4,4,4,,0,0,0.02857142857142858,1.5440680443502754,1
RVSV ZEBOV (D7),CN54GP140 (D7),0,0,4,2,4,2,,0,0,0.06666666666666668,1.1760912590556811,1
RVSV ZEBOV (D7),CN54GP140 (H6),0,0,4,4,4,4,,0,0,0.02857142857142858,1.5440680443502754,1
RVSV ZEBOV (D7),HIV-1 GAG-POL NEF (D1),0.009,2,2,229,4,231,"CCL2, IFIT1",50,0.87,2.2199200828770184e-4,3.6536626598692936,0.12276158058309912
RVSV ZEBOV (D7),HIV-1 GAG-POL NEF (D3),0.026,1,3,34,4,35,IFIT1,25,2.86,4.741583688952108e-4,3.3240765797394864,0.23348330570684261
RVSV ZEBOV (D7),HPV-VLP (M2),0,0,4,82,4,82,,0,0,4.709084530421856e-7,6.327063513684211,4.572521079039622e-4
RVSV ZEBOV (D7),INFLUENZA (D1),0,0,4,1,4,1,,0,0,0.2,0.6989700043360187,1
RVSV ZEBOV (D7),PANDEMRIX (D1),0,0,4,8,4,8,,0,0,0.0020202020202020206,2.6946051989335684,0.8242424242424244
RVSV ZEBOV (D7),FLUARIX FLUVIRIN (D3),0,0,4,76,4,76,,0,0,6.322791132917718e-7,6.199091164433741,6.019297158537667e-4
RVSV ZEBOV (D7),INFLUENZA (D3),0,0,4,5,4,5,,0,0,0.007936507936507936,2.100370545117563,1
RVSV ZEBOV (D7),FLUARIX FLUVIRIN (D7),0,0,4,53,4,53,,0,0,2.531581478949901e-6,5.596608090284298,0.002199944305207464
RVSV ZEBOV (D7),INFLUENZA (D7),0,0,4,6,4,6,,0,0,0.004761904761904762,2.322219294733919,1
RVSV ZEBOV (D7),PANDEMRIX (D7),0.042,1,3,20,4,21,IFIT1,25,4.76,0.0019762845849802353,2.7041505168397997,0.8122529644268767
RVSV ZEBOV (D7),FLUMIST (D3),0,0,4,100,4,100,,0,0,2.174799037694918e-7,6.662580867836907,2.2182950184488164e-4
RVSV ZEBOV (D7),FLUMIST (D7),0,0,4,153,4,153,,0,0,4.105202379293192e-8,7.386665428058844,4.5198278196018044e-5
RVSV ZEBOV (D7),MENACTRA (D3),0,0,4,11,4,11,,0,0,7.326007326007331e-4,3.1351326513767743,0.3384615384615386
RVSV ZEBOV (D7),MENACTRA (D7),0,0,4,1,4,1,,0,0,0.2,0.6989700043360187,1
RVSV ZEBOV (D7),WETVAX (D2-4),0.043,1,3,19,4,20,IFIT1,25,5,0.0022586109542631276,2.6461585698621124,0.8808582721626198
RVSV ZEBOV (D7),WETVAX (D5-7),0.009,1,3,104,4,105,IFIT1,25,0.95,1.959286036168422e-5,4.707902156725323,0.01416563804149767
RVSV ZEBOV (D7),WETVAX (D50-60),0,0,4,40,4,40,,0,0,7.366428239939288e-6,5.132743037471805,0.005878409735471552
RVSV ZEBOV (D7),MVA85A (D2),0.057,2,2,31,4,33,"CCL2, IFIT1",50,6.06,0.010084033613445377,1.996365715344906,1
RVSV ZEBOV (D7),ZOSTAVAX (D1),0,0,4,1,4,1,,0,0,0.2,0.6989700043360187,1
RVSV ZEBOV (D7),ZOSTAVAX (D3),0,0,4,3,4,3,,0,0,0.02857142857142856,1.544068044350276,1
RVSV ZEBOV (D7),YF VAX (ANY),0,0,4,3,4,3,,0,0,0.02857142857142856,1.544068044350276,1
RVSV ZEBOV (D7),YF17D (D3),0.056,1,3,14,4,15,IFIT1,25,6.67,0.004901960784313724,2.3096301674258988,1
RVSV ZEBOV (D7),YF VAX (D4-7),0.014,1,3,66,4,67,IFIT1,25,1.49,7.307270734380688e-5,4.136244801746144,0.046912678114724014
RVSV ZEBOV (D7),STAMARIL (D10),0.017,1,3,56,4,57,IFIT1,25,1.75,1.1689070718877865e-4,3.9322200138771186,0.07083576855639986
RVSV ZEBOV (D7),STAMARIL (D14),0,0,4,10,4,10,,0,0,9.990009990009981e-4,3.0004340774793192,0.44255744255744217
RVSV ZEBOV (D7),STAMARIL (D28),0,0,4,8,4,8,,0,0,0.0020202020202020206,2.6946051989335684,0.8242424242424244
RVSV ZEBOV (D7),STAMARIL (D3),0.015,1,3,61,4,62,IFIT1,25,1.61,9.157509157509163e-5,4.038222638368718,0.057051282051282085
RVSV ZEBOV (D7),STAMARIL (D60),0,0,4,8,4,8,,0,0,0.0020202020202020206,2.6946051989335684,0.8242424242424244
RVSV ZEBOV (D7),STAMARIL (D7),0.012,1,3,82,4,83,IFIT1,25,1.2,3.908540160250151e-5,4.407985421308136,0.02689075630252099
RVSV ZEBOV (D7),"BNT-I (D10, mild)",0.004,2,2,465,4,467,"CCL2, IFIT1",50,0.43,5.4671696462741203e-5,4.2622374497415825,0.035973976272483714
RVSV ZEBOV (D7),"BNT-I (D10, severe)",0.003,1,3,349,4,350,IFIT1,25,0.29,5.502838364028178e-7,6.259413243620171,5.288227667831079e-4
RVSV ZEBOV (D7),"BNT-I (D26, mild)",0.005,2,2,404,4,406,"CCL2, NFKB2",50,0.49,7.226477814713119e-5,4.141073326267475,0.04661078190489962
RVSV ZEBOV (D7),"BNT-I (D26, severe)",0,0,4,191,4,191,,0,0,1.7120496795727807e-8,7.7664836372924615,1.944888435994679e-5
RVSV ZEBOV (D7),"BNT-I-BNT (D51, mild)",0.004,1,3,244,4,245,CCL2,25,0.41,1.5926762375890696e-6,5.797872499477656,0.0014270379088798064
RVSV ZEBOV (D7),"I (D10, moderate)",0.004,1,3,277,4,278,IFIT1,25,0.36,1.0933084059016813e-6,5.961257312809289,0.0010001145169294178
RVSV ZEBOV (D7),"I (D10, severe)",0.003,1,3,330,4,331,CCL2,25,0.3,6.499537557902736e-7,6.1871175423103155,6.135563454660181e-4
RVSV ZEBOV (D7),"I (D26, moderate)",0.005,1,3,208,4,209,CCL2,25,0.48,2.554898378916976e-6,5.592626369248758,0.0022099870977631843
RVSV ZEBOV (D7),"I (D26, severe)",0.003,1,3,337,4,338,CCL2,25,0.3,6.106301550542621e-7,6.214221752526229,5.825411679217661e-4
RVSV ZEBOV (D7),"I (D51, severe)",0.004,1,3,278,4,279,NFKB2,25,0.36,1.0816774654133678e-6,5.965902217855052,9.94061590714885e-4
RVSV ZEBOV (D7),"I (D51, moderate)",0.008,1,3,116,4,117,CCL2,25,0.85,1.4242985329725147e-5,4.846398973034674,0.010767696909272212
RVSV ZEBOV (D7),"BBIBP (V3, D07)",0,0,4,59,4,59,,0,0,1.678795967532086e-6,5.77500208263464,0.0014958072070710886
RVSV ZEBOV (D7),"BBIBP (V3, D14)",0,0,4,139,4,139,,0,0,5.987419832190575e-8,7.2227602884701305,6.460425998933631e-5
RVSV ZEBOV (D7),"ChAd (V2, D1)",0,0,4,17,4,17,,0,0,1.6708437761069335e-4,3.7770641547424297,0.09657477025898076
RVSV ZEBOV (D7),"ZF2001 (V3, D07)",0.005,1,3,203,4,204,CCL2,25,0.49,2.745489675242889e-6,5.561380185170219,0.0023528846516831558
RVSV ZEBOV (D7),"ZF2001 (V3, D28)",0,0,4,68,4,68,,0,0,9.720156688925805e-7,6.012326734190251,9.010585250634221e-4
RVSV ZEBOV (D7),BNT-I (D1),0.005,1,3,179,4,180,IFIT1,25,0.56,3.981165107874656e-6,5.399989810873081,0.0033441786906147114
RVSV ZEBOV (D7),"ChAd (V2, D7)",0.017,3,1,176,4,179,"CCL2, IFIT1, NFKB2",75,1.68,0.02222222222222233,1.6532125137753415,1
RVSV ZEBOV (D7),I (D1),0.01,2,2,195,4,197,"CCL2, IFIT1",50,1.02,3.045530683721632e-4,3.516337020623614,0.15897670169026917
RVSV ZEBOV (D7),I-I (D0),0.011,2,2,170,4,172,"CCL2, IFIT1",50,1.16,3.986446083316713e-4,3.399414105363771,0.20051823799083066
RVSV ZEBOV (D7),"BBIBP (V3, D28)",0,0,4,66,4,66,,0,0,1.090637423041895e-6,5.96231960444697,0.0010001145169294178
RVSV ZEBOV (D7),"BNT-I-BNT (D51, severe)",0,0,4,204,4,204,,0,0,1.3199469592513927e-8,7.8794435201329796,1.5166190561798502e-5
