"","...1","condition","genes"
"1",1,"MONOV INFLUENZA A (D1)","ADAMTS7"
"2",2,"MONOV INFLUENZA A (D1)","ATG9B"
"3",3,"MONOV INFLUENZA A (D1)","ATP13A4"
"4",4,"MONOV INFLUENZA A (D1)","KCNJ5-AS1"
"5",5,"MONOV INFLUENZA A (D1)","LINC00612"
"6",6,"MONOV INFLUENZA A (D1)","HEATR9"
"7",7,"MONOV INFLUENZA A (D1)","C2orf27A"
"8",8,"MONOV INFLUENZA A (D1)","CACNA1I"
"9",9,"MONOV INFLUENZA A (D1)","CHD5"
"10",10,"MONOV INFLUENZA A (D1)","COL5A1"
"11",11,"MONOV INFLUENZA A (D1)","COL5A3"
"12",12,"MONOV INFLUENZA A (D1)","CYP4F12"
"13",13,"MONOV INFLUENZA A (D1)","DPEP3"
"14",14,"MONOV INFLUENZA A (D1)","FXYD2"
"15",15,"MONOV INFLUENZA A (D1)","GSDMA"
"16",16,"MONOV INFLUENZA A (D1)","HSPG2"
"17",17,"MONOV INFLUENZA A (D1)","IL23R"
"18",18,"MONOV INFLUENZA A (D1)","LMO7-AS1"
"19",19,"MONOV INFLUENZA A (D1)","MFGE8"
"20",20,"MONOV INFLUENZA A (D1)","MIR635"
"21",21,"MONOV INFLUENZA A (D1)","MMP15"
"22",22,"MONOV INFLUENZA A (D1)","NDRG4"
"23",23,"MONOV INFLUENZA A (D1)","NOG"
"24",24,"MONOV INFLUENZA A (D1)","NRCAM"
"25",25,"MONOV INFLUENZA A (D1)","OCM"
"26",26,"MONOV INFLUENZA A (D1)","SHANK1"
"27",27,"MONOV INFLUENZA A (D1)","SPRY1"
"28",28,"MONOV INFLUENZA A (D1)","SPRY2"
"29",29,"MONOV INFLUENZA A (D1)","STYK1"
"30",30,"MONOV INFLUENZA A (D1)","SYT17"
"31",31,"MONOV INFLUENZA A (D1)","TNNC1"
"32",32,"MONOV INFLUENZA A (D1)","TPBG"
"33",33,"MONOV INFLUENZA A (D1)","TRBJ2-4"
"34",34,"MONOV INFLUENZA A (D1)","TRIM74"
"35",35,"MONOV INFLUENZA A (D1)","ZNF890P"
"36",36,"MONOV INFLUENZA A (D1)","AANAT"
"37",37,"MONOV INFLUENZA A (D1)","ACP3"
"38",38,"MONOV INFLUENZA A (D1)","ACSL1"
"39",39,"MONOV INFLUENZA A (D1)","ACVRL1"
"40",40,"MONOV INFLUENZA A (D1)","ADAM9"
"41",41,"MONOV INFLUENZA A (D1)","ADAMTSL4"
"42",42,"MONOV INFLUENZA A (D1)","ADAP2"
"43",43,"MONOV INFLUENZA A (D1)","ADM"
"44",44,"MONOV INFLUENZA A (D1)","ADPRH"
"45",45,"MONOV INFLUENZA A (D1)","AIF1"
"46",46,"MONOV INFLUENZA A (D1)","AIM2"
"47",47,"MONOV INFLUENZA A (D1)","AK4"
"48",48,"MONOV INFLUENZA A (D1)","ALDH1A1"
"49",49,"MONOV INFLUENZA A (D1)","ANKRD22"
"50",50,"MONOV INFLUENZA A (D1)","ANKRD34B"
"51",51,"MONOV INFLUENZA A (D1)","ANO5"
"52",52,"MONOV INFLUENZA A (D1)","APOBEC3A"
"53",53,"MONOV INFLUENZA A (D1)","APOBEC3B"
"54",54,"MONOV INFLUENZA A (D1)","APOL1"
"55",55,"MONOV INFLUENZA A (D1)","APOL2"
"56",56,"MONOV INFLUENZA A (D1)","APOL3"
"57",57,"MONOV INFLUENZA A (D1)","APOL4"
"58",58,"MONOV INFLUENZA A (D1)","APOL6"
"59",59,"MONOV INFLUENZA A (D1)","AQP9"
"60",60,"MONOV INFLUENZA A (D1)","BMAL2"
"61",61,"MONOV INFLUENZA A (D1)","ASAP2"
"62",62,"MONOV INFLUENZA A (D1)","ASGR2"
"63",63,"MONOV INFLUENZA A (D1)","ATF3"
"64",64,"MONOV INFLUENZA A (D1)","ATF5"
"65",65,"MONOV INFLUENZA A (D1)","ATP6V1B2"
"66",66,"MONOV INFLUENZA A (D1)","BACH1"
"67",67,"MONOV INFLUENZA A (D1)","BATF2"
"68",68,"MONOV INFLUENZA A (D1)","BATF3"
"69",69,"MONOV INFLUENZA A (D1)","BCL2A1"
"70",70,"MONOV INFLUENZA A (D1)","BCL3"
"71",71,"MONOV INFLUENZA A (D1)","BCL6"
"72",72,"MONOV INFLUENZA A (D1)","BEST1"
"73",73,"MONOV INFLUENZA A (D1)","BLVRA"
"74",74,"MONOV INFLUENZA A (D1)","BST1"
"75",75,"MONOV INFLUENZA A (D1)","SMCO4"
"76",76,"MONOV INFLUENZA A (D1)","SCIMP"
"77",77,"MONOV INFLUENZA A (D1)","MCEMP1"
"78",78,"MONOV INFLUENZA A (D1)","C1DP1"
"79",79,"MONOV INFLUENZA A (D1)","C1QA"
"80",80,"MONOV INFLUENZA A (D1)","C1QB"
"81",81,"MONOV INFLUENZA A (D1)","C2"
"82",82,"MONOV INFLUENZA A (D1)","C3AR1"
"83",83,"MONOV INFLUENZA A (D1)","FAM241A"
"84",84,"MONOV INFLUENZA A (D1)","CARD16"
"85",85,"MONOV INFLUENZA A (D1)","CARD17P"
"86",86,"MONOV INFLUENZA A (D1)","CASP1"
"87",87,"MONOV INFLUENZA A (D1)","CASP5"
"88",88,"MONOV INFLUENZA A (D1)","CASP7"
"89",89,"MONOV INFLUENZA A (D1)","CCDC149"
"90",90,"MONOV INFLUENZA A (D1)","CCR1"
"91",91,"MONOV INFLUENZA A (D1)","CCR2"
"92",92,"MONOV INFLUENZA A (D1)","CCRL2"
"93",93,"MONOV INFLUENZA A (D1)","CD14"
"94",94,"MONOV INFLUENZA A (D1)","CD274"
"95",95,"MONOV INFLUENZA A (D1)","CD300E"
"96",96,"MONOV INFLUENZA A (D1)","CD36"
"97",97,"MONOV INFLUENZA A (D1)","CD38"
"98",98,"MONOV INFLUENZA A (D1)","CDC42EP2"
"99",99,"MONOV INFLUENZA A (D1)","CDCP1"
"100",100,"MONOV INFLUENZA A (D1)","CDHR5"
"101",101,"MONOV INFLUENZA A (D1)","CDKN1A"
"102",102,"MONOV INFLUENZA A (D1)","CES1"
"103",103,"MONOV INFLUENZA A (D1)","CHST15"
"104",104,"MONOV INFLUENZA A (D1)","CLEC4D"
"105",105,"MONOV INFLUENZA A (D1)","CLEC4E"
"106",106,"MONOV INFLUENZA A (D1)","CLEC4G"
"107",107,"MONOV INFLUENZA A (D1)","CLEC5A"
"108",108,"MONOV INFLUENZA A (D1)","CLEC6A"
"109",109,"MONOV INFLUENZA A (D1)","CMPK2"
"110",110,"MONOV INFLUENZA A (D1)","COX17P1"
"111",111,"MONOV INFLUENZA A (D1)","CREB5"
"112",112,"MONOV INFLUENZA A (D1)","CRISPLD2"
"113",113,"MONOV INFLUENZA A (D1)","CTSB"
"114",114,"MONOV INFLUENZA A (D1)","CTSL"
"115",115,"MONOV INFLUENZA A (D1)","CTSS"
"116",116,"MONOV INFLUENZA A (D1)","CXCL10"
"117",117,"MONOV INFLUENZA A (D1)","CXCL16"
"118",118,"MONOV INFLUENZA A (D1)","CXCR2P1"
"119",119,"MONOV INFLUENZA A (D1)","CYP1B1"
"120",120,"MONOV INFLUENZA A (D1)","CYP1B1-AS1"
"121",121,"MONOV INFLUENZA A (D1)","CYP27A1"
"122",122,"MONOV INFLUENZA A (D1)","DDO"
"123",123,"MONOV INFLUENZA A (D1)","DDX60"
"124",124,"MONOV INFLUENZA A (D1)","DHRS9"
"125",125,"MONOV INFLUENZA A (D1)","DMXL2"
"126",126,"MONOV INFLUENZA A (D1)","DOCK4"
"127",127,"MONOV INFLUENZA A (D1)","DPYD"
"128",128,"MONOV INFLUENZA A (D1)","DRAM1"
"129",129,"MONOV INFLUENZA A (D1)","DSC2"
"130",130,"MONOV INFLUENZA A (D1)","DSE"
"131",131,"MONOV INFLUENZA A (D1)","DTX3L"
"132",132,"MONOV INFLUENZA A (D1)","DUSP1"
"133",133,"MONOV INFLUENZA A (D1)","DUSP3"
"134",134,"MONOV INFLUENZA A (D1)","DUSP6"
"135",135,"MONOV INFLUENZA A (D1)","DYSF"
"136",136,"MONOV INFLUENZA A (D1)","EGR2"
"137",137,"MONOV INFLUENZA A (D1)","EGR3"
"138",138,"MONOV INFLUENZA A (D1)","EMILIN2"
"139",139,"MONOV INFLUENZA A (D1)","EPB41L3"
"140",140,"MONOV INFLUENZA A (D1)","EPSTI1"
"141",141,"MONOV INFLUENZA A (D1)","ETV7"
"142",142,"MONOV INFLUENZA A (D1)","EXOC3L1"
"143",143,"MONOV INFLUENZA A (D1)","EXT1"
"144",144,"MONOV INFLUENZA A (D1)","FAM110B"
"145",145,"MONOV INFLUENZA A (D1)","FAM151B"
"146",146,"MONOV INFLUENZA A (D1)","FAM157B"
"147",147,"MONOV INFLUENZA A (D1)","GASK1B"
"148",148,"MONOV INFLUENZA A (D1)","FAM20A"
"149",149,"MONOV INFLUENZA A (D1)","FAM20C"
"150",150,"MONOV INFLUENZA A (D1)","CALHM6"
"151",151,"MONOV INFLUENZA A (D1)","FAM72A"
"152",152,"MONOV INFLUENZA A (D1)","FBXO6"
"153",153,"MONOV INFLUENZA A (D1)","FCAR"
"154",154,"MONOV INFLUENZA A (D1)","FCER1G"
"155",155,"MONOV INFLUENZA A (D1)","FCGR1A"
"156",156,"MONOV INFLUENZA A (D1)","FCGR1BP"
"157",157,"MONOV INFLUENZA A (D1)","FCGR2A"
"158",158,"MONOV INFLUENZA A (D1)","FCGR2C"
"159",159,"MONOV INFLUENZA A (D1)","FCN1"
"160",160,"MONOV INFLUENZA A (D1)","FFAR2"
