"","condition","genes"
"1","RVSV ZEBOV (D7)","CXCL10"
"2","RVSV ZEBOV (D7)","HERC5"
"3","RVSV ZEBOV (D7)","ISG15"
"4","RVSV ZEBOV (D7)","LAMP3"
"5","RVSV ZEBOV (D7)","RSAD2"
"6","RVSV ZEBOV (D7)","USP18"
"7","LVS F TULARENSIS (H18)","CARD10"
"8","LVS F TULARENSIS (H18)","CARD9"
"9","LVS F TULARENSIS (H18)","CCL19"
"10","LVS F TULARENSIS (H18)","CCL21"
"11","LVS F TULARENSIS (H18)","CCR4"
"12","LVS F TULARENSIS (H18)","CCR6"
"13","LVS F TULARENSIS (H18)","ICAM1"
"14","LVS F TULARENSIS (H18)","ICOS"
"15","LVS F TULARENSIS (H18)","IRAK1"
"16","LVS F TULARENSIS (H18)","LAMP3"
"17","LVS F TULARENSIS (H18)","NOD1"
"18","LVS F TULARENSIS (H18)","PYCARD"
"19","LVS F TULARENSIS (H18)","ADAM11"
"20","LVS F TULARENSIS (H18)","ADAMDEC1"
"21","LVS F TULARENSIS (H18)","CARD14"
"22","LVS F TULARENSIS (H18)","CARD8"
"23","LVS F TULARENSIS (H18)","CCL17"
"24","LVS F TULARENSIS (H18)","CCL22"
"25","LVS F TULARENSIS (H18)","CCR3"
"26","LVS F TULARENSIS (H18)","CCR5"
"27","LVS F TULARENSIS (H18)","CD1A"
"28","LVS F TULARENSIS (H18)","CD209"
"29","LVS F TULARENSIS (H18)","CD74"
"30","LVS F TULARENSIS (H18)","DCP1B"
"31","LVS F TULARENSIS (H18)","DCSTAMP"
"32","LVS F TULARENSIS (H18)","DCTN2"
"33","LVS F TULARENSIS (H18)","HLA"
"34","LVS F TULARENSIS (H18)","DMA"
"35","LVS F TULARENSIS (H18)","DMB"
"36","LVS F TULARENSIS (H18)","DQB1"
"37","LVS F TULARENSIS (H18)","DRB1"
"38","LVS F TULARENSIS (H18)","HSP90B1"
"39","LVS F TULARENSIS (H18)","ICAM2"
"40","LVS F TULARENSIS (H18)","IRAK2"
"41","LVS F TULARENSIS (H18)","IRAK4"
"42","LVS F TULARENSIS (H18)","MYD88"
"43","LVS F TULARENSIS (H18)","NOD2"
"44","LVS F TULARENSIS (H18)","RBMS1"
"45","LVS F TULARENSIS (H18)","TLR1"
"46","LVS F TULARENSIS (H18)","TLR10"
"47","LVS F TULARENSIS (H18)","TLR2"
"48","LVS F TULARENSIS (H18)","TLR3"
"49","LVS F TULARENSIS (H18)","TLR5"
"50","LVS F TULARENSIS (H18)","TLR6"
"51","LVS F TULARENSIS (H18)","TLR7"
"52","LVS F TULARENSIS (H18)","TLR8"
"53","LVS F TULARENSIS (H18)","TLR9"
"54","LVS F TULARENSIS (H18)","TRAF6"
"55","LVS F TULARENSIS (H192)","CCL17"
"56","LVS F TULARENSIS (H192)","CCL19"
"57","LVS F TULARENSIS (H192)","CCR3"
"58","LVS F TULARENSIS (H192)","CCR6"
"59","LVS F TULARENSIS (H192)","CD209"
"60","LVS F TULARENSIS (H192)","CD74"
"61","LVS F TULARENSIS (H192)","DCSTAMP"
"62","LVS F TULARENSIS (H192)","HSP90B1"
"63","LVS F TULARENSIS (H192)","ICAM1"
"64","LVS F TULARENSIS (H192)","ICOS"
"65","LVS F TULARENSIS (H192)","IRAK1"
"66","LVS F TULARENSIS (H192)","LAMP3"
"67","LVS F TULARENSIS (H192)","PYCARD"
"68","LVS F TULARENSIS (H192)","SOD2"
"69","LVS F TULARENSIS (H192)","ADAM11"
"70","LVS F TULARENSIS (H192)","ADAMDEC1"
"71","LVS F TULARENSIS (H192)","CARD10"
"72","LVS F TULARENSIS (H192)","CARD14"
"73","LVS F TULARENSIS (H192)","CARD8"
"74","LVS F TULARENSIS (H192)","CARD9"
"75","LVS F TULARENSIS (H192)","CCL16"
"76","LVS F TULARENSIS (H192)","CCL21"
"77","LVS F TULARENSIS (H192)","CCL22"
"78","LVS F TULARENSIS (H192)","CCR4"
"79","LVS F TULARENSIS (H192)","CCR5"
"80","LVS F TULARENSIS (H192)","CD1A"
"81","LVS F TULARENSIS (H192)","DCP1B"
"82","LVS F TULARENSIS (H192)","DCTN2"
"83","LVS F TULARENSIS (H192)","HLA"
"84","LVS F TULARENSIS (H192)","DMA"
"85","LVS F TULARENSIS (H192)","DQB1"
"86","LVS F TULARENSIS (H192)","DRB1"
"87","LVS F TULARENSIS (H192)","ICAM2"
"88","LVS F TULARENSIS (H192)","IRAK2"
"89","LVS F TULARENSIS (H192)","IRAK4"
"90","LVS F TULARENSIS (H192)","MYD88"
"91","LVS F TULARENSIS (H192)","NOD1"
"92","LVS F TULARENSIS (H192)","NOD2"
"93","LVS F TULARENSIS (H192)","TLR1"
"94","LVS F TULARENSIS (H192)","TLR10"
"95","LVS F TULARENSIS (H192)","TLR2"
"96","LVS F TULARENSIS (H192)","TLR3"
"97","LVS F TULARENSIS (H192)","TLR5"
"98","LVS F TULARENSIS (H192)","TLR6"
"99","LVS F TULARENSIS (H192)","TLR7"
"100","LVS F TULARENSIS (H192)","TLR8"
"101","LVS F TULARENSIS (H192)","TLR9"
"102","LVS F TULARENSIS (H192)","TRAF6"
"103","LVS F TULARENSIS (H336)","CARD14"
"104","LVS F TULARENSIS (H336)","CCL16"
"105","LVS F TULARENSIS (H336)","CCL19"
"106","LVS F TULARENSIS (H336)","CCL22"
"107","LVS F TULARENSIS (H336)","CCR3"
"108","LVS F TULARENSIS (H336)","CCR6"
"109","LVS F TULARENSIS (H336)","CD1A"
"110","LVS F TULARENSIS (H336)","CD209"
"111","LVS F TULARENSIS (H336)","CD74"
"112","LVS F TULARENSIS (H336)","DCSTAMP"
"113","LVS F TULARENSIS (H336)","HSP90B1"
"114","LVS F TULARENSIS (H336)","ICAM1"
"115","LVS F TULARENSIS (H336)","ICOS"
"116","LVS F TULARENSIS (H336)","IRAK1"
"117","LVS F TULARENSIS (H336)","LAMP3"
"118","LVS F TULARENSIS (H336)","PYCARD"
"119","LVS F TULARENSIS (H336)","SOD2"
"120","LVS F TULARENSIS (H336)","ADAMDEC1"
"121","LVS F TULARENSIS (H336)","CARD10"
"122","LVS F TULARENSIS (H336)","CARD8"
"123","LVS F TULARENSIS (H336)","CARD9"
"124","LVS F TULARENSIS (H336)","CCL17"
"125","LVS F TULARENSIS (H336)","CCL21"
"126","LVS F TULARENSIS (H336)","CCR4"
"127","LVS F TULARENSIS (H336)","CCR5"
"128","LVS F TULARENSIS (H336)","DCP1B"
"129","LVS F TULARENSIS (H336)","DCTN2"
"130","LVS F TULARENSIS (H336)","HLA"
"131","LVS F TULARENSIS (H336)","DMA"
"132","LVS F TULARENSIS (H336)","DMB"
"133","LVS F TULARENSIS (H336)","DQB1"
"134","LVS F TULARENSIS (H336)","DRB1"
"135","LVS F TULARENSIS (H336)","ICAM2"
"136","LVS F TULARENSIS (H336)","IRAK2"
"137","LVS F TULARENSIS (H336)","IRAK4"
"138","LVS F TULARENSIS (H336)","MYD88"
"139","LVS F TULARENSIS (H336)","NOD1"
"140","LVS F TULARENSIS (H336)","NOD2"
"141","LVS F TULARENSIS (H336)","TLR1"
"142","LVS F TULARENSIS (H336)","TLR10"
"143","LVS F TULARENSIS (H336)","TLR2"
"144","LVS F TULARENSIS (H336)","TLR3"
"145","LVS F TULARENSIS (H336)","TLR5"
"146","LVS F TULARENSIS (H336)","TLR6"
"147","LVS F TULARENSIS (H336)","TLR7"
"148","LVS F TULARENSIS (H336)","TLR8"
"149","LVS F TULARENSIS (H336)","TLR9"
"150","LVS F TULARENSIS (H336)","TRAF6"
"151","LVS F TULARENSIS (H48)","CARD10"
"152","LVS F TULARENSIS (H48)","CARD14"
"153","LVS F TULARENSIS (H48)","CARD9"
"154","LVS F TULARENSIS (H48)","CCL19"
"155","LVS F TULARENSIS (H48)","CCR4"
"156","LVS F TULARENSIS (H48)","CCR6"
"157","LVS F TULARENSIS (H48)","ICOS"
"158","LVS F TULARENSIS (H48)","IRAK1"
"159","LVS F TULARENSIS (H48)","IRAK4"
"160","LVS F TULARENSIS (H48)","LAMP3"
"161","LVS F TULARENSIS (H48)","PYCARD"
"162","LVS F TULARENSIS (H48)","HSP90B1"
"163","LVS F TULARENSIS (H48)","ADAMDEC1"
"164","LVS F TULARENSIS (H48)","CARD8"
"165","LVS F TULARENSIS (H48)","CCL16"
"166","LVS F TULARENSIS (H48)","CCL17"
"167","LVS F TULARENSIS (H48)","CCL21"
"168","LVS F TULARENSIS (H48)","CCL22"
"169","LVS F TULARENSIS (H48)","CCR3"
"170","LVS F TULARENSIS (H48)","CCR5"
"171","LVS F TULARENSIS (H48)","CD1A"
"172","LVS F TULARENSIS (H48)","CD209"
"173","LVS F TULARENSIS (H48)","CD74"
"174","LVS F TULARENSIS (H48)","DCP1B"
"175","LVS F TULARENSIS (H48)","DCSTAMP"
"176","LVS F TULARENSIS (H48)","DCTN2"
"177","LVS F TULARENSIS (H48)","HLA"
"178","LVS F TULARENSIS (H48)","DMA"
"179","LVS F TULARENSIS (H48)","DMB"
"180","LVS F TULARENSIS (H48)","DQB1"
"181","LVS F TULARENSIS (H48)","DRB1"
"182","LVS F TULARENSIS (H48)","ICAM1"
"183","LVS F TULARENSIS (H48)","ICAM2"
"184","LVS F TULARENSIS (H48)","IRAK2"
"185","LVS F TULARENSIS (H48)","MYD88"
"186","LVS F TULARENSIS (H48)","NOD1"
"187","LVS F TULARENSIS (H48)","NOD2"
"188","LVS F TULARENSIS (H48)","SOD2"
"189","LVS F TULARENSIS (H48)","TLR1"
"190","LVS F TULARENSIS (H48)","TLR10"
"191","LVS F TULARENSIS (H48)","TLR2"
"192","LVS F TULARENSIS (H48)","TLR3"
"193","LVS F TULARENSIS (H48)","TLR5"
"194","LVS F TULARENSIS (H48)","TLR6"
"195","LVS F TULARENSIS (H48)","TLR7"
"196","LVS F TULARENSIS (H48)","TLR8"
"197","LVS F TULARENSIS (H48)","TLR9"
"198","LVS F TULARENSIS (H48)","TRAF6"
"199","CN54GP140 (D1)","ADRA2C"
"200","CN54GP140 (D1)","AMY1B"
"201","CN54GP140 (D1)","ATAD1"
"202","CN54GP140 (D1)","ATP11C"
"203","CN54GP140 (D1)","BANF2"
"204","CN54GP140 (D1)","BMP8B"
"205","CN54GP140 (D1)","BOLA2"
"206","CN54GP140 (D1)","BRIX1"
"207","CN54GP140 (D1)","C4orf3"
"208","CN54GP140 (D1)","C9orf64"
"209","CN54GP140 (D1)","CAMK1G"
"210","CN54GP140 (D1)","CAMK2A"
"211","CN54GP140 (D1)","CAPZA1"
"212","CN54GP140 (D1)","CASTOR1"
"213","CN54GP140 (D1)","CD48"
"214","CN54GP140 (D1)","CRB3"
"215","CN54GP140 (D1)","CSNK1G1"
"216","CN54GP140 (D1)","EID3"
"217","CN54GP140 (D1)","ENSA"
"218","CN54GP140 (D1)","NALF2"
"219","CN54GP140 (D1)","FAM162A"
"220","CN54GP140 (D1)","FAM89A"
"221","CN54GP140 (D1)","FSTL4"
"222","CN54GP140 (D1)","FUT8"
"223","CN54GP140 (D1)","AS1"
"224","CN54GP140 (D1)","GCLM"
"225","CN54GP140 (D1)","GIMAP2"
"226","CN54GP140 (D1)","GOLGA6L7"
"227","CN54GP140 (D1)","GUCA2A"
"228","CN54GP140 (D1)","HBE1"
"229","CN54GP140 (D1)","HCN2"
"230","CN54GP140 (D1)","H3"
"231","CN54GP140 (D1)","4"
"232","CN54GP140 (D1)","HLA"
"233","CN54GP140 (D1)","C"
"234","CN54GP140 (D1)","HS3ST6"
"235","CN54GP140 (D1)","IER3IP1"
"236","CN54GP140 (D1)","IGFBP1"
"237","CN54GP140 (D1)","IL17REL"
"238","CN54GP140 (D1)","ING3"
"239","CN54GP140 (D1)","ITM2B"
"240","CN54GP140 (D1)","KCTD7"
"241","CN54GP140 (D1)","KRT75"
"242","CN54GP140 (D1)","KRTAP10"
"243","CN54GP140 (D1)","2"
"244","CN54GP140 (D1)","LINC01618"
"245","CN54GP140 (D1)","MAPK8IP2"
"246","CN54GP140 (D1)","MIR488"
"247","CN54GP140 (D1)","MRPL15"
"248","CN54GP140 (D1)","MTX2"
"249","CN54GP140 (D1)","NR2F2"
"250","CN54GP140 (D1)","NRSN2"
"251","CN54GP140 (D1)","OR52D1"
"252","CN54GP140 (D1)","PCYOX1"
"253","CN54GP140 (D1)","PHLDB1"
"254","CN54GP140 (D1)","PKP2"
"255","CN54GP140 (D1)","PLA2G3"
"256","CN54GP140 (D1)","PRDX4"
"257","CN54GP140 (D1)","PRKACG"
"258","CN54GP140 (D1)","RASSF6"
"259","CN54GP140 (D1)","RBMX2"
"260","CN54GP140 (D1)","RFX4"
"261","CN54GP140 (D1)","RNASEH2B"
"262","CN54GP140 (D1)","RNF7"
"263","CN54GP140 (D1)","RPS18"
"264","CN54GP140 (D1)","RUNX1T1"
"265","CN54GP140 (D1)","RXRG"
"266","CN54GP140 (D1)","SCGN"
"267","CN54GP140 (D1)","SIGLEC6"
