Cond1,Cond2,jaccard_distance,Shared,NotShared_cond1,NotShared_cond2,Total_Genes_Cond1,Total_Genes_Cond2,Genes_Names,Percentage_Shared_Cond1,Percentage_Shared_Cond2,pvalue,-log(p),padj
"BBIBP (V3, D28)","BNT-I (D10, severe)",0.093,36,56,295,92,331,"ABL1, ADM, BCL3, BCL6, BPI, CCL20, CD58, CDC42, CRTC3, CTNNB1, CXCL2, CXCL8, FUT4, GATA3, GPR183, HMGB2, IL1RN, ITGB8, JMJD6, KIF5B, LCN2, LRRC8A, MAP3K8, MS4A2, NFKBIA, OTUD4, PPP2CA, PSME1, PTGER4, PTPRJ, RASGRP1, RC3H1, RPS6, SLC15A4, VIM, ZNF3",39.13,10.88,2.689785577658089e-43,42.570282339384775,1.0788729951986594e-39
"BBIBP (V3, D28)",BNT-I (D2),0.116,38,54,237,92,275,"ABL1, ADM, AIMP1, BCL3, BPI, CHRNB2, CLU, CNIH1, CSF1, DHX9, DNM2, EPB42, FUT4, GPR183, IDE, IL1RN, KIF5B, LCN2, LSM14A, NFKB2, NFKBIA, PKHD1L1, PSMA1, RAP1GAP, RELA, RNF19B, RPL39, RPS6, SIRT2, SNCA, SRF, TICAM1, TNFAIP3, TREML1, TRIM23, TRIM58, VIM, ZNF3",41.3,13.82,2.8072231655185825e-37,36.55172306093137,1.069271303746028e-33
"BBIBP (V3, D28)","BNT-I (D26, severe)",0.094,14,78,57,92,71,"ABL1, BCL3, BPI, CTNNB1, CXCL2, JMJD6, LCN2, MAP3K8, NFKBIA, PPP2CA, RC3H1, SLC15A4, VIM, WNT4",15.22,19.72,3.1857954681461803e-28,27.496782109861574,1.0739316523120775e-24
"BBIBP (V3, D28)","ChAd (V1, D3)",0.087,36,56,324,92,360,"ABL1, BMP6, CCL20, CCL3, CD58, CDC42, CHRNB2, CSF1, CXCL5, CXCL8, DCAF12, GATA3, HLA-DMA, HPRT1, IDE, ITGB8, LEPR, MPL, NFKBIA, OTUD4, PBX1, PDE4B, PSMA1, PSME1, PTPRJ, RAB11FIP2, RAP1GAP, RASGRP1, RGS1, RPL39, RPS6, SIRT2, SNCA, TRIM23, VIM, ZNF3",39.13,10,3.4626907016192665e-45,44.460586299261706,1.4086225774187176e-41
"BBIBP (V3, D28)","ChAd-BNT (V2, D3)",0.118,43,49,271,92,314,"ABL1, B4GALT1, BCL3, BMP6, CCL20, CD58, CLU, CSF1, CTNNB1, CXCL5, CXCL8, CXCR2, DCAF12, FUT4, GEM, GPR183, HLA-DMA, HMGB2, HPRT1, IDE, IL1RN, JMJD6, LRRC8A, MPL, NFKB2, PBX1, PDE4B, PKHD1L1, PPP2CA, PTGER4, RAP1GAP, RELA, RGS1, RPL39, RPS6, SELP, SNCA, TNFAIP3, TREML1, TRIM23, TRIM58, VAMP2, ZNF3",46.74,13.69,2.2510214260525603e-35,34.647620371204674,8.398560940602102e-32
"BBIBP (V3, D28)","ChAd-BNT (V2, D7)",0.165,54,38,235,92,289,"ABL1, ADM, B4GALT1, BCL3, BCL6, BMP6, CCL20, CCL3, CD83, CDC42, CLU, CSF1, CTNNB1, CXCL2, CXCL5, CXCL8, CXCR2, DNM2, EPB42, FUT4, GPR183, IL1RN, IRF1, ITGB8, JMJD6, LEPR, LRRC8A, MAP3K8, MPL, NFKB2, NFKBIA, OTUD4, PBX1, PDE4B, PKHD1L1, PPP2CA, PSME1, PTGER4, PTPRJ, PTX3, RAP1GAP, RC3H1, RNF19B, RPL39, SELP, SLC15A4, SNCA, TICAM1, TNFAIP3, TREML1, TRIM23, TRIM58, VIM, ZNF3",58.7,18.69,1.4131502339553094e-24,23.849811665250183,4.4245733825140736e-21
"BBIBP (V3, D28)","I (D10, severe)",0.099,33,59,243,92,276,"ABL1, ADM, B4GALT1, BCL3, BCL6, BPI, CCL20, CD58, CDC42, CRTC3, CTNNB1, CXCL2, GATA3, GPR183, HLA-DMA, HMGB2, ITGB8, JMJD6, KIF5B, LCN2, LSM14A, MAP3K8, MS4A2, NFKBIA, PPP2CA, RAP1GAP, RASGRP1, RC3H1, RPS6, SLC15A4, TNFAIP3, VAMP2, VIM",35.87,11.96,3.4538643702702246e-42,41.461694720734904,1.3722203143083602e-38
"BBIBP (V3, D28)","I (D26, severe)",0.086,29,63,247,92,276,"ABL1, BCL3, BCL6, BPI, CCL20, CD58, CDC42, CTNNB1, CXCL2, FUT4, GATA3, HMGB2, IRF2BP2, ITGB8, JMJD6, KIF5B, LCN2, LRRC8A, LSM14A, MAP3K8, MS4A2, NFKBIA, PKHD1L1, PPP2CA, PTX3, RC3H1, SLC15A4, TNFAIP3, VIM",31.52,10.51,2.6143670980952323e-46,45.582633430725096,1.0718905102190453e-42
"BBIBP (V3, D28)","ZF2001 (V3, D07)",0.195,62,30,226,92,288,"ABL1, ADM, B4GALT1, BCL3, BCL6, BMP6, C4B, CCL20, CCL3, CD83, CDC42, CHRNB2, CLU, CNIH1, CRTC3, CSF1, CTNNB1, CXCL2, CXCL5, CXCL8, DHX9, DNM2, FUT4, FYB2, GPR183, HPRT1, HTN1, IDO2, IL1RN, IRF1, IRF2BP2, ITGB8, JMJD6, LCN2, LRRC8A, MAP3K8, MS4A2, NFKBIA, PDE4B, PPP2CA, PSMA1, PSME1, PTGER4, PTPRJ, PTX3, RELA, RGS1, RNF19B, RPL39, RPS6, SELP, SHLD3, SRF, STMP1, TICAM1, TNFAIP3, TREML1, TRIM49D1, VAMP2, VIM, WFDC11, WNT4",67.39,21.53,1.3721764183309989e-18,17.862590048554807,3.718598093677007e-15
"BBIBP (V3, D28)","BNT-I (D10, mild)",0.073,23,69,223,92,246,"ADM, BCL3, BCL6, BPI, CD58, CDC42, CRTC3, FUT4, GATA3, GPR183, HMGB2, IL1RN, ITGB8, LCN2, LRRC8A, MS4A2, PSME1, RASGRP1, RC3H1, RPS6, SLC15A4, VIM, ZNF3",25,9.35,6.268248982972714e-50,49.2028537611212,2.6345450475434317e-46
