"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","condition"
"GO:0000395","mRNA 5'-splice site recognition","1/1","24/18870",0.00127186009538938,0.00865571453806687,NA,"RNU1-4",1,"BNT (V1, D6)"
"GO:0045292","mRNA cis splicing, via spliceosome","1/1","42/18870",0.00222575516693146,0.00865571453806687,NA,"RNU1-4",1,"BNT (V1, D6)"
"GO:0006376","mRNA splice site recognition","1/1","49/18870",0.00259671436142006,0.00865571453806687,NA,"RNU1-4",1,"BNT (V1, D6)"
"GO:0000245","spliceosomal complex assembly","1/1","95/18870",0.00503444621091675,0.0125861155272919,NA,"RNU1-4",1,"BNT (V1, D6)"
"GO:0022618","protein-RNA complex assembly","1/1","235/18870",0.0124536301006889,0.0197844903727256,NA,"RNU1-4",1,"BNT (V1, D6)"
"GO:0071826","protein-RNA complex organization","1/1","243/18870",0.0128775834658187,0.0197844903727256,NA,"RNU1-4",1,"BNT (V1, D6)"
"GO:0000377","RNA splicing, via transesterification reactions with bulged adenosine as nucleophile","1/1","332/18870",0.0175940646528882,0.0197844903727256,NA,"RNU1-4",1,"BNT (V1, D6)"
"GO:0000398","mRNA splicing, via spliceosome","1/1","332/18870",0.0175940646528882,0.0197844903727256,NA,"RNU1-4",1,"BNT (V1, D6)"
"GO:0000375","RNA splicing, via transesterification reactions","1/1","336/18870",0.017806041335453,0.0197844903727256,NA,"RNU1-4",1,"BNT (V1, D6)"
"GO:0008380","RNA splicing","1/1","478/18870",0.0253312135665076,0.0253312135665076,NA,"RNU1-4",1,"BNT (V1, D6)"
"GO:0000353","formation of quadruple SL/U4/U5/U6 snRNP","5/218","10/18870",4.72579359239954e-08,3.87515074576762e-05,3.80716564496468e-05,"RNU4-2/RNU5A-1/RNU6-1/RNU4-1/RNU5B-1",5,"BNT (V2, D1)"
"GO:0000365","mRNA trans splicing, via spliceosome","5/218","10/18870",4.72579359239954e-08,3.87515074576762e-05,3.80716564496468e-05,"RNU4-2/RNU5A-1/RNU6-1/RNU4-1/RNU5B-1",5,"BNT (V2, D1)"
"GO:0045291","mRNA trans splicing, SL addition","5/218","10/18870",4.72579359239954e-08,3.87515074576762e-05,3.80716564496468e-05,"RNU4-2/RNU5A-1/RNU6-1/RNU4-1/RNU5B-1",5,"BNT (V2, D1)"
"GO:0000244","spliceosomal tri-snRNP complex assembly","6/218","26/18870",4.2123988067001e-07,0.000259062526612056,0.000254517570004827,"RNU4-2/RNU4ATAC/RNU5A-1/RNU6-1/RNU4-1/RNU5B-1",6,"BNT (V2, D1)"
"GO:0000387","spliceosomal snRNP assembly","6/218","52/18870",2.90000263820135e-05,0.0142680129799506,0.0140176969627585,"RNU4-2/RNU4ATAC/RNU5A-1/RNU6-1/RNU4-1/RNU5B-1",6,"BNT (V2, D1)"
"GO:0015670","carbon dioxide transport","6/648","15/18870",6.15242742305496e-06,0.0260309204269455,0.0250565702103154,"HBG1/HBD/HBG2/HBA2/HBA1/AQP1",6,"BNT-I (D1)"
