"condition","genes","base_mean","log2fold_change","lfc_se","stat","pvalue","padj","direction","vaccine","day","dose","infection","type","vac_infec","regimen","variant","severity","prior_infection","previous_vaccination","gse_id","participants","bioprocess"
"BBIBP (V3, D07)","PTPRC",7.85942945732736,1.02290414718251,0.450926560624392,2.26844953592024,0.0233018214785604,1,"UP","BBIBP",7,3,"none","IN","vaccine","HO","none","none",NA,NA,"GSE206023",6,"Cell cycle"
"BBIBP (V3, D07)","LSM14A",42.2962667887477,-0.349637541697185,0.175324314794611,-1.99423304238649,0.0461265927338842,1,"NEUTRAL","BBIBP",7,3,"none","IN","vaccine","HO","none","none",NA,NA,"GSE206023",6,"Cell cycle"
"BBIBP (V3, D07)","CCNL2",54.8420158194717,0.418258809520982,0.194662565476339,2.14863504186079,0.0316633416311453,1,"NEUTRAL","BBIBP",7,3,"none","IN","vaccine","HO","none","none",NA,NA,"GSE206023",6,"Cell cycle"
"BBIBP (V3, D07)","TOP1",80.8697586506796,0.351510112878115,0.135556711101807,2.59308528527312,0.00951191797016689,1,"NEUTRAL","BBIBP",7,3,"none","IN","vaccine","HO","none","none",NA,NA,"GSE206023",6,"Cell cycle"
"BBIBP (V3, D07)","JUND",1998.51813685198,-0.491093263103007,0.180509740106134,-2.7205914917071,0.00651652360985387,1,"NEUTRAL","BBIBP",7,3,"none","IN","vaccine","HO","none","none",NA,NA,"GSE206023",6,"Cell cycle"
"BBIBP (V3, D07)","TMSB4X",5454.36050065728,-0.501469776082909,0.215811578462149,-2.32364630135385,0.0201444586947629,1,"NEUTRAL","BBIBP",7,3,"none","IN","vaccine","HO","none","none",NA,NA,"GSE206023",6,"Cell cycle"
"BBIBP (V3, D07)","SEPTIN9",1.24305085163426,2.13451919255635,1.06732154829276,1.99988391124552,0.0455128008397836,1,"UP","BBIBP",7,3,"none","IN","vaccine","HO","none","none",NA,NA,"GSE206023",6,"Cell cycle"
"BBIBP (V3, D07)","CDC42",183.426774627649,-0.233804997280076,0.0897425685589831,-2.60528532929619,0.0091797778094169,1,"NEUTRAL","BBIBP",7,3,"none","IN","vaccine","HO","none","none",NA,NA,"GSE206023",6,"Cell cycle"
"BBIBP (V3, D07)","MAPRE1",253.728466459836,-0.20060011019178,0.0749120394529391,-2.67780868945372,0.00741055318235172,1,"NEUTRAL","BBIBP",7,3,"none","IN","vaccine","HO","none","none",NA,NA,"GSE206023",6,"Cell cycle"
"BBIBP (V3, D07)","TUBA1C",68.9542419226914,-0.38755205218786,0.17585507870835,-2.20381495396333,0.0275373604752901,1,"NEUTRAL","BBIBP",7,3,"none","IN","vaccine","HO","none","none",NA,NA,"GSE206023",6,"Cell cycle"
"BBIBP (V3, D07)","RHOA",1159.52895936153,-0.199582720597354,0.101491474814034,-1.96649739264363,0.0492411832163965,1,"NEUTRAL","BBIBP",7,3,"none","IN","vaccine","HO","none","none",NA,NA,"GSE206023",6,"Cell cycle"
"BBIBP (V3, D07)","HNRNPU",111.252330484981,0.263417427221915,0.106067732269968,2.48348316292323,0.0130104484792493,1,"NEUTRAL","BBIBP",7,3,"none","IN","vaccine","HO","none","none",NA,NA,"GSE206023",6,"Cell cycle"
"BBIBP (V3, D07)","NABP1",15.1660936777004,0.622376984639408,0.275160824225369,2.26186626090949,0.0237056674623981,1,"NEUTRAL","BBIBP",7,3,"none","IN","vaccine","HO","none","none",NA,NA,"GSE206023",6,"Cell cycle"
"BBIBP (V3, D07)","RHEB",42.08784559538,-0.313959995925956,0.14956387182209,-2.09917002081505,0.0358019157199454,1,"NEUTRAL","BBIBP",7,3,"none","IN","vaccine","HO","none","none",NA,NA,"GSE206023",6,"Cell cycle"
"BBIBP (V3, D07)","UXT",146.552068589842,-0.348550722871967,0.136093448970324,-2.56111315797406,0.0104337365960191,1,"NEUTRAL","BBIBP",7,3,"none","IN","vaccine","HO","none","none",NA,NA,"GSE206023",6,"Cell cycle"
"BBIBP (V3, D07)","TUBA1A",398.834766644035,-0.388778935151882,0.153950093922959,-2.52535692083721,0.0115580835544843,1,"NEUTRAL","BBIBP",7,3,"none","IN","vaccine","HO","none","none",NA,NA,"GSE206023",6,"Cell cycle"
"BBIBP (V3, D07)","SLC25A5",367.455541404013,-0.287796513146988,0.13293588667297,-2.1649271716597,0.03039326299239,1,"NEUTRAL","BBIBP",7,3,"none","IN","vaccine","HO","none","none",NA,NA,"GSE206023",6,"Cell cycle"
