"","Cond1","Cond2","Shared","NotShared_cond1","NotShared_cond2","Total_Genes_Cond1","Total_Genes_Cond2","Genes_Names","Percentage_Shared_Cond1","Percentage_Shared_Cond2","pvalue","qvalue"
"1","RVSV ZEBOV (D7)","LVS F TULARENSIS (H18)",1,8,69,45,466,"LAMP3",2.22,0.21,3.83846358033225e-10,1.20779185058394e-10
"2","RVSV ZEBOV (D7)","LVS F TULARENSIS (H192)",1,8,69,45,461,"LAMP3",2.22,0.22,3.83846358033225e-10,1.20779185058394e-10
"3","RVSV ZEBOV (D7)","LVS F TULARENSIS (H336)",1,8,70,45,471,"LAMP3",2.22,0.21,3.44975840764036e-10,1.08908836285481e-10
"4","RVSV ZEBOV (D7)","LVS F TULARENSIS (H48)",1,8,70,45,471,"LAMP3",2.22,0.21,3.44975840764036e-10,1.08908836285481e-10
"5","RVSV ZEBOV (D7)","CN54GP140 (D1)",0,9,14,45,53,"",0,0,1.22370562537476e-06,3.20870935924799e-07
"6","RVSV ZEBOV (D7)","CN54GP140 (D3)",0,9,4,45,26,"",0,0,0.0013986013986014,0.000292692693005166
"7","RVSV ZEBOV (D7)","CN54GP140 (D7)",0,9,2,45,7,"",0,0,0.0181818181818182,0.00340076333019493
"8","RVSV ZEBOV (D7)","CN54GP140 (H6)",0,9,9,45,54,"",0,0,4.11353352529823e-05,9.81900122116241e-06
"9","RVSV ZEBOV (D7)","HIV-1 GAG-POL NEF (D1)",7,2,520,45,2085,"CCL2,CXCL10,HERC5,IFIT1,ISG15,LAMP3,RSAD2",15.56,0.34,0.000257776250214812,5.74703191231845e-05
"10","RVSV ZEBOV (D7)","HIV-1 GAG-POL NEF (D3)",4,5,74,45,265,"CXCL10,HERC5,IFIT1,RSAD2",8.89,1.51,4.33968042593344e-06,1.10568042004171e-06
"11","RVSV ZEBOV (D7)","HPV-VLP (M2)",1,8,147,45,647,"LAMP3",2.22,0.15,1.24164236397248e-12,4.4046228783368e-13
"12","RVSV ZEBOV (D7)","INFLUENZA (D1)",2,7,58,45,222,"IFIT1,RSAD2",4.44,0.9,4.13960491941817e-08,1.18438862110706e-08
"13","RVSV ZEBOV (D7)","MONOV INFLUENZA A (D1)",7,2,193,45,763,"CCL2,CXCL10,HERC5,IFIT1,ISG15,LAMP3,RSAD2",15.56,0.92,0.00177331165952416,0.000369252412319289
"14","RVSV ZEBOV (D7)","PANDEMRIX (D1)",1,8,39,45,277,"CXCL10",2.22,0.36,2.38506002218201e-08,6.88610158980189e-09
"15","RVSV ZEBOV (D7)","FLUARIX FLUVIRIN (D28)",0,9,31,45,119,"",0,0,3.65712440015846e-09,1.1047659455634e-09
"16","RVSV ZEBOV (D7)","MONOV INFLUENZA A (D28)",0,9,26,45,138,"",0,0,1.41628094255196e-08,4.15027925366285e-09
"17","RVSV ZEBOV (D7)","FLUARIX FLUVIRIN (D3)",0,9,146,45,603,"",0,0,8.90311678524114e-15,3.55214811350735e-15
"18","RVSV ZEBOV (D7)","INFLUENZA (D3)",0,9,121,45,521,"",0,0,4.5420205442155e-14,1.74319127466109e-14
"19","RVSV ZEBOV (D7)","MONOV INFLUENZA A (D3)",5,4,49,45,164,"HERC5,IFIT1,ISG15,LAMP3,RSAD2",11.11,3.05,0.000296980696254743,6.57482635210534e-05
"20","RVSV ZEBOV (D7)","PANDEMRIX (D3)",0,9,5,45,34,"",0,0,0.0004995004995005,0.000107787053427417
"21","RVSV ZEBOV (D7)","PANDEMRIX (D30)",0,9,6,45,39,"",0,0,0.0001998001998002,4.49058119243705e-05
"22","RVSV ZEBOV (D7)","FLUAD (D7)",0,9,52,45,150,"",0,0,5.76642623290112e-11,1.88669124608447e-11
"23","RVSV ZEBOV (D7)","FLUARIX FLUVIRIN (D7)",2,7,311,45,1183,"IFIT1,ISG15",4.44,0.17,5.64129367883442e-13,2.03152319177847e-13
"24","RVSV ZEBOV (D7)","INFLUENZA (D7)",2,7,83,45,252,"ISG15,RSAD2",4.44,0.79,4.10932911758538e-09,1.23241979565931e-09
"25","RVSV ZEBOV (D7)","PANDEMRIX (D7)",2,7,46,45,239,"CXCL10,IFIT1",4.44,0.84,1.77403063085638e-07,4.90286205095339e-08
"26","RVSV ZEBOV (D7)","INACTIVATED INFLUENZA (D0)",0,9,2,45,3,"",0,0,0.0181818181818182,0.00340076333019493
"27","RVSV ZEBOV (D7)","FLUZONE (D1)",0,9,6,45,21,"",0,0,0.0001998001998002,4.49058119243705e-05
"28","RVSV ZEBOV (D7)","FLUZONE (D30)",0,9,2,45,5,"",0,0,0.0181818181818182,0.00340076333019493
"29","RVSV ZEBOV (D7)","FLUZONE (D7)",1,8,10,45,86,"CCL2",2.22,1.16,0.000119075970469159,2.74392339855126e-05
"30","RVSV ZEBOV (D7)","FLUMIST (D3)",0,9,177,45,747,"",0,0,1.65773056982124e-15,6.93407937782648e-16
"31","RVSV ZEBOV (D7)","FLUMIST (D7)",2,7,636,45,2520,"CXCL10,NFKB2",4.44,0.08,4.03647802575605e-15,1.65003529595379e-15
"32","RVSV ZEBOV (D7)","FLUMIST (D1)",0,9,2,45,4,"",0,0,0.0181818181818182,0.00340076333019493
