"","condition","genes"
"1","RVSV ZEBOV (D7)","CXCL10"
"2","RVSV ZEBOV (D7)","HERC5"
"3","RVSV ZEBOV (D7)","ISG15"
"4","RVSV ZEBOV (D7)","LAMP3"
"5","RVSV ZEBOV (D7)","RSAD2"
"6","RVSV ZEBOV (D7)","USP18"
"7","LVS F TULARENSIS (H18)","CARD10"
"8","LVS F TULARENSIS (H18)","CARD9"
"9","LVS F TULARENSIS (H18)","CCL19"
"10","LVS F TULARENSIS (H18)","CCL21"
"11","LVS F TULARENSIS (H18)","CCR4"
"12","LVS F TULARENSIS (H18)","CCR6"
"13","LVS F TULARENSIS (H18)","ICAM1"
"14","LVS F TULARENSIS (H18)","ICOS"
"15","LVS F TULARENSIS (H18)","IRAK1"
"16","LVS F TULARENSIS (H18)","LAMP3"
"17","LVS F TULARENSIS (H18)","NOD1"
"18","LVS F TULARENSIS (H18)","PYCARD"
"19","LVS F TULARENSIS (H18)","ADAM11"
"20","LVS F TULARENSIS (H18)","ADAMDEC1"
"21","LVS F TULARENSIS (H18)","CARD14"
"22","LVS F TULARENSIS (H18)","CARD8"
"23","LVS F TULARENSIS (H18)","CCL17"
"24","LVS F TULARENSIS (H18)","CCL22"
"25","LVS F TULARENSIS (H18)","CCR3"
"26","LVS F TULARENSIS (H18)","CCR5"
"27","LVS F TULARENSIS (H18)","CD1A"
"28","LVS F TULARENSIS (H18)","CD209"
"29","LVS F TULARENSIS (H18)","CD74"
"30","LVS F TULARENSIS (H18)","DCP1B"
"31","LVS F TULARENSIS (H18)","DCSTAMP"
"32","LVS F TULARENSIS (H18)","DCTN2"
"33","LVS F TULARENSIS (H18)","HLA-DQB1"
"34","LVS F TULARENSIS (H18)","HLA-DRB1"
"35","LVS F TULARENSIS (H18)","HSP90B1"
"36","LVS F TULARENSIS (H18)","ICAM2"
"37","LVS F TULARENSIS (H18)","IRAK2"
"38","LVS F TULARENSIS (H18)","IRAK4"
"39","LVS F TULARENSIS (H18)","MYD88"
"40","LVS F TULARENSIS (H18)","NOD2"
"41","LVS F TULARENSIS (H18)","RBMS1"
"42","LVS F TULARENSIS (H18)","TLR1"
"43","LVS F TULARENSIS (H18)","TLR10"
"44","LVS F TULARENSIS (H18)","TLR2"
"45","LVS F TULARENSIS (H18)","TLR3"
"46","LVS F TULARENSIS (H18)","TLR5"
"47","LVS F TULARENSIS (H18)","TLR6"
"48","LVS F TULARENSIS (H18)","TLR7"
"49","LVS F TULARENSIS (H18)","TLR8"
"50","LVS F TULARENSIS (H18)","TLR9"
"51","LVS F TULARENSIS (H18)","TRAF6"
"52","LVS F TULARENSIS (H192)","CCL17"
"53","LVS F TULARENSIS (H192)","CCL19"
"54","LVS F TULARENSIS (H192)","CCR3"
"55","LVS F TULARENSIS (H192)","CCR6"
"56","LVS F TULARENSIS (H192)","CD209"
"57","LVS F TULARENSIS (H192)","CD74"
"58","LVS F TULARENSIS (H192)","DCSTAMP"
"59","LVS F TULARENSIS (H192)","HSP90B1"
"60","LVS F TULARENSIS (H192)","ICAM1"
"61","LVS F TULARENSIS (H192)","ICOS"
"62","LVS F TULARENSIS (H192)","IRAK1"
"63","LVS F TULARENSIS (H192)","LAMP3"
"64","LVS F TULARENSIS (H192)","PYCARD"
"65","LVS F TULARENSIS (H192)","SOD2"
"66","LVS F TULARENSIS (H192)","ADAM11"
"67","LVS F TULARENSIS (H192)","ADAMDEC1"
"68","LVS F TULARENSIS (H192)","CARD10"
"69","LVS F TULARENSIS (H192)","CARD14"
"70","LVS F TULARENSIS (H192)","CARD8"
"71","LVS F TULARENSIS (H192)","CARD9"
"72","LVS F TULARENSIS (H192)","CCL16"
"73","LVS F TULARENSIS (H192)","CCL21"
"74","LVS F TULARENSIS (H192)","CCL22"
"75","LVS F TULARENSIS (H192)","CCR4"
"76","LVS F TULARENSIS (H192)","CCR5"
"77","LVS F TULARENSIS (H192)","CD1A"
"78","LVS F TULARENSIS (H192)","DCP1B"
"79","LVS F TULARENSIS (H192)","DCTN2"
"80","LVS F TULARENSIS (H192)","HLA-DQB1"
"81","LVS F TULARENSIS (H192)","HLA-DRB1"
"82","LVS F TULARENSIS (H192)","ICAM2"
"83","LVS F TULARENSIS (H192)","IRAK2"
"84","LVS F TULARENSIS (H192)","IRAK4"
"85","LVS F TULARENSIS (H192)","MYD88"
"86","LVS F TULARENSIS (H192)","NOD1"
"87","LVS F TULARENSIS (H192)","NOD2"
"88","LVS F TULARENSIS (H192)","TLR1"
"89","LVS F TULARENSIS (H192)","TLR10"
"90","LVS F TULARENSIS (H192)","TLR2"
"91","LVS F TULARENSIS (H192)","TLR3"
"92","LVS F TULARENSIS (H192)","TLR5"
"93","LVS F TULARENSIS (H192)","TLR6"
"94","LVS F TULARENSIS (H192)","TLR7"
"95","LVS F TULARENSIS (H192)","TLR8"
"96","LVS F TULARENSIS (H192)","TLR9"
"97","LVS F TULARENSIS (H192)","TRAF6"
"98","LVS F TULARENSIS (H336)","CARD14"
"99","LVS F TULARENSIS (H336)","CCL16"
"100","LVS F TULARENSIS (H336)","CCL19"
"101","LVS F TULARENSIS (H336)","CCL22"
"102","LVS F TULARENSIS (H336)","CCR3"
"103","LVS F TULARENSIS (H336)","CCR6"
"104","LVS F TULARENSIS (H336)","CD1A"
"105","LVS F TULARENSIS (H336)","CD209"
"106","LVS F TULARENSIS (H336)","CD74"
"107","LVS F TULARENSIS (H336)","DCSTAMP"
"108","LVS F TULARENSIS (H336)","HSP90B1"
"109","LVS F TULARENSIS (H336)","ICAM1"
"110","LVS F TULARENSIS (H336)","ICOS"
"111","LVS F TULARENSIS (H336)","IRAK1"
"112","LVS F TULARENSIS (H336)","LAMP3"
"113","LVS F TULARENSIS (H336)","PYCARD"
"114","LVS F TULARENSIS (H336)","SOD2"
"115","LVS F TULARENSIS (H336)","ADAMDEC1"
"116","LVS F TULARENSIS (H336)","CARD10"
"117","LVS F TULARENSIS (H336)","CARD8"
"118","LVS F TULARENSIS (H336)","CARD9"
"119","LVS F TULARENSIS (H336)","CCL17"
"120","LVS F TULARENSIS (H336)","CCL21"
"121","LVS F TULARENSIS (H336)","CCR4"
"122","LVS F TULARENSIS (H336)","CCR5"
"123","LVS F TULARENSIS (H336)","DCP1B"
"124","LVS F TULARENSIS (H336)","DCTN2"
"125","LVS F TULARENSIS (H336)","HLA-DQB1"
"126","LVS F TULARENSIS (H336)","HLA-DRB1"
"127","LVS F TULARENSIS (H336)","ICAM2"
"128","LVS F TULARENSIS (H336)","IRAK2"
"129","LVS F TULARENSIS (H336)","IRAK4"
"130","LVS F TULARENSIS (H336)","MYD88"
"131","LVS F TULARENSIS (H336)","NOD1"
"132","LVS F TULARENSIS (H336)","NOD2"
"133","LVS F TULARENSIS (H336)","TLR1"
"134","LVS F TULARENSIS (H336)","TLR10"
"135","LVS F TULARENSIS (H336)","TLR2"
"136","LVS F TULARENSIS (H336)","TLR3"
"137","LVS F TULARENSIS (H336)","TLR5"
"138","LVS F TULARENSIS (H336)","TLR6"
"139","LVS F TULARENSIS (H336)","TLR7"
"140","LVS F TULARENSIS (H336)","TLR8"
"141","LVS F TULARENSIS (H336)","TLR9"
"142","LVS F TULARENSIS (H336)","TRAF6"
"143","LVS F TULARENSIS (H48)","CARD10"
"144","LVS F TULARENSIS (H48)","CARD14"
"145","LVS F TULARENSIS (H48)","CARD9"
"146","LVS F TULARENSIS (H48)","CCL19"
"147","LVS F TULARENSIS (H48)","CCR4"
"148","LVS F TULARENSIS (H48)","CCR6"
"149","LVS F TULARENSIS (H48)","ICOS"
"150","LVS F TULARENSIS (H48)","IRAK1"
"151","LVS F TULARENSIS (H48)","IRAK4"
"152","LVS F TULARENSIS (H48)","LAMP3"
"153","LVS F TULARENSIS (H48)","PYCARD"
"154","LVS F TULARENSIS (H48)","HSP90B1"
"155","LVS F TULARENSIS (H48)","ADAMDEC1"
"156","LVS F TULARENSIS (H48)","CARD8"
"157","LVS F TULARENSIS (H48)","CCL16"
"158","LVS F TULARENSIS (H48)","CCL17"
"159","LVS F TULARENSIS (H48)","CCL21"
"160","LVS F TULARENSIS (H48)","CCL22"
"161","LVS F TULARENSIS (H48)","CCR3"
"162","LVS F TULARENSIS (H48)","CCR5"
"163","LVS F TULARENSIS (H48)","CD1A"
"164","LVS F TULARENSIS (H48)","CD209"
"165","LVS F TULARENSIS (H48)","CD74"
"166","LVS F TULARENSIS (H48)","DCP1B"
"167","LVS F TULARENSIS (H48)","DCSTAMP"
"168","LVS F TULARENSIS (H48)","DCTN2"
"169","LVS F TULARENSIS (H48)","HLA-DQB1"
"170","LVS F TULARENSIS (H48)","HLA-DRB1"
"171","LVS F TULARENSIS (H48)","ICAM1"
"172","LVS F TULARENSIS (H48)","ICAM2"
"173","LVS F TULARENSIS (H48)","IRAK2"
"174","LVS F TULARENSIS (H48)","MYD88"
"175","LVS F TULARENSIS (H48)","NOD1"
"176","LVS F TULARENSIS (H48)","NOD2"
"177","LVS F TULARENSIS (H48)","SOD2"
"178","LVS F TULARENSIS (H48)","TLR1"
"179","LVS F TULARENSIS (H48)","TLR10"
"180","LVS F TULARENSIS (H48)","TLR2"
"181","LVS F TULARENSIS (H48)","TLR3"
"182","LVS F TULARENSIS (H48)","TLR5"
"183","LVS F TULARENSIS (H48)","TLR6"
"184","LVS F TULARENSIS (H48)","TLR7"
"185","LVS F TULARENSIS (H48)","TLR8"
"186","LVS F TULARENSIS (H48)","TLR9"
"187","LVS F TULARENSIS (H48)","TRAF6"
"188","CN54GP140 (D1)","ADRA2C"
"189","CN54GP140 (D1)","AMY1B"
"190","CN54GP140 (D1)","ATAD1"
"191","CN54GP140 (D1)","ATP11C"
"192","CN54GP140 (D1)","BANF2"
"193","CN54GP140 (D1)","BMP8B"
"194","CN54GP140 (D1)","BOLA2"
"195","CN54GP140 (D1)","BRIX1"
"196","CN54GP140 (D1)","C4orf3"
"197","CN54GP140 (D1)","C9orf64"
"198","CN54GP140 (D1)","CAMK1G"
"199","CN54GP140 (D1)","CAMK2A"
"200","CN54GP140 (D1)","CAPZA1"
"201","CN54GP140 (D1)","CASTOR1"
"202","CN54GP140 (D1)","CD48"
"203","CN54GP140 (D1)","CRB3"
"204","CN54GP140 (D1)","CSNK1G1"
"205","CN54GP140 (D1)","EID3"
"206","CN54GP140 (D1)","ENSA"
"207","CN54GP140 (D1)","NALF2"
"208","CN54GP140 (D1)","FAM162A"
"209","CN54GP140 (D1)","FAM89A"
"210","CN54GP140 (D1)","FSTL4"
"211","CN54GP140 (D1)","FUT8-AS1"
"212","CN54GP140 (D1)","GCLM"
"213","CN54GP140 (D1)","GIMAP2"
"214","CN54GP140 (D1)","GOLGA6L7"
"215","CN54GP140 (D1)","GUCA2A"
"216","CN54GP140 (D1)","HBE1"
"217","CN54GP140 (D1)","HCN2"
"218","CN54GP140 (D1)","H3-4"
"219","CN54GP140 (D1)","HS3ST6"
"220","CN54GP140 (D1)","IER3IP1"
"221","CN54GP140 (D1)","IGFBP1"
"222","CN54GP140 (D1)","IL17REL"
"223","CN54GP140 (D1)","ING3"
"224","CN54GP140 (D1)","ITM2B"
"225","CN54GP140 (D1)","KCTD7"
"226","CN54GP140 (D1)","KRT75"
"227","CN54GP140 (D1)","KRTAP10-2"
"228","CN54GP140 (D1)","LINC01618"
"229","CN54GP140 (D1)","MAPK8IP2"
"230","CN54GP140 (D1)","MIR488"
"231","CN54GP140 (D1)","MRPL15"
"232","CN54GP140 (D1)","MTX2"
"233","CN54GP140 (D1)","NR2F2"
"234","CN54GP140 (D1)","NRSN2"
"235","CN54GP140 (D1)","OR52D1"
"236","CN54GP140 (D1)","PCYOX1"
"237","CN54GP140 (D1)","PHLDB1"
"238","CN54GP140 (D1)","PKP2"
"239","CN54GP140 (D1)","PLA2G3"
"240","CN54GP140 (D1)","PRDX4"
"241","CN54GP140 (D1)","PRKACG"
"242","CN54GP140 (D1)","RASSF6"
"243","CN54GP140 (D1)","RBMX2"
"244","CN54GP140 (D1)","RFX4"
"245","CN54GP140 (D1)","RNASEH2B"
"246","CN54GP140 (D1)","RNF7"
"247","CN54GP140 (D1)","RPS18"
"248","CN54GP140 (D1)","RUNX1T1"
"249","CN54GP140 (D1)","RXRG"
"250","CN54GP140 (D1)","SCGN"
"251","CN54GP140 (D1)","SIGLEC6"
"252","CN54GP140 (D1)","SMIM30"
"253","CN54GP140 (D1)","SNORD13"
"254","CN54GP140 (D1)","SNORD3D"
"255","CN54GP140 (D1)","SNTA1"
"256","CN54GP140 (D1)","SNX14"
"257","CN54GP140 (D1)","SOD2-OT1"
"258","CN54GP140 (D1)","SPINK2"
"259","CN54GP140 (D1)","SRGAP2C"
"260","CN54GP140 (D1)","STAR"
"261","CN54GP140 (D1)","SUMO1"
"262","CN54GP140 (D1)","SYP"
"263","CN54GP140 (D1)","TAFAZZIN"
"264","CN54GP140 (D1)","TMEM106B"
"265","CN54GP140 (D1)","TMEM191A"
"266","CN54GP140 (D1)","TMEM70"
