"condition","direction","term_ancestor","n_genes","n_genes_total","n_genes_perc","type","disease_vac"
"BBIBP (V3, D07)","DOWN","interspecies interaction BP",1,13,7.7,"IN","V"
"BBIBP (V3, D07)","DOWN","biological regulation",6,13,46.2,"IN","V"
"BBIBP (V3, D07)","DOWN","cellular process",7,13,53.8,"IN","V"
"BBIBP (V3, D07)","DOWN","immune system process",4,13,30.8,"IN","V"
"BBIBP (V3, D07)","DOWN","positive regulation of biological process",5,13,38.5,"IN","V"
"BBIBP (V3, D07)","DOWN","regulation of biological process",6,13,46.2,"IN","V"
"BBIBP (V3, D07)","DOWN","reproductive process",2,13,15.4,"IN","V"
"BBIBP (V3, D07)","DOWN","No annotation",5,13,38.5,"IN","V"
"BBIBP (V3, D07)","UP","interspecies interaction BP",1,39,2.6,"IN","V"
"BBIBP (V3, D07)","UP","biological regulation",13,39,33.3,"IN","V"
"BBIBP (V3, D07)","UP","cellular process",17,39,43.6,"IN","V"
"BBIBP (V3, D07)","UP","immune system process",3,39,7.7,"IN","V"
"BBIBP (V3, D07)","UP","locomotion",2,39,5.1,"IN","V"
"BBIBP (V3, D07)","UP","positive regulation of biological process",5,39,12.8,"IN","V"
"BBIBP (V3, D07)","UP","regulation of biological process",12,39,30.8,"IN","V"
"BBIBP (V3, D07)","UP","reproductive process",2,39,5.1,"IN","V"
"BBIBP (V3, D07)","UP","No annotation",22,39,56.4,"IN","V"
"BBIBP (V3, D14)","DOWN","interspecies interaction BP",2,15,13.3,"IN","V"
"BBIBP (V3, D14)","DOWN","biological regulation",10,15,66.7,"IN","V"
"BBIBP (V3, D14)","DOWN","cellular process",13,15,86.7,"IN","V"
"BBIBP (V3, D14)","DOWN","immune system process",4,15,26.7,"IN","V"
"BBIBP (V3, D14)","DOWN","locomotion",2,15,13.3,"IN","V"
"BBIBP (V3, D14)","DOWN","positive regulation of biological process",6,15,40,"IN","V"
"BBIBP (V3, D14)","DOWN","regulation of biological process",9,15,60,"IN","V"
"BBIBP (V3, D14)","DOWN","reproductive process",2,15,13.3,"IN","V"
"BBIBP (V3, D14)","DOWN","No annotation",2,15,13.3,"IN","V"
"BBIBP (V3, D14)","UP","interspecies interaction BP",31,263,11.8,"IN","V"
"BBIBP (V3, D14)","UP","biological regulation",117,263,44.5,"IN","V"
"BBIBP (V3, D14)","UP","cellular process",157,263,59.7,"IN","V"
"BBIBP (V3, D14)","UP","immune system process",37,263,14.1,"IN","V"
"BBIBP (V3, D14)","UP","locomotion",14,263,5.3,"IN","V"
"BBIBP (V3, D14)","UP","positive regulation of biological process",57,263,21.7,"IN","V"
"BBIBP (V3, D14)","UP","regulation of biological process",113,263,43,"IN","V"
"BBIBP (V3, D14)","UP","reproductive process",11,263,4.2,"IN","V"
"BBIBP (V3, D14)","UP","rhythmic process",2,263,0.8,"IN","V"
"BBIBP (V3, D14)","UP","No annotation",104,263,39.5,"IN","V"
"BBIBP (V3, D28)","DOWN","interspecies interaction BP",7,18,38.9,"IN","V"
"BBIBP (V3, D28)","DOWN","biological regulation",9,18,50,"IN","V"
"BBIBP (V3, D28)","DOWN","cellular process",13,18,72.2,"IN","V"
"BBIBP (V3, D28)","DOWN","immune system process",13,18,72.2,"IN","V"
"BBIBP (V3, D28)","DOWN","locomotion",6,18,33.3,"IN","V"
"BBIBP (V3, D28)","DOWN","positive regulation of biological process",7,18,38.9,"IN","V"
"BBIBP (V3, D28)","DOWN","regulation of biological process",9,18,50,"IN","V"
"BBIBP (V3, D28)","DOWN","reproductive process",1,18,5.6,"IN","V"
"BBIBP (V3, D28)","DOWN","No annotation",2,18,11.1,"IN","V"
