"","genes","infection_vaccination","n_conditions","comparison"
"1","LRRN3","Infection",13,"Infection only"
"2","ADAMTS2","Infection",12,"Infection only"
"3","CD63","Infection",12,"Infection only"
"4","FAM209B","Infection",12,"Infection only"
"5","LBH","Infection",12,"Infection only"
"6","MIR22HG","Infection",12,"Infection only"
"7","SLED1","Infection",12,"Infection only"
"8","ADAMTS2","Infection",12,"Infection and vaccination"
"9","ABCA13","Infection",11,"Infection only"
"10","C8orf76","Infection",11,"Infection only"
"11","CDKN2D","Infection",11,"Infection only"
"12","CLP1","Infection",11,"Infection only"
"13","DDIT3","Infection",11,"Infection only"
"14","EIF1","Infection",11,"Infection only"
"15","ERG","Infection",11,"Infection only"
"16","FCMR","Infection",11,"Infection only"
"17","HSP90AB4P","Infection",11,"Infection only"
"18","INHBB","Infection",11,"Infection only"
"19","KLHL2","Infection",11,"Infection only"
"20","LAPTM4A","Infection",11,"Infection only"
"21","LINC01268","Infection",11,"Infection only"
"22","LOC102723766","Infection",11,"Infection only"
"23","MAB21L3","Infection",11,"Infection only"
"24","MIR3064","Infection",11,"Infection only"
"25","MIR8085","Infection",11,"Infection only"
"26","MYLIP","Infection",11,"Infection only"
"27","OMG","Infection",11,"Infection only"
"28","P2RY10","Infection",11,"Infection only"
"29","PAPLN","Infection",11,"Infection only"
"30","PLBD1","Infection",11,"Infection only"
"31","PPP1R2P3","Infection",11,"Infection only"
"32","PTTG2","Infection",11,"Infection only"
"33","REPS2","Infection",11,"Infection only"
"34","RNF175","Infection",11,"Infection only"
"35","SERPINA9","Infection",11,"Infection only"
"36","SESN2","Infection",11,"Infection only"
"37","SFRP2","Infection",11,"Infection only"
"38","SIRPG-AS1","Infection",11,"Infection only"
"39","SNORA53","Infection",11,"Infection only"
"40","SNORD12","Infection",11,"Infection only"
"41","SNORD12B","Infection",11,"Infection only"
"42","SNORD1B","Infection",11,"Infection only"
"43","TBC1D30","Infection",11,"Infection only"
"44","TG","Infection",11,"Infection only"
"45","TMEM119","Infection",11,"Infection only"
"46","UBALD2","Infection",11,"Infection only"
"47","ZNF485","Infection",11,"Infection only"
"48","SNORA53","Infection",11,"Infection and vaccination"
"49","HSP90AB4P","Infection",11,"Infection and vaccination"
"50","LOC102723766","Infection",11,"Infection and vaccination"
"51","OMG","Infection",11,"Infection and vaccination"
"52","PTTG2","Infection",11,"Infection and vaccination"
"53","SIRPG-AS1","Infection",11,"Infection and vaccination"
"54","SNORD12B","Infection",11,"Infection and vaccination"
"55","TBC1D30","Infection",11,"Infection and vaccination"
"56","CLP1","Infection",11,"Infection and vaccination"
"57","DDIT3","Infection",11,"Infection and vaccination"
"58","ERG","Infection",11,"Infection and vaccination"
"59","INHBB","Infection",11,"Infection and vaccination"
"60","UBALD2","Infection",11,"Infection and vaccination"
"61","AARS2","Infection",10,"Infection only"
"62","AGFG1","Infection",10,"Infection only"
"63","ALOX5AP","Infection",10,"Infection only"
"64","AMIGO1","Infection",10,"Infection only"
"65","ANKEF1","Infection",10,"Infection only"
"66","AP3S1","Infection",10,"Infection only"
"67","ASB9P1","Infection",10,"Infection only"
"68","ATP6V0B","Infection",10,"Infection only"
"69","BCL2A1","Infection",10,"Infection only"
"70","BLOC1S2","Infection",10,"Infection only"
"71","BRI3","Infection",10,"Infection only"
"72","C10orf131","Infection",10,"Infection only"
"73","C20orf24","Infection",10,"Infection only"
"74","C5orf66","Infection",10,"Infection only"
"75","CA4","Infection",10,"Infection only"
"76","CCDC36","Infection",10,"Infection only"
"77","CCDC71L","Infection",10,"Infection only"
"78","CCNL1","Infection",10,"Infection only"
"79","CKAP2L","Infection",10,"Infection only"
"80","CKAP4","Infection",10,"Infection only"
"81","COL17A1","Infection",10,"Infection only"
"82","CPEB4","Infection",10,"Infection only"
"83","CREG1","Infection",10,"Infection only"
"84","DDN","Infection",10,"Infection only"
"85","ELOVL4","Infection",10,"Infection only"
"86","GADD45A","Infection",10,"Infection only"
"87","GCM1","Infection",10,"Infection only"
"88","GDF11","Infection",10,"Infection only"
"89","GRB10","Infection",10,"Infection only"
"90","GSTO2","Infection",10,"Infection only"
"91","GYLTL1B","Infection",10,"Infection only"
"92","IDI1","Infection",10,"Infection only"
"93","ING2","Infection",10,"Infection only"
"94","KCNJ2-AS1","Infection",10,"Infection only"
"95","LGALSL","Infection",10,"Infection only"
"96","LINC00671","Infection",10,"Infection only"
"97","LINC00996","Infection",10,"Infection only"
"98","LINC01315","Infection",10,"Infection only"
"99","LINC01578","Infection",10,"Infection only"
"100","LOC100996286","Infection",10,"Infection only"
"101","MAP1LC3B","Infection",10,"Infection only"
"102","NECAB1","Infection",10,"Infection only"
"103","PFKFB2","Infection",10,"Infection only"
"104","PRKACB","Infection",10,"Infection only"
"105","QPCT","Infection",10,"Infection only"
"106","RAB1A","Infection",10,"Infection only"
"107","S100A4","Infection",10,"Infection only"
"108","SALL2","Infection",10,"Infection only"
"109","SCN1B","Infection",10,"Infection only"
"110","SCN3A","Infection",10,"Infection only"
"111","SEMA4G","Infection",10,"Infection only"
"112","SERPINA11","Infection",10,"Infection only"
"113","SHROOM4","Infection",10,"Infection only"
"114","SLC22A15","Infection",10,"Infection only"
"115","SLC29A2","Infection",10,"Infection only"
"116","SMIM3","Infection",10,"Infection only"
"117","SNORD35B","Infection",10,"Infection only"
"118","TFAP4","Infection",10,"Infection only"
"119","TOB1","Infection",10,"Infection only"
"120","TPST1","Infection",10,"Infection only"
"121","TXN","Infection",10,"Infection only"
"122","USP3-AS1","Infection",10,"Infection only"
"123","YAE1D1","Infection",10,"Infection only"
"124","ZFAND2A","Infection",10,"Infection only"
"125","ZFAS1","Infection",10,"Infection only"
"126","ZNF287","Infection",10,"Infection only"
"127","KCNJ2-AS1","Infection",10,"Infection and vaccination"
"128","BCL2A1","Infection",10,"Infection and vaccination"
"129","CA4","Infection",10,"Infection and vaccination"
"130","C20orf24","Infection",10,"Infection and vaccination"
"131","CKAP2L","Infection",10,"Infection and vaccination"
"132","GSTO2","Infection",10,"Infection and vaccination"
"133","ANKEF1","Infection",10,"Infection and vaccination"
"134","ASB9P1","Infection",10,"Infection and vaccination"
"135","C10orf131","Infection",10,"Infection and vaccination"
"136","COL17A1","Infection",10,"Infection and vaccination"
"137","DDN","Infection",10,"Infection and vaccination"
"138","GCM1","Infection",10,"Infection and vaccination"
"139","LGALSL","Infection",10,"Infection and vaccination"
"140","SCN1B","Infection",10,"Infection and vaccination"
"141","SHROOM4","Infection",10,"Infection and vaccination"
"142","ABHD3","Infection",9,"Infection only"
"143","ABHD5","Infection",9,"Infection only"
"144","ACE2","Infection",9,"Infection only"
"145","ACSL1","Infection",9,"Infection only"
"146","ADAMTS4","Infection",9,"Infection only"
"147","AKAP6","Infection",9,"Infection only"
"148","ANLN","Infection",9,"Infection only"
"149","ASF1A","Infection",9,"Infection only"
"150","ASPH","Infection",9,"Infection only"
"151","ASPRV1","Infection",9,"Infection only"
"152","B3GNT5","Infection",9,"Infection only"
"153","BASP1","Infection",9,"Infection only"
"154","C10orf2","Infection",9,"Infection only"
"155","C14orf169","Infection",9,"Infection only"
"156","C5orf67","Infection",9,"Infection only"
"157","CACNA1E","Infection",9,"Infection only"
"158","CAPN13","Infection",9,"Infection only"
"159","CATIP-AS1","Infection",9,"Infection only"
"160","CBWD6","Infection",9,"Infection only"
"161","CDA","Infection",9,"Infection only"
"162","CDC6","Infection",9,"Infection only"
"163","CEACAM6","Infection",9,"Infection only"
"164","CFAP58-AS1","Infection",9,"Infection only"
"165","CKMT2-AS1","Infection",9,"Infection only"
"166","CNIH2","Infection",9,"Infection only"
"167","CSTA","Infection",9,"Infection only"
"168","CTBS","Infection",9,"Infection only"
"169","CUX2","Infection",9,"Infection only"
"170","DBP","Infection",9,"Infection only"
"171","DCANP1","Infection",9,"Infection only"
"172","DCHS1","Infection",9,"Infection only"
"173","DNAH17","Infection",9,"Infection only"
"174","DPH3","Infection",9,"Infection only"
"175","DRAM1","Infection",9,"Infection only"
"176","EAF1","Infection",9,"Infection only"
"177","EFCAB2","Infection",9,"Infection only"
"178","ETS2","Infection",9,"Infection only"
"179","ETV5","Infection",9,"Infection only"
"180","FABP6","Infection",9,"Infection only"
"181","FAM151B","Infection",9,"Infection only"
"182","FAM171A1","Infection",9,"Infection only"
"183","FAM71F2","Infection",9,"Infection only"
"184","FBLN2","Infection",9,"Infection only"
"185","FCGBP","Infection",9,"Infection only"
"186","GCA","Infection",9,"Infection only"
"187","GK3P","Infection",9,"Infection only"
"188","GLA","Infection",9,"Infection only"
"189","GLT1D1","Infection",9,"Infection only"
"190","GPA33","Infection",9,"Infection only"
"191","GPR160","Infection",9,"Infection only"
"192","GPR84","Infection",9,"Infection only"
"193","GYG1","Infection",9,"Infection only"
"194","HORMAD2-AS1","Infection",9,"Infection only"
"195","ITPRIP","Infection",9,"Infection only"
"196","KEL","Infection",9,"Infection only"
"197","KIAA0825","Infection",9,"Infection only"
"198","KLF5","Infection",9,"Infection only"
"199","KRT73-AS1","Infection",9,"Infection only"
"200","LINC00173","Infection",9,"Infection only"
