"","genes","infection_vaccination","n_conditions","gene_set_short","process","comparison"
"1","A2M","Infection",7,NA,"NEGATIVE REGULATION OF COMPLEMENT ACTIVATION, LECTIN PATHWAY","Infection only"
"2","A2M","Infection",7,NA,"ACUTE INFLAMMATORY RESPONSE TO ANTIGENIC STIMULUS","Infection only"
"3","ACE","Infection",7,"APP, MHC I, Peptide antigen","ANTIGEN PROCESSING AND PRESENTATION OF PEPTIDE ANTIGEN VIA MHC CLASS I","Infection only"
"4","ACE","Infection",7,"Antigen recognition processing and presentation","ARPP","Infection only"
"5","ACE","Infection",7,"Innate immune system","INNATE IMMUNE SYSTEM","Infection only"
"6","ACE","Infection",7,"Neutrophil","NEUTROPHIL","Infection only"
"7","ACE","Infection",7,"Immunity, Neutrophil","NEUTROPHIL MEDIATED IMMUNITY","Infection only"
"8","ACKR2","Infection",1,NA,"IMMUNE RESPONSE","Infection only"
"9","ACKR3","Infection",3,NA,"OTHER","Infection only"
"10","ACKR3","Infection",3,"Immune response","IMMUNE RESPONSE","Infection only"
"11","ACTB","Infection",2,NA,"POSITIVE REGULATION OF T CELL DIFFERENTIATION","Infection only"
"12","ACTG1","Infection",2,"Antiviral and inteferon","ANTIVIRAL AND INTERFERON","Infection only"
"13","ACTG1","Infection",2,"Cellular response to Interferon II","CELLULAR RESPONSE TO TYPE II INTERFERON","Infection only"
"14","ACTG1","Infection",2,"Innate immune system","INNATE IMMUNE SYSTEM","Infection only"
"15","ACTR3","Infection",4,"Antiviral and inteferon","ANTIVIRAL AND INTERFERON","Infection only"
"16","ACTR3","Infection",4,"Cellular response to Interferon II","CELLULAR RESPONSE TO TYPE II INTERFERON","Infection only"
"17","ACTR3","Infection",4,"Innate immune system","INNATE IMMUNE SYSTEM","Infection only"
"18","ACVR1B","Infection",5,NA,"POSITIVE REGULATION OF ERYTHROCYTE DIFFERENTIATION","Infection only"
"19","ADA","Infection",2,"Adaptive immune system","ADAPTIVE IMMUNE SYSTEM","Infection only"
"20","ADA","Infection",2,"Differentiation, abT cell","ALPHA-BETA T CELL DIFFERENTIATION","Infection only"
"21","ADA","Infection",2,"Cellular adaptive immune system","CELLULAR ADAPTIVE IMMUNE SYSTEM","Infection only"
"22","ADA","Infection",2,"Activation, T cell","T CELL ACTIVATION","Infection only"
"23","ADA","Infection",2,"T cells","T CELLS","Infection only"
"24","ADA","Infection",2,NA,"GERMINAL CENTER B CELL DIFFERENTIATION","Infection only"
"25","ADA","Infection",2,NA,"GERMINAL CENTER FORMATION","Infection only"
"26","ADA","Infection",2,NA,"POSITIVE REGULATION OF GERMINAL CENTER FORMATION","Infection only"
"27","ADA","Infection",2,NA,"NEGATIVE REGULATION OF LEUKOCYTE MIGRATION","Infection only"
"28","ADA","Infection",2,NA,"MATURE B CELL APOPTOTIC PROCESS","Infection only"
"29","ADA","Infection",2,NA,"NEGATIVE REGULATION OF MATURE B CELL APOPTOTIC PROCESS","Infection only"
"30","ADA","Infection",2,NA,"POSITIVE REGULATION OF B CELL PROLIFERATION","Infection only"
"31","ADA","Infection",2,NA,"T CELL DIFFERENTIATION IN THYMUS","Infection only"
"32","ADA","Infection",2,NA,"POSITIVE REGULATION OF T CELL DIFFERENTIATION IN THYMUS","Infection only"
"33","ADA","Infection",2,NA,"B CELL PROLIFERATION","Infection only"
"34","ADA","Infection",2,NA,"POSITIVE REGULATION OF ALPHA-BETA T CELL DIFFERENTIATION","Infection only"
"35","ADA","Infection",2,NA,"PEYER'S PATCH DEVELOPMENT","Infection only"
"36","ADA","Infection",2,NA,"T CELL RECEPTOR SIGNALING PATHWAY","Infection only"
"37","ADA","Infection",2,NA,"POSITIVE REGULATION OF T CELL RECEPTOR SIGNALING PATHWAY","Infection only"
"38","ADA","Infection",2,NA,"LEUKOCYTE MIGRATION","Infection only"
"39","ADAM17","Infection",5,"Adaptive immune system","ADAPTIVE IMMUNE SYSTEM","Infection only"
"40","ADAM17","Infection",5,"Differentiation, B cell","B CELL DIFFERENTIATION","Infection only"
"41","ADAM17","Infection",5,"B cells","B CELLS","Infection only"
"42","ADAM17","Infection",5,"Cellular adaptive immune system","CELLULAR ADAPTIVE IMMUNE SYSTEM","Infection only"
"43","ADAM17","Infection",5,"Formation, Germinal center","GERMINAL CENTER FORMATION","Infection only"
"44","ADAM17","Infection",5,"Humoral adaptive immune system","HUMORAL ADAPTIVE IMMUNE SYSTEM","Infection only"
"45","ADAM17","Infection",5,"Innate immune system","INNATE IMMUNE SYSTEM","Infection only"
"46","ADAM17","Infection",5,"Neutrophil","NEUTROPHIL","Infection only"
"47","ADAM17","Infection",5,"Immunity, Neutrophil","NEUTROPHIL MEDIATED IMMUNITY","Infection only"
"48","ADAM17","Infection",5,"Development, Spleen","SPLEEN DEVELOPMENT","Infection only"
"49","ADAM17","Infection",5,"Differentiation, T cell, Thymus","T CELL DIFFERENTIATION IN THYMUS","Infection only"
"50","ADAM17","Infection",5,"T cells","T CELLS","Infection only"
"51","ADAM17","Infection",5,NA,"POSITIVE REGULATION OF LEUKOCYTE CHEMOTAXIS","Infection only"
"52","ADAM17","Infection",5,NA,"POSITIVE REGULATION OF T CELL CHEMOTAXIS","Infection only"
"53","ADAM17","Infection",5,NA,"REGULATION OF MAST CELL APOPTOTIC PROCESS","Infection only"
"54","ADAM8","Infection",1,"Adaptive immune system","ADAPTIVE IMMUNE SYSTEM","Infection only"
"55","ADAM8","Infection",1,"Migration, Inflammatory response, Leukocyte","LEUKOCYTE MIGRATION INVOLVED IN INFLAMMATORY RESPONSE","Infection only"
"56","ADAM8","Infection",1,"Chemotaxis, Lymphocyte","LYMPHOCYTE CHEMOTAXIS","Infection only"
"57","ADAM8","Infection",1,NA,"POSITIVE REGULATION OF CELLULAR EXTRAVASATION","Infection only"
"58","ADAM8","Infection",1,NA,"POSITIVE REGULATION OF T CELL DIFFERENTIATION IN THYMUS","Infection only"
"59","ADAM8","Infection",1,NA,"POSITIVE REGULATION OF INNATE IMMUNE RESPONSE","Infection only"
"60","ADAM8","Infection",1,NA,"POSITIVE REGULATION OF NEUTROPHIL EXTRAVASATION","Infection only"
"61","ADAM8","Infection",1,NA,"POSITIVE REGULATION OF FIBRONECTIN-DEPENDENT THYMOCYTE MIGRATION","Infection only"
"62","ADAM8","Infection",1,NA,"POSITIVE REGULATION OF EOSINOPHIL MIGRATION","Infection only"
"63","ADAM9","Infection",9,NA,"MONOCYTE ACTIVATION","Infection only"
"64","ADAMDEC1","Infection",2,NA,"IMMUNE RESPONSE","Infection only"
"65","ADAMTS13","Infection",3,"Antiviral and inteferon","ANTIVIRAL AND INTERFERON","Infection only"
"66","ADAMTS13","Infection",3,"Cellular response to Interferon II","CELLULAR RESPONSE TO TYPE II INTERFERON","Infection only"
"67","ADAMTS13","Infection",3,"Innate immune system","INNATE IMMUNE SYSTEM","Infection only"
"68","ADAMTS13","Infection",3,"Response to Interferon II","RESPONSE TO TYPE II INTERFERON","Infection only"
"69","ADAR","Infection",2,"Adaptive immune system","ADAPTIVE IMMUNE SYSTEM","Infection only"
"70","ADAR","Infection",2,"Immune system, Process","IMMUNE SYSTEM PROCESS","Infection only"
"71","ADAR","Infection",2,"Innate immune response","INNATE IMMUNE RESPONSE","Infection only"
"72","ADAR","Infection",2,"Innate immune system","INNATE IMMUNE SYSTEM","Infection only"
"73","ADAR","Infection",2,"Somatic mutation, Immune receptors","SOMATIC DIVERSIFICATION OF IMMUNE RECEPTORS VIA SOMATIC MUTATION","Infection only"
"74","ADAR","Infection",2,NA,"ERYTHROCYTE DIFFERENTIATION","Infection only"
"75","ADAR","Infection",2,NA,"NEGATIVE REGULATION OF TYPE I INTERFERON-MEDIATED SIGNALING PATHWAY","Infection only"
"76","ADARB1","Infection",5,"Immune system, Process","IMMUNE SYSTEM PROCESS","Infection only"
"77","ADARB1","Infection",5,"Innate immune response","INNATE IMMUNE RESPONSE","Infection only"
"78","ADARB1","Infection",5,"Innate immune system","INNATE IMMUNE SYSTEM","Infection only"
"79","ADD2","Infection",9,NA,"OTHER","Infection only"
"80","ADD2","Infection",9,"Migration, Leukocyte","LEUKOCYTE MIGRATION","Infection only"
"81","ADD2","Infection",9,"Tethering or roling, Leukocyte","LEUKOCYTE TETHERING OR ROLLING","Infection only"
"82","ADGRB1","Infection",5,NA,"INNATE IMMUNE RESPONSE","Infection only"
"83","ADGRE2","Infection",2,NA,"REGULATION OF MAST CELL DEGRANULATION","Infection only"
"84","ADGRE2","Infection",2,NA,"GRANULOCYTE CHEMOTAXIS","Infection only"
"85","ADGRE5","Infection",1,NA,"OTHER","Infection only"
"86","ADGRE5","Infection",1,"Immune response","IMMUNE RESPONSE","Infection only"
"87","ADGRG3","Infection",6,"Adaptive immune system","ADAPTIVE IMMUNE SYSTEM","Infection only"
"88","ADGRG3","Infection",6,"Differentiation, B cell","B CELL DIFFERENTIATION","Infection only"
"89","ADGRG3","Infection",6,"B cells","B CELLS","Infection only"
"90","ADM","Infection",6,NA,"ANTIMICROBIAL RESPONSE","Infection only"
"91","ADM","Infection",6,"Antibacterial humoral response","ANTIBACTERIAL HUMORAL RESPONSE","Infection only"
"92","ADM","Infection",6,"Antimicrobial peptide-mediated immune response","ANTIMICROBIAL HUMORAL IMMUNE RESPONSE MEDIATED BY ANTIMICROBIAL PEPTIDE","Infection only"
"93","ADORA1","Infection",2,NA,"OTHER","Infection only"
"94","ADORA1","Infection",2,"Migration, Leukocyte","LEUKOCYTE MIGRATION","Infection only"
"95","ADORA1","Infection",2,NA,"NEGATIVE REGULATION OF LEUKOCYTE MIGRATION","Infection only"
"96","ADORA2A","Infection",4,NA,"NEGATIVE REGULATION OF ALPHA-BETA T CELL ACTIVATION","Infection only"
"97","AHR","Infection",7,NA,"REGULATION OF ADAPTIVE IMMUNE RESPONSE","Infection only"
"98","AHR","Infection",7,NA,"NEGATIVE REGULATION OF T CELL MEDIATED IMMUNE RESPONSE TO TUMOR CELL","Infection only"
"99","AHR","Infection",7,NA,"REGULATION OF B CELL PROLIFERATION","Infection only"
"100","AHSP","Infection",6,NA,"ERYTHROCYTE DIFFERENTIATION","Infection only"
"101","AICDA","Infection",3,NA,"SOMATIC DIVERSIFICATION OF IMMUNOGLOBULINS","Infection only"
"102","AICDA","Infection",3,NA,"SOMATIC HYPERMUTATION OF IMMUNOGLOBULIN GENES","Infection only"
"103","AICDA","Infection",3,NA,"B CELL DIFFERENTIATION","Infection only"
"104","AICDA","Infection",3,NA,"ISOTYPE SWITCHING","Infection only"
"105","AIF1","Infection",1,"Antiviral and inteferon","ANTIVIRAL AND INTERFERON","Infection only"
"106","AIF1","Infection",1,"Cellular response to Interferon II","CELLULAR RESPONSE TO TYPE II INTERFERON","Infection only"
"107","AIF1","Infection",1,"Innate immune system","INNATE IMMUNE SYSTEM","Infection only"
"108","AIF1","Infection",1,"Activation, Microglial cell","MICROGLIAL CELL ACTIVATION","Infection only"
"109","AIF1","Infection",1,NA,"POSITIVE REGULATION OF T CELL PROLIFERATION","Infection only"
"110","AIF1","Infection",1,NA,"POSITIVE REGULATION OF MONONUCLEAR CELL MIGRATION","Infection only"
"111","AIF1","Infection",1,NA,"POSITIVE REGULATION OF MONOCYTE CHEMOTAXIS","Infection only"
"112","AIF1","Infection",1,NA,"POSITIVE REGULATION OF T CELL MIGRATION","Infection only"
"113","AIM2","Infection",6,NA,"ACTIVATION OF INNATE IMMUNE RESPONSE","Infection only"
"114","AIM2","Infection",6,NA,"PATTERN RECOGNITION RECEPTOR SIGNALING PATHWAY","Infection only"
"115","AIM2","Infection",6,NA,"IMMUNE RESPONSE","Infection only"
"116","AIM2","Infection",6,NA,"INNATE IMMUNE RESPONSE","Infection only"
"117","AIRE","Infection",2,NA,"PERIPHERAL T CELL TOLERANCE INDUCTION","Infection only"
"118","AIRE","Infection",2,NA,"CENTRAL TOLERANCE INDUCTION TO SELF ANTIGEN","Infection only"
"119","AIRE","Infection",2,NA,"IMMUNE RESPONSE","Infection only"
"120","AIRE","Infection",2,NA,"HUMORAL IMMUNE RESPONSE","Infection only"
"121","AIRE","Infection",2,NA,"NEGATIVE THYMIC T CELL SELECTION","Infection only"
"122","AIRE","Infection",2,NA,"THYMUS EPITHELIUM MORPHOGENESIS","Infection only"
"123","AIRE","Infection",2,NA,"REGULATION OF THYMOCYTE MIGRATION","Infection only"
"124","AKAP1","Infection",3,NA,"ANTIVIRAL INNATE IMMUNE RESPONSE","Infection only"
"125","AKIRIN1","Infection",3,NA,"POSITIVE REGULATION OF MACROPHAGE CHEMOTAXIS","Infection only"
"126","AKIRIN2","Infection",9,NA,"ADAPTIVE IMMUNE RESPONSE","Infection only"
"127","AKIRIN2","Infection",9,NA,"POSITIVE REGULATION OF ADAPTIVE IMMUNE RESPONSE","Infection only"
"128","AKIRIN2","Infection",9,NA,"INNATE IMMUNE RESPONSE","Infection only"
"129","AKIRIN2","Infection",9,NA,"POSITIVE REGULATION OF INNATE IMMUNE RESPONSE","Infection only"
"130","AKIRIN2","Infection",9,NA,"POSITIVE REGULATION OF B CELL ACTIVATION","Infection only"
"131","AKT1","Infection",1,"Cell death, Activation-induced, T cell","ACTIVATION-INDUCED CELL DEATH OF T CELLS","Infection only"
