GENE PRODUCT DB	GENE PRODUCT ID	SYMBOL	QUALIFIER	GO TERM	GO NAME	ECO ID	GO EVIDENCE CODE	REFERENCE	WITH/FROM	TAXON ID	ASSIGNED BY	ANNOTATION EXTENSION	GENE_PRODUCT_NAME	GENE_PRODUCT_SYNONYMS	GENE_PRODUCT_TYPE	GO ASPECT
UniProtKB	A0A075B6H7	IGKV3-7	involved_in	GO:0002250	adaptive immune response	ECO:0007322	IEA	GO_REF:0000043	UniProtKB-KW:KW-1064	9606	UniProt		Probable non-functional immunoglobulin kappa variable 3-7	IGKV3-7	protein	P
UniProtKB	A0A075B6H7	IGKV3-7	involved_in	GO:0002376	immune system process	ECO:0007322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0391	9606	UniProt		Probable non-functional immunoglobulin kappa variable 3-7	IGKV3-7	protein	P
UniProtKB	A0A075B6H7	IGKV3-7	involved_in	GO:0006955	immune response	ECO:0000318	IBA	GO_REF:0000033	MGI:MGI:98936|PANTHER:PTN000587099|UniProtKB:P01619	9606	GO_Central		Probable non-functional immunoglobulin kappa variable 3-7	IGKV3-7	protein	P
UniProtKB	A0A075B6H7	IGKV3-7	involved_in	GO:0006955	immune response	ECO:0007826	IEA	GO_REF:0000118	PANTHER:PTHR23267:SF331	9606	TreeGrafter		Probable non-functional immunoglobulin kappa variable 3-7	IGKV3-7	protein	P
UniProtKB	A0A075B6H8	IGKV1D-42	involved_in	GO:0002250	adaptive immune response	ECO:0007322	IEA	GO_REF:0000043	UniProtKB-KW:KW-1064	9606	UniProt		Probable non-functional immunoglobulin kappa variable 1D-42	IGKV1D-42	protein	P
UniProtKB	A0A075B6H8	IGKV1D-42	involved_in	GO:0002376	immune system process	ECO:0007322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0391	9606	UniProt		Probable non-functional immunoglobulin kappa variable 1D-42	IGKV1D-42	protein	P
UniProtKB	A0A075B6H8	IGKV1D-42	involved_in	GO:0006955	immune response	ECO:0000318	IBA	GO_REF:0000033	MGI:MGI:98936|PANTHER:PTN000587099|UniProtKB:P01619	9606	GO_Central		Probable non-functional immunoglobulin kappa variable 1D-42	IGKV1D-42	protein	P
UniProtKB	A0A075B6H8	IGKV1D-42	involved_in	GO:0006955	immune response	ECO:0007826	IEA	GO_REF:0000118	PANTHER:PTHR23267:SF388	9606	TreeGrafter		Probable non-functional immunoglobulin kappa variable 1D-42	IGKV1D-42	protein	P
UniProtKB	A0A075B6H9	IGLV4-69	involved_in	GO:0002250	adaptive immune response	ECO:0007322	IEA	GO_REF:0000043	UniProtKB-KW:KW-1064	9606	UniProt		Immunoglobulin lambda variable 4-69	IGLV4-69	protein	P
UniProtKB	A0A075B6H9	IGLV4-69	involved_in	GO:0002376	immune system process	ECO:0007322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0391	9606	UniProt		Immunoglobulin lambda variable 4-69	IGLV4-69	protein	P
